label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
bestStruct+WS=1+WST=1,Phase 1b,hardware,600.0,4,1,0.2989,0.0102,0.3567,0.0122,4.31,0.1544,4.3301,8.1,161.3,1,0.0,1.5,OK,32.0,20.0,5.0,20,2.0,10,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=22,Phase 2,hardware,600.0,4,1,0.1787,0.0007,0.1356,0.0009,3.07,0.0396,4.3301,21.1,3667.8,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,22,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=30,Phase 2,hardware,600.0,4,1,0.2667,0.0105,0.7519,0.0339,3.73,0.2364,4.3301,11.3,1500.1,1,0.0,1.4,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,30,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=35,Phase 2,hardware,600.0,4,1,0.2184,0.0052,0.3549,0.0076,3.92,0.1008,4.3301,18.7,5578.5,1,0.0,1.5,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,35,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=14,Phase 2,hardware,600.0,4,1,0.1778,0.0009,0.1196,0.0008,2.6,0.0504,4.3301,17.7,3040.9,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,14,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=20,Phase 2,hardware,600.0,4,1,0.1794,0.0007,0.1301,0.0009,3.0,0.0407,4.3301,19.7,3711.5,1,0.0,1.1,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,20,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=28,Phase 2,hardware,600.0,4,1,0.2373,0.0087,0.6859,0.0276,3.7,0.227,4.3301,34.1,7067.3,1,0.0,2.0,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,28,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=12,Phase 2,hardware,600.0,4,1,0.1778,0.0007,0.1209,0.0007,2.47,0.0412,4.3301,8.6,42.3,1,0.0,1.3,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,12,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=16,Phase 2,hardware,600.0,4,1,0.1794,0.0007,0.1295,0.0008,2.8,0.0412,4.3301,18.8,2444.2,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,16,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=12,Phase 2,hardware,600.0,4,1,0.1772,0.0009,0.1165,0.0008,2.46,0.0533,4.3301,8.9,38.5,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,12,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=26,Phase 2,hardware,600.0,4,1,0.2495,0.0082,0.3804,0.0132,3.68,0.1854,4.3301,22.5,3163.5,1,0.0,1.6,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,26,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=18,Phase 2,hardware,600.0,4,1,0.1789,0.0007,0.126,0.0008,2.9,0.0411,4.3301,26.8,3034.9,1,0.0,1.1,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,18,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=24,Phase 2,hardware,600.0,3,2,0.6242,0.1181,1.4325,0.3867,4.64,2.1234,4.3301,15.1,7037.4,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,24,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=16,Phase 2,hardware,600.0,4,1,0.1786,0.0007,0.1195,0.0008,2.76,0.0416,4.3301,27.3,3183.4,1,0.0,1.1,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,16,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=32,Phase 2,hardware,600.0,4,1,0.2425,0.0089,0.7092,0.0306,3.76,0.2247,4.3301,23.0,3766.4,1,0.0,1.6,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,32,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=14,Phase 2,hardware,600.0,4,1,0.1782,0.0008,0.121,0.0008,2.64,0.0473,4.3301,17.5,3059.2,1,0.0,1.2,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,14,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=400+QV=40,Phase 2,hardware,600.0,4,1,0.1952,0.0024,0.2944,0.0041,3.47,0.0711,4.3301,11.5,134.9,1,0.0,1.6,OK,32.0,20.0,5.0,20,2.0,10,400,5000,69.0,40,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=24,Phase 2,hardware,600.0,4,1,0.1788,0.0007,0.1344,0.0009,3.12,0.0391,4.3301,11.4,516.8,1,0.0,1.3,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,24,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=32,Phase 2,hardware,600.0,4,1,0.2701,0.0101,0.7237,0.0322,3.85,0.223,4.3301,11.1,448.0,1,0.0,1.3,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,32,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
QL=5000+QH=500+QV=22,Phase 2,hardware,600.0,4,1,0.1789,0.0007,0.132,0.0009,3.05,0.0399,4.3301,38.4,4284.8,1,0.0,1.1,OK,32.0,20.0,5.0,20,2.0,10,500,5000,69.0,22,22.0,0.01,0.15,0.95,30,0.02,1,1,10,0.1,0.53,0.3,0.06
