monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
4037125201711,1779707253,582954362,0.000,100.000,0.000,0.000,0.000,0.000
4037144908918,1779707253,602657377,0.000,0.000,0.000,0.000,0.000,0.000
4037370709270,1779707253,828463169,0.000,0.000,0.000,0.000,0.000,0.000
4037384900049,1779707253,842645404,0.000,0.000,0.000,0.000,0.000,0.000
4037404901696,1779707253,862648299,0.000,0.000,0.000,0.000,0.000,0.000
4037424902832,1779707253,882649179,0.000,0.000,0.000,0.000,0.000,0.000
4037444903872,1779707253,902650315,0.000,0.000,0.000,0.000,0.000,0.000
4037464905839,1779707253,922655034,0.000,0.000,0.000,0.000,0.000,0.000
4037487520016,1779707253,945272828,100.000,100.000,100.000,50.000,100.000,100.000
4037506930446,1779707253,964683737,100.000,100.000,100.000,100.000,0.000,100.000
4037524936095,1779707253,982688266,100.000,50.000,100.000,50.000,50.000,100.000
4037544919662,1779707254,2671929,100.000,100.000,100.000,100.000,100.000,100.000
4037564914302,1779707254,22666569,100.000,100.000,100.000,100.000,66.667,100.000
4037584909069,1779707254,42661144,100.000,100.000,100.000,100.000,100.000,100.000
4037604908029,1779707254,62660776,100.000,100.000,100.000,100.000,100.000,100.000
4037624915693,1779707254,82668984,100.000,100.000,100.000,100.000,100.000,100.000
4037644908476,1779707254,102659752,100.000,100.000,50.000,100.000,100.000,100.000
4037664911820,1779707254,122662840,100.000,100.000,100.000,100.000,100.000,100.000
4037684947773,1779707254,142698184,100.000,100.000,100.000,100.000,100.000,100.000
4037704914668,1779707254,162666199,100.000,100.000,100.000,100.000,100.000,100.000
4037724902523,1779707254,182655271,100.000,100.000,100.000,100.000,100.000,100.000
4037744915339,1779707254,202666103,100.000,100.000,100.000,100.000,100.000,100.000
4037764936444,1779707254,222689703,100.000,100.000,100.000,100.000,100.000,100.000
4037784912075,1779707254,242664598,100.000,100.000,100.000,100.000,100.000,100.000
4037804914907,1779707254,262667558,100.000,100.000,100.000,100.000,100.000,100.000
4037824907434,1779707254,282659477,100.000,100.000,100.000,100.000,100.000,100.000
4037844908826,1779707254,302661061,100.000,100.000,100.000,100.000,100.000,100.000
4037864946507,1779707254,322697462,100.000,100.000,100.000,100.000,100.000,100.000
4037884961883,1779707254,342712902,100.000,100.000,100.000,100.000,100.000,100.000
4037904869672,1779707254,362621843,100.000,100.000,100.000,100.000,100.000,100.000
4037924909657,1779707254,382660452,100.000,100.000,100.000,100.000,50.000,100.000
4037944908809,1779707254,402659380,100.000,100.000,100.000,100.000,100.000,100.000
4037964907192,1779707254,422657572,100.000,100.000,100.000,100.000,100.000,100.000
4037984928009,1779707254,442678484,100.000,100.000,100.000,100.000,100.000,100.000
4038004906552,1779707254,462656835,50.000,0.000,100.000,100.000,50.000,100.000
4038024885223,1779707254,482633490,100.000,50.000,100.000,50.000,0.000,100.000
4038044910679,1779707254,502660739,100.000,100.000,100.000,0.000,50.000,0.000
4038064914023,1779707254,522664498,0.000,50.000,50.000,0.000,100.000,100.000
4038084915351,1779707254,542665986,50.000,100.000,50.000,100.000,0.000,100.000
4038104908263,1779707254,562659346,50.000,100.000,50.000,0.000,50.000,100.000
4038124912342,1779707254,582663330,66.667,0.000,0.000,0.000,0.000,50.000
4038144907270,1779707254,602656049,0.000,0.000,0.000,0.000,0.000,0.000
4038370971472,1779707254,828819807,0.000,0.000,0.000,0.000,0.000,0.000
4038384906691,1779707254,842654446,0.000,0.000,50.000,0.000,0.000,0.000
4038404906195,1779707254,862653886,0.000,0.000,0.000,0.000,0.000,0.000
4038424900706,1779707254,882646797,0.000,0.000,0.000,0.000,0.000,0.000
4038444907250,1779707254,902653885,0.000,0.000,0.000,0.000,0.000,0.000
4038464901794,1779707254,922648461,0.000,0.000,0.000,0.000,0.000,0.000
4038484903250,1779707254,942649949,0.000,0.000,0.000,0.000,0.000,0.000
4038505147177,1779707254,962897396,0.000,100.000,0.000,0.000,66.667,50.000
4038524902993,1779707254,982652764,0.000,0.000,100.000,0.000,0.000,0.000
4038544905153,1779707255,2653548,0.000,0.000,0.000,0.000,0.000,0.000
4038564904657,1779707255,22653788,0.000,0.000,0.000,0.000,0.000,50.000
4038584903457,1779707255,42651692,0.000,0.000,0.000,0.000,0.000,0.000
4038604906193,1779707255,62654108,0.000,0.000,100.000,100.000,0.000,0.000
4038624927969,1779707255,82678892,66.667,50.000,100.000,50.000,100.000,100.000
4038644908592,1779707255,102659228,0.000,50.000,0.000,100.000,50.000,100.000
4038664907872,1779707255,122658027,50.000,50.000,0.000,0.000,0.000,0.000
4038684909232,1779707255,142657467,0.000,100.000,0.000,0.000,0.000,0.000
4038704910496,1779707255,162658923,50.000,0.000,0.000,50.000,0.000,50.000
4038724905680,1779707255,182653499,0.000,0.000,0.000,0.000,0.000,0.000
4038744910752,1779707255,202660843,100.000,0.000,50.000,100.000,100.000,100.000
