monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4037134387757,1779707253,596229624,performance_monitor,20912,1457536,31093,40351,1601,3.967684,96.032316,true
4037134387757,1779707253,596229624,pipeline_latency_monitor,20910,1776223,41138,0,0,0.000000,-1.000000,true
4037334399306,1779707253,792151829,ekf_localization,20908,1451572,30787,0,0,0.000000,-1.000000,true
4037334399306,1779707253,792151829,gpu_amcl_cpp,20906,27611706,536416,0,0,0.000000,-1.000000,true
4037334399306,1779707253,792151829,odom_fused,20904,1524174,40558,0,0,0.000000,-1.000000,true
4037334399306,1779707253,792151829,performance_monitor,20912,1457536,31093,0,0,0.000000,-1.000000,true
4037334399306,1779707253,792151829,pipeline_latency_monitor,20910,1776223,41138,0,0,0.000000,-1.000000,true
4037534392774,1779707253,992143697,ekf_localization,20908,1451572,30787,0,0,0.000000,-1.000000,true
4037534392774,1779707253,992143697,gpu_amcl_cpp,20906,27611706,536416,0,0,0.000000,-1.000000,true
4037534392774,1779707253,992143697,odom_fused,20904,1524174,40558,0,0,0.000000,-1.000000,true
4037534392774,1779707253,992143697,performance_monitor,20912,1457536,31093,0,0,0.000000,-1.000000,true
4037534392774,1779707253,992143697,pipeline_latency_monitor,20910,1776223,41138,0,0,0.000000,-1.000000,true
4037734396099,1779707254,192146383,ekf_localization,20908,1782952,38095,331380,7308,2.205323,97.794677,true
4037734396099,1779707254,192146383,gpu_amcl_cpp,20906,28036642,546020,424936,9604,2.260105,97.739895,true
4037734396099,1779707254,192146383,odom_fused,20904,2225986,54273,701812,13715,1.954227,98.045773,true
4037734396099,1779707254,192146383,performance_monitor,20912,1696879,35543,239343,4450,1.859256,98.140744,true
4037734396099,1779707254,192146383,pipeline_latency_monitor,20910,2147425,48443,371202,7305,1.967931,98.032069,true
4037935166425,1779707254,392916132,ekf_localization,20908,2053111,46792,270159,8697,3.219215,96.780785,true
4037935166425,1779707254,392916132,gpu_amcl_cpp,20906,29184799,575620,1148157,29600,2.578045,97.421955,true
4037935166425,1779707254,392916132,odom_fused,20904,4215884,87522,1989898,33249,1.670890,98.329110,true
4037935166425,1779707254,392916132,performance_monitor,20912,1795775,37779,98896,2236,2.260961,97.739039,true
4037935166425,1779707254,392916132,pipeline_latency_monitor,20910,2521644,59355,374219,10912,2.915940,97.084060,true
4038134391198,1779707254,596600116,ackermann_mux,21060,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,ackermann_to_vesc_node,21056,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,ekf_localization,20908,2484403,63282,431292,16490,3.823396,96.176604,true
4038134391198,1779707254,596600116,gpu_amcl_cpp,20906,58233924,851860,29049125,276240,0.950941,99.049059,true
4038134391198,1779707254,596600116,hokuyo_scip_driver,21062,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,lifecycle_manager_map,21050,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,map_server,21048,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,odom_fused,20904,6017115,144188,1801231,56666,3.145960,96.854040,true
4038134391198,1779707254,596600116,performance_monitor,20912,3252026,67361,1456251,29582,2.031381,97.968619,true
4038134391198,1779707254,596600116,pipeline_latency_monitor,20910,3161887,81111,640243,21756,3.398085,96.601915,true
4038134391198,1779707254,596600116,scan_splitter_node,21065,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,static_baselink_to_imu,21086,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,static_baselink_to_laser,21080,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,system_monitor,21058,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,vesc_driver_node,21052,0,0,0,0,0.000000,-1.000000,true
4038134391198,1779707254,596600116,vesc_to_odom_node,21054,0,0,0,0,0.000000,-1.000000,true
4038334389979,1779707254,792139239,ackermann_mux,21060,0,0,0,0,0.000000,-1.000000,true
4038334389979,1779707254,792139239,ackermann_to_vesc_node,21056,0,0,0,0,0.000000,-1.000000,true
