monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4762171872204,1781364882,505796570,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4762171872204,1781364882,505796570,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4762171872204,1781364882,505796570,performance_monitor,30485,1405689,33014,0,0,0.000000,-1.000000,true
4762171872204,1781364882,505796570,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4762371875807,1781364882,705801966,ekf_localization,30481,2035396,49826,445357,13272,2.980081,97.019919,true
4762371875807,1781364882,705801966,gpu_amcl_cpp,30479,24291893,566778,240575,9981,4.148810,95.851190,true
4762371875807,1781364882,705801966,odom_fused,30477,2809873,57128,377019,10395,2.757155,97.242845,true
4762371875807,1781364882,705801966,performance_monitor,30485,2032383,52280,626694,19266,3.074228,96.925772,true
4762371875807,1781364882,705801966,pipeline_latency_monitor,30483,2344264,57399,216055,8960,4.147092,95.852908,true
4762571872627,1781364882,905796705,ekf_localization,30481,2281117,54523,245721,4697,1.911518,98.088482,true
4762571872627,1781364882,905796705,gpu_amcl_cpp,30479,25883895,612071,1592002,45293,2.845034,97.154966,true
4762571872627,1781364882,905796705,odom_fused,30477,3026700,61180,216827,4052,1.868771,98.131229,true
4762571872627,1781364882,905796705,performance_monitor,30485,2586618,66822,554235,14542,2.623797,97.376203,true
4762571872627,1781364882,905796705,pipeline_latency_monitor,30483,3436414,92565,1092150,35166,3.219887,96.780113,true
4762771866851,1781364883,111710475,ackermann_mux,30586,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,ackermann_to_vesc_node,30582,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,ekf_localization,30481,2614865,61706,333748,7183,2.152223,97.847777,true
4762771866851,1781364883,111710475,gpu_amcl_cpp,30479,29309036,728828,3425141,116757,3.408823,96.591177,true
4762771866851,1781364883,111710475,hokuyo_scip_driver,30588,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,lifecycle_manager_map,30576,0,0,0,0,0.000000,-1.000000,true
