monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
4759761964979,1781364880,95888289,0.000
4760001419571,1781364880,335612237,0.000
4760002027757,1781364880,335947195,0.000
4760022026202,1781364880,355947240,0.000
4760042028870,1781364880,375950516,0.000
4760062025363,1781364880,395945473,0.000
4760082021823,1781364880,415941901,0.000
4760102020908,1781364880,435940698,0.000
4760122027385,1781364880,455952327,0.000
4760142033574,1781364880,475960980,0.000
4760162037555,1781364880,495965185,0.000
4760182027743,1781364880,515950349,0.000
4760202026379,1781364880,535947514,0.000
4760222023192,1781364880,555943942,0.000
4760242033477,1781364880,575960467,0.000
4760262025969,1781364880,595948576,0.000
4760282030046,1781364880,615954540,0.000
4760302030379,1781364880,635952121,0.000
4760322023319,1781364880,655945413,0.000
4760342022116,1781364880,675942834,0.000
4760362032305,1781364880,695956095,0.000
4760382029917,1781364880,715952940,0.000
4760402032746,1781364880,735955800,0.000
4760422035767,1781364880,755962853,0.000
4760442026179,1781364880,775949009,0.000
4760462023888,1781364880,795945662,0.000
4760482023100,1781364880,815944907,0.000
4760502028329,1781364880,835955256,0.000
4760522035414,1781364880,855963589,0.000
4760542026435,1781364880,875951217,0.000
4760562026191,1781364880,895946941,0.000
4760582022044,1781364880,915941962,0.000
4760602020936,1781364880,935940854,0.000
4760622020213,1781364880,955939587,0.000
4760642020066,1781364880,975939440,0.000
4760662024078,1781364880,995944796,0.000
4760682021915,1781364881,15941865,0.000
4760702020327,1781364881,35939509,0.000
4760722024659,1781364881,55944865,0.000
4760742024895,1781364881,75946221,0.000
4760762027083,1781364881,95948825,0.000
4760987099750,1781364881,321026421,0.000
4761002021692,1781364881,335941450,0.000
4761022021832,1781364881,355941654,0.000
4761042020660,1781364881,375940002,0.000
4761062020992,1781364881,395940462,0.000
4761082020653,1781364881,415939995,0.000
4761102020473,1781364881,435939687,0.000
4761122020645,1781364881,455939955,0.000
4761142022577,1781364881,475943039,0.000
4761162020893,1781364881,495940555,0.000
4761182020873,1781364881,515940727,0.000
4761202023701,1781364881,535944099,0.000
4761222025345,1781364881,555945647,0.000
4761242021421,1781364881,575941019,0.000
4761262023001,1781364881,595943368,0.000
4761282020933,1781364881,615940500,0.000
4761302020658,1781364881,635940224,0.000
4761322020798,1781364881,655940012,0.000
4761342020586,1781364881,675940920,0.000
4761362021334,1781364881,695941060,0.000
4761382021634,1781364881,715941296,0.000
4761402020302,1781364881,735939932,0.000
4761422020570,1781364881,755940200,0.000
4761442025702,1781364881,775946837,0.000
4761462027571,1781364881,795948353,0.000
4761482022719,1781364881,815942445,0.000
4761502021195,1781364881,835940601,0.000
4761522020343,1781364881,855939749,0.000
4761542020931,1781364881,875940273,0.000
4761562026063,1781364881,895946653,0.000
4761582022203,1781364881,915942217,0.000
4761602021287,1781364881,935941141,0.000
4761622020659,1781364881,955940129,0.000
4761642020959,1781364881,975940429,0.000
4761662019979,1781364881,995939353,0.000
4761682020887,1781364882,15940389,0.000
4761702020483,1781364882,35939825,0.000
4761722027151,1781364882,55949949,0.000
4761742032922,1781364882,75960265,0.000
4761762031398,1781364882,95957684,0.000
4761987830841,1781364882,321757736,0.000
4762002022096,1781364882,335941150,0.000
4762022020955,1781364882,355940810,0.000
4762042027111,1781364882,375948021,0.000
4762062031251,1781364882,395952705,0.000
4762082026494,1781364882,415946124,0.000
4762102029546,1781364882,435949816,0.000
4762122024885,1781364882,455944451,0.000
4762142025377,1781364882,475946319,0.000
4762162027693,1781364882,495949371,0.000
4762182031352,1781364882,515955238,0.000
4762202097415,1781364882,536027285,0.000
4762222495875,1781364882,556424529,0.000
4762242095230,1781364882,576023468,0.000
4762262033511,1781364882,595961077,0.000
4762282084660,1781364882,616012803,0.000
4762302057823,1781364882,635984589,0.000
4762322052266,1781364882,655976856,0.000
4762342037461,1781364882,675965315,0.000
4762362032544,1781364882,695959823,0.000
4762382034348,1781364882,715961626,0.000
4762402032279,1781364882,735960262,0.000
4762422051620,1781364882,755978546,0.000
4762442028334,1781364882,775955229,0.000
4762462033914,1781364882,795961448,0.000
4762482034342,1781364882,815961524,0.000
4762502008336,1781364882,835935966,0.000
4762522039197,1781364882,855966443,0.000
4762542042793,1781364882,875970487,0.000
4762562040500,1781364882,895964482,0.000
4762582063105,1781364882,915988015,0.000
4762602036523,1781364882,935960761,0.000
4762622038327,1781364882,955962885,0.000
4762642002753,1781364882,975926639,0.000
4762662050958,1781364882,995978909,0.000
4762682035097,1781364883,15961735,0.000
4762702036260,1781364883,35962706,0.000
4762722033039,1781364883,55957053,0.000
4762742048986,1781364883,75973833,0.000
4762762030053,1781364883,95953939,0.000
4762989097671,1781364883,323126650,0.000
4763002028712,1781364883,335950583,0.000
4763022028115,1781364883,355949538,0.000
4763042026174,1781364883,375947660,0.000
4763062027337,1781364883,395948823,0.000
4763082027892,1781364883,415949731,0.000
4763102028159,1781364883,435949742,0.000
4763122027722,1781364883,455949401,0.000
4763142026741,1781364883,475948547,0.000
4763162029152,1781364883,495950735,0.000
4763182027499,1781364883,515949369,0.000
4763202027478,1781364883,535949092,0.000
4763222033730,1781364883,555959504,0.000
4763242033677,1781364883,575958363,0.000
4763262029431,1781364883,595952454,0.000
4763282031298,1781364883,615957489,0.000
4763302032430,1781364883,635956060,0.000
4763322031704,1781364883,655955623,0.000
4763342036644,1781364883,675962962,0.000
4763362038287,1781364883,695964765,0.000
4763382036346,1781364883,715962536,0.000
4763402043493,1781364883,735970835,0.000
4763422035152,1781364883,755961342,0.000
4763442140703,1781364883,776066125,0.000
4763462036934,1781364883,795962420,0.000
4763482031120,1781364883,815957215,0.000
4763502034652,1781364883,835960682,30.000
4763522032486,1781364883,855958133,67.600
4763542031185,1781364883,875955744,23.000
4763562029692,1781364883,895953643,0.000
4763582029383,1781364883,915952246,0.000
4763602028626,1781364883,935951232,0.000
4763622030653,1781364883,955953228,0.000
4763642028840,1781364883,975951414,0.000
4763662029555,1781364883,995951809,0.000
