label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
L=9000+H=3000+V=45+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.0961,0.0568,0.0568,0.02,0.0,4.4993,4.4994,550.0,11529.8,0,0.0,2.3,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3000,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3000+V=45+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.0961,0.0568,0.0568,0.0,0.0,4.4994,4.4994,407.9,11298.6,0,0.0,1.7,0.995,0.005,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3000,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3000+V=48+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.04995,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0002,0.0,0.0912,0.0,1.0961,1.096,0.0568,0.0568,0.07,0.0001,4.4993,4.4994,603.6,11790.9,0,0.0,2.5,0.995667,0.004333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0001,0,1,0,9000,3000,48,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3000+V=48+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.096,0.0568,0.0568,0.03,0.0,4.4993,4.4994,515.8,12443.2,0,0.0,2.1,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3000,48,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3000+V=48+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.0961,0.0568,0.0568,0.0,0.0,4.4994,4.4994,524.1,11476.7,0,0.0,2.2,0.995,0.005,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3000,48,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3000+V=50+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.04995,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0007,0.0,0.0912,0.0,1.0961,1.096,0.0568,0.0567,0.09,0.0001,4.4992,4.4994,583.4,11478.8,0,0.0,2.4,0.995667,0.004333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0001,0,1,0,9000,3000,50,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3000+V=50+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.096,0.0568,0.0568,0.04,0.0,4.4993,4.4994,569.3,11174.4,0,0.0,2.6,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3000,50,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3000+V=50+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.0961,0.0568,0.0568,0.02,0.0,4.4993,4.4994,552.6,11325.0,0,0.0,2.4,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3000,50,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3000+V=53+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.0496,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0017,0.0001,0.0912,0.0,1.0961,1.0959,0.0568,0.0566,0.11,0.0002,4.4992,4.4994,576.6,11537.2,0,0.0,2.4,0.995,0.005,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0959,0.0002,0,1,0,9000,3000,53,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3000+V=53+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.096,0.0568,0.0568,0.05,0.0,4.4993,4.4994,592.3,11360.7,0,0.0,2.5,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3000,53,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
