label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,scenario_avoid_single_status,scenario_avoid_single_lap_time_est,scenario_avoid_single_avg_progress_mps,scenario_avoid_single_avg_lat_err,scenario_avoid_single_avg_vx,scenario_avoid_single_wall_collisions,scenario_avoid_single_failed_non_speed,scenario_avoid_single_speed_check_pass,scenario_avoid_double_status,scenario_avoid_double_lap_time_est,scenario_avoid_double_avg_progress_mps,scenario_avoid_double_avg_lat_err,scenario_avoid_double_avg_vx,scenario_avoid_double_wall_collisions,scenario_avoid_double_failed_non_speed,scenario_avoid_double_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
Q_HDG=2600,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,7.805942934147292,18,152.754075,2.718125,0.1966,1.0,1.0961,0.1063,0.5916,0.106725,4.77,2.737725,0.64735,4.4994,2417.425,49677.1,1,0.0,4.0,0.9720635,0.0279365,7.367133333333332,EXIT_FAIL,1,OK,7.411,2.8403,0.0652,2.8752,0,0,0,OK,7.2794,2.8822,0.065,2.8408,0,0,0,EXIT_FAIL,9.122371736589168,2.3097,0.2298,2.3597,1,1,0,9660.42,2600,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3800,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,8.041929250775524,17,148.2956,2.633825,0.1966,2.75,1.0961,0.13235,0.5917,0.1072,4.71,2.665025,0.715775,4.4994,2496.525,59185.0,1,0.0,4.175,0.96788825,0.03211175,7.565033333333333,EXIT_FAIL,1,OK,7.6094,2.7495,0.0907,2.7999,0,0,0,OK,7.4763,2.812,0.0908,2.7882,0,0,0,EXIT_FAIL,9.4726170031021,2.2243,0.2572,2.2721,1,1,0,9660.42,3800,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3400,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,7.962567383401312,17,149.981125,2.66545,0.1966,3.25,1.0961,0.1235,0.5894,0.1063,4.74,2.6931000000000003,0.690625,4.4994,2484.1000000000004,52699.1,1,0.0,4.075,0.9710592499999999,0.02894075,7.503033333333334,EXIT_FAIL,1,OK,7.5483,2.7842,0.0824,2.8295,0,0,0,OK,7.4125,2.8378,0.0825,2.8086,0,0,0,EXIT_FAIL,9.34116953360525,2.2556,0.2467,2.3048,1,1,0,9660.42,3400,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,7.886385602610143,18,151.302775,2.691125,0.1966,3.75,1.0961,0.115475,0.5818,0.1064,4.74,2.71525,0.6705749999999999,4.4994,2465.45,53431.9,1,0.0,4.05,0.97018025,0.02981975,7.439366666666667,EXIT_FAIL,1,OK,7.4825,2.8104,0.0747,2.8518,0,0,0,OK,7.3531,2.8603,0.0744,2.8258,0,0,0,EXIT_FAIL,9.227442410440572,2.2834,0.2381,2.3316,1,1,0,9660.42,3000,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3600,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,8.001341464177239,17,149.21685,2.65045,0.1966,2.5,1.0961,0.128175,0.5958,0.107075,4.7,2.6801,0.702375,4.4994,2522.9249999999997,66408.5,1,0.0,4.125,0.97023775,0.02976225,7.531366666666667,EXIT_FAIL,1,OK,7.5761,2.7684,0.0861,2.8169,0,0,0,OK,7.4419,2.8262,0.0867,2.7995,0,0,0,EXIT_FAIL,9.411265856708953,2.2388,0.2538,2.2871,1,1,0,9660.42,3600,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=4200,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,8.106320560652163,16,147.26585,2.61335,0.1966,2.5,1.0961,0.139,0.5851,0.107025,4.7,2.64745,0.7317,4.4994,2527.825,60489.3,1,0.0,4.2,0.96701675,0.032983250000000006,7.618766666666667,EXIT_FAIL,1,OK,7.6567,2.7316,0.0971,2.7865,0,0,0,OK,7.5429,2.7883,0.0981,2.7676,0,0,0,EXIT_FAIL,9.568982242608655,2.2019,0.2637,2.2492,1,1,0,9660.42,4200,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3200,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,7.930619208366428,17,150.609175,2.677125,0.1966,4.25,1.0961,0.11995,0.5827,0.10665000000000001,4.73,2.70275,0.682175,4.4994,2510.175,32685.9,1,0.0,4.05,0.9699915,0.0300085,7.4750000000000005,EXIT_FAIL,1,OK,7.5244,2.7955,0.0791,2.8391,0,0,0,OK,7.3762,2.8513,0.0781,2.8192,0,0,0,EXIT_FAIL,9.297476833465714,2.2662,0.2435,2.3136,1,1,0,9660.42,3200,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=4000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|wall_collision|scenario_failure,14,4,1,3,1,1,0,8.078714908910086,16,147.697275,2.6222,0.1966,3.75,1.0961,0.136025,0.5932,0.10715,4.69,2.655625,0.722675,4.4994,2590.975,50356.1,1,0.0,4.15,0.96727575,0.032724249999999996,7.596666666666667,EXIT_FAIL,1,OK,7.635,2.7382,0.0941,2.7913,0,0,0,OK,7.52,2.8003,0.0948,2.7775,0,0,0,EXIT_FAIL,9.524859635640343,2.2121,0.2611,2.2624,1,1,0,9660.42,4000,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=9000,Phase 1: One-at-a-time sensitivity,my_track,7.276176,61.441,7.276176,1,0.0,,15,3,0,3,0,0,0,7.0823,26,199.60107499999998,2.9595000000000002,0.1966,3.5,1.0961,0.05475,0.6287,0.09359999999999999,4.87,2.918875,0.49195,4.4994,2215.3,54011.0,0,0.0,3.65,0.9786455000000001,0.0213545,7.0823,OK,1,OK,7.1515,2.9375,0.0524,2.9513,0,0,0,OK,7.0106,2.9811,0.0489,2.9182,0,0,0,OK,7.0156,2.9819,0.0653,2.8547,0,0,0,9000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=10000,Phase 1: One-at-a-time sensitivity,my_track,7.3629,61.361,7.3629,1,0.0,,15,3,0,3,0,0,0,7.08875,26,199.51305,2.958225,0.1966,9.0,1.0961,0.05285,0.6137,0.091,4.87,2.91065,0.500875,4.4994,2246.025,46538.0,0,0.0,3.7249999999999996,0.978317,0.021683,7.08875,OK,1,OK,7.155,2.936,0.0516,2.9428,0,0,0,OK,7.0181,2.9809,0.0467,2.9106,0,0,0,OK,7.0269,2.98,0.0615,2.8464,0,0,0,10000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
