label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,scenario_avoid_single_status,scenario_avoid_single_lap_time_est,scenario_avoid_single_avg_progress_mps,scenario_avoid_single_avg_lat_err,scenario_avoid_single_avg_vx,scenario_avoid_single_wall_collisions,scenario_avoid_single_failed_non_speed,scenario_avoid_single_speed_check_pass,scenario_avoid_double_status,scenario_avoid_double_lap_time_est,scenario_avoid_double_avg_progress_mps,scenario_avoid_double_avg_lat_err,scenario_avoid_double_avg_vx,scenario_avoid_double_wall_collisions,scenario_avoid_double_failed_non_speed,scenario_avoid_double_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
Q_LAT=9000,Phase 1: One-at-a-time sensitivity,my_track,1200.0,1300.0,1200.0,0,0.0,solver_maxiter_rate_high,15,3,0,3,0,0,0,11.1591,17,133.289675,2.0123249999999997,0.1966,6.75,1.0961,0.274875,0.5887,0.080925,4.52,1.996525,1.59615,4.4994,2263.4,48985.5,0,0.0,3.775,0.98036225,0.01963775,11.1591,OK,1,OK,13.384,1.6733,0.4121,1.699,0,0,0,OK,8.9042,2.3568,0.1303,2.3286,0,0,0,OK,8.9642,2.3459,0.145,2.2595,0,0,0,9000,3600.0,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=3800,Phase 1: One-at-a-time sensitivity,my_track,1200.0,1300.0,1200.0,0,0.0,solver_maxiter_rate_high,15,3,0,3,0,0,0,11.5078,17,128.23395,1.94405,0.1966,7.5,1.0961,0.274775,0.5661,0.07795,4.56,1.91785,1.6834,4.4994,2305.65,54584.5,0,0.0,3.85,0.9811792500000001,0.01882075,11.5078,OK,1,OK,14.066,1.5454,0.4401,1.5621,0,0,0,OK,8.9942,2.3328,0.1108,2.2942,0,0,0,OK,8.905,2.3526,0.1081,2.253,0,0,0,12000.0,3800,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_VEL=48,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0994,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.914375,12,71.25309999999999,1.187525,0.1966,7.5,1.0961,0.5944,0.5643,0.075225,4.55,1.1495,2.7959750000000003,4.4994,2040.9,53185.8,0,0.0,3.35,0.98739575,0.012604250000000001,8.82875,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0003,1.0943,0.0003,0,1,0,OK,8.8708,2.3634,0.0961,2.3185,0,0,0,OK,8.7867,2.3861,0.0929,2.2789,0,0,0,12000.0,3600.0,48,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_VEL=45,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,504.101875,12,68.59445,1.143175,0.1966,7.25,1.0961,0.6082,0.5623,0.07465,4.6,1.109525,2.846925,4.4994,2094.725,60434.2,0,0.0,3.375,0.9871792500000001,0.012820749999999999,9.20375,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.095,0.0005,0,1,0,OK,9.0992,2.3018,0.11,2.2602,0,0,0,OK,9.3083,2.2695,0.1328,2.1769,0,0,0,12000.0,3600.0,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_YAW=2.1,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.9002,12,71.819525,1.196925,0.1966,8.5,1.0961,0.591775,0.5734,0.0779,4.58,1.159075,2.7851749999999997,4.4994,2087.65,59765.1,0,0.0,3.4499999999999997,0.9873665,0.0126335,8.8004,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0928,0.0004,0,1,0,OK,8.7033,2.4287,0.0849,2.3798,0,0,0,OK,8.8975,2.3576,0.0966,2.2557,0,0,0,12000.0,3600.0,50.0,4.59,2.1,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT_VEL=5.4,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.877925,12,72.25545,1.2042,0.1966,6.5,1.0961,0.5932000000000001,0.573,0.074875,4.59,1.164875,2.7828,4.4994,2115.0,55738.3,0,0.0,3.5,0.9879415,0.0120585,8.755849999999999,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0942,0.0005,0,1,0,OK,8.745,2.415,0.088,2.3659,0,0,0,OK,8.7667,2.4004,0.0964,2.2926,0,0,0,12000.0,3600.0,50.0,5.4,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_YAW=2.4,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.870225,12,72.44992500000001,1.20745,0.1966,7.75,1.0961,0.59155,0.5657,0.077925,4.54,1.168,2.7805,4.4994,2093.875,55964.5,0,0.0,3.4,0.9878165,0.0121835,8.74045,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0919,0.0006,0,1,0,OK,8.7317,2.4192,0.0874,2.3697,0,0,0,OK,8.7492,2.4092,0.095,2.3011,0,0,0,12000.0,3600.0,50.0,4.59,2.4,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT_VEL=4.2,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0984,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.86125,12,72.620925,1.210275,0.1966,9.5,1.0961,0.58875,0.5667,0.08432500000000001,4.57,1.1709749999999999,2.7788000000000004,4.4994,2122.25,66457.6,0,0.0,3.4,0.9877957500000001,0.01220425,8.7225,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0008,1.0879,0.001,0,1,0,OK,8.7025,2.4303,0.0844,2.381,0,0,0,OK,8.7425,2.4092,0.0948,2.3009,0,0,0,12000.0,3600.0,50.0,4.2,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT_VEL=5.0,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.8696,12,72.3567,1.2059,0.1966,9.75,1.0961,0.58995,0.5709,0.08195,4.57,1.166875,2.7809999999999997,4.4994,2160.275,42137.7,0,0.0,3.55,0.9882415,0.0117585,8.7392,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0895,0.0008,0,1,0,OK,8.7067,2.4286,0.0845,2.3795,0,0,0,OK,8.7717,2.3936,0.0963,2.2864,0,0,0,12000.0,3600.0,50.0,5.0,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT_VEL=4.6,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0996,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.868525,12,72.45625,1.2076,0.1966,9.0,1.0961,0.5920500000000001,0.5631,0.075375,4.56,1.1681750000000002,2.78055,4.4994,2198.025,42821.7,0,0.0,3.65,0.9878045,0.0121955,8.73705,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0002,1.0941,0.0002,0,1,0,OK,8.7108,2.4275,0.0846,2.3778,0,0,0,OK,8.7633,2.4025,0.0954,2.2945,0,0,0,12000.0,3600.0,50.0,4.6,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
