label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,scenario_avoid_single_status,scenario_avoid_single_lap_time_est,scenario_avoid_single_avg_progress_mps,scenario_avoid_single_avg_lat_err,scenario_avoid_single_avg_vx,scenario_avoid_single_wall_collisions,scenario_avoid_single_failed_non_speed,scenario_avoid_single_speed_check_pass,scenario_avoid_double_status,scenario_avoid_double_lap_time_est,scenario_avoid_double_avg_progress_mps,scenario_avoid_double_avg_lat_err,scenario_avoid_double_avg_vx,scenario_avoid_double_wall_collisions,scenario_avoid_double_failed_non_speed,scenario_avoid_double_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,WALL_END,WALL_STRIDE,WALL_MARGIN,HORIZON,PRED_DT
L=9000+H=2600+V=42+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.0499,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.00445,5e-05,0.1111,0.0,1.0961,1.09555,0.065,0.059,0.18,0.0001,4.49925,4.4994,1087.875,39112.4,0,0.0,3.125,0.994075,0.005925,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0959,0.0001,0,1,0,EXIT_FAIL,999.0,0.0001,1.0954,0.0001,0,1,0,EXIT_FAIL,999.0,0.0001,1.095,0.0001,0,1,0,9000,2600,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,1,0.2,10,0.034
L=9000+H=2600+V=42+N=12+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,1.0998,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.77455,13,74.077825,1.234625,0.1966,7.5,1.0961,0.5927,0.5786,0.07365000000000001,4.54,1.1967750000000001,2.761775,4.4994,1067.7,42108.4,0,0.0,3.175,0.9895207500000001,0.010479249999999999,8.5491,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0956,0.0001,0,1,0,OK,8.4607,2.4866,0.0796,2.4409,0,0,0,OK,8.6375,2.4517,0.1,2.346,0,0,0,9000,2600,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,12,1,0.2,12,0.032
L=9000+H=2600+V=42+N=25+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.0037500000000000003,5e-05,0.1567,0.0,1.0961,1.095675,0.0642,0.058275,0.22,5e-05,4.49925,4.4994,1142.6,18078.5,0,0.0,3.325,0.9929375,0.0070625,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0954,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0959,0.0,0,1,0,9000,2600,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,25,1,0.2,25,0.04
L=9000+H=2600+V=45+N=19+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.00345,5e-05,0.2136,0.0,1.0961,1.0956000000000001,0.0625,0.058625,0.22,5e-05,4.4993,4.4994,1134.35,33182.1,0,0.0,3.375,0.993529,0.006471,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0953,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0958,0.0,0,1,0,9000,2600,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,19,1,0.2,19,0.04
L=9000+H=2600+V=42+N=19+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.0037500000000000003,5e-05,0.1567,0.0,1.0961,1.095675,0.0642,0.058275,0.22,5e-05,4.49925,4.4994,1148.05,20805.3,0,0.0,3.325,0.9929375,0.0070625,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0954,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0959,0.0,0,1,0,9000,2600,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,19,1,0.2,19,0.04
L=9000+H=2600+V=42+N=31+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.0037500000000000003,5e-05,0.1567,0.0,1.0961,1.095675,0.0642,0.058275,0.22,5e-05,4.49925,4.4994,1146.1,25511.4,0,0.0,3.325,0.9929375,0.0070625,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0954,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0959,0.0,0,1,0,9000,2600,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,31,1,0.2,31,0.04
L=9000+H=2600+V=45+N=25+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.00345,5e-05,0.2136,0.0,1.0961,1.0956000000000001,0.0625,0.058625,0.22,5e-05,4.4993,4.4994,1159.925,19073.3,0,0.0,3.375,0.993529,0.006471,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0953,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0958,0.0,0,1,0,9000,2600,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,25,1,0.2,25,0.04
L=9000+H=2600+V=45+N=31+dt=0.04,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.049725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low|solver_maxiter_rate_high,12,6,3,3,3,2,1,999.0,0,0.00345,5e-05,0.2136,0.0,1.0961,1.0956000000000001,0.0625,0.058625,0.22,5e-05,4.4993,4.4994,1164.325,17575.3,0,0.0,3.375,0.993529,0.006471,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0953,0.0001,0,1,0,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,EXIT_FAIL,999.0,0.0,1.0958,0.0,0,1,0,9000,2600,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,31,1,0.2,31,0.04
L=9000+H=2600+V=45+N=12+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.70375,14,75.088225,1.2514,0.1966,7.0,1.0961,0.5901,0.5804,0.07619999999999999,4.58,1.214325,2.7474250000000002,4.4994,1124.35,37802.5,0,0.0,3.2750000000000004,0.9883625,0.0116375,8.4075,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0935,0.0005,0,1,0,OK,8.3893,2.5074,0.0806,2.4629,0,0,0,OK,8.4257,2.4968,0.0928,2.3934,0,0,0,9000,2600,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,12,1,0.2,12,0.032
L=9000+H=2600+V=48+N=12+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.65535,14,75.810325,1.26345,0.1966,3.75,1.0961,0.589075,0.5854,0.07565,4.58,1.226925,2.733375,4.4994,1177.275,33155.8,0,0.0,3.375,0.9883917499999999,0.01160825,8.3107,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0938,0.0007,0,1,0,OK,8.3,2.5283,0.0775,2.4851,0,0,0,OK,8.3214,2.5241,0.0912,2.4212,0,0,0,9000,2600,48,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,12,1,0.2,12,0.032
