idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
7121,1778515529481658686,0,0,2,-342,1851568,-65214,-27198,1415022,54194,104113,-608,1851568
7122,1778515529486415899,0,0,2,-4369,1851568,-65856,-26052,1420600,49819,95199,-4573,1851568
7123,1778515529491419963,0,0,2,-1040,1851568,-66512,-24906,1426475,45792,87384,-1297,1851568
7124,1778515529496372635,0,0,2,-5620,1851568,-67334,-23134,1430569,41868,76263,-5124,1851568
7125,1778515529501517022,0,0,2,-2905,1851568,-69256,-21445,1434011,38386,67947,-2604,1851568
7126,1778515529506373692,0,0,2,-6143,1851568,-69652,-21163,1437156,35159,58231,-6474,1851568
7127,1778515529511372381,0,0,2,-3432,1851568,-70403,-19512,1440480,32410,50974,-3178,1851568
7128,1778515529516423710,0,0,2,-7472,1851568,-70964,-18611,1444337,29621,39197,-7423,1851568
7129,1778515529521453247,0,0,2,-4093,1851568,-71502,-17773,1448491,27468,29200,-4146,1851568
7130,1778515529526459199,0,0,2,-8441,1851568,-72195,-16289,1451992,25407,15880,-7952,1851568
7131,1778515529531563425,0,0,2,-4509,1851568,-73017,-16612,1455196,23935,4845,-5116,1851568
7132,1778515529536379871,0,0,2,-7708,1851568,-73744,-15230,1458876,22710,-8386,-7838,1851568
7133,1778515529541446977,0,0,2,-5040,1851568,-74260,-14625,1463920,22015,-20431,-5155,1851568
7134,1778515529546369344,0,0,2,-7782,1851568,-74746,-14102,1469439,21526,-35210,-7773,1851568
7135,1778515529551447234,0,0,2,-6493,1851568,-77414,-11007,1475373,21646,-47451,-5151,1851568
7136,1778515529556367841,0,0,2,-9011,1851568,-77425,-12012,1480061,21848,-60484,-9120,1851568
7137,1778515529561451395,0,0,3,-5637,1851568,-78023,-10919,1484749,22709,-68034,-5130,1851568
7138,1778515529566442883,0,0,2,-9718,1851568,-78409,-10564,1490090,23490,-77983,-9171,1851568
7139,1778515529571339650,0,0,3,-6502,1851568,-78964,-9499,1496380,24785,-85190,-5256,1851568
7140,1778515529576346467,0,0,2,-10121,1851568,-79113,-9980,1502492,26005,-95980,-9663,1851568
