idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
12044,1779174395320820157,0,0,1,-92114,823191,40100,-22190,1112316,128920,-482333,-90820,785928
12045,1779174395326180162,0,0,2,-81809,811817,39855,-23075,1112316,129744,-482514,-84098,823191
12046,1779174395331152011,0,0,1,-92427,808439,38435,-20121,1112850,130192,-480821,-89028,811817
12047,1779174395336258398,0,0,1,-83955,789188,38185,-20856,1113265,130877,-475809,-84682,808439
12048,1779174395341365296,0,0,2,-91368,826609,38374,-23272,1113562,131132,-473232,-89507,789188
12049,1779174395346138091,0,0,2,-82927,773218,37626,-22061,1114808,131697,-464250,-83133,826609
12050,1779174395351155255,0,0,2,-91981,790133,37335,-22692,1117004,131727,-464405,-89298,773218
12051,1779174395356151489,0,0,2,-80829,764423,36275,-24572,1118903,132194,-463046,-82572,790133
12052,1779174395361130122,0,0,4,-88173,796209,35985,-25202,1120208,132354,-467897,-87096,764423
12053,1779174395366210715,0,0,4,-78422,754999,35689,-25900,1121632,133083,-470865,-79981,796209
12054,1779174395371148033,0,0,3,-83762,807008,35773,-28259,1122582,133553,-477717,-84772,754999
12055,1779174395376186959,0,0,3,-75978,743155,33517,-26037,1122523,134684,-479170,-76488,807008
12056,1779174395381210332,0,0,3,-83913,787095,32754,-25106,1121810,135388,-484195,-83078,743155
12057,1779174395386154754,0,0,3,-75948,750393,32430,-25822,1121039,136570,-482619,-76350,787095
12058,1779174395391151469,0,0,3,-81073,829413,32536,-28246,1120267,137322,-484983,-82171,750393
12059,1779174395396139639,0,0,3,-74134,769144,31760,-27314,1119674,138587,-478719,-74187,829413
12060,1779174395401134017,0,0,3,-79544,845760,31844,-29691,1119199,139243,-476041,-81089,769144
12061,1779174395406165583,0,0,3,-73253,759704,29374,-26917,1119437,140369,-465721,-72427,845760
12062,1779174395411222910,0,0,3,-79082,836049,29476,-29249,1119377,140723,-461080,-80597,759704
12063,1779174395416147971,0,0,3,-70054,782398,29531,-31464,1119021,141511,-449761,-71480,836049
12064,1779174395421158095,0,0,3,-77122,820256,28757,-30444,1119377,141665,-446391,-77570,782398
12065,1779174395426648605,0,0,3,-71248,738250,26063,-28153,1120564,142226,-444277,-70781,820256
12066,1779174395431138563,0,0,3,-76193,806473,26139,-30155,1121336,142255,-445926,-77629,738250
12067,1779174395436175024,0,0,3,-69904,735562,25402,-29217,1122641,142792,-449426,-70384,806473
12068,1779174395441139129,0,0,3,-74166,807038,25462,-31488,1123887,143021,-457551,-76467,735562
12069,1779174395446140740,0,0,3,-67120,729128,24717,-30627,1125015,143970,-459056,-67888,807038
12070,1779174395451140558,0,0,3,-72869,793536,24363,-31386,1125193,144510,-464255,-74530,729128
12071,1779174395456258850,0,0,3,-66752,729845,21773,-30160,1124837,145604,-462999,-67535,793536
12072,1779174395461177831,0,0,3,-71169,807854,21829,-32442,1124481,146239,-463864,-73249,729845
