idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
23085,1779178009446998321,0,0,5,39532,1851568,6218,-22118,1312893,-54743,416279,39528,1851568
23086,1779178009451606819,0,0,2,39026,1851568,5449,-20234,1312893,-54743,416279,39530,1851568
23087,1779178009456679482,0,0,4,39260,1851568,5116,-20264,1324524,-66999,401077,39581,1851568
23088,1779178009461463438,0,0,4,38617,1851568,4478,-19070,1332001,-72641,393863,39327,1851568
23089,1779178009466457828,0,0,4,37197,1851568,3803,-17824,1332001,-72641,393863,38611,1851568
23090,1779178009471456410,0,0,8,36532,1819186,3121,-16565,1343633,-83796,387195,37635,1851568
23091,1779178009476476432,0,0,3,37893,1795399,2724,-19839,1343633,-83796,387195,36541,1819186
23092,1779178009481502535,0,0,2,39128,1779936,1929,-18553,1347074,-89208,385582,38263,1795399
23093,1779178009486516445,0,0,2,38773,1750194,1144,-17300,1351822,-94365,385512,39408,1779936
23094,1779178009491606292,0,0,2,37496,1645311,182,-15331,1365708,-104439,386717,39011,1750194
23095,1779178009496609163,0,0,3,36880,1556757,974,-17750,1371286,-109419,387986,37490,1645311
23096,1779178009501473375,0,0,2,36201,1519461,-9,-15858,1375500,-114242,389006,36860,1556757
23097,1779178009506462965,0,0,3,35117,1463267,-662,-15125,1379891,-119175,388962,36152,1519461
23098,1779178009511458123,0,0,2,33845,1410272,-1491,-13779,1385054,-124100,387197,35096,1463267
23099,1779178009516453281,0,0,2,32394,1339198,-2319,-12427,1391759,-128994,384793,33840,1410272
23100,1779178009521465048,0,0,2,30995,1281122,-3296,-10511,1398346,-133868,382430,32390,1339198
23101,1779178009526053353,0,0,2,28941,1262464,-4530,-8233,1398346,-133868,382430,31015,1281122
23102,1779178009531564261,0,0,2,27504,1181802,-5409,-6707,1406180,-143464,376649,29178,1262464
23103,1779178009536590076,0,0,3,25734,1135376,-6064,-5923,1406180,-143464,376649,27515,1181802
23104,1779178009541477201,0,0,2,25027,1057855,-6822,-4663,1412767,-152602,364001,26104,1135376
23105,1779178009546486503,0,0,2,23379,1033655,-7450,-3145,1412767,-152602,364001,25008,1057855
