# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
3.246504,-2.556918,-1.012320,1.917619,-1.053774,2.000000,-0.661043,0.695000,0.540000
3.296451,-2.572585,-0.965208,1.866409,-1.017585,2.000000,-0.975497,0.700000,0.540000
3.346397,-2.586213,-0.915912,1.814701,-1.004023,2.000000,-0.956061,0.685000,0.545000
3.396343,-2.596979,-0.867572,1.765307,-0.990602,2.000000,-0.854040,0.690000,0.540000
3.446289,-2.605274,-0.819361,1.717115,-0.983301,2.000000,-0.513793,0.705000,0.535000
3.496236,-2.611464,-0.768484,1.666628,-0.983796,2.000000,-0.507773,0.725000,0.535000
3.546182,-2.614997,-0.719265,1.618421,-0.966749,2.000000,-0.442734,0.750000,0.600000
3.596128,-2.616178,-0.670122,1.570950,-1.005950,2.000000,-0.346768,0.735000,0.610000
3.646074,-2.614870,-0.620042,1.517522,-1.116350,2.000000,-0.343842,0.760000,0.755000
3.696020,-2.610854,-0.570767,1.461114,-1.151457,2.000000,-0.140120,0.775000,0.800000
3.745967,-2.604116,-0.522753,1.398523,-1.487967,2.000000,-0.089279,0.810000,0.800000
3.795913,-2.593712,-0.474338,1.317622,-1.740449,2.000000,-0.056722,0.835000,0.745000
3.845859,-2.578677,-0.425457,1.226971,-1.757402,2.000000,0.171481,0.850000,0.700000
3.895805,-2.561045,-0.381827,1.147577,-1.620523,2.000000,0.172222,0.890000,0.680000
3.945752,-2.538721,-0.337073,1.069645,-1.498279,2.000000,0.172964,0.975000,0.675000
3.995698,-2.511418,-0.291515,0.993116,-1.385049,2.000000,0.420792,0.990000,0.675000
4.045644,-2.484290,-0.252642,0.931077,-1.238635,2.000000,0.434676,1.005000,0.685000
4.095590,-2.453759,-0.214047,0.872841,-1.134924,2.000000,0.439197,0.975000,0.695000
4.145537,-2.419792,-0.175809,0.816720,-1.064504,2.000000,0.506048,0.950000,0.710000
4.195483,-2.383361,-0.139070,0.762931,-1.010148,2.000000,0.769902,0.885000,0.725000
4.245429,-2.347557,-0.106438,0.715818,-0.937943,2.000000,0.783107,0.860000,0.735000
4.295375,-2.309415,-0.074761,0.670767,-0.881839,2.000000,0.796311,0.825000,0.750000
4.345321,-2.269091,-0.044180,0.627268,-0.839324,2.000000,0.809516,0.785000,0.765000
4.395268,-2.226743,-0.014838,0.584866,-0.808439,2.000000,1.465224,0.740000,0.765000
4.445214,-2.185364,0.011423,0.546596,-0.753756,2.000000,1.525358,0.705000,0.780000
4.495160,-2.142569,0.036402,0.510459,-0.706048,2.000000,1.567750,0.685000,0.790000
4.545106,-2.098421,0.060127,0.476117,-0.665534,2.000000,1.610142,0.645000,0.800000
4.595053,-2.053062,0.082576,0.443319,-0.631562,2.000000,2.551730,0.620000,0.825000
4.644999,-2.007355,0.103412,0.412436,-0.592825,2.000000,3.782860,0.590000,0.825000
4.694945,-1.961618,0.122648,0.384208,-0.545619,2.000000,3.982682,0.580000,0.835000
4.744891,-1.915114,0.140737,0.358084,-0.502098,2.041109,4.182503,0.560000,0.855000
4.794837,-1.867956,0.157729,0.333934,-0.462005,2.141010,4.382325,0.535000,0.900000
4.844784,-1.820253,0.173677,0.311638,-0.425049,2.240912,3.753536,0.515000,0.910000
4.894730,-1.772425,0.188536,0.290992,-0.402328,2.323066,3.648408,0.505000,0.890000
4.944676,-1.724354,0.202415,0.271300,-0.385157,2.400226,3.767609,0.490000,0.885000
4.994622,-1.676047,0.215359,0.252422,-0.370151,2.477386,3.886811,0.470000,0.895000
5.044569,-1.627599,0.227384,0.234276,-0.357187,2.554546,3.970489,0.460000,0.935000
5.094515,-1.579046,0.238521,0.216765,-0.346167,2.631031,3.576423,0.445000,0.945000
5.144461,-1.529724,0.248937,0.199569,-0.336104,2.698070,3.666404,0.430000,0.950000
5.194407,-1.480481,0.258470,0.182959,-0.326239,2.765109,3.756386,0.420000,0.955000
5.244353,-1.431351,0.267152,0.166924,-0.316584,2.832148,3.846367,0.410000,0.965000
5.294300,-1.382370,0.275014,0.151453,-0.307146,2.899187,3.835936,0.400000,0.970000
5.344246,-1.332998,0.282166,0.136360,-0.298120,2.964535,3.788170,0.395000,0.975000
5.394192,-1.283090,0.288637,0.121586,-0.288893,3.027685,3.868014,0.375000,0.980000
5.444138,-1.233393,0.294349,0.107379,-0.278981,3.090835,3.947859,0.380000,0.970000
5.494085,-1.183903,0.299341,0.093762,-0.268423,3.153985,4.027704,0.375000,0.975000
5.544031,-1.134617,0.303650,0.080755,-0.257255,3.217135,4.055923,0.360000,0.980000
5.593977,-1.084451,0.307389,0.068148,-0.243787,3.279500,4.129551,0.345000,0.970000
5.643923,-1.034411,0.310503,0.056275,-0.229714,3.341800,4.207262,0.355000,0.955000
5.693869,-0.984588,0.313030,0.045176,-0.215202,3.404101,4.284973,0.340000,0.945000
5.743816,-0.934986,0.315013,0.034861,-0.200271,3.466401,4.379226,0.330000,0.960000
5.793762,-0.885062,0.316510,0.025234,-0.185463,3.528936,4.473004,0.335000,0.980000
5.843708,-0.834867,0.317549,0.016292,-0.170656,3.591686,4.551841,0.320000,0.980000
5.893654,-0.784900,0.318157,0.008144,-0.155360,3.654436,4.630677,0.325000,0.980000
5.943601,-0.735156,0.318376,0.000806,-0.139602,3.717186,4.715095,0.315000,0.970000
5.993547,-0.685438,0.318250,-0.005736,-0.124022,3.780010,4.815664,0.315000,0.970000
6.043493,-0.635204,0.317811,-0.011626,-0.110405,3.843114,4.895392,0.315000,0.960000
