idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
55,1779177350032435859,0,0,1,2880,1851488,27100,-41999,0,0,44,0,1851488,0.0109863,7.0628662,0
56,1779177350037430928,0,0,1,2912,1851488,27100,-41999,0,0,-20,0,1851488,0.0111084,7.0628662,0
57,1779177350042453806,0,0,1,2912,1851488,27100,-41999,0,0,-49,0,1851488,0.0111084,7.0628662,0
58,1779177350047449644,0,0,1,2944,1851488,27100,-42000,0,0,-70,0,1851488,0.0112305,7.0628662,0
59,1779177350052445961,0,0,1,2864,1851488,27100,-42000,0,0,-102,0,1851488,0.0109253,7.0628662,0
60,1779177350057431558,0,0,1,2880,1851488,27100,-42001,0,0,-165,0,1851488,0.0109863,7.0628662,0
61,1779177350062448196,0,0,1,2896,1851488,27100,-42002,0,0,-243,0,1851488,0.0110474,7.0628662,0
62,1779177350067449345,0,0,1,2944,1851488,27100,-42003,0,0,-211,0,1851488,0.0112305,7.0628662,0
63,1779177350072439582,0,0,1,2944,1851488,27100,-42004,0,0,-74,0,1851488,0.0112305,7.0628662,0
64,1779177350077446108,0,0,1,2976,1851488,27100,-42004,0,0,-2,0,1851488,0.0113525,7.0628662,0
65,1779177350082437529,0,0,1,2976,1851488,27100,-42004,0,0,-44,0,1851488,0.0113525,7.0628662,0
66,1779177350087432022,0,0,1,2944,1851488,27100,-42004,0,0,-81,0,1851488,0.0112305,7.0628662,0
67,1779177350092436788,0,0,1,2976,1851488,27100,-42004,0,0,-22,0,1851488,0.0113525,7.0628662,0
68,1779177350097429329,0,0,1,2944,1851488,27100,-42004,0,0,85,0,1851488,0.0112305,7.0628662,0
69,1779177350102442607,0,0,1,3008,1851488,27100,-42003,0,0,139,0,1851488,0.0114746,7.0628662,0
70,1779177350107434668,0,0,1,3040,1851488,27100,-42003,0,0,59,0,1851488,0.0115967,7.0628662,0
71,1779177350112497035,0,0,1,3040,1851488,27100,-42004,0,0,-107,0,1851488,0.0115967,7.0628662,0
72,1779177350117443975,0,0,1,3008,1851488,27100,-42004,0,0,-158,0,1851488,0.0114746,7.0628662,0
73,1779177350122435204,0,0,1,2960,1851488,27100,-42005,0,0,-58,0,1851488,0.0112915,7.0628662,0
