idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
17780,1779177982916258965,1,1,50,87984,-228560,-6426,-119056,592891,29505,476531,102236,150528,0.3356323,-0.8718872,0
17781,1779177982921290764,1,1,50,92112,221536,-6130,-122277,590339,28541,489898,102236,-228560,0.3513794,0.8450928,0
17782,1779177982926287171,1,1,50,89840,-151792,-7315,-119759,588143,27491,504037,102236,221536,0.3427124,-0.5790405,0
17783,1779177982931214649,1,1,50,95440,335904,-8459,-117204,585829,26364,518479,102236,-151792,0.3640747,1.2813721,0
17784,1779177982936198064,1,1,50,90704,-79712,-8195,-120212,583277,25135,532880,102236,335904,0.3460083,-0.3040771,0
17785,1779177982941251559,1,1,50,96768,408512,-9370,-117452,579954,23811,546327,102236,-79712,0.3691406,1.5583496,0
17786,1779177982946184285,1,1,50,93408,109168,-10489,-114702,579954,23811,546327,102236,408512,0.3563232,0.4164429,0
17787,1779177982951388854,1,1,50,98592,456448,-10301,-117394,571231,21028,566340,102236,109168,0.3760986,1.7412109,0
17788,1779177982956227051,1,1,50,93344,226464,-11387,-114626,571231,21028,566340,102236,456448,0.3560791,0.8638916,0
17789,1779177982961204770,1,1,50,96368,484112,-12469,-111751,565475,19724,572255,102236,226464,0.3676147,1.8467407,0
17790,1779177982966320346,1,1,50,93632,486208,-8559,-121486,551054,17211,582535,102236,484112,0.3571777,1.8547363,0
17791,1779177982971274800,1,1,50,93568,467632,-8289,-124023,551054,17211,582535,102236,486208,0.3569336,1.7838745,0
17792,1779177982976392360,1,1,50,94048,601088,-8018,-126425,541382,14973,593736,102236,467632,0.3587646,2.2929688,0
17793,1779177982981192381,1,1,50,91424,569904,-9144,-123550,541382,14973,593736,102236,601088,0.3487549,2.1740112,0
17794,1779177982986185108,1,1,50,91712,668704,-10287,-120537,535863,12936,603422,102236,569904,0.3498535,2.5509033,0
17795,1779177982991241003,1,1,50,89760,676608,-11419,-117471,535863,12936,603422,102236,668704,0.3424072,2.5810547,0
17796,1779177982996240194,1,1,50,89104,712064,-12513,-114436,534379,10969,607209,102236,676608,0.3399048,2.7163086,0
17797,1779177983001329018,1,1,50,88464,730608,-13606,-111352,534379,10969,607209,102236,712064,0.3374634,2.7870483,0
17798,1779177983006204463,1,1,50,88160,631312,-13402,-113733,540076,9181,603394,102236,730608,0.3363037,2.4082642,0
17799,1779177983011139173,1,1,50,89152,540160,-13197,-116039,544942,8362,600957,102236,631312,0.3400879,2.0605469,0
17800,1779177983016294878,1,1,50,91040,543312,-10991,-120713,544942,8362,600957,102236,540160,0.3472900,2.0725708,0
17801,1779177983021178803,1,1,50,90304,496016,-12139,-117796,549630,7547,599219,102236,543312,0.3444824,1.8921509,0
17802,1779177983026185866,1,1,50,91040,490960,-11977,-120107,549155,6853,597252,102236,496016,0.3472900,1.8728638,0
17803,1779177983031173921,1,1,50,91248,676480,-13125,-117151,538236,5777,592483,102236,490960,0.3480835,2.5805664,0
17804,1779177983036170679,1,1,50,88080,747504,-12925,-119417,527139,5467,589902,102236,676480,0.3359985,2.8515015,0
17805,1779177983041264015,1,1,50,86496,864240,-14047,-116424,517348,5293,587704,102236,747504,0.3299561,3.2968140,0
17806,1779177983046220454,1,1,50,84416,869760,-15091,-113521,517348,5293,587704,102236,864240,0.3220215,3.3178711,0
17807,1779177983051227548,1,1,50,83712,1100800,-16106,-110596,500198,5292,584170,102236,869760,0.3193359,4.1992188,0
17808,1779177983056228051,1,1,50,79840,1134000,-15858,-112911,498121,5368,583119,102236,1100800,0.3045654,4.3258667,0
17809,1779177983061225002,1,1,50,79840,1129136,-16865,-110003,500257,5432,582086,102236,1134000,0.3045654,4.3073120,0
17810,1779177983066275649,1,1,50,79840,1009120,-12096,-118149,505717,5454,580460,102236,1129136,0.3045654,3.8494873,0
17811,1779177983071232504,1,1,50,81296,864672,-11767,-120519,513134,5427,577980,102236,1009120,0.3101196,3.2984619,0
17812,1779177983076167630,1,1,50,83120,810560,-12867,-117684,518831,5379,574422,102236,864672,0.3170776,3.0920410,0
17813,1779177983081250469,1,1,50,83664,856736,-13967,-114791,515983,5400,569275,102236,810560,0.3191528,3.2681885,0
17814,1779177983086232060,1,1,50,82624,887120,-15007,-111983,515983,5400,569275,102236,856736,0.3151855,3.3840942,0
17815,1779177983091858138,1,1,50,81760,1032208,-16140,-108834,505301,5775,559657,102236,887120,0.3118896,3.9375610,0
17816,1779177983096392011,1,1,50,79840,1104784,-17024,-106298,503046,6016,559351,102236,1032208,0.3045654,4.2144165,0
17817,1779177983101246593,1,1,50,79840,1120496,-16689,-108915,502690,6262,562533,102236,1104784,0.3045654,4.2743530,0
17818,1779177983106230135,1,1,50,79840,1132336,-17661,-106083,504114,6451,568312,102236,1120496,0.3045654,4.3195190,0
17819,1779177983111188941,1,1,50,79840,1097104,-17317,-108623,505242,6553,573741,102236,1132336,0.3045654,4.1851196,0
17820,1779177983116265061,1,1,50,79840,1140768,-14385,-110123,503224,6607,575262,102236,1097104,0.3045654,4.3516846,0
17821,1779177983121230812,1,1,50,79840,1121952,-13977,-112694,503224,6607,575262,102236,1140768,0.3045654,4.2799072,0
17822,1779177983126267411,1,1,50,79840,1258912,-14972,-109850,495094,6810,564700,102236,1121952,0.3045654,4.8023682,0
17823,1779177983131235881,1,1,50,79840,1383936,-15924,-107077,492365,7032,558256,102236,1258912,0.3045654,5.2792969,0
17824,1779177983136238368,1,1,50,79840,1473648,-15465,-109859,490822,7319,554870,102236,1383936,0.3045654,5.6215210,0
17825,1779177983141231223,1,1,50,79840,1571024,-16411,-107089,488863,7637,554784,102236,1473648,0.3045654,5.9929810,0
17826,1779177983146181997,1,1,50,79840,1661728,-17322,-104334,487202,7942,556476,102236,1571024,0.3045654,6.3389893,0
17827,1779177983151218308,1,1,50,79840,1665184,-16851,-107101,486312,8218,558107,102236,1661728,0.3045654,6.3521729,0
17828,1779177983156174490,1,1,50,79840,1750480,-17755,-104331,484769,8464,558837,102236,1665184,0.3045654,6.6775513,0
17829,1779177983161180689,1,1,50,79840,1850016,-18642,-101531,483582,8695,559357,102236,1750480,0.3045654,7.0572510,0
17830,1779177983166277481,1,1,50,79840,1851488,-15356,-105043,483582,8907,560719,102236,1850016,0.3045654,7.0628662,0
17831,1779177983171229407,1,1,50,79840,1851488,-16235,-102256,482929,9087,562917,102236,1851488,0.3045654,7.0628662,0
17832,1779177983176279799,1,1,50,79840,1851488,-15683,-105079,482217,9239,564903,102236,1851488,0.3045654,7.0628662,0
17833,1779177983181233389,1,1,50,79840,1851488,-16561,-102276,482336,9355,565948,102236,1851488,0.3045654,7.0628662,0
17834,1779177983186187107,1,1,50,79840,1851488,-17414,-99474,482039,9454,565568,102236,1851488,0.3045654,7.0628662,0
17835,1779177983191188666,1,1,50,79840,1851488,-16847,-102347,482098,9550,564108,102236,1851488,0.3045654,7.0628662,0
17836,1779177983196186225,1,1,50,79840,1851488,-17709,-99538,483285,9644,562136,102236,1851488,0.3045654,7.0628662,0
17837,1779177983201244616,1,1,50,79840,1851488,-18557,-96708,483285,9754,559479,102236,1851488,0.3045654,7.0628662,0
17838,1779177983206187518,1,1,50,79840,1851488,-17995,-99604,483167,9881,556286,102236,1851488,0.3045654,7.0628662,0
17839,1779177983211196373,1,1,50,79840,1851488,-18836,-96834,483879,10029,553002,102236,1851488,0.3045654,7.0628662,0
17840,1779177983216245933,1,1,50,79840,1851488,-16459,-99484,483997,10201,550109,102236,1851488,0.3045654,7.0628662,0
17841,1779177983221242179,1,1,50,79840,1851488,-17296,-96744,484294,10387,548248,102236,1851488,0.3045654,7.0628662,0
17842,1779177983226184890,1,1,50,79840,1851488,-18100,-94038,484887,10572,547517,102236,1851488,0.3045654,7.0628662,0
17843,1779177983231185488,1,1,50,79840,1851488,-17539,-96978,484413,10757,547650,102236,1851488,0.3045654,7.0628662,0
17844,1779177983236189735,1,1,50,79840,1851488,-18352,-94235,483879,10929,548118,102236,1851488,0.3045654,7.0628662,0
17845,1779177983241187134,1,1,50,79840,1851488,-17768,-97165,483582,11086,548524,102236,1851488,0.3045654,7.0628662,0
17846,1779177983246188309,1,1,50,79840,1851488,-18578,-94420,482395,11235,548807,102236,1851488,0.3045654,7.0628662,0
17847,1779177983251258668,1,1,50,79840,1851488,-17986,-97284,481980,11375,549353,102236,1851488,0.3045654,7.0628662,0
17848,1779177983256189506,1,1,50,79840,1851488,-18784,-94571,482395,11491,550134,102236,1851488,0.3045654,7.0628662,0
17849,1779177983261241946,1,1,50,79840,1851488,-18167,-97431,482158,11595,550376,102236,1851488,0.3045654,7.0628662,0
17850,1779177983266250193,1,1,50,79840,1851488,-17302,-93622,481802,11690,549886,102236,1851488,0.3045654,7.0628662,0
17851,1779177983271193895,1,1,50,79840,1851488,-18069,-90906,482454,11777,549324,102236,1851488,0.3045654,7.0628662,0
17852,1779177983276252702,1,1,50,79840,1851488,-17509,-93708,482454,11777,549324,102236,1851488,0.3045654,7.0628662,0
17853,1779177983281240885,1,1,50,79840,1851488,-18284,-90962,482870,11945,550493,102236,1851488,0.3045654,7.0628662,0
17854,1779177983286253772,1,1,50,79840,1851488,-17699,-93762,483463,12000,553219,102236,1851488,0.3045654,7.0628662,0
17855,1779177983291205506,1,1,50,79840,1851488,-18470,-91004,483404,12023,557036,102236,1851488,0.3045654,7.0628662,0
17856,1779177983296204089,1,1,50,79840,1851488,-17866,-93745,483463,12003,561234,102236,1851488,0.3045654,7.0628662,0
17857,1779177983301205552,1,1,50,79840,1851488,-18645,-90917,483938,11936,565351,102236,1851488,0.3045654,7.0628662,0
17858,1779177983306190150,1,1,50,79840,1851488,-18032,-93567,483760,11833,569167,102236,1851488,0.3045654,7.0628662,0
17859,1779177983311220189,1,1,50,79840,1851488,-18815,-90686,483879,11695,572749,102236,1851488,0.3045654,7.0628662,0
17860,1779177983316205556,1,1,50,79840,1851488,-17162,-85548,484116,11529,576103,102236,1851488,0.3045654,7.0628662,0
17861,1779177983321246507,1,1,50,79840,1851488,-16571,-88100,483641,11341,578843,102236,1851488,0.3045654,7.0628662,0
17862,1779177983326197154,1,1,50,79840,1851488,-17296,-85224,483701,11142,580952,102236,1851488,0.3045654,7.0628662,0
17863,1779177983331231737,1,1,50,79840,1851488,-16690,-87739,484057,10929,582021,102236,1851488,0.3045654,7.0628662,0
17864,1779177983336350641,1,1,50,79840,1851488,-17438,-84760,484116,10718,581963,102236,1851488,0.3045654,7.0628662,0
