phase,speed_target,avg_speed,avg_ax,ax_std,avg_current,current_std,peak_current,F_net,F_net_std,T_motor_Kt,n_samples
acceleration,1.5,1.295103675103675,1.8056972449476747,2.563765598860868,24.442852852852848,21.82040526331316,70.05,5.984080669756594,8.496319194624917,0.06672898828828827,999
acceleration,2.0,1.714982793007704,2.2279667245233994,2.734642963807703,27.356868327402136,22.182979845344523,70.64,7.383481725070546,9.062606782058728,0.07468425053380782,1124
acceleration,2.5,2.182265413714012,2.2872978226884046,2.6771764531161724,26.468870716510903,21.613534258256294,68.95,7.580104984389373,8.872162765626996,0.07226001705607477,1284
acceleration,3.0,2.493991132834108,2.5698194495702573,2.9981330509837534,30.606574004507888,23.12026751749937,69.74,8.516381655875833,9.935812930960159,0.08355594703230652,1331
braking,1.5,,-0.07369627006338643,,1.7623076923076921,,-25.31,0.24422943899006264,,0.004811099999999999,
braking,2.0,,-4.266490873154127,,-17.49220338983051,,-38.43,14.139150753632777,,-0.04775371525423729,
braking,2.5,,-4.849765015083636,,-20.66205,,-50.95,16.07212125998717,,-0.0564073965,
braking,3.0,,-5.1288497643540305,,-22.288160173160176,,-64.68,16.997008119069257,,-0.06084667727272727,
