timestamp_s,odom_vx,odom_omega,imu_gz,cmd_steering,phase
1.5075183169997217,1.536,0.032853091992166086,-0.02213217735256289,0.3,step_0_LEFT
1.5082653919998847,1.536,0.032853091992166086,-0.08296254460679624,0.3,step_0_LEFT
1.511501853000027,1.536,0.032853091992166086,-0.07901476615302525,0.3,step_0_LEFT
1.51227407999977,1.536,0.032853091992166086,-0.07901476615302525,0.3,step_0_LEFT
1.513896198999646,1.5302222222222222,-0.00189159898752261,-0.07901476615302525,0.3,step_0_LEFT
1.517060594999748,1.5302222222222222,-0.00189159898752261,-0.04999716681379282,0.3,step_0_LEFT
1.51785397499998,1.5302222222222222,-0.00189159898752261,-0.04999716681379282,0.3,step_0_LEFT
1.5194566689997373,1.5282222222222221,-0.0250285491371734,-0.04999716681379282,0.3,step_0_LEFT
1.5228186350000215,1.5282222222222221,-0.0250285491371734,-0.04186139277592569,0.3,step_0_LEFT
1.523643342000014,1.5282222222222221,-0.0250285491371734,-0.04186139277592569,0.3,step_0_LEFT
1.5255257489998257,1.5337777777777777,-0.03251913444015922,-0.04186139277592569,0.3,step_0_LEFT
1.5278319349999947,1.5337777777777777,-0.03251913444015922,-0.04186139277592569,0.3,step_0_LEFT
1.529336900999624,1.5326666666666666,-0.03532181194088916,-0.04186139277592569,0.3,step_0_LEFT
1.5301153359996533,1.5326666666666666,-0.03532181194088916,-0.05114078228133249,0.3,step_0_LEFT
1.5340718639999977,1.5326666666666666,-0.03532181194088916,-0.05114078228133249,0.3,step_0_LEFT
1.5355723499997112,1.529111111111111,-0.04006750304302216,-0.05114078228133249,0.3,step_0_LEFT
1.5362845769996056,1.529111111111111,-0.04006750304302216,-0.009167437911379892,0.3,step_0_LEFT
1.5370971879997342,1.529111111111111,-0.04006750304302216,-0.009167437911379892,0.3,step_0_LEFT
1.5386119459999463,1.5302222222222222,-0.04006750304302216,-0.009167437911379892,0.3,step_0_LEFT
1.5393285569998625,1.5302222222222222,-0.04006750304302216,0.033447526463605444,0.3,step_0_LEFT
1.540928146999704,1.534888888888889,-0.011523980513389001,0.033447526463605444,0.3,step_0_LEFT
1.5416196699998181,1.534888888888889,-0.011523980513389001,0.07272680147037437,0.3,step_0_LEFT
1.5422981689998778,1.534888888888889,-0.011523980513389001,0.07272680147037437,0.3,step_0_LEFT
1.5445760339998742,1.534888888888889,-0.011523980513389001,0.07272680147037437,0.3,step_0_LEFT
1.5460697359999358,1.5306666666666666,0.01375125408174001,0.07272680147037437,0.3,step_0_LEFT
1.5467797229998723,1.5306666666666666,0.01375125408174001,0.09767394633693482,0.3,step_0_LEFT
1.5501191280000057,1.5306666666666666,0.01375125408174001,0.09767394633693482,0.3,step_0_LEFT
1.5514018529997884,1.5297777777777777,0.03892806175829845,0.09767394633693482,0.3,step_0_LEFT
1.552042591999907,1.5297777777777777,0.03892806175829845,0.07361415842321037,0.3,step_0_LEFT
1.5555598539999664,1.5297777777777777,0.03892806175829845,0.07361415842321037,0.3,step_0_LEFT
1.557015699999738,1.534888888888889,0.049333890757772024,0.07361415842321037,0.3,step_0_LEFT
1.5576685339997312,1.534888888888889,0.049333890757772024,0.00557498860516082,0.3,step_0_LEFT
1.5611511399997653,1.534888888888889,0.049333890757772024,0.00557498860516082,0.3,step_0_LEFT
1.562570057999892,1.532888888888889,0.036206220111988666,0.00557498860516082,0.3,step_0_LEFT
1.5632191810000222,1.532888888888889,0.036206220111988666,-0.035134797139360366,0.3,step_0_LEFT
1.5668610509997052,1.532888888888889,0.036206220111988666,-0.038926888860281006,0.3,step_0_LEFT
1.5676124779997735,1.532888888888889,0.036206220111988666,-0.038926888860281006,0.3,step_0_LEFT
1.569193764999909,1.5282222222222221,0.014803914936583954,-0.038926888860281006,0.3,step_0_LEFT
1.5721774889998414,1.5282222222222221,0.014803914936583954,-0.015511560963220507,0.3,step_0_LEFT
1.5729540359998282,1.5282222222222221,0.014803914936583954,-0.015511560963220507,0.3,step_0_LEFT
1.5744257219998872,1.53,-0.001315326202475535,-0.015511560963220507,0.3,step_0_LEFT
1.577893383999708,1.53,-0.001315326202475535,0.027276586904917542,0.3,step_0_LEFT
1.5786577069998202,1.53,-0.001315326202475535,0.027276586904917542,0.3,step_0_LEFT
1.5802083689995925,1.5342222222222222,-0.005574196630699027,0.027276586904917542,0.3,step_0_LEFT
1.5832663009996395,1.5342222222222222,-0.005574196630699027,0.09081499159419255,0.3,step_0_LEFT
