time_s,rpm,motor_current_A,duty_cycle,voltage_V,phase
0.5601,0,0.00,0.0000,11.6,baseline
0.5651,0,0.00,-0.0010,11.6,baseline
0.5701,0,0.00,-0.0010,11.6,baseline
0.5751,0,0.00,-0.0010,11.6,baseline
0.5801,0,0.00,0.0000,11.6,baseline
0.5851,0,0.00,0.0000,11.6,baseline
0.5901,0,0.00,-0.0010,11.6,baseline
0.5951,0,0.00,-0.0010,11.6,baseline
0.6001,0,0.00,-0.0010,11.6,baseline
0.6051,0,0.00,-0.0010,11.6,baseline
0.6101,0,0.00,-0.0010,11.6,baseline
0.6151,0,0.00,-0.0010,11.6,baseline
0.6201,0,0.00,-0.0010,11.6,baseline
0.6251,0,0.00,0.0010,11.6,baseline
0.6301,0,0.00,0.0000,11.6,baseline
0.6351,0,0.00,0.0000,11.6,baseline
0.6401,0,0.00,-0.0010,11.6,baseline
0.6451,0,0.00,-0.0010,11.6,baseline
0.6501,0,0.00,-0.0010,11.6,baseline
0.6551,0,0.00,0.0000,11.6,baseline
0.6601,0,0.00,0.0000,11.6,baseline
0.6651,0,0.00,-0.0010,11.6,baseline
0.6701,0,0.00,-0.0020,11.6,baseline
0.6751,0,0.00,-0.0010,11.6,baseline
0.6801,0,0.00,-0.0010,11.6,baseline
0.6851,0,0.00,0.0000,11.6,baseline
0.6901,0,0.00,-0.0010,11.6,baseline
0.6951,0,0.00,-0.0010,11.6,baseline
0.7001,0,0.00,-0.0010,11.6,baseline
0.7051,0,0.00,-0.0010,11.6,baseline
0.7101,0,0.00,0.0000,11.6,baseline
0.7151,0,0.00,0.0000,11.6,baseline
0.7201,0,0.00,-0.0010,11.6,baseline
0.7251,0,0.00,-0.0020,11.6,baseline
0.7301,0,0.00,-0.0010,11.6,baseline
0.7351,0,0.00,-0.0010,11.6,baseline
0.7401,0,0.00,-0.0010,11.6,baseline
0.7451,0,0.00,-0.0010,11.6,baseline
0.7501,0,0.00,-0.0010,11.6,baseline
0.7551,0,0.00,-0.0010,11.6,baseline
0.7601,0,0.00,0.0000,11.6,baseline
0.7651,0,0.00,-0.0010,11.6,baseline
0.7701,0,0.00,-0.0020,11.6,baseline
0.7751,0,0.00,-0.0010,11.6,baseline
0.7801,0,0.00,-0.0010,11.6,baseline
0.7851,0,0.00,-0.0010,11.6,baseline
0.7901,0,0.00,-0.0010,11.6,baseline
0.7951,0,0.00,0.0000,11.6,baseline
0.8001,0,0.00,0.0000,11.6,baseline
0.8051,0,0.00,0.0000,11.6,baseline
0.8101,0,0.00,-0.0010,11.6,baseline
0.8151,0,0.00,-0.0010,11.6,baseline
0.8201,0,0.00,0.0000,11.6,baseline
0.8251,0,0.00,-0.0010,11.6,baseline
0.8301,0,0.00,-0.0010,11.6,baseline
0.8351,0,0.00,-0.0020,11.6,baseline
0.8401,0,0.00,0.0000,11.6,baseline
0.8451,0,0.00,-0.0010,11.6,baseline
0.8501,0,0.00,-0.0010,11.6,baseline
0.8551,0,0.00,0.0000,11.6,baseline
0.8601,0,0.00,0.0000,11.6,baseline
0.8651,0,0.00,0.0000,11.6,baseline
0.8701,0,0.00,-0.0010,11.6,baseline
0.8751,0,0.00,0.0000,11.6,baseline
0.8801,0,0.00,0.0000,11.6,baseline
0.8851,0,0.00,0.0000,11.6,baseline
0.8901,0,0.00,-0.0020,11.6,baseline
0.8951,0,0.00,-0.0010,11.6,baseline
0.9001,0,0.00,0.0000,11.6,baseline
0.9051,0,0.00,0.0000,11.6,baseline
0.9101,0,0.00,-0.0010,11.6,baseline
0.9151,0,0.00,-0.0010,11.6,baseline
0.9201,0,0.00,-0.0010,11.6,baseline
0.9251,0,0.00,-0.0010,11.6,baseline
0.9301,0,0.00,-0.0010,11.6,baseline
0.9351,0,0.00,0.0000,11.6,baseline
0.9401,0,0.00,0.0000,11.6,baseline
0.9451,0,0.00,-0.0010,11.6,baseline
0.9501,0,0.00,0.0010,11.6,baseline
0.9551,0,0.00,-0.0010,11.6,baseline
0.9601,0,0.00,-0.0010,11.6,baseline
0.9651,0,0.00,0.0000,11.6,baseline
0.9701,0,0.00,-0.0010,11.6,baseline
0.9751,0,0.00,0.0000,11.6,baseline
0.9801,0,0.00,-0.0010,11.6,baseline
0.9851,0,0.00,-0.0010,11.6,baseline
0.9901,0,0.00,0.0000,11.6,baseline
0.9951,0,0.00,-0.0010,11.6,baseline
1.0001,0,0.00,-0.0010,11.6,baseline
1.0051,0,0.00,0.0010,11.6,baseline
1.0101,0,0.00,-0.0010,11.6,baseline
1.0151,0,0.00,-0.0010,11.6,baseline
1.0201,0,0.00,-0.0010,11.6,baseline
1.0251,0,0.00,-0.0010,11.6,baseline
1.0301,0,0.00,0.0000,11.6,baseline
1.0351,0,0.00,0.0000,11.6,baseline
1.0401,0,0.00,-0.0010,11.6,baseline
1.0451,0,0.00,0.0000,11.6,baseline
1.0501,0,0.00,-0.0010,11.6,baseline
1.0551,0,0.00,-0.0010,11.6,baseline
1.0601,0,0.00,0.0000,11.6,baseline
1.0651,0,0.00,-0.0010,11.6,baseline
