idx,stamp_sec,stamp_nsec,stamp_ns,x_fp,y_fp,theta_fp,velocity_fp,vy_fp,omega_fp,steering_angle_fp,horizon_length_msg,ref_ey_fp_0,ref_ey_fp_1,ref_ey_fp_2,ref_ey_fp_3,ref_ey_fp_4,ref_ey_fp_5,ref_ey_fp_6,ref_ey_fp_7,ref_ey_fp_8,ref_ey_fp_9,ref_ey_fp_10,ref_ey_fp_11,ref_ey_fp_12,ref_ey_fp_13,ref_ey_fp_14,ref_ey_fp_15,ref_ey_fp_16,ref_ey_fp_17,ref_ey_fp_18,ref_ey_fp_19,ref_epsi_fp_0,ref_epsi_fp_1,ref_epsi_fp_2,ref_epsi_fp_3,ref_epsi_fp_4,ref_epsi_fp_5,ref_epsi_fp_6,ref_epsi_fp_7,ref_epsi_fp_8,ref_epsi_fp_9,ref_epsi_fp_10,ref_epsi_fp_11,ref_epsi_fp_12,ref_epsi_fp_13,ref_epsi_fp_14,ref_epsi_fp_15,ref_epsi_fp_16,ref_epsi_fp_17,ref_epsi_fp_18,ref_epsi_fp_19,ref_x_fp_0,ref_x_fp_1,ref_x_fp_2,ref_x_fp_3,ref_x_fp_4,ref_x_fp_5,ref_x_fp_6,ref_x_fp_7,ref_x_fp_8,ref_x_fp_9,ref_x_fp_10,ref_x_fp_11,ref_x_fp_12,ref_x_fp_13,ref_x_fp_14,ref_x_fp_15,ref_x_fp_16,ref_x_fp_17,ref_x_fp_18,ref_x_fp_19,ref_y_fp_0,ref_y_fp_1,ref_y_fp_2,ref_y_fp_3,ref_y_fp_4,ref_y_fp_5,ref_y_fp_6,ref_y_fp_7,ref_y_fp_8,ref_y_fp_9,ref_y_fp_10,ref_y_fp_11,ref_y_fp_12,ref_y_fp_13,ref_y_fp_14,ref_y_fp_15,ref_y_fp_16,ref_y_fp_17,ref_y_fp_18,ref_y_fp_19,ref_psi_fp_0,ref_psi_fp_1,ref_psi_fp_2,ref_psi_fp_3,ref_psi_fp_4,ref_psi_fp_5,ref_psi_fp_6,ref_psi_fp_7,ref_psi_fp_8,ref_psi_fp_9,ref_psi_fp_10,ref_psi_fp_11,ref_psi_fp_12,ref_psi_fp_13,ref_psi_fp_14,ref_psi_fp_15,ref_psi_fp_16,ref_psi_fp_17,ref_psi_fp_18,ref_psi_fp_19,ref_vx_fp_0,ref_vx_fp_1,ref_vx_fp_2,ref_vx_fp_3,ref_vx_fp_4,ref_vx_fp_5,ref_vx_fp_6,ref_vx_fp_7,ref_vx_fp_8,ref_vx_fp_9,ref_vx_fp_10,ref_vx_fp_11,ref_vx_fp_12,ref_vx_fp_13,ref_vx_fp_14,ref_vx_fp_15,ref_vx_fp_16,ref_vx_fp_17,ref_vx_fp_18,ref_vx_fp_19,ref_vy_fp_0,ref_vy_fp_1,ref_vy_fp_2,ref_vy_fp_3,ref_vy_fp_4,ref_vy_fp_5,ref_vy_fp_6,ref_vy_fp_7,ref_vy_fp_8,ref_vy_fp_9,ref_vy_fp_10,ref_vy_fp_11,ref_vy_fp_12,ref_vy_fp_13,ref_vy_fp_14,ref_vy_fp_15,ref_vy_fp_16,ref_vy_fp_17,ref_vy_fp_18,ref_vy_fp_19,ref_omega_ref_fp_0,ref_omega_ref_fp_1,ref_omega_ref_fp_2,ref_omega_ref_fp_3,ref_omega_ref_fp_4,ref_omega_ref_fp_5,ref_omega_ref_fp_6,ref_omega_ref_fp_7,ref_omega_ref_fp_8,ref_omega_ref_fp_9,ref_omega_ref_fp_10,ref_omega_ref_fp_11,ref_omega_ref_fp_12,ref_omega_ref_fp_13,ref_omega_ref_fp_14,ref_omega_ref_fp_15,ref_omega_ref_fp_16,ref_omega_ref_fp_17,ref_omega_ref_fp_18,ref_omega_ref_fp_19,ref_kappa_fp_0,ref_kappa_fp_1,ref_kappa_fp_2,ref_kappa_fp_3,ref_kappa_fp_4,ref_kappa_fp_5,ref_kappa_fp_6,ref_kappa_fp_7,ref_kappa_fp_8,ref_kappa_fp_9,ref_kappa_fp_10,ref_kappa_fp_11,ref_kappa_fp_12,ref_kappa_fp_13,ref_kappa_fp_14,ref_kappa_fp_15,ref_kappa_fp_16,ref_kappa_fp_17,ref_kappa_fp_18,ref_kappa_fp_19,ref_left_bound_fp_0,ref_left_bound_fp_1,ref_left_bound_fp_2,ref_left_bound_fp_3,ref_left_bound_fp_4,ref_left_bound_fp_5,ref_left_bound_fp_6,ref_left_bound_fp_7,ref_left_bound_fp_8,ref_left_bound_fp_9,ref_left_bound_fp_10,ref_left_bound_fp_11,ref_left_bound_fp_12,ref_left_bound_fp_13,ref_left_bound_fp_14,ref_left_bound_fp_15,ref_left_bound_fp_16,ref_left_bound_fp_17,ref_left_bound_fp_18,ref_left_bound_fp_19,ref_right_bound_fp_0,ref_right_bound_fp_1,ref_right_bound_fp_2,ref_right_bound_fp_3,ref_right_bound_fp_4,ref_right_bound_fp_5,ref_right_bound_fp_6,ref_right_bound_fp_7,ref_right_bound_fp_8,ref_right_bound_fp_9,ref_right_bound_fp_10,ref_right_bound_fp_11,ref_right_bound_fp_12,ref_right_bound_fp_13,ref_right_bound_fp_14,ref_right_bound_fp_15,ref_right_bound_fp_16,ref_right_bound_fp_17,ref_right_bound_fp_18,ref_right_bound_fp_19,e_y_fp,e_psi_fp
84,1779177350,177446664,1779177350177446664,0,0,0,0,0,92,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454766,461959,469362,476982,484824,492903,501189,509629,518049,526400,534239,541772,549304,556833,564342,571823,579264,586655,593988,601248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179550,-237624,-229591,-221729,-213210,-204538,-196456,-190211,-185914,-181899,-177389,-173491,-170069,-166599,-163552,-161058,-158005,-156310,-154328,-152655,-103500,-134842,-128229,-121860,-115283,-108781,-102755,-97841,-94076,-90585,-87042,-83946,-81162,-78431,-75972,-73835,-71504,-69846,-68110,-66558,209715,205518,203934,201851,193987,193898,188744,188744,184403,183501,183320,179932,180879,183096,179436,180879,183501,180879,188032,186122,262144,262144,270008,270008,267849,264765,268015,268839,264765,264765,264765,264765,264132,262144,262144,259523,259523,257584,257613,254280,27100,-42003
85,1779177350,182428965,1779177350182428965,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454913,462111,469519,477144,484991,493077,501368,509813,518239,526595,534437,541974,549512,557045,564559,572044,579490,586886,594224,601488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179609,-237699,-229661,-221792,-213268,-204590,-196504,-190263,-185962,-181950,-177437,-173529,-170108,-166641,-163584,-161100,-158043,-156347,-154367,-152704,-103500,-134840,-128225,-121853,-115274,-108770,-102744,-97833,-94066,-90576,-87034,-83933,-81150,-78421,-75958,-73825,-71494,-69835,-68100,-66552,209715,205516,203930,201851,193987,193876,188744,188744,184368,183501,183276,179956,180879,183125,179467,180879,183501,180879,188112,186122,262144,262144,270008,270008,267831,264765,268041,268808,264765,264765,264765,264765,264105,262144,262144,259523,259523,257621,257533,254280,27100,-42003
86,1779177350,187455171,1779177350187455171,0,0,0,0,0,-18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455061,462263,469676,477306,485159,493250,501547,509998,518429,526790,534635,542177,549720,557257,564776,572266,579716,587117,594459,601727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179667,-237773,-229731,-221855,-213326,-204641,-196552,-190315,-186010,-182000,-177484,-173567,-170148,-166684,-163617,-161141,-158082,-156384,-154406,-152753,-103500,-134838,-128221,-121846,-115265,-108759,-102732,-97824,-94056,-90568,-87025,-83920,-81138,-78411,-75944,-73816,-71484,-69824,-68090,-66547,209715,205513,203925,201851,193987,193854,188744,188744,184332,183501,183232,179981,180879,183154,179498,180879,183501,180879,188192,186122,262144,262144,270008,270008,267814,264765,268068,268777,264765,264765,264765,264765,264079,262144,262144,259523,259523,257659,257453,254280,27100,-42003
87,1779177350,192435359,1779177350192435359,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455209,462416,469834,477469,485327,493424,501727,510183,518619,526985,534833,542380,549928,557470,564994,572489,579944,587348,594695,601968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179725,-237848,-229801,-221918,-213384,-204692,-196600,-190367,-186057,-182050,-177532,-173606,-170187,-166726,-163649,-161183,-158121,-156421,-154445,-152802,-103500,-134836,-128217,-121839,-115257,-108748,-102720,-97815,-94046,-90559,-87016,-83907,-81126,-78401,-75929,-73806,-71473,-69813,-68080,-66542,209715,205511,203921,201851,193987,193832,188744,188744,184297,183501,183187,180005,180879,183183,179529,180879,183501,180879,188272,186122,262144,262144,270008,270008,267796,264765,268095,268746,264765,264765,264765,264765,264052,262144,262144,259523,259523,257697,257373,254280,27100,-42003
88,1779177350,197442749,1779177350197442749,0,0,0,0,0,35,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455356,462568,469991,477631,485495,493597,501905,510367,518809,527180,535031,542583,550135,557683,565211,572710,580170,587579,594930,602207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179784,-237923,-229871,-221981,-213441,-204743,-196648,-190419,-186105,-182101,-177580,-173644,-170226,-166768,-163681,-161224,-158159,-156458,-154484,-152851,-103500,-134834,-128214,-121832,-115248,-108737,-102709,-97806,-94035,-90551,-87007,-83894,-81114,-78391,-75915,-73796,-71463,-69803,-68070,-66537,209715,205509,203916,201851,193987,193810,188744,188744,184261,183501,183143,180030,180879,183212,179560,180879,183501,180879,188351,186122,262144,262144,270008,270008,267778,264765,268121,268715,264765,264765,264765,264765,264025,262144,262144,259523,259523,257734,257293,254280,27100,-42003
89,1779177350,202457723,1779177350202457723,0,0,0,0,0,34,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455504,462720,470148,477793,485662,493770,502085,510552,518999,527376,535229,542786,550343,557895,565428,572932,580397,587810,595166,602447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179842,-237998,-229941,-222044,-213499,-204794,-196696,-190470,-186153,-182151,-177628,-173682,-170265,-166810,-163713,-161266,-158198,-156495,-154523,-152900,-103500,-134832,-128210,-121825,-115240,-108726,-102697,-97797,-94025,-90542,-86999,-83881,-81102,-78381,-75901,-73787,-71452,-69792,-68060,-66532,209715,205507,203912,201851,193987,193788,188744,188744,184226,183501,183099,180054,180879,183240,179591,180879,183501,180879,188431,186122,262144,262144,270008,270008,267760,264765,268148,268684,264765,264765,264765,264765,263999,262144,262144,259523,259523,257772,257214,254280,27100,-42002
90,1779177350,207480089,1779177350207480089,0,0,0,0,0,-49,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455651,462873,470306,477956,485830,493944,502264,510736,519189,527571,535427,542989,550551,558108,565646,573154,580623,588042,595402,602687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179900,-238073,-230011,-222106,-213557,-204845,-196744,-190522,-186201,-182201,-177676,-173720,-170304,-166853,-163745,-161307,-158237,-156532,-154561,-152949,-103500,-134830,-128206,-121818,-115231,-108715,-102686,-97789,-94015,-90534,-86990,-83868,-81090,-78371,-75886,-73777,-71442,-69781,-68050,-66526,209715,205505,203907,201851,193987,193765,188744,188744,184190,183501,183055,180078,180879,183269,179622,180879,183501,180879,188511,186122,262144,262144,270008,270008,267743,264765,268175,268653,264765,264765,264765,264765,263972,262144,262144,259523,259523,257810,257134,254280,27100,-42003
91,1779177350,212452085,1779177350212452085,0,0,0,0,0,-195,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455799,463025,470463,478119,485998,494117,502443,510921,519380,527767,535625,543192,550759,558321,565863,573377,580851,588273,595638,602927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179959,-238148,-230081,-222169,-213615,-204896,-196792,-190574,-186249,-182252,-177724,-173758,-170344,-166895,-163778,-161349,-158276,-156569,-154600,-152997,-103500,-134828,-128202,-121812,-115222,-108704,-102674,-97780,-94004,-90525,-86981,-83855,-81078,-78361,-75872,-73768,-71431,-69770,-68041,-66521,209715,205502,203903,201851,193987,193743,188744,188744,184155,183501,183010,180103,180879,183298,179653,180879,183501,180879,188591,186122,262144,262144,270008,270008,267725,264765,268201,268622,264765,264765,264765,264765,263945,262144,262144,259523,259523,257847,257054,254280,27100,-42004
92,1779177350,217437106,1779177350217437106,0,0,0,0,0,-315,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455947,463177,470620,478281,486166,494290,502622,511106,519570,527961,535823,543394,550966,558533,566080,573599,581077,588504,595873,603167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180017,-238223,-230151,-222232,-213673,-204947,-196840,-190626,-186296,-182302,-177771,-173796,-170383,-166937,-163810,-161390,-158314,-156606,-154639,-153046,-103500,-134827,-128198,-121805,-115214,-108693,-102662,-97771,-93994,-90517,-86972,-83843,-81066,-78351,-75858,-73758,-71421,-69759,-68031,-66516,209715,205500,203899,201851,193987,193721,188744,188744,184119,183501,182966,180127,180879,183327,179684,180879,183501,180879,188670,186122,262144,262144,270008,270008,267707,264765,268228,268591,264765,264765,264765,264765,263919,262144,262144,259523,259523,257885,256974,254280,27100,-42005
93,1779177350,222438864,1779177350222438864,0,0,0,0,0,-304,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456094,463330,470777,478443,486333,494463,502801,511290,519759,528156,536020,543597,551174,558745,566298,573820,581303,588735,596108,603406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180075,-238297,-230221,-222295,-213730,-204998,-196888,-190677,-186344,-182352,-177819,-173834,-170422,-166979,-163842,-161431,-158353,-156643,-154677,-153095,-103500,-134825,-128194,-121798,-115205,-108682,-102651,-97762,-93984,-90508,-86964,-83830,-81054,-78341,-75844,-73748,-71411,-69748,-68021,-66511,209715,205498,203894,201851,193987,193699,188744,188744,184084,183501,182922,180152,180879,183356,179715,180879,183501,180879,188740,186122,262144,262144,270008,270008,267690,264765,268254,268560,264765,264765,264765,264765,263892,262144,262144,259523,259523,257923,256904,254280,27100,-42007
94,1779177350,227444941,1779177350227444941,0,0,0,0,0,-190,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456241,463482,470934,478605,486501,494637,502979,511475,519949,528351,536218,543800,551381,558958,566515,574042,581530,588966,596344,603646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180133,-238372,-230291,-222357,-213788,-205049,-196935,-190729,-186392,-182403,-177867,-173872,-170461,-167021,-163874,-161473,-158391,-156680,-154710,-153144,-103500,-134823,-128191,-121791,-115197,-108670,-102639,-97754,-93973,-90500,-86955,-83817,-81043,-78331,-75830,-73739,-71400,-69737,-68008,-66505,209715,205496,203890,201851,193987,193677,188744,188744,184049,183501,182878,180176,180879,183384,179746,180879,183501,180879,188701,186122,262144,262144,270008,270008,267672,264765,268281,268529,264765,264765,264765,264765,263866,262144,262144,259523,259523,257960,256944,254280,27100,-42008
95,1779177350,232444331,1779177350232444331,0,0,0,0,0,-121,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456389,463634,471091,478767,486668,494810,503158,511659,520139,528547,536416,544003,551589,559170,566732,574264,581757,589197,596579,603886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180191,-238447,-230361,-222420,-213846,-205100,-196983,-190781,-186439,-182453,-177915,-173910,-170500,-167063,-163906,-161514,-158430,-156717,-154744,-153193,-103500,-134821,-128187,-121784,-115188,-108659,-102628,-97745,-93963,-90491,-86946,-83804,-81031,-78321,-75815,-73729,-71390,-69726,-67996,-66500,209715,205493,203885,201851,193987,193655,188744,188744,184013,183501,182833,180200,180879,183413,179777,180879,183501,180879,188661,186122,262144,262144,270008,270008,267654,264765,268308,268498,264765,264765,264765,264765,263839,262144,262144,259523,259523,257998,256984,254280,27100,-42008
96,1779177350,237445512,1779177350237445512,0,0,0,0,0,-148,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456537,463786,471249,478929,486836,494983,503337,511844,520329,528742,536614,544205,551797,559383,566949,574486,581983,589428,596815,604126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180250,-238521,-230431,-222483,-213903,-205151,-197031,-190832,-186487,-182503,-177962,-173948,-170539,-167105,-163938,-161556,-158469,-156754,-154777,-153242,-103500,-134819,-128183,-121777,-115179,-108648,-102616,-97736,-93953,-90483,-86937,-83791,-81019,-78311,-75801,-73719,-71379,-69715,-67984,-66495,209715,205491,203881,201851,193987,193633,188744,188744,183978,183501,182789,180225,180879,183442,179808,180879,183501,180879,188621,186122,262144,262144,270008,270008,267636,264765,268334,268467,264765,264765,264765,264765,263813,262144,262144,259523,259523,258035,257024,254280,27100,-42009
97,1779177350,242439269,1779177350242439269,0,0,0,0,0,-178,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456684,463938,471406,479092,487004,495157,503516,512029,520519,528937,536812,544408,552005,559596,567167,574708,582210,589659,597050,604366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180308,-238596,-230501,-222546,-213961,-205202,-197079,-190884,-186535,-182553,-178010,-173986,-170578,-167147,-163970,-161597,-158507,-156791,-154810,-153290,-103500,-134817,-128179,-121770,-115171,-108637,-102605,-97727,-93943,-90474,-86929,-83778,-81007,-78301,-75787,-73710,-71369,-69704,-67972,-66490,209715,205489,203876,201851,193987,193611,188744,188744,183942,183501,182745,180249,180879,183471,179839,180879,183501,180879,188581,186122,262144,262144,270008,270008,267619,264765,268361,268436,264765,264765,264765,264765,263786,262144,262144,259523,259523,258073,257064,254280,27100,-42010
98,1779177350,247443907,1779177350247443907,0,0,0,0,0,-121,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456833,464092,471564,479255,487173,495331,503697,512214,520711,529134,537011,544613,552214,559810,567386,574932,582438,589892,597288,604607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180367,-238672,-230571,-222609,-214019,-205253,-197127,-190936,-186583,-182604,-178058,-174024,-170618,-167190,-164002,-161639,-158546,-156828,-154843,-153340,-103500,-134815,-128175,-121763,-115162,-108626,-102593,-97718,-93932,-90466,-86920,-83765,-80995,-78291,-75772,-73700,-71358,-69693,-67959,-66485,209715,205487,203872,201851,193987,193588,188744,188744,183907,183501,182700,180274,180879,183500,179871,180879,183501,180879,188541,186122,262144,262144,270008,270008,267601,264765,268388,268405,264765,264765,264765,264765,263759,262144,262144,259523,259523,258111,257104,254280,27100,-42010
99,1779177350,252437216,1779177350252437216,0,0,0,0,0,-40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457127,464395,471877,479579,487507,495677,504054,512582,521089,529523,537406,545017,552628,560233,567819,575375,582890,590353,597757,605086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180483,-238821,-230711,-222734,-214134,-205355,-197222,-191039,-186678,-182704,-178153,-174100,-170695,-167282,-164066,-161721,-158623,-156901,-154910,-153437,-103500,-134811,-128168,-121749,-115145,-108604,-102570,-97701,-93912,-90449,-86902,-83739,-80971,-78274,-75744,-73681,-71338,-69671,-67935,-66474,209715,205482,203863,201851,193987,193544,188744,188744,183836,183501,182612,180322,180879,183501,179932,180879,183501,180879,188462,186122,262144,262144,270008,270008,267566,264765,268441,268343,264765,264765,264765,264765,263706,262144,262144,259523,259523,258186,257183,254280,27100,-42011
100,1779177350,257433245,1779177350257433245,0,0,0,0,0,32,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457127,464395,471877,479579,487507,495677,504054,512582,521089,529523,537406,545017,552628,560233,567819,575375,582890,590353,597757,605086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180483,-238821,-230711,-222734,-214134,-205355,-197222,-191039,-186678,-182704,-178153,-174100,-170695,-167282,-164066,-161721,-158623,-156901,-154910,-153437,-103500,-134811,-128168,-121749,-115145,-108604,-102570,-97701,-93912,-90449,-86902,-83739,-80971,-78274,-75744,-73681,-71338,-69671,-67935,-66474,209715,205482,203863,201851,193987,193544,188744,188744,183836,183501,182612,180322,180879,183501,179932,180879,183501,180879,188462,186122,262144,262144,270008,270008,267566,264765,268441,268343,264765,264765,264765,264765,263706,262144,262144,259523,259523,258186,257183,254280,27100,-42010
101,1779177350,262446779,1779177350262446779,0,0,0,0,0,175,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457274,464547,472034,479741,487675,495850,504232,512767,521279,529718,537603,545220,552835,560446,568037,575597,583117,590584,597992,605326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180541,-238895,-230780,-222797,-214192,-205406,-197270,-191091,-186725,-182754,-178201,-174138,-170734,-167328,-164098,-161762,-158662,-156938,-154943,-153486,-103500,-134809,-128164,-121742,-115136,-108593,-102558,-97692,-93901,-90440,-86894,-83726,-80959,-78266,-75730,-73671,-71327,-69661,-67923,-66469,209715,205480,203859,201851,193987,193522,188744,188744,183801,183501,182568,180346,180879,183501,179963,180879,183501,180879,188422,186122,262144,262144,270008,270008,267548,264765,268467,268312,264765,264765,264765,264765,263680,262144,262144,259523,259523,258224,257223,254280,27100,-42010
