# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
1.340159,2.819890,0.052259,-0.251289,-0.142758,5.774118,4.089875,1.150387,1.104420
1.360161,2.839271,0.047235,-0.254421,-0.142885,5.787894,4.120693,1.160000,1.089609
1.380163,2.859129,0.042033,-0.257838,-0.146612,5.801518,4.118612,1.161181,1.079213
1.400166,2.879504,0.036647,-0.261734,-0.155637,5.815052,4.069845,1.190201,1.060201
1.420168,2.900363,0.031079,-0.266301,-0.171032,5.828466,3.964510,1.195204,1.065204
1.440170,2.919652,0.025782,-0.269750,-0.170642,5.841875,3.956710,1.200413,1.069587
1.460173,2.938922,0.020420,-0.273146,-0.170207,5.855162,3.942769,1.210416,1.060000
1.480175,2.958173,0.014991,-0.276589,-0.169766,5.868369,3.918227,1.220211,1.059366
1.500177,2.977406,0.009498,-0.280025,-0.169322,5.881485,3.882646,1.225214,1.044357
1.520180,2.996620,0.003937,-0.283390,-0.168515,5.894597,3.835476,1.230434,1.030000
1.540182,3.015815,-0.001690,-0.286720,-0.167669,5.907611,3.775463,1.240000,1.030000
1.560185,3.034992,-0.007378,-0.290066,-0.167260,5.920561,3.702105,1.240443,1.030443
1.580187,3.054149,-0.013131,-0.293428,-0.166682,5.933460,3.614318,1.250898,1.039326
1.600189,3.073286,-0.018949,-0.296747,-0.165932,5.946289,3.514053,1.270909,1.024318
1.620192,3.092405,-0.024830,-0.300074,-0.165343,5.959092,3.401740,1.290000,1.009540
1.640194,3.111503,-0.030773,-0.303387,-0.164761,5.971237,3.278911,1.290465,0.999535
1.660196,3.130583,-0.036780,-0.306643,-0.164134,5.981247,3.148017,1.299530,0.989060
1.680199,3.149642,-0.042849,-0.309934,-0.163507,5.990861,3.008906,1.290238,0.970238
1.700201,3.168681,-0.048981,-0.313211,-0.162896,5.999924,2.864997,1.295241,0.975241
1.720203,3.187701,-0.055174,-0.316459,-0.162409,6.008959,2.719044,1.301460,0.978540
1.740206,3.206699,-0.061431,-0.319691,-0.161601,6.017415,2.571880,1.330000,0.949755
1.760208,3.225678,-0.067748,-0.322928,-0.160956,6.025326,2.426383,1.330000,0.944751
1.780211,3.244636,-0.074126,-0.326151,-0.160331,6.033207,2.284711,1.330503,0.939497
1.800213,3.263574,-0.080563,-0.329345,-0.159834,6.040522,2.149091,1.340509,0.930000
1.820215,3.282491,-0.087064,-0.332522,-0.159026,6.047454,2.019277,1.350000,0.929488
1.840218,3.301387,-0.093624,-0.335703,-0.158388,6.053995,1.896732,1.350517,0.919741
1.860220,3.320263,-0.100242,-0.338856,-0.157888,6.059995,1.782006,1.360525,0.914738
1.880222,3.339117,-0.106921,-0.342022,-0.157248,6.065964,1.672506,1.370531,0.909469
1.900225,3.357950,-0.113660,-0.345174,-0.156619,6.071370,1.567224,1.380533,0.898933
1.920227,3.376762,-0.120458,-0.348281,-0.155853,6.076396,1.462969,1.390538,0.879462
1.940229,3.395553,-0.127313,-0.351380,-0.155369,6.081034,1.355419,1.401092,0.870273
1.960232,3.414322,-0.134227,-0.354493,-0.154757,6.085131,1.240257,1.421101,0.875275
1.980234,3.433070,-0.141199,-0.357593,-0.154178,6.089197,1.124988,1.440555,0.879445
2.000237,3.451797,-0.148227,-0.360664,-0.153728,6.092692,1.010169,1.450280,0.869161
2.020239,3.470501,-0.155316,-0.363720,-0.152988,6.095653,0.895165,1.455284,0.854147
2.040241,3.489184,-0.162460,-0.366782,-0.152415,6.098580,0.779371,1.460577,0.839423
2.060244,3.507845,-0.169661,-0.369830,-0.151869,6.100947,0.663537,1.470577,0.829423
2.080246,3.526484,-0.176920,-0.372823,-0.151303,6.102924,0.549178,1.480000,0.820290
2.100248,3.545101,-0.184234,-0.375848,-0.150758,6.104365,0.432920,1.480000,0.825295
2.120251,3.563696,-0.191604,-0.378862,-0.150250,6.105771,0.316587,1.480600,0.828200
2.140253,3.582270,-0.199029,-0.381849,-0.149884,6.106606,0.200697,1.490599,0.799700
2.160255,3.600820,-0.206511,-0.384851,-0.149394,6.106903,0.083580,1.500605,0.794698
2.180258,3.619348,-0.214049,-0.387813,-0.148791,6.107166,-0.032619,1.511831,0.789390
2.200260,3.637854,-0.221639,-0.390770,-0.148470,6.106867,-0.149022,1.540621,0.780000
2.220263,3.656337,-0.229286,-0.393742,-0.148034,6.106173,-0.266711,1.550000,0.780000
2.240265,3.674797,-0.236987,-0.396705,-0.147644,6.104939,-0.384541,1.550000,0.780000
2.260267,3.693235,-0.244742,-0.399644,-0.147391,6.103668,-0.501946,1.550632,0.779368
2.280270,3.711650,-0.252553,-0.402574,-0.146875,6.101816,-0.619689,1.560643,0.769678
2.300272,3.730041,-0.260416,-0.405512,-0.146541,6.099423,-0.738212,1.570644,0.764678
2.320274,3.748410,-0.268333,-0.408429,-0.146344,6.096992,-0.856310,1.580646,0.759354
2.340277,3.766755,-0.276305,-0.411337,-0.145887,6.093988,-0.974798,1.590653,0.749347
