side,fraction,n,raw_echo,delta_rad,delta_deg,delta_rad_std,v
low_raw,0.87,4,0.1701235022262082,0.37728567399475976,21.616876790648412,0.002706779991663123,0.6124538461538461
low_raw,0.72,4,0.23259850222620826,0.32267309800238797,18.487806677948026,0.0037693240324567306,0.6133027472527472
low_raw,0.57,4,0.2950735022262083,0.26976795091061,15.456565035070327,0.001644205271777995,0.6144912087912089
low_raw,0.42,4,0.3575485022262084,0.20410596785712182,11.694410531645918,0.0020661479045962516,0.6153967032967034
low_raw,0.27,4,0.42002350222620843,0.1279599960076435,7.331567717748836,0.0011580117611659268,0.616189010989011
low_raw,0.15,4,0.47000350222620846,0.07195594952470863,4.1227722186221865,0.0020610271473491264,0.6159626373626373
low_raw,0.08,4,0.4991585022262085,0.03647502921630066,2.089865231710398,0.0016119273559440743,0.6163021978021979
low_raw,0.04,4,0.5158185022262085,0.014931549006520925,0.8555147396664063,0.0011442572857030397,0.6159626373626375
high_raw,0.04,4,0.5485393621371601,-0.007721130542174898,-0.4423881931361787,0.0017533291990330811,0.616189010989011
high_raw,0.08,4,0.5646002220481119,-0.03059524124707272,-1.7529781966418405,0.001604882123517531,0.6160758241758242
high_raw,0.15,4,0.5927067268922773,-0.05903656716955043,-3.382546135755836,0.002381154285990002,0.6157362637362638
high_raw,0.27,4,0.6408893066251323,-0.1092566024788904,-6.259942205978987,0.0013790262398280346,0.6156230769230769
high_raw,0.42,4,0.7011175312912011,-0.18124725096659694,-10.384702528734435,0.001546267672284577,0.615057142857143
high_raw,0.57,4,0.7613457559572698,-0.23421435221697734,-13.419493883423335,0.00142446198894651,0.6148307692307693
high_raw,0.72,4,0.8215739806233386,-0.286781324974286,-16.4313595641963,0.0010310971312599458,0.6139252747252748
high_raw,0.87,4,0.8818022052894074,-0.33865954357727157,-19.403762538804447,0.0003631383271916292,0.6130197802197803
