stage,trial_id,condition_id,side,fraction,approach,sweep,raw_target,raw_echo,odom_vx_mps,odom_vx_mad,yaw_rate_rad_s,yaw_rate_mad,curvature_inv_m,delta_eq_rad,delta_eq_deg,split
04_static_map_training,training_high_raw_0.04_outward_sweep_01__attempt_01,training_high_raw_0.04_outward_sweep_01,high_raw,0.04,outward,1.0,0.5485393621371601,0.5485393621371601,0.6159626373626373,0.0030205938461538642,-0.020111711372951556,0.012284454579350672,-0.03265086249234811,-0.010578484837064259,-0.6061025348069183,train
04_static_map_training,training_high_raw_0.08_outward_sweep_01__attempt_01,training_high_raw_0.08_outward_sweep_01,high_raw,0.08,outward,1.0,0.5646002220481119,0.5646002220481119,0.616189010989011,0.003356215384615478,-0.05825036696840715,0.013162395014540171,-0.09453327782479064,-0.030619209555052807,-1.7543514795311692,train
04_static_map_training,training_high_raw_0.15_outward_sweep_01__attempt_01,training_high_raw_0.15_outward_sweep_01,high_raw,0.15,outward,1.0,0.5927067268922773,0.5927067268922773,0.6157362637362638,0.0026849723076924153,-0.11188600272011509,0.01462281660748632,-0.1817109196089819,-0.05880645590454996,-3.369361731452893,train
04_static_map_training,training_high_raw_0.27_outward_sweep_01__attempt_01,training_high_raw_0.27_outward_sweep_01,high_raw,0.27,outward,1.0,0.6408893066251323,0.6408893066251323,0.6157362637362638,0.0030205938461538642,-0.20793118886268186,0.014710835139287722,-0.33769521320859597,-0.10897975375276958,-6.244079942408692,train
04_static_map_training,training_high_raw_0.42_outward_sweep_01__attempt_01,training_high_raw_0.42_outward_sweep_01,high_raw,0.42,outward,1.0,0.7011175312912011,0.7011175312912011,0.6155098901098901,0.0026849723076924153,-0.3455733574968215,0.01982608945930575,-0.5614424122984027,-0.17993980509192362,-10.309791398173862,train
04_static_map_training,training_high_raw_0.57_outward_sweep_01__attempt_01,training_high_raw_0.57_outward_sweep_01,high_raw,0.57,outward,1.0,0.7613457559572698,0.7613457559572698,0.615057142857143,0.0033562153846156424,-0.4519146947594737,0.02827090833143491,-0.7347523722107854,-0.23370961397181694,-13.390574512216807,train
04_static_map_training,training_high_raw_0.72_outward_sweep_01__attempt_01,training_high_raw_0.72_outward_sweep_01,high_raw,0.72,outward,1.0,0.8215739806233386,0.8215739806233386,0.6141516483516484,0.005369944615384666,-0.5577480173994366,0.03759195178018767,-0.9081600918867575,-0.2861676108809279,-16.396196336819184,train
04_static_map_training,training_high_raw_0.87_outward_sweep_01__attempt_01,training_high_raw_0.87_outward_sweep_01,high_raw,0.87,outward,1.0,0.8818022052894074,0.8818022052894074,0.6136989010989011,0.00704805230769224,-0.665852117632369,0.04747174355642311,-1.0849817662050254,-0.3380408397304142,-19.368313419611013,train
04_static_map_training,training_high_raw_0.87_inward_sweep_01__attempt_01,training_high_raw_0.87_inward_sweep_01,high_raw,0.87,inward,1.0,0.8818022052894074,0.8818022052894074,0.6123406593406594,0.007383673846153854,-0.6660220273099161,0.047541728993077896,-1.0876658558441283,-0.33881462641380067,-19.41264813081248,train
04_static_map_training,training_high_raw_0.72_inward_sweep_01__attempt_01,training_high_raw_0.72_inward_sweep_01,high_raw,0.72,inward,1.0,0.8215739806233386,0.8215739806233386,0.6136989010989011,0.005369944615384666,-0.5598639654645318,0.03828583418775556,-0.9122779337913568,-0.28739503906764413,-16.466522791573418,train
04_static_map_training,training_high_raw_0.57_inward_sweep_01__attempt_01,training_high_raw_0.57_inward_sweep_01,high_raw,0.57,inward,1.0,0.7613457559572698,0.7613457559572698,0.6139252747252747,0.003356215384615313,-0.4531047282925756,0.02712991868080893,-0.7380454054369,-0.23471909046213765,-13.448413254629862,train
04_static_map_training,training_high_raw_0.42_inward_sweep_01__attempt_01,training_high_raw_0.42_inward_sweep_01,high_raw,0.42,inward,1.0,0.7011175312912011,0.7011175312912011,0.6148307692307692,0.002684972307692086,-0.3503890351827141,0.018854930476895234,-0.5698950877508863,-0.18258946743961954,-10.461605867831565,train
04_static_map_training,training_high_raw_0.27_inward_sweep_01__attempt_01,training_high_raw_0.27_inward_sweep_01,high_raw,0.27,inward,1.0,0.6408893066251323,0.6408893066251323,0.612567032967033,0.003356215384615313,-0.21224514364396033,0.015146985565041767,-0.346484763660768,-0.1117930058394602,-6.405267413682436,train
04_static_map_training,training_high_raw_0.15_inward_sweep_01__attempt_01,training_high_raw_0.15_inward_sweep_01,high_raw,0.15,inward,1.0,0.5927067268922773,0.5927067268922773,0.6157362637362638,0.0030205938461538642,-0.11390762078716184,0.01425319059670491,-0.184994172823239,-0.059866488885480365,-3.4300971474048767,train
