trial_id,side,speed_mps,v_lidar,v_odom,delta_ss_deg,step_mag_deg,delay_s,rise_10_90_s,peak_rate_rad_s,peak_rate_deg_s
response_0.60_high_raw_0.30_rep_01__attempt_01,high_raw,0.6,0.5736872177100123,0.6159626373626373,-7.227544662114679,-7.56774697609623,0.069995264,0.05999923200000001,2.097757863080119,120.19267199487324
response_0.60_high_raw_0.30_rep_02__attempt_01,high_raw,0.6,,0.6152835164835165,-7.189724181259624,-7.322232648840386,0.07001420800000001,0.06000230399999999,2.3328797095038167,133.66416146627424
response_0.60_high_raw_0.30_rep_03__attempt_01,high_raw,0.6,0.580168239276273,0.6157362637362638,-7.34935656676495,-8.25685021012367,0.07999513600000001,0.06499916800000001,2.3396915330869756,134.05445020837692
response_0.60_high_raw_0.87_rep_01__attempt_01,high_raw,0.6,0.5357187551528009,0.6121142857142857,-21.520457984735412,-21.69417077887664,0.084995072,0.11499852800000002,3.1960001811746857,183.11732170435596
response_0.60_high_raw_0.87_rep_02__attempt_01,high_raw,0.6,0.5560751188562805,0.6112087912087912,-20.97827371483235,-21.512249981632028,0.08501478400000001,0.115004416,2.9840784662229485,170.97510185044692
response_0.60_high_raw_0.87_rep_03__attempt_01,high_raw,0.6,0.5384358816747294,0.610756043956044,-21.62882233578206,-21.485643772414317,0.07001420800000001,0.11500441600000001,3.282336600239688,188.0640341350534
response_0.60_low_raw_0.30_rep_01__attempt_01,low_raw,0.6,0.5879822129129736,0.6159626373626373,8.200621103153543,7.879309058598962,0.07001420800000001,0.045001728000000005,2.7242269321750783,156.08670564950395
response_0.60_low_raw_0.30_rep_02__attempt_01,low_raw,0.6,,0.6159626373626373,8.126838295099528,7.831338643973181,0.069995264,0.04999936000000001,2.594122017021177,148.63224311727774
response_0.60_low_raw_0.30_rep_03__attempt_01,low_raw,0.6,0.5853935001540039,0.6155098901098901,8.581272940052989,8.248144875423398,0.069995264,0.04999936000000001,2.7921755111643005,159.9798724494977
response_0.60_low_raw_0.87_rep_01__attempt_01,low_raw,0.6,,0.610756043956044,21.55932767133608,21.58857232084359,0.084995072,0.104998656,3.1597595289355134,181.04088528425004
response_0.60_low_raw_0.87_rep_02__attempt_01,low_raw,0.6,0.5597256170784788,0.6100769230769231,23.703455245346944,23.226853372916548,0.07999513600000001,0.10999859199999999,3.5469100586281463,203.22297667189216
response_0.60_low_raw_0.87_rep_03__attempt_01,low_raw,0.6,,0.6103032967032967,21.683829827175828,21.487549158731373,0.0749952,0.10999859200000002,3.4291812927523964,196.47761525992792
response_1.50_high_raw_0.30_rep_01__attempt_04,high_raw,1.5,1.4648218651224802,1.5477164835164836,-6.45858895718583,-6.953868802932108,0.0749952,0.059999232,1.9038600468646134,109.08314546892147
response_1.50_high_raw_0.30_rep_02__attempt_01,high_raw,1.5,1.4498324270927603,1.5440945054945057,-6.774864970161477,-7.015628197372921,0.089995008,0.05499929600000002,2.214196676110474,126.86412455302548
response_1.50_high_raw_0.30_rep_03__attempt_01,high_raw,1.5,1.4557447905339185,1.5454527472527473,-6.6441346906486105,-6.824405174889179,0.09999488000000001,0.119998464,2.194278703405089,125.72290878055014
response_1.50_high_raw_0.72_rep_01__attempt_02,high_raw,1.5,1.4335101174127387,1.5393406593406593,-16.79491918897356,-16.920952959447558,0.10001536000000001,0.10000384,3.1352715550917356,179.63782773417483
response_1.50_high_raw_0.72_rep_02__attempt_02,high_raw,1.5,1.3981489574745023,1.5409252747252746,-17.319198390632177,-17.50680818895765,0.089995008,0.09499878400000002,3.017150128526204,172.86996852190538
response_1.50_high_raw_0.72_rep_03__attempt_01,high_raw,1.5,1.3858184262946311,1.5404725274725275,-17.330903790203866,-17.471140303533183,0.089995008,0.089998848,3.3595220496045712,192.48643462348193
response_1.50_low_raw_0.30_rep_01__attempt_01,low_raw,1.5,1.4468196591810747,1.5440945054945057,8.53339463473534,8.008784058379936,0.07999513600000001,0.05499929599999999,2.355933161987008,134.98502699676646
response_1.50_low_raw_0.30_rep_02__attempt_02,low_raw,1.5,,1.5452263736263738,7.937232013646674,7.791904548228854,0.069995264,0.05999923200000001,2.1631564297538217,123.93973385148132
response_1.50_low_raw_0.30_rep_03__attempt_03,low_raw,1.5,,1.545,8.133433544023378,7.741422033852547,0.07501440000000001,0.050001920000000005,2.34517349759241,134.3685436379788
response_1.50_low_raw_0.72_rep_01__attempt_01,low_raw,1.5,,1.546131868131868,18.536613268452864,18.117133489884452,0.084995072,0.09999872000000001,2.847618927622946,163.15654621436425
response_1.50_low_raw_0.72_rep_02__attempt_02,low_raw,1.5,1.4013751769668943,1.5393406593406593,20.08336502570028,19.708668993296754,0.0749952,0.09999872,3.0214407504645635,173.11580305045962
response_1.50_low_raw_0.72_rep_03__attempt_02,low_raw,1.5,1.4294347695961873,1.5391142857142857,19.851980509333114,19.490102728041972,0.08501478400000001,0.10000384000000001,3.2223746320747093,184.6284664279023
