trial_id,side,speed_mps,raw_target,delta_ss_rad,delta_ss_deg,step_mag_rad,step_mag_deg,delay_10pct_s,rise_10_90_s,settle_5pct_s,overshoot_frac,peak_rate_rad_s,peak_rate_deg_s
response_0.60_high_raw_0.30_rep_01__attempt_01,high_raw,0.6,0.652934951558346,-0.11773804137294447,-6.745892858806391,-0.12327690886263357,-7.063246589247797,0.069995264,0.05999923200000001,3.4049525760000003,0.12386292803129417,1.958518976687401,112.21487146046894
response_0.60_high_raw_0.30_rep_02__attempt_01,high_raw,0.6,0.652934951558346,-0.12535209346987045,-7.182145908952983,-0.1276808561361706,-7.315574181219615,0.07001420800000001,0.055002112000000006,3.485145344,0.030544752888050253,2.337858359542322,133.94941710115322
response_0.60_high_raw_0.30_rep_03__attempt_01,high_raw,0.6,0.652934951558346,-0.12119105467984859,-6.943735947894508,-0.13614931073150258,-7.800780888530305,0.07999513600000001,0.06499916800000001,3.4899514880000004,0.08968772443873285,2.2071189454629687,126.45860045839302
response_0.60_high_raw_0.87_rep_01__attempt_01,high_raw,0.6,0.8818022052894074,-0.3344580495106275,-19.163034661136486,-0.3370908016793964,-19.31388024891086,0.084995072,0.11499852800000002,,0.09899613939554253,2.8092262416503324,160.95680734396237
response_0.60_high_raw_0.87_rep_02__attempt_01,high_raw,0.6,0.8818022052894074,-0.33842538801845934,-19.390346413534978,-0.3468501645061453,-19.873050549620434,0.08501478400000001,0.115004416,,0.10977241645315106,2.6883116404719667,154.02891101493444
response_0.60_high_raw_0.87_rep_03__attempt_01,high_raw,0.6,0.8818022052894074,-0.33784503038252667,-19.357094370387845,-0.335654790321625,-19.231602858777702,0.07001420800000001,0.11500441600000001,3.5051461120000003,0.11485248938192916,2.8915790371459806,165.67527495696697
response_0.60_low_raw_0.30_rep_01__attempt_01,low_raw,0.6,0.4075285022262084,0.1365904437034135,7.826055946024864,0.13122975882152854,7.518911326993269,0.07001420800000001,0.045001728000000005,,0.10142360034841613,2.6001228994453705,148.97606835353827
response_0.60_low_raw_0.30_rep_02__attempt_01,low_raw,0.6,0.4075285022262084,0.14127068680248328,8.09421412269679,0.1361013505320004,7.798032971514225,0.069995264,0.04999936000000001,,0.05572462061132177,2.60604132115178,149.31516893869414
response_0.60_low_raw_0.30_rep_03__attempt_01,low_raw,0.6,0.4075285022262084,0.1421617524546923,8.14526842383744,0.13663715917064428,7.8287325451351695,0.069995264,0.04999936000000001,3.204955136,0.057146158645720035,2.6606899528532244,152.44630489135176
response_0.60_low_raw_0.87_rep_01__attempt_01,low_raw,0.6,0.1701235022262082,0.3799260604769116,21.768159792359107,0.38042487794637875,21.79673992810697,0.084995072,0.109998592,,0.09583609204451071,3.1439721145995403,180.13633307337446
response_0.60_low_raw_0.87_rep_02__attempt_01,low_raw,0.6,0.1701235022262082,0.38394895850305694,21.998654870668744,0.3763804671605771,21.565012259463348,0.07999513600000001,0.10999859199999999,3.184955392,0.09975432339731993,3.2278224738059897,184.94060476655994
response_0.60_low_raw_0.87_rep_03__attempt_01,low_raw,0.6,0.1701235022262082,0.38081465275807114,21.819072379777452,0.37742112125894156,21.624637347232625,0.0749952,0.10999859200000002,,0.11754243017231714,3.3950803835112495,194.52377708285152
response_1.50_high_raw_0.30_rep_01__attempt_04,high_raw,1.5,0.652934951558346,-0.10675205410482674,-6.116442154558788,-0.11492842902747893,-6.584913929343363,0.0749952,0.059999232,3.4649518080000004,0.07069324135054478,1.8092146212645046,103.6603620318158
response_1.50_high_raw_0.30_rep_02__attempt_01,high_raw,1.5,0.652934951558346,-0.11117462228918144,-6.369836646131147,-0.11511353622154046,-6.595519790320598,0.089995008,0.05499929600000002,,0.024541346430006605,2.076368701092782,118.96716328567717
response_1.50_high_raw_0.30_rep_03__attempt_01,high_raw,1.5,0.652934951558346,-0.10926604124933867,-6.260483007689467,-0.11222677814670594,-6.430120736157269,0.09999488000000001,0.119998464,,0.0406958045793997,2.068731090865021,118.52956045406052
response_1.50_high_raw_0.72_rep_01__attempt_02,high_raw,1.5,0.8215739806233386,-0.27386452137544637,-15.691281233183396,-0.27591407413256763,-15.808711956055847,0.10001536000000001,0.10000384,,0.04500068230449217,2.9214648033026585,167.38760322525954
response_1.50_high_raw_0.72_rep_02__attempt_02,high_raw,1.5,0.8215739806233386,-0.27561382151402597,-15.791508748225658,-0.2785826709051171,-15.961611288345164,0.089995008,0.09499878400000002,,0.045234378987730084,2.7446924907951455,157.25929578381138
response_1.50_high_raw_0.72_rep_03__attempt_01,high_raw,1.5,0.8215739806233386,-0.27388946570765715,-15.692710438141846,-0.27608974063063757,-15.818776904997096,0.089995008,0.089998848,2.809960192,0.05197280865332554,3.0414560302402514,174.2625941073801
response_1.50_low_raw_0.30_rep_01__attempt_01,low_raw,1.5,0.4075285022262084,0.13965215159851221,8.001478886515903,0.1310752760287341,7.510060114958753,0.07999513600000001,0.05499929599999999,3.3699530240000004,0.055636698528339634,2.210355524015295,126.64404274950388
response_1.50_low_raw_0.30_rep_02__attempt_02,low_raw,1.5,0.4075285022262084,0.13852791984553398,7.937065151875656,0.13599067466343137,7.791691711351274,0.069995264,0.05999923200000001,,0.054599747969947154,2.162165687870101,123.8829685229573
response_1.50_low_raw_0.30_rep_03__attempt_03,low_raw,1.5,0.4075285022262084,0.14201471486197018,8.136843790344699,0.13516529269408245,7.744400808021385,0.07501440000000001,0.050001920000000005,2.8601213440000004,0.01161687217092977,2.342266945109219,134.2020104477587
response_1.50_low_raw_0.72_rep_01__attempt_01,low_raw,1.5,0.23259850222620826,0.32364439888143925,18.543458118955012,0.3163671156473594,18.126500503320923,0.084995072,0.09999872000000001,3.414952448,0.054603805273022665,2.8401139798423785,162.72654438107165
response_1.50_low_raw_0.72_rep_02__attempt_02,low_raw,1.5,0.23259850222620826,0.3213048591898411,18.409412368623098,0.3153756432264813,18.069693318100988,0.0749952,0.09999872,3.114956288,0.06956694029698762,2.758406617861244,158.04505738440494
response_1.50_low_raw_0.72_rep_03__attempt_02,low_raw,1.5,0.23259850222620826,0.3235797973655905,18.53975672474673,0.31773093976794226,18.20464186942846,0.08501478400000001,0.10000384000000001,,0.05392853589809121,2.9930538124505013,171.48935130895438
response_2.10_high_raw_0.15_rep_01__attempt_03,high_raw,2.1,0.5927067268922773,-0.030644814500278977,-1.7558185348272923,-0.04071664277112787,-2.3328917867274797,0.059995392,0.05499929600000001,,0.2764132832245163,0.7482527826944685,42.87172645731257
response_2.10_high_raw_0.15_rep_02__attempt_01,high_raw,2.1,0.5927067268922773,-0.03408726347990566,-1.9530563325490182,-0.04544368563801941,-2.603731392577786,0.005011712000000001,0.11500441600000001,3.360140544,0.17683929175399937,0.7705379150751366,44.14857048861518
response_2.10_high_raw_0.15_rep_03__attempt_01,high_raw,2.1,0.5927067268922773,-0.03182448049402445,-1.823408417504014,-0.037761887632726136,-2.163596787802467,0.09499494400000001,0.059999232,3.4949514240000004,0.14103306336224497,0.7075157017274977,40.53766364822243
response_2.10_low_raw_0.15_rep_01__attempt_01,low_raw,2.1,0.47000350222620846,0.07228659524000941,4.141716822623005,0.06380426949274529,3.655715356849619,0.07501440000000001,0.060002304000000006,,0.031308312918120196,1.0485930169098894,60.07995429582682
