idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
6412,1,0,193.582,224.932,128.290,4.820,14.100,76.311,6.970,104.131,0.250,9.760,96.642,9.770,0.790,23.810,20.380,0.740,0.820,22.370,56.371,20.570,6.240,92.492
6413,1,0,203.602,235.303,132.282,4.850,14.461,80.941,7.130,109.301,0.260,10.580,103.021,10.810,0.750,24.750,20.070,0.750,0.790,23.301,59.110,21.401,6.370,92.511
6414,1,0,194.152,225.263,126.022,4.830,13.841,77.281,7.160,103.631,0.260,9.880,99.241,9.000,0.790,23.801,20.190,0.720,0.790,20.831,58.170,19.001,6.550,92.511
6415,1,0,286.924,318.864,130.622,4.820,14.800,78.571,7.240,194.983,0.240,10.340,188.242,9.370,0.770,22.870,22.181,0.720,0.830,23.020,146.722,20.960,6.560,92.491
6416,1,0,216.983,248.183,129.082,4.860,14.470,80.951,7.170,122.842,0.250,11.671,119.101,9.140,0.800,21.800,22.560,0.740,0.800,21.731,76.381,19.701,6.920,92.521
6417,1,0,217.403,248.813,133.111,4.840,14.150,81.971,7.170,122.122,0.240,10.040,115.702,9.260,0.770,22.250,25.350,0.700,0.800,23.460,73.271,21.480,6.670,92.522
6418,1,0,215.273,246.593,130.332,4.860,14.090,81.111,7.080,121.202,0.250,9.690,116.261,9.190,0.780,21.920,25.291,0.670,0.800,22.080,74.491,20.030,6.461,92.501
6419,1,0,217.342,249.193,133.751,4.830,14.261,79.991,7.190,123.561,0.460,9.920,115.442,9.640,0.811,26.240,20.540,0.720,0.850,24.530,73.661,22.510,7.270,92.501
6420,1,0,214.362,245.553,130.461,4.840,14.040,79.281,7.020,122.011,0.240,9.650,115.092,9.190,0.760,24.090,21.660,0.700,0.830,23.680,73.531,21.700,6.780,92.501
6421,1,0,308.984,341.224,219.152,4.850,14.880,47.541,6.510,248.713,0.300,14.020,122.072,11.970,0.750,70.361,5.090,31.100,0.750,73.691,146.252,71.711,6.760,92.521
6422,1,0,250.063,281.314,163.683,4.820,14.120,46.740,6.460,190.893,0.230,12.031,117.631,10.661,0.770,70.460,4.850,30.301,0.760,23.390,141.032,21.380,6.800,92.501
6423,1,0,301.364,334.754,217.003,4.840,16.110,46.761,6.340,242.443,0.260,12.150,117.751,13.820,0.860,70.571,4.980,28.820,0.750,71.971,140.151,69.971,6.821,92.501
6424,1,0,246.933,278.043,163.392,4.820,13.860,46.540,6.411,188.302,0.270,12.230,114.651,10.831,0.750,70.141,4.960,30.721,0.760,22.620,138.591,20.870,6.490,92.482
6425,1,0,230.093,261.943,162.641,4.920,14.460,46.040,6.360,171.872,0.250,11.870,99.302,9.920,0.940,70.101,4.930,30.440,0.750,23.100,122.942,21.350,6.810,92.511
6426,1,0,234.153,265.493,162.052,4.840,14.010,45.321,6.510,176.592,0.240,11.950,103.441,10.241,0.810,70.051,4.920,31.410,0.730,22.350,128.091,20.490,6.390,92.492
6427,1,0,231.323,263.313,162.762,4.850,14.340,46.071,6.420,172.842,0.260,11.880,100.551,10.210,0.790,70.061,4.920,29.980,0.720,22.821,123.921,21.021,6.450,92.501
6428,1,0,309.634,341.934,166.962,4.860,14.510,47.521,6.540,249.693,0.250,12.260,174.972,10.410,0.760,72.051,4.970,31.190,0.750,22.341,199.472,20.451,9.080,92.531
6429,1,0,354.824,386.955,166.053,4.880,14.641,47.600,6.370,294.574,0.250,12.031,220.902,10.140,0.740,70.620,4.940,28.861,0.750,23.151,243.123,21.311,6.730,92.501
6430,1,0,353.174,384.855,165.863,4.860,14.391,47.270,6.330,293.774,0.260,14.121,218.992,10.580,0.870,70.410,4.880,31.961,0.740,22.321,244.303,20.471,6.860,92.501
6431,1,0,348.344,380.394,164.202,4.890,14.500,46.630,6.481,289.533,0.230,12.520,216.192,10.070,0.770,70.581,4.950,30.901,0.710,23.301,240.542,21.321,7.130,92.511
6432,1,0,281.573,314.354,163.873,4.880,14.861,48.290,6.540,221.053,0.240,12.421,150.481,10.560,0.780,70.280,4.930,28.991,0.720,22.041,172.602,20.231,6.460,92.531
6433,1,0,349.934,382.335,164.383,4.840,14.891,47.360,6.370,289.954,0.270,12.171,217.952,10.130,0.760,70.460,4.860,29.041,0.720,23.711,240.293,21.791,7.240,92.511
6434,1,0,320.454,352.324,133.321,4.880,14.120,82.351,7.221,224.452,0.270,10.270,219.003,11.590,0.770,22.501,24.360,0.730,0.860,21.460,175.433,19.690,6.540,92.531
6435,1,0,313.224,344.554,129.791,4.830,14.210,80.691,7.340,219.182,0.240,10.330,214.763,9.220,0.780,22.651,23.950,0.760,0.820,21.600,172.722,19.870,6.340,92.491
6436,1,0,311.624,342.794,128.791,4.880,13.690,80.521,7.210,217.873,0.270,10.320,214.003,9.250,0.770,22.190,24.250,0.710,0.840,20.740,172.332,19.010,6.780,92.522
6437,1,0,243.623,275.583,130.092,4.840,14.510,78.901,7.270,151.442,0.250,9.770,145.491,9.180,0.800,22.010,23.731,0.700,0.800,22.731,103.861,21.021,6.880,92.492
6438,1,0,247.133,280.153,131.332,4.860,15.480,83.181,6.930,150.892,0.290,9.900,148.821,9.380,0.810,21.870,27.321,0.721,0.860,20.561,105.261,18.841,6.990,92.522
6439,1,0,197.642,228.703,130.122,4.850,13.801,79.531,7.150,104.901,0.250,10.060,98.581,9.200,0.730,24.341,21.240,0.710,0.820,23.221,56.610,21.461,7.220,92.491
6440,1,0,193.982,224.823,127.972,4.860,13.720,76.811,7.130,103.991,0.240,9.690,96.851,9.600,0.790,24.940,19.301,0.740,0.860,22.690,56.311,20.900,6.450,92.501
6441,1,0,266.864,314.924,192.482,5.330,24.530,131.102,7.410,118.582,0.310,23.150,122.442,11.430,1.080,33.571,43.680,0.720,1.270,25.460,65.571,23.700,9.040,92.511
6442,1,0,229.883,265.563,153.432,4.890,15.920,100.701,7.140,115.502,0.250,12.300,112.131,10.170,0.960,28.280,32.261,0.700,1.220,25.011,64.641,23.191,6.711,92.511
