idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
8178,1779174375989932119,0,0,5,18640,-1880960,933,23225,951675,-11363,-97065,10794,-1857312,0.0711060,-7.1752930,0
8179,1779174375994758724,0,0,4,20432,-1877568,1642,21209,946809,-8097,-94512,16782,-1880960,0.0779419,-7.1623535,0
8180,1779174375999327741,0,0,1,18464,-1895648,2334,19130,940816,-5258,-94826,15382,-1877568,0.0704346,-7.2313232,0
8181,1779174376004729173,0,0,2,26032,-1938640,3508,15193,935000,-1595,-89059,21412,-1895648,0.0993042,-7.3953247,0
8182,1779174376009697516,0,0,8,20224,-1881584,5088,14187,929422,1247,-91414,17355,-1938640,0.0771484,-7.1776733,0
8183,1779174376014695268,0,0,8,33936,-1923824,6349,9720,923369,4809,-86660,29190,-1881584,0.1294556,-7.3388062,0
8184,1779174376019826535,0,0,7,25008,-2033904,7151,6966,916663,7893,-87713,24432,-1923824,0.0953979,-7.7587280,0
8185,1779174376024937416,0,0,4,32352,-2045200,7991,3984,910432,11415,-83019,32856,-2033904,0.1234131,-7.8018188,0
8186,1779174376029675469,0,0,1,27632,-1973248,8120,3591,904380,14193,-82953,28751,-2045200,0.1054077,-7.5273438,0
8187,1779174376034711017,0,0,2,35680,-2080112,8942,473,897852,17630,-72153,37974,-1973248,0.1361084,-7.9349976,0
8188,1779174376039674815,0,0,7,39728,-2067776,11836,-8348,891502,20231,-65467,39021,-2080112,0.1515503,-7.8879395,0
8189,1779174376044727388,0,0,3,40224,-2043168,11808,-8601,885746,23155,-50136,39021,-2067776,0.1534424,-7.7940674,0
8190,1779174376049727125,0,0,2,33520,-1987584,11787,-8810,879871,25025,-41774,29649,-2043168,0.1278687,-7.5820312,0
8191,1779174376055097738,0,0,4,42768,-2138224,14334,-17717,873284,27422,-24516,38716,-1987584,0.1631470,-8.1566772,0
8192,1779174376059679203,0,0,6,32880,-2168576,15072,-21431,867587,28516,-21174,29284,-2138224,0.1254272,-8.2724609,0
8193,1779174376064844264,0,0,4,38656,-2112592,14863,-21491,861712,30022,-11591,34993,-2168576,0.1474609,-8.0588989,0
8194,1779174376069696726,0,0,2,37344,-2054496,15526,-25296,856075,30541,-13701,34026,-2112592,0.1424561,-7.8372803,0
8195,1779174376075071339,0,0,1,36000,-2219456,16138,-29156,849310,31783,-6529,34026,-2054496,0.1373291,-8.4665527,0
8196,1779174376079738891,0,0,5,40176,-2287872,17734,-36894,844028,32387,-6532,29161,-2219456,0.1532593,-8.7275391,0
8197,1779174376085686219,0,0,5,48624,-2223152,18580,-38664,836492,34587,15431,47930,-2287872,0.1854858,-8.4806519,0
8198,1779174376089818307,0,0,1,45488,-2266320,19167,-42417,831744,35507,22213,43915,-2223152,0.1735229,-8.6453247,0
8199,1779174376094936356,0,0,2,60656,-2074912,19652,-46077,825217,37583,48735,60283,-2266320,0.2313843,-7.9151611,0
8200,1779174376100058246,0,0,2,57264,-2151680,20119,-49719,818630,38519,65529,51530,-2074912,0.2184448,-8.2080078,0
8201,1779174376104750728,0,0,2,61824,-2243712,20625,-53361,812755,39719,86859,61964,-2151680,0.2358398,-8.5590820,0
8202,1779174376109762530,0,0,2,49040,-2059968,21760,-55265,806880,39714,98875,48674,-2243712,0.1870728,-7.8581543,0
8203,1779174376114956233,0,0,1,64224,-2172128,22190,-58828,800055,40243,118500,59429,-2059968,0.2449951,-8.2860107,0
8204,1779174376120167154,0,0,1,50608,-1979072,22621,-62519,793468,39451,123263,45390,-2172128,0.1930542,-7.5495605,0
