t_s,lidar_vx,icp_rmse_m,converged,yaw_rate,erpm,imu_ax,motor_current
0.5855395840000001,-0.08978463462914836,0.003212373619833242,True,0.0008590879670785223,,0.01977999694566528,
0.6105408,0.08805227780796068,0.003323637713859752,True,-0.00023760968630492658,0.0,0.014288995915791785,0.0
0.635029504,-0.012067778613591838,0.0029021150682402783,True,-0.0016479062015477904,0.0,0.0004308736785275172,0.0
0.66001792,0.010470052214303594,0.0030653596267708224,True,-0.0021163904655716543,0.0,0.002316513378997742,0.0
0.685019904,0.0625968309118976,0.003369211778702652,True,-0.0006046775947209906,0.0,0.009723118904465294,0.0
0.71002368,0.012324158328459421,0.0030027384817448853,True,-0.0005170831955455392,0.0,-0.015691440213435947,0.0
0.734999296,0.03097455011873522,0.0029391843792831124,True,0.0004277955177900268,0.0,0.007547518016048454,0.0
0.7599936,-0.026536960269360678,0.002993767314771126,True,-0.0009554602537579847,0.0,-0.002283847364029947,0.0
0.784992256,-0.04127926869786226,0.003210341881656466,True,-0.0006091854818638036,0.0,0.005092915250308579,0.0
0.8100003840000001,-0.040999130007324705,0.0029895752700109667,True,-0.0005119413074504014,0.0,0.005684550163297861,0.0
0.83501824,-0.022252721633283765,0.0031127000435332165,True,-9.619529559780994e-05,0.0,-0.010575914600370509,0.0
0.860019968,0.006799787531609841,0.003138445948189715,True,-0.00027101310374228024,0.0,0.00562074698521103,0.0
0.88502144,0.0058763477789382694,0.002716151903210554,False,0.00046937955590807957,0.0,-0.009386595422520735,0.0
0.910006784,0.020464750768608386,0.003306802790040072,True,0.0005076063734177715,0.0,-0.007142209356584264,0.0
0.934989056,0.027571243612691282,0.0032448435527880244,True,1.950055380576393e-05,0.0,0.009571873595536452,0.0
0.96001152,-0.06832969364259009,0.003054838732240415,True,-0.00018812347122819422,0.0,-0.005132297783126072,0.0
0.9850414080000001,0.031510707182843274,0.0033452337189662923,True,-0.0008339585039482521,0.0,-0.007947037098395284,0.0
1.010047744,0.1008515871463584,0.003321655443171002,True,-0.0007318244654596839,0.0,0.0022685965368961225,0.0
1.035023872,-0.016820139207964293,0.0031334254258552348,True,-0.0003449015076495499,0.0,-0.018376295066089367,0.0
1.0599918080000001,0.021001272777377206,0.0030196418861969847,True,-0.0003617891670947321,0.0,-0.009632035367434538,0.0
1.0835046400000001,0.00276646719153562,0.0032950308758186928,True,-0.00033526884605990275,0.0,-0.03507852145691699,0.0
1.109618688,0.03756882230184446,0.0028305259966629214,True,0.0004487993558874293,0.0,-0.002662220714448993,0.0
1.136101888,-0.012098950662570126,0.003181374600724867,True,-0.0006335311169810536,0.0,0.01890048941195999,0.0
1.165006336,0.022182220200872276,0.003124120494241857,False,-3.4254748066460286e-05,0.0,0.009757039249317524,0.0
1.189346816,0.009013124251274629,0.0028369913080321762,True,-0.002029862302796659,0.0,0.002377495181462033,0.0
1.214346496,-0.005926300110730725,0.002981363784224374,True,7.755265291348298e-05,0.0,-0.0051065018311278795,0.0
1.24002304,0.010513938025295986,0.0031773199137097446,False,-0.0011172855221265087,0.0,0.010104093377238135,0.0
1.26503552,-0.014957025096920925,0.0032479102169281114,True,-0.0006252558928356491,0.0,0.004829545845089558,0.0
1.290006016,0.08181850508928566,0.0027600696740697865,True,-0.0005408711277955905,0.0,0.018716038696773327,0.0
1.3149811200000001,-0.02608581925792647,0.0031628055333920812,True,0.00047596907931132576,0.0,-0.0013963374709186835,0.0
1.340086528,-0.03171693061476094,0.0035679484164523358,True,-0.0005757312143386854,0.0,-0.009122648759318026,0.0
1.3651148800000001,-0.06898569915981642,0.0030205468179864327,True,0.0014980710344616886,0.0,0.01060848227546846,0.0
1.38932096,-0.07017798421770863,0.0030155647993626153,True,-3.925259171831002e-05,0.0,0.012477385623578134,0.0
1.414317312,-0.07632963097346583,0.003520371637607201,True,-0.0012396409243185967,0.0,-0.006395727805604519,0.0
1.440046592,0.11359759040218269,0.003154441550215411,True,-1.672800683196298e-05,0.0,0.0007245093718911237,0.0
1.465028864,-0.055053752494602655,0.0031320194009623607,True,0.0006042205432050614,0.0,-0.008207292606493425,0.0
1.489360384,0.04500763403490139,0.002939700578795163,True,-0.00014239052383135698,0.0,-0.003628406023659358,0.0
1.514376192,-0.030783179287299775,0.003164924572522319,True,0.0001075085662997421,0.0,-0.005819859926236218,0.0
1.540046848,-0.06475463318771371,0.003172813217816215,True,-0.00011649933942257831,0.0,0.005480891714634933,0.0
