t_s,vx,vy,speed,yaw_icp,yaw_imu,rmse,inlier,converged,erpm,motor_current,imu_gz,imu_ay
0.010010368,-0.07970324464529972,0.025115106999432854,0.08356659504001261,-0.011117925141120718,-0.000955282644943878,0.0029955935771158217,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.034999296,0.027621106326701828,-0.003685256576496778,0.02786586856255481,0.0003636963711883352,-0.000955282644943878,0.002895560508560267,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.05998028800000001,0.008585533190731085,-0.0015098531673133628,0.008717283794622685,0.0054814066913267704,-0.000955282644943878,0.003004568636047618,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.08496896000000001,0.06532061349383896,-0.01517103352763845,0.06705924847109626,0.0037738737281214855,-0.000955282644943878,0.0030340677908629182,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.10997785600000001,0.07711962313582335,-0.024408223110477228,0.08089003416999065,0.009873340713363534,-0.000955282644943878,0.0030977043267908792,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.13505664,-0.02083404526877896,-0.0034415669600947963,0.02111638760305245,0.0019502501313029509,-0.000955282644943878,0.0030241052197093974,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.160067328,0.013094714182709457,0.012382854358268773,0.01802239222703102,-0.009847356219005978,-0.000955282644943878,0.003173284923151528,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.185011968,-0.013453195575479412,0.01647456887322713,0.021269694185643645,-0.0013174713228887116,-0.000955282644943878,0.003213884850698835,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.21000576,0.03236758887749307,-0.03659992693924423,0.048859138978295844,0.008516239063871917,-0.000955282644943878,0.0029506950911224335,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.235003136,-0.05804156235100809,0.040065750139365267,0.07052720960293274,-0.00952435382140199,-0.000955282644943878,0.0031006731342866855,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.26000384000000004,0.06970018065428693,-0.007490815436518028,0.07010155133193709,0.007927014389281868,-0.000955282644943878,0.0034488089209653554,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.285011456,0.01881709808784948,-0.00942305067749062,0.021044644556710977,0.002940735478747774,-0.000955282644943878,0.0032871446408092963,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.31000985600000003,-0.02888532679489404,-0.005118404949463893,0.029335305917520614,-0.006572796322157252,-0.000955282644943878,0.003583504720413418,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.335016448,0.013771275055428734,0.0031593424770167567,0.014129029037388099,-0.001995813857350034,-0.000955282644943878,0.003005020131620484,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.360008704,0.05817486082258989,0.007167297584966148,0.058614713053969356,-0.0010110159002600606,-0.000955282644943878,0.0032156327435992,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.384991744,0.01304697940448638,-0.020181538345926835,0.024031607553162294,0.005589504254641639,-0.000955282644943878,0.003094819004300096,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.409979904,-0.1349649572737862,0.043443695999854925,0.14178467623139937,-0.019426909808871986,-0.000955282644943878,0.00306051409654691,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.43504384,0.04821860632559363,0.015579393094983462,0.05067298575365968,-0.002676997971695879,-0.000955282644943878,0.0029329460934777443,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.46005606400000004,-0.026145195803128574,-0.022990185754486612,0.03481551241343047,0.008347551627007923,-0.000955282644943878,0.002936321601004721,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.48500377600000005,-0.020015703421571718,0.00959156407143421,0.022195190578067705,-0.0027289976172003437,-0.000955282644943878,0.003154726065962255,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.510015744,0.0006496604814262873,-0.04669565050153201,0.046700169533978715,0.01677745967053474,-0.000955282644943878,0.003062328129187073,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
0.535010304,0.09703653939012327,-0.0032385285301984802,0.09709056619389886,0.0032201170143317374,-0.000955282644943878,0.0031280546715691648,0.8487084870848709,True,0.0,0.0,-0.000955282644943878,-0.07389146703504956
