label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_N,Q_CONTOURING,Q_LAG,Q_ALPHA,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_N_TERM,Q_CONTOURING_TERM,Q_LAG_TERM,Q_ALPHA_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,641.1,801.9,11677,0.4,100.0,OK,0.0,500.0,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=100,Phase 1: One-at-a-time,my_track,776800.0,6,0,6.4268,1.7323,3.1415,1.4435,5.09,2.54,4.0024,641.6,822.4,7763,0.1,100.0,OK,0.0,100,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=200,Phase 1: One-at-a-time,my_track,1113600.0,6,0,9.8103,3.2263,3.1411,1.4941,5.73,1.857,3.4916,657.8,1019.4,11131,0.7,100.0,OK,0.0,200,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=1000,Phase 1: One-at-a-time,my_track,1038300.0,6,0,15.8188,6.9105,3.141,1.4942,5.16,2.3281,3.9736,650.6,927.9,10378,0.3,100.0,OK,0.0,1000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=2000,Phase 1: One-at-a-time,my_track,695700.0,5,1,10.3016,1.9423,3.1411,0.9316,4.65,2.6053,4.3674,643.8,691.3,6952,0.0,100.0,OK,0.0,2000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=5000,Phase 1: One-at-a-time,my_track,1108400.0,5,1,16.7211,6.3182,3.1414,1.4293,4.77,1.4634,2.9603,647.9,700.3,11079,0.0,100.0,OK,0.0,5000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=100,Phase 1: One-at-a-time,my_track,1105000.0,6,0,24.2818,5.4579,3.1414,1.8846,6.94,3.108,10.9577,647.4,852.6,11045,1.4,100.0,OK,0.0,500.0,100,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=500,Phase 1: One-at-a-time,my_track,451700.0,5,1,7.1972,1.2532,3.1412,0.8725,4.9,2.1263,3.1769,661.5,809.9,4512,0.0,100.0,OK,0.0,500.0,500,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=2000,Phase 1: One-at-a-time,my_track,1106200.0,6,0,18.4634,7.5677,3.1415,1.3581,6.39,1.9905,4.0196,655.0,1507.6,11057,1.1,100.0,OK,0.0,500.0,2000,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=5000,Phase 1: One-at-a-time,my_track,75.974,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.2,674.3,0,0.0,1.1,OK,0.0,500.0,5000,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=10000,Phase 1: One-at-a-time,my_track,75.974,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.2,551.8,0,0.0,1.1,OK,0.0,500.0,10000,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=5,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,641.8,804.7,11677,0.4,100.0,OK,0.0,500.0,1000.0,5,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=10,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,643.2,726.0,11677,0.4,100.0,OK,0.0,500.0,1000.0,10,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=20,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,645.4,778.3,11677,0.4,100.0,OK,0.0,500.0,1000.0,20,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=100,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,644.2,691.6,11677,0.4,100.0,OK,0.0,500.0,1000.0,100,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=200,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,648.4,920.9,11677,0.4,100.0,OK,0.0,500.0,1000.0,200,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_ALPHA=500,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,647.0,807.3,11677,0.4,100.0,OK,0.0,500.0,1000.0,500,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=0.1,Phase 1: One-at-a-time,my_track,629500.0,5,1,8.4659,1.7045,3.14,1.4661,4.79,2.3467,4.3144,653.7,1283.4,6290,0.0,100.0,OK,0.0,500.0,1000.0,50.0,0.1,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=0.5,Phase 1: One-at-a-time,my_track,572600.0,5,1,4.1308,0.9071,3.1411,1.2533,4.73,2.6797,4.9452,657.1,819.9,5721,0.0,100.0,OK,0.0,500.0,1000.0,50.0,0.5,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=1.0,Phase 1: One-at-a-time,my_track,1053600.0,6,0,6.4108,2.3961,3.1412,1.5001,7.0,2.0996,4.7594,659.6,865.9,10531,2.2,100.0,OK,0.0,500.0,1000.0,50.0,1.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=2.0,Phase 1: One-at-a-time,my_track,752500.0,5,1,4.572,1.1974,3.1413,1.5717,4.41,2.6711,5.1909,659.9,707.6,7520,0.0,100.0,OK,0.0,500.0,1000.0,50.0,2.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=5.0,Phase 1: One-at-a-time,my_track,1156500.0,5,1,19.9825,8.3423,3.1416,1.3328,4.67,1.7339,3.4372,658.3,708.4,11560,0.0,100.0,OK,0.0,500.0,1000.0,50.0,5.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=10.0,Phase 1: One-at-a-time,my_track,1087300.0,5,1,26.0892,14.4835,3.1415,1.8552,6.65,3.5494,10.0905,647.9,749.4,10868,0.6,100.0,OK,0.0,500.0,1000.0,50.0,10.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=5,Phase 1: One-at-a-time,my_track,75.974,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.1,563.3,0,0.0,1.1,OK,0.0,500.0,1000.0,50.0,100.0,5,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=10,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.6,518.0,0,0.0,1.1,OK,0.0,500.0,1000.0,50.0,100.0,10,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=15,Phase 1: One-at-a-time,my_track,1128800.0,6,0,15.2635,4.3721,3.1414,1.5259,6.56,1.7348,4.5089,656.7,810.5,11283,1.2,100.0,OK,0.0,500.0,1000.0,50.0,100.0,15,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=25,Phase 1: One-at-a-time,my_track,1098000.0,6,0,14.7029,4.2025,3.1415,1.5665,6.12,1.8907,4.7501,657.0,1346.1,10975,1.6,99.9,OK,0.0,500.0,1000.0,50.0,100.0,25,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=50,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.6,542.9,0,0.0,1.1,OK,0.0,500.0,1000.0,50.0,100.0,50,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=100,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.6,398.7,0,0.0,1.1,OK,0.0,500.0,1000.0,50.0,100.0,100,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
