label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_N,Q_CONTOURING,Q_LAG,Q_ALPHA,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_N_TERM,Q_CONTOURING_TERM,Q_LAG_TERM,Q_ALPHA_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,my_track,75.98,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.3,700.8,0,0.0,1.0,OK,0.0,500.0,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_CONTOURING=100,Phase 1: One-at-a-time,my_track,75.98,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.5,785.4,0,0.0,1.0,OK,0.0,100,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_CONTOURING=200,Phase 1: One-at-a-time,my_track,75.981,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,41.1,881.5,0,0.0,1.0,OK,0.0,200,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_CONTOURING=1000,Phase 1: One-at-a-time,my_track,76.001,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.8,1267.6,0,0.0,1.1,OK,0.0,1000,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_CONTOURING=2000,Phase 1: One-at-a-time,my_track,75.981,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.8,829.1,0,0.0,1.0,OK,0.0,2000,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_CONTOURING=5000,Phase 1: One-at-a-time,my_track,76.01,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,50.1,1434.9,0,0.0,1.1,OK,0.0,5000,1000.0,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_LAG=100,Phase 1: One-at-a-time,my_track,75.981,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.7,1085.3,0,0.0,1.0,OK,0.0,500.0,100,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_LAG=500,Phase 1: One-at-a-time,my_track,1001800.0,4,2,5.0596,2.3945,3.1411,1.4452,4.46,2.5,3.7989,1918.6,2168.9,10013,0.0,100.0,OK,0.0,500.0,500,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_LAG=2000,Phase 1: One-at-a-time,my_track,76.001,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,41.3,1321.0,0,0.0,1.1,OK,0.0,500.0,2000,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
Q_LAG=5000,Phase 1: One-at-a-time,my_track,75.981,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,40.9,1005.4,0,0.0,1.0,OK,0.0,500.0,5000,50.0,1.0,15.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,3.0
