label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,my_track,75.977,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,17.2,580.2,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=100,Phase 1: One-at-a-time,my_track,75.978,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,17.8,732.0,0,0.0,1.1,OK,100,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=200,Phase 1: One-at-a-time,my_track,75.977,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,17.1,667.6,0,0.0,1.1,OK,200,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=1000,Phase 1: One-at-a-time,my_track,75.977,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,16.6,619.7,0,0.0,1.1,OK,1000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=2000,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.9,516.6,0,0.0,1.1,OK,2000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=5000,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,699.5,0,0.0,1.1,OK,5000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=100,Phase 1: One-at-a-time,my_track,1069500.0,6,0,14.1183,4.7852,3.1412,1.6255,7.12,3.2621,5.0123,699.4,915.5,10690,1.2,100.0,OK,500.0,100,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=500,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.5,522.8,0,0.0,1.1,OK,500.0,500,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=2000,Phase 1: One-at-a-time,my_track,693200.0,6,0,16.8359,3.8071,3.1411,1.574,5.62,1.9804,4.032,682.2,797.2,6927,0.3,100.0,OK,500.0,2000,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=5000,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,599.3,0,0.0,1.1,OK,500.0,5000,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
