label,phase,raceline,score,tracker_score,racer_score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,avg_rho,avg_rho_u,avg_adapt_updates,avg_clip_events,status,return_code,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time sensitivity,my_track,1063200.0,1063200.0,1063200.0,6,0,0.8255,0.7113,1.5698,1.1396,5.32,2.6561,4.4619,280.6,372.0,10612,0.1,48.3,3.132,3.132,1.85,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=50,Phase 1: One-at-a-time sensitivity,my_track,10300.0,10300.0,10300.0,4,2,1.1266,0.4439,1.5699,1.5006,4.06,2.6734,4.4619,282.5,482.2,83,0.0,48.8,1.981,1.981,0.06,0.0,OK,1,50,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=200,Phase 1: One-at-a-time sensitivity,my_track,449700.0,449700.0,449700.0,6,0,3.0522,0.729,1.5698,0.7814,9.18,2.03,5.0026,218.2,477.6,4477,7.5,37.2,4.097,4.097,0.71,0.0,OK,0,200,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=500,Phase 1: One-at-a-time sensitivity,my_track,976400.0,976400.0,976400.0,6,0,2.0759,0.4063,2.0169,1.5103,6.74,2.6128,4.4619,245.9,433.2,9744,3.7,42.2,3.966,3.966,0.46,0.0,OK,0,500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=700,Phase 1: One-at-a-time sensitivity,my_track,83700.0,83700.0,83700.0,6,0,1.2199,0.1379,1.5869,1.3651,6.1,4.1028,4.8453,274.6,556.0,817,3.5,46.0,3.271,3.271,1.97,0.0,OK,0,700,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=1500,Phase 1: One-at-a-time sensitivity,my_track,1178400.0,1178400.0,1178400.0,5,1,2.1478,1.9009,2.4877,2.3034,5.1,2.709,4.4619,290.4,575.7,11764,0.1,49.3,3.336,3.336,0.1,0.0,OK,1,1500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
