label,phase,raceline,score,tracker_score,racer_score,passed,failed,max_contouring_err,avg_contouring_err,max_heading_err,avg_heading_err,max_vx,avg_vel,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,avg_rho,avg_rho_u,avg_adapt_updates,avg_clip_events,status,return_code,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
Q_CONTOURING=500,Phase 1: One-at-a-time sensitivity,my_track,197800.0,197800.0,197800.0,6,0,1.8187,0.5721,1.6128,1.249,6.59,2.8518,4.9115,182.5,258.6,1958,2.1,45.6,4.099,4.099,0.36,0.0,OK,0,500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=8000,Phase 1: One-at-a-time sensitivity,my_track,1062700.0,1062700.0,1062700.0,4,2,1.8444,1.6081,1.5699,1.0421,4.21,3.441,4.457,197.4,336.1,10607,0.0,49.2,6.145,6.145,2.67,0.0,OK,1,8000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=50,Phase 1: One-at-a-time sensitivity,my_track,449800.0,449800.0,449800.0,6,0,3.8737,0.6039,2.1251,0.6905,8.76,1.8396,4.8009,197.1,319.8,4478,12.7,33.7,5.3,5.3,1.55,0.0,OK,0,50,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=5000,Phase 1: One-at-a-time sensitivity,my_track,13500.0,13500.0,13500.0,4,2,1.8067,0.4303,1.6107,1.5218,4.68,2.614,4.457,211.5,351.2,115,0.0,49.5,7.693,7.693,2.0,0.0,OK,1,5000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=150,Phase 1: One-at-a-time sensitivity,my_track,20200.0,20200.0,20200.0,4,2,0.8343,0.0605,1.5527,1.1625,4.87,3.0854,4.457,211.8,333.7,182,0.0,48.4,3.909,3.909,3.82,0.0,OK,1,1000.0,150,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=700,Phase 1: One-at-a-time sensitivity,my_track,1077900.0,1077900.0,1077900.0,6,0,2.3941,2.039,2.6965,2.301,5.52,2.564,4.457,241.6,336.6,10759,0.6,46.3,4.046,4.046,0.27,0.0,OK,0,700,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=3000,Phase 1: One-at-a-time sensitivity,my_track,1167500.0,1167500.0,1167500.0,5,1,1.3954,1.0017,1.5698,0.9479,5.42,1.9636,4.457,258.5,399.2,11655,0.3,49.0,2.771,2.771,0.12,0.0,OK,1,3000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=50,Phase 1: One-at-a-time sensitivity,my_track,53300.0,53300.0,53300.0,6,0,0.9391,0.7284,1.5671,0.7543,5.66,2.447,4.457,261.1,334.7,513,0.5,45.8,2.879,2.879,1.32,0.0,OK,0,1000.0,50,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=1500,Phase 1: One-at-a-time sensitivity,my_track,1164500.0,1164500.0,1164500.0,5,1,1.7064,1.6474,1.5056,0.918,6.38,1.9843,4.457,263.8,490.6,11625,0.5,49.1,4.141,4.141,0.12,0.0,OK,1,1500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=200,Phase 1: One-at-a-time sensitivity,my_track,1114000.0,1114000.0,1114000.0,6,0,1.688,1.5542,1.6813,1.2619,7.17,4.5192,4.8634,276.2,358.7,11120,1.0,47.7,4.208,4.208,0.22,0.0,OK,0,200,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
