# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
3.293626,2.069952,-3.605166,-2.913889,0.546750,2.833389,3.018203,0.635000,1.025000
3.343529,2.021526,-3.617074,-2.887268,0.520961,2.886058,3.073791,0.645000,1.000000
3.393433,1.973539,-3.630204,-2.861979,0.495715,2.938727,3.518059,0.660000,0.960000
3.443336,1.925645,-3.644586,-2.838103,0.453909,2.997873,3.768286,0.660000,0.930000
3.493240,1.878054,-3.660064,-2.816634,0.403995,3.059958,3.845526,0.665000,0.905000
3.543143,1.830919,-3.676453,-2.797725,0.353756,3.122043,3.922766,0.675000,0.870000
3.593046,1.784223,-3.693617,-2.781380,0.303256,3.184128,4.189924,0.695000,0.850000
3.642950,1.737654,-3.711539,-2.767448,0.259102,3.249131,4.548880,0.700000,0.820000
3.692853,1.691078,-3.730161,-2.755331,0.223935,3.318262,4.644646,0.705000,0.760000
3.742757,1.644904,-3.749225,-2.745032,0.188296,3.387393,4.740413,0.710000,0.715000
3.792660,1.599115,-3.768635,-2.736564,0.152112,3.456524,4.866008,0.715000,0.750000
3.842563,1.553488,-3.788385,-2.729904,0.117571,3.526077,5.080059,0.725000,0.730000
3.892467,1.507441,-3.808641,-2.724649,0.091224,3.597255,5.181581,0.725000,0.725000
3.942370,1.461747,-3.828992,-2.720758,0.064242,3.668433,5.283103,0.740000,0.705000
3.992274,1.416396,-3.849365,-2.718249,0.036515,3.739611,4.953721,0.695000,0.680000
4.042177,1.371262,-3.869738,-2.717142,0.009568,3.805142,0.525598,0.715000,0.660000
4.092081,1.325281,-3.890527,-2.716922,-0.000949,3.812029,0.526548,0.750000,0.645000
4.141984,1.279647,-3.911155,-2.717241,-0.011874,3.818915,0.527499,0.780000,0.620000
4.191887,1.234367,-3.931592,-2.718112,-0.023265,3.825802,0.029352,0.810000,0.595000
4.241791,1.189311,-3.951865,-2.719553,-0.034807,3.826185,-5.293297,0.845000,0.575000
4.291694,1.143149,-3.972540,-2.721512,-0.042750,3.756512,-5.196024,0.875000,0.540000
4.341598,1.097393,-3.992915,-2.723861,-0.051141,3.686840,-5.098750,0.905000,0.520000
4.391501,1.052051,-4.012968,-2.726615,-0.060030,3.617167,-5.027140,0.940000,0.505000
4.441405,1.006699,-4.032863,-2.729825,-0.070261,3.547133,-5.016700,0.980000,0.485000
4.491308,0.960290,-4.053027,-2.733723,-0.084000,3.475838,-4.914845,1.010000,0.465000
4.541211,0.914356,-4.072755,-2.738284,-0.098673,3.404544,-4.812989,1.060000,0.450000
4.591115,0.868901,-4.092012,-2.743538,-0.114383,3.333249,-4.791600,1.105000,0.460000
4.641018,0.822774,-4.111246,-2.749744,-0.136490,3.260723,-4.758414,1.120000,0.470000
4.690922,0.776098,-4.130333,-2.757339,-0.165116,3.187066,-4.649698,1.165000,0.490000
4.740825,0.729924,-4.148770,-2.766298,-0.195698,3.113410,-4.540982,1.220000,0.485000
4.790729,0.684232,-4.166504,-2.776680,-0.228345,3.039753,-3.464425,1.250000,0.500000
4.840632,0.636771,-4.184304,-2.789236,-0.267439,2.982336,-3.393521,1.315000,0.520000
4.890535,0.589727,-4.201228,-2.803610,-0.307813,2.925001,-3.327648,1.370000,0.545000
4.940439,0.543031,-4.217225,-2.819816,-0.348979,2.867666,-2.931747,1.345000,0.550000
4.990342,0.495487,-4.232600,-2.838058,-0.375517,2.816185,-2.692188,1.330000,0.560000
5.040246,0.447524,-4.247121,-2.857310,-0.392652,2.768068,-2.645793,1.310000,0.570000
5.090149,0.399740,-4.260572,-2.877200,-0.408498,2.719951,-2.479590,1.285000,0.585000
5.140053,0.351621,-4.273070,-2.897917,-0.427150,2.674070,-2.259462,1.255000,0.605000
5.189956,0.302885,-4.284624,-2.919917,-0.451124,2.631566,-2.223260,1.260000,0.600000
5.239859,0.254190,-4.295016,-2.942948,-0.473725,2.589062,-2.144294,1.250000,0.630000
5.289763,0.205362,-4.304239,-2.967036,-0.497979,2.547397,-1.975568,1.225000,0.665000
5.339666,0.156068,-4.312287,-2.992739,-0.530774,2.508397,-1.945090,1.225000,0.670000
5.389570,0.106662,-4.319016,-3.019962,-0.560601,2.469397,-1.899831,1.200000,0.775000
5.439473,0.057112,-4.324360,-3.048578,-0.589368,2.430700,-1.757393,1.205000,1.995000
5.489376,0.007542,-4.328234,-3.079020,-0.634506,2.394349,-1.730913,1.195000,1.855000
5.539280,-0.042285,-4.330547,-3.111720,-0.675802,2.357997,-1.704432,1.190000,1.735000
5.589183,-0.092402,-4.331180,3.136655,-0.712291,2.321645,-1.554223,1.190000,1.645000
5.639087,-0.141888,-4.330041,3.100094,-0.764811,2.287993,-1.528466,1.195000,1.495000
5.688990,-0.191627,-4.327005,3.060729,-0.814256,2.254409,-1.505865,1.200000,1.495000
