monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1318283162390,1779177341,818043058,0.000
1318303229560,1779177341,838110036,0.000
1318323224377,1779177341,858102325,0.000
1318343221721,1779177341,878099413,0.000
1318363225146,1779177341,898102742,0.000
1318383222362,1779177341,918099766,0.000
1318403226171,1779177341,938103095,0.000
1318423228924,1779177341,958111576,0.000
1318443228316,1779177341,978107896,0.000
1318463222685,1779177341,998099385,0.000
1318483225244,1779177342,18103320,0.000
1318503224380,1779177342,38106104,0.000
1318523222075,1779177342,58098487,0.000
1318543224122,1779177342,78102422,0.000
1318563222906,1779177342,98100470,0.000
1318583225113,1779177342,118102645,0.000
1318603223480,1779177342,138101012,0.000
1318623228216,1779177342,158107892,0.000
1318643226007,1779177342,178102387,0.000
1318663225718,1779177342,198103731,0.000
1318683227734,1779177342,218107794,0.000
1318703227029,1779177342,238104049,0.000
1318723223764,1779177342,258100112,0.000
1318743220468,1779177342,278096688,0.000
1318763218291,1779177342,298094191,0.000
1318783224498,1779177342,318102031,0.000
1318803224786,1779177342,338101678,0.000
1318823224977,1779177342,358101389,0.000
1318843220848,1779177342,378097132,0.000
1318863222320,1779177342,398099340,0.000
1318883225135,1779177342,418102891,0.000
1318903224367,1779177342,438100971,0.000
1318923226094,1779177342,458103242,0.000
1318943224717,1779177342,478101193,0.000
1318963220620,1779177342,498096872,0.000
1318983220012,1779177342,518095880,0.000
1319003218283,1779177342,538094087,0.000
1319023218282,1779177342,558094182,0.000
1319043224682,1779177342,578101702,0.000
1319063224841,1779177342,598101157,0.000
1319083220616,1779177342,618096869,0.000
1319103224840,1779177342,638102116,0.000
1319123242568,1779177342,658124996,0.000
1319143228519,1779177342,678111235,0.000
1319163228262,1779177342,698107938,0.000
1319183222341,1779177342,718099009,0.000
1319203228165,1779177342,738106849,0.000
1319223224452,1779177342,758100992,0.000
1319243222851,1779177342,778100671,0.000
1319263222979,1779177342,798099327,0.000
1319283225570,1779177342,818105182,0.000
1319303226145,1779177342,838103773,0.000
1319323222369,1779177342,858098685,0.000
1319343225216,1779177342,878102396,0.000
1319363226527,1779177342,898106012,0.000
1319383223647,1779177342,918101179,0.000
1319403223614,1779177342,938100282,0.000
1319423223997,1779177342,958103898,0.000
1319443226429,1779177342,978105625,0.000
1319463222332,1779177342,998099096,0.000
1319483222778,1779177343,18098966,0.000
1319503228857,1779177343,38109557,0.000
1319523223735,1779177343,58100243,0.000
1319543222037,1779177343,78098097,0.000
1319563220147,1779177343,98095951,0.000
1319583218993,1779177343,118094925,0.000
1319603219119,1779177343,138095019,0.000
1319623219085,1779177343,158094825,0.000
1319643218955,1779177343,178094887,0.000
1319663218505,1779177343,198094309,0.000
1319683224519,1779177343,218103076,0.000
1319703223846,1779177343,238101186,0.000
1319723224100,1779177343,258100992,0.000
1319743227266,1779177343,278108190,0.000
1319763221024,1779177343,298097692,0.000
1319783220862,1779177343,318097082,0.000
1319803219772,1779177343,338095800,0.000
1319823218586,1779177343,358094582,0.000
1319843223416,1779177343,378101012,0.000
1319863225398,1779177343,398102642,0.000
1319883225108,1779177343,418102833,0.000
1319903223091,1779177343,438099759,0.000
1319923220241,1779177343,458096589,0.000
1319943224687,1779177343,478103691,0.000
1319963225773,1779177343,498101993,0.000
1319983219819,1779177343,518096071,0.000
1320003220457,1779177343,538096549,0.000
1320023221959,1779177343,558099011,0.000
1320043220709,1779177343,578097281,0.000
1320063225731,1779177343,598102175,0.000
1320083225569,1779177343,618101822,0.000
1320103224896,1779177343,638102140,0.000
1320123225502,1779177343,658101850,0.000
1320143222428,1779177343,678098584,0.000
1320163225530,1779177343,698103478,0.000
1320183226616,1779177343,718103092,0.000
1320203221654,1779177343,738097746,0.000
1320223224884,1779177343,758103056,0.000
1320243225906,1779177343,778102478,0.000
1320263223088,1779177343,798099276,0.000
1320283222798,1779177343,818098954,0.000
1320303226765,1779177343,838103881,0.000
1320323224971,1779177343,858102503,0.000
1320343226825,1779177343,878104805,0.000
1320363225287,1779177343,898103811,0.000
1320383224677,1779177343,918102177,0.000
1320403226403,1779177343,938103007,0.000
1320423226273,1779177343,958106973,0.000
1320443224543,1779177343,978101211,0.000
1320463220605,1779177343,998096825,0.000
1320483229787,1779177344,18108791,0.000
1320503225559,1779177344,38104979,0.000
1320523226004,1779177344,58102576,0.000
1320543222481,1779177344,78098669,0.000
1320563220782,1779177344,98096682,0.000
1320583220715,1779177344,118096423,0.000
1320603217543,1779177344,138093379,0.000
1320623218852,1779177344,158094592,0.000
1320643218785,1779177344,178094621,0.000
1320663218462,1779177344,198094426,0.000
1320683218779,1779177344,218094583,0.000
1320703226488,1779177344,238103540,0.000
1320723222677,1779177344,258101105,0.000
1320743225042,1779177344,278101838,0.000
1320763230575,1779177344,298114027,0.000
1320783224459,1779177344,318100903,0.000
1320803222600,1779177344,338098692,0.000
1320823220005,1779177344,358095809,0.000
1320843219010,1779177344,378095006,0.000
1320863224863,1779177344,398101979,0.000
1320883222268,1779177344,418100024,0.000
1320903222137,1779177344,438098965,0.000
