monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cpu_percent
1324083229628,1779177347,618113336,ekf_localization,9758,1.667
1324083229628,1779177347,618113336,gpu_amcl_cpp,9756,2.500
1324083229628,1779177347,618113336,odom_fused,9754,1.667
1324083229628,1779177347,618113336,performance_monitor,9713,1.667
1324083229628,1779177347,618113336,pipeline_latency_monitor,9711,2.500
1324083229628,1779177347,618113336,state_publisher,9825,1.667
1324283232984,1779177347,825467213,ackermann_mux,9898,0.000
1324283232984,1779177347,825467213,ackermann_to_vesc_node,9878,0.000
1324283232984,1779177347,825467213,ekf_localization,9758,4.167
1324283232984,1779177347,825467213,gpu_amcl_cpp,9756,3.333
1324283232984,1779177347,825467213,hokuyo_scip_driver,9906,0.000
1324283232984,1779177347,825467213,joy,9882,0.000
1324283232984,1779177347,825467213,joy_teleop,9896,0.000
1324283232984,1779177347,825467213,lifecycle_manager_map,9872,0.000
1324283232984,1779177347,825467213,map_server,9870,0.000
1324283232984,1779177347,825467213,odom_fused,9754,4.167
1324283232984,1779177347,825467213,performance_monitor,9713,4.167
1324283232984,1779177347,825467213,pipeline_latency_monitor,9711,3.333
1324283232984,1779177347,825467213,scan_splitter_node,9923,0.000
1324283232984,1779177347,825467213,state_publisher,9825,4.167
1324283232984,1779177347,825467213,static_baselink_to_imu,9936,0.000
1324283232984,1779177347,825467213,static_baselink_to_laser,9934,0.000
1324283232984,1779177347,825467213,system_monitor,9880,0.000
1324283232984,1779177347,825467213,vesc_driver_node,9874,0.000
1324283232984,1779177347,825467213,vesc_to_odom_node,9876,0.000
1324483229010,1779177348,18109582,ackermann_mux,9898,5.000
1324483229010,1779177348,18109582,ackermann_to_vesc_node,9878,4.167
1324483229010,1779177348,18109582,ekf_localization,9758,3.333
1324483229010,1779177348,18109582,gpu_amcl_cpp,9756,1.667
1324483229010,1779177348,18109582,hokuyo_scip_driver,9906,4.167
1324483229010,1779177348,18109582,joy,9882,5.833
1324483229010,1779177348,18109582,joy_teleop,9896,1.667
1324483229010,1779177348,18109582,lifecycle_manager_map,9872,4.167
1324483229010,1779177348,18109582,map_server,9870,4.167
1324483229010,1779177348,18109582,odom_fused,9754,3.333
1324483229010,1779177348,18109582,performance_monitor,9713,4.167
1324483229010,1779177348,18109582,pipeline_latency_monitor,9711,3.333
1324483229010,1779177348,18109582,scan_splitter_node,9923,3.333
1324483229010,1779177348,18109582,state_publisher,9825,4.167
1324483229010,1779177348,18109582,static_baselink_to_imu,9936,5.000
1324483229010,1779177348,18109582,static_baselink_to_laser,9934,4.167
1324483229010,1779177348,18109582,system_monitor,9880,5.000
1324483229010,1779177348,18109582,vesc_driver_node,9874,5.000
1324483229010,1779177348,18109582,vesc_to_odom_node,9876,3.333
1324683225154,1779177348,218104062,ackermann_mux,9898,2.500
1324683225154,1779177348,218104062,ackermann_to_vesc_node,9878,4.167
1324683225154,1779177348,218104062,ekf_localization,9758,4.167
1324683225154,1779177348,218104062,gpu_amcl_cpp,9756,3.333
1324683225154,1779177348,218104062,hokuyo_scip_driver,9906,1.667
1324683225154,1779177348,218104062,joy,9882,3.333
1324683225154,1779177348,218104062,joy_teleop,9896,5.000
1324683225154,1779177348,218104062,lifecycle_manager_map,9872,5.000
1324683225154,1779177348,218104062,map_server,9870,1.667
1324683225154,1779177348,218104062,odom_fused,9754,2.500
1324683225154,1779177348,218104062,performance_monitor,9713,3.333
1324683225154,1779177348,218104062,pipeline_latency_monitor,9711,5.000
1324683225154,1779177348,218104062,scan_splitter_node,9923,6.667
1324683225154,1779177348,218104062,state_publisher,9825,3.333
1324683225154,1779177348,218104062,static_baselink_to_imu,9936,3.333
1324683225154,1779177348,218104062,static_baselink_to_laser,9934,3.333
1324683225154,1779177348,218104062,system_monitor,9880,5.000
1324683225154,1779177348,218104062,vesc_driver_node,9874,5.000
1324683225154,1779177348,218104062,vesc_to_odom_node,9876,5.000
1324883364469,1779177348,418243601,ackermann_mux,9898,0.000
1324883364469,1779177348,418243601,ackermann_to_vesc_node,9878,1.666
1324883364469,1779177348,418243601,ekf_localization,9758,1.666
1324883364469,1779177348,418243601,gpu_amcl_cpp,9756,1.666
1324883364469,1779177348,418243601,hokuyo_scip_driver,9906,0.833
1324883364469,1779177348,418243601,joy,9882,0.833
1324883364469,1779177348,418243601,joy_teleop,9896,13.324
1324883364469,1779177348,418243601,lifecycle_manager_map,9872,0.000
1324883364469,1779177348,418243601,map_server,9870,0.000
1324883364469,1779177348,418243601,odom_fused,9754,1.666
1324883364469,1779177348,418243601,performance_monitor,9713,1.666
1324883364469,1779177348,418243601,pipeline_latency_monitor,9711,0.833
1324883364469,1779177348,418243601,scan_splitter_node,9923,0.833
1324883364469,1779177348,418243601,state_publisher,9825,0.833
1324883364469,1779177348,418243601,static_baselink_to_imu,9936,0.833
1324883364469,1779177348,418243601,static_baselink_to_laser,9934,0.833
1324883364469,1779177348,418243601,system_monitor,9880,9.160
1324883364469,1779177348,418243601,vesc_driver_node,9874,3.331
1324883364469,1779177348,418243601,vesc_to_odom_node,9876,3.331
1325083227009,1779177348,618108957,ackermann_mux,9898,3.336
