CAND_ID,RICCATI_W,RICCATI_I,ACCUM_W,ACCUM_I,GUARD,CSIM_PASS,PASS_RATE,AVG_ITERS,STATUS
r32i16_a16i8_g18,32,16,16,8,18,1,100.0,6.9,done
r30i15_a24i12_g14,30,15,24,12,14,0,N/A,N/A,done
r30i15_a22i11_g18,30,15,22,11,18,0,N/A,N/A,done
r30i15_a22i11_g16,30,15,22,11,16,1,100.0,14.7,done
r30i15_a20i10_g20,30,15,20,10,20,0,N/A,N/A,done
r30i15_a22i11_g12,30,15,22,11,12,0,N/A,N/A,done
r30i15_a20i10_g18,30,15,20,10,18,0,N/A,N/A,done
r30i15_a20i10_g16,30,15,20,10,16,1,100.0,14.7,done
r30i15_a18i9_g20,30,15,18,9,20,0,N/A,N/A,done
r30i15_a20i10_g12,30,15,20,10,12,0,N/A,N/A,done
r30i15_a22i11_g14,30,15,22,11,14,0,N/A,N/A,done
r30i15_a18i9_g18,30,15,18,9,18,0,N/A,N/A,done
r30i15_a18i9_g16,30,15,18,9,16,1,100.0,14.7,done
r30i15_a18i9_g12,30,15,18,9,12,0,N/A,N/A,done
r30i15_a20i10_g14,30,15,20,10,14,0,N/A,N/A,done
r30i15_a16i8_g20,30,15,16,8,20,0,N/A,N/A,done
r30i15_a16i8_g16,30,15,16,8,16,1,100.0,14.7,done
r30i15_a16i8_g18,30,15,16,8,18,0,N/A,N/A,done
r30i15_a18i9_g14,30,15,18,9,14,0,N/A,N/A,done
r30i15_a16i8_g12,30,15,16,8,12,0,N/A,N/A,done
r30i15_a14i7_g18,30,15,14,7,18,0,N/A,N/A,done
r30i15_a14i7_g20,30,15,14,7,20,0,N/A,N/A,done
r30i15_a14i7_g16,30,15,14,7,16,1,100.0,14.7,done
r28i14_a24i12_g20,28,14,24,12,20,1,100.0,3.4,done
r28i14_a24i12_g18,28,14,24,12,18,1,100.0,3.4,done
r30i15_a16i8_g14,30,15,16,8,14,0,N/A,N/A,done
r30i15_a14i7_g12,30,15,14,7,12,0,N/A,N/A,done
r28i14_a24i12_g16,28,14,24,12,16,1,100.0,3.4,done
r28i14_a22i11_g20,28,14,22,11,20,1,100.0,3.4,done
r28i14_a22i11_g16,28,14,22,11,16,1,100.0,3.4,done
r28i14_a22i11_g18,28,14,22,11,18,1,100.0,3.4,done
r30i15_a14i7_g14,30,15,14,7,14,0,N/A,N/A,done
r28i14_a24i12_g12,28,14,24,12,12,0,N/A,N/A,done
r32i16_a14i7_g20,32,16,14,7,20,1,100.0,6.7,done
r28i14_a20i10_g20,28,14,20,10,20,1,100.0,3.4,done
r28i14_a20i10_g16,28,14,20,10,16,1,100.0,3.4,done
r28i14_a20i10_g18,28,14,20,10,18,1,100.0,3.4,done
r28i14_a22i11_g12,28,14,22,11,12,0,N/A,N/A,done
r28i14_a24i12_g14,28,14,24,12,14,0,N/A,N/A,done
r28i14_a18i9_g20,28,14,18,9,20,1,100.0,3.4,done
r28i14_a18i9_g18,28,14,18,9,18,1,100.0,3.4,done
r28i14_a20i10_g12,28,14,20,10,12,0,N/A,N/A,done
r28i14_a18i9_g16,28,14,18,9,16,1,100.0,3.4,done
r28i14_a22i11_g14,28,14,22,11,14,0,N/A,N/A,done
r28i14_a16i8_g20,28,14,16,8,20,1,100.0,3.4,done
r28i14_a16i8_g18,28,14,16,8,18,1,100.0,3.4,done
r28i14_a18i9_g12,28,14,18,9,12,0,N/A,N/A,done
r28i14_a16i8_g16,28,14,16,8,16,1,100.0,3.4,done
r28i14_a14i7_g20,28,14,14,7,20,1,100.0,3.4,done
r28i14_a20i10_g14,28,14,20,10,14,0,N/A,N/A,done
r28i14_a14i7_g18,28,14,14,7,18,1,100.0,3.4,done
r28i14_a14i7_g16,28,14,14,7,16,1,100.0,3.4,done
r28i14_a16i8_g12,28,14,16,8,12,0,N/A,N/A,done
r28i14_a18i9_g14,28,14,18,9,14,0,N/A,N/A,done
r26i13_a24i12_g20,26,13,24,12,20,1,100.0,4.2,done
r26i13_a24i12_g18,26,13,24,12,18,1,100.0,4.2,done
r26i13_a24i12_g16,26,13,24,12,16,1,100.0,4.2,done
r28i14_a14i7_g12,28,14,14,7,12,0,N/A,N/A,done
r28i14_a16i8_g14,28,14,16,8,14,0,N/A,N/A,done
r26i13_a22i11_g20,26,13,22,11,20,1,100.0,4.2,done
r26i13_a22i11_g18,26,13,22,11,18,1,100.0,4.2,done
r26i13_a24i12_g12,26,13,24,12,12,0,N/A,N/A,done
r26i13_a22i11_g16,26,13,22,11,16,1,100.0,4.2,done
r26i13_a24i12_g14,26,13,24,12,14,0,N/A,N/A,done
r28i14_a14i7_g14,28,14,14,7,14,0,N/A,N/A,done
r26i13_a20i10_g20,26,13,20,10,20,1,100.0,4.2,done
r26i13_a20i10_g18,26,13,20,10,18,1,100.0,4.2,done
r26i13_a22i11_g12,26,13,22,11,12,0,N/A,N/A,done
r26i13_a20i10_g16,26,13,20,10,16,1,100.0,4.2,done
r26i13_a22i11_g14,26,13,22,11,14,0,N/A,N/A,done
r26i13_a18i9_g20,26,13,18,9,20,1,100.0,4.2,done
r26i13_a18i9_g18,26,13,18,9,18,1,100.0,4.2,done
r26i13_a18i9_g16,26,13,18,9,16,1,100.0,4.2,done
r26i13_a20i10_g12,26,13,20,10,12,0,N/A,N/A,done
r26i13_a20i10_g14,26,13,20,10,14,0,N/A,N/A,done
r26i13_a16i8_g20,26,13,16,8,20,1,100.0,4.2,done
r26i13_a16i8_g18,26,13,16,8,18,1,100.0,4.2,done
r26i13_a16i8_g16,26,13,16,8,16,1,100.0,4.2,done
r32i16_a14i7_g18,32,16,14,7,18,1,100.0,6.9,done
r26i13_a18i9_g12,26,13,18,9,12,0,N/A,N/A,done
r26i13_a14i7_g20,26,13,14,7,20,1,100.0,4.2,done
r26i13_a18i9_g14,26,13,18,9,14,0,N/A,N/A,done
r26i13_a14i7_g18,26,13,14,7,18,1,100.0,4.2,done
r26i13_a14i7_g16,26,13,14,7,16,1,100.0,4.2,done
r24i12_a24i12_g20,24,12,24,12,20,0,N/A,N/A,done
r26i13_a16i8_g12,26,13,16,8,12,0,N/A,N/A,done
r24i12_a24i12_g18,24,12,24,12,18,0,N/A,N/A,done
r26i13_a16i8_g14,26,13,16,8,14,0,N/A,N/A,done
r24i12_a24i12_g16,24,12,24,12,16,0,N/A,N/A,done
r24i12_a24i12_g14,24,12,24,12,14,0,N/A,N/A,done
r24i12_a24i12_g12,24,12,24,12,12,0,N/A,N/A,done
r26i13_a14i7_g12,26,13,14,7,12,0,N/A,N/A,done
r26i13_a14i7_g14,26,13,14,7,14,0,N/A,N/A,done
r24i12_a22i11_g20,24,12,22,11,20,0,N/A,N/A,done
r24i12_a22i11_g16,24,12,22,11,16,0,N/A,N/A,done
r24i12_a22i11_g18,24,12,22,11,18,0,N/A,N/A,done
r24i12_a22i11_g12,24,12,22,11,12,0,N/A,N/A,done
r24i12_a20i10_g20,24,12,20,10,20,0,N/A,N/A,done
r24i12_a22i11_g14,24,12,22,11,14,0,N/A,N/A,done
r24i12_a20i10_g18,24,12,20,10,18,0,N/A,N/A,done
r24i12_a20i10_g16,24,12,20,10,16,0,N/A,N/A,done
r24i12_a20i10_g12,24,12,20,10,12,0,N/A,N/A,done
r24i12_a20i10_g14,24,12,20,10,14,0,N/A,N/A,done
r24i12_a18i9_g20,24,12,18,9,20,0,N/A,N/A,done
r24i12_a18i9_g16,24,12,18,9,16,0,N/A,N/A,done
r24i12_a18i9_g18,24,12,18,9,18,0,N/A,N/A,done
r24i12_a16i8_g20,24,12,16,8,20,0,N/A,N/A,done
r24i12_a18i9_g12,24,12,18,9,12,0,N/A,N/A,done
r24i12_a16i8_g18,24,12,16,8,18,0,N/A,N/A,done
r24i12_a18i9_g14,24,12,18,9,14,0,N/A,N/A,done
r24i12_a16i8_g16,24,12,16,8,16,0,N/A,N/A,done
r24i12_a16i8_g12,24,12,16,8,12,0,N/A,N/A,done
r24i12_a16i8_g14,24,12,16,8,14,0,N/A,N/A,done
r24i12_a14i7_g20,24,12,14,7,20,0,N/A,N/A,done
r24i12_a14i7_g16,24,12,14,7,16,0,N/A,N/A,done
r24i12_a14i7_g18,24,12,14,7,18,0,N/A,N/A,done
r24i12_a14i7_g12,24,12,14,7,12,0,N/A,N/A,done
r22i11_a22i11_g20,22,11,22,11,20,0,N/A,N/A,done
r24i12_a14i7_g14,24,12,14,7,14,0,N/A,N/A,done
r22i11_a22i11_g18,22,11,22,11,18,0,N/A,N/A,done
r22i11_a22i11_g16,22,11,22,11,16,0,N/A,N/A,done
r22i11_a22i11_g14,22,11,22,11,14,0,N/A,N/A,done
r22i11_a22i11_g12,22,11,22,11,12,0,N/A,N/A,done
r22i11_a24i12_g20,22,11,24,12,20,1,100.0,10.7,done
r22i11_a24i12_g16,22,11,24,12,16,1,100.0,10.7,done
r22i11_a24i12_g18,22,11,24,12,18,1,100.0,10.7,done
r22i11_a20i10_g18,22,11,20,10,18,1,100.0,10.7,done
r22i11_a20i10_g20,22,11,20,10,20,1,100.0,10.7,done
r22i11_a20i10_g16,22,11,20,10,16,1,100.0,10.7,done
r22i11_a24i12_g14,22,11,24,12,14,1,100.0,12.2,done
r32i16_a22i11_g12,32,16,22,11,12,0,N/A,N/A,done
r32i16_a20i10_g12,32,16,20,10,12,0,N/A,N/A,done
r22i11_a20i10_g14,22,11,20,10,14,1,100.0,12.2,done
r32i16_a24i12_g12,32,16,24,12,12,0,N/A,N/A,done
r32i16_a18i9_g12,32,16,18,9,12,0,N/A,N/A,done
r22i11_a24i12_g12,22,11,24,12,12,1,100.0,14.3,done
r22i11_a20i10_g12,22,11,20,10,12,1,100.0,14.3,done
r32i16_a16i8_g12,32,16,16,8,12,0,N/A,N/A,done
r32i16_a14i7_g12,32,16,14,7,12,0,N/A,N/A,done
r22i11_a18i9_g20,22,11,18,9,20,1,100.0,10.7,done
r22i11_a18i9_g18,22,11,18,9,18,1,100.0,10.7,done
r22i11_a18i9_g16,22,11,18,9,16,1,100.0,10.7,done
r22i11_a16i8_g20,22,11,16,8,20,1,100.0,10.7,done
r22i11_a16i8_g18,22,11,16,8,18,1,100.0,10.7,done
r22i11_a16i8_g16,22,11,16,8,16,1,100.0,10.7,done
r22i11_a18i9_g14,22,11,18,9,14,1,100.0,12.2,done
r22i11_a14i7_g20,22,11,14,7,20,1,100.0,10.7,done
r22i11_a16i8_g14,22,11,16,8,14,1,100.0,12.2,done
r22i11_a14i7_g18,22,11,14,7,18,1,100.0,10.7,done
r20i10_a20i10_g20,20,10,20,10,20,0,N/A,N/A,done
r22i11_a14i7_g16,22,11,14,7,16,1,100.0,10.7,done
r20i10_a20i10_g18,20,10,20,10,18,0,N/A,N/A,done
r20i10_a20i10_g16,20,10,20,10,16,0,N/A,N/A,done
r20i10_a20i10_g14,20,10,20,10,14,0,N/A,N/A,done
r20i10_a20i10_g12,20,10,20,10,12,0,N/A,N/A,done
r22i11_a18i9_g12,22,11,18,9,12,1,100.0,14.3,done
r22i11_a14i7_g14,22,11,14,7,14,1,100.0,12.2,done
r22i11_a16i8_g12,22,11,16,8,12,1,100.0,14.3,done
