wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,amcl_processing_ms,amcl_pose_compute_ms,cpu_to_gpu_scan_ms,gpu_to_cpu_particles_ms,gpu_to_cpu_weights_ms,cpu_gpu_transfer_total_ms,cpu_to_gpu_scan_bytes,gpu_to_cpu_particles_bytes,gpu_to_cpu_weights_bytes,amcl_predict_ms,amcl_sensor_model_ms,amcl_normalize_ms,amcl_scan_confidence_ms,amcl_update_weights_total_ms,amcl_cluster_estimate_ms,amcl_resample_ms,amcl_kld_target_ms,amcl_full_compute_ms,amcl_callback_to_pose_publish_ms,amcl_pose_published,amcl_cluster_weight,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779707265002251979,1779707264996453078,0.539,2000,1.231,1.293,0.032,nan,nan,0.032,1084.000,0.000,0.000,0.411,0.282,0.066,0.041,0.439,0.441,0.028,nan,1.322,1.447,1.000,0.998,1.162,3.632,4.794,0.057,0.406,5.257
1779707265022194107,1779707265016372229,0.278,2000,1.446,1.199,0.030,nan,nan,0.030,1084.000,0.000,0.000,0.399,0.253,0.050,0.038,0.391,0.407,0.032,nan,1.231,1.347,1.000,0.999,2.216,2.785,5.001,0.441,0.099,5.541
1779707265052627570,1779707265046356878,0.212,2000,1.446,1.238,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.403,0.245,0.073,0.038,0.405,0.428,0.207,nan,1.446,1.560,1.000,1.000,1.517,3.812,5.329,0.147,0.579,6.055
1779707265102363621,1779707265096351721,0.552,2000,1.320,1.285,0.033,nan,nan,0.033,1084.000,0.000,0.000,0.422,0.257,0.069,0.040,0.420,0.441,0.034,nan,1.320,1.442,1.000,0.985,1.429,3.608,5.038,0.062,0.357,5.457
1779707265120215859,1779707265116345370,0.566,2000,1.438,1.409,0.038,nan,nan,0.038,1084.000,0.000,0.000,0.418,0.258,0.079,0.044,0.443,0.545,0.028,nan,1.438,1.691,1.000,0.994,1.335,1.155,2.489,0.344,0.468,3.300
1779707265152196411,1779707265146377189,0.602,2000,1.283,1.251,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.400,0.249,0.065,0.040,0.412,0.437,0.031,nan,1.283,1.398,1.000,0.997,1.316,3.512,4.829,0.202,0.184,5.214
1779707265182119394,1779707265176359182,0.224,2000,1.277,1.250,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.418,0.258,0.071,0.040,0.426,0.404,0.026,nan,1.277,1.387,1.000,0.998,2.064,3.141,5.205,0.188,0.140,5.532
1779707265202460350,1779707265196361087,0.231,2000,1.577,1.364,0.037,nan,nan,0.037,1084.000,0.000,0.000,0.489,0.256,0.074,0.040,0.430,0.443,0.213,nan,1.577,1.695,1.000,0.999,1.799,4.037,5.836,0.023,0.007,5.866
1779707265232227712,1779707265226418123,0.237,2000,1.359,1.325,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.432,0.268,0.073,0.043,0.440,0.450,0.034,nan,1.359,1.468,1.000,0.985,1.573,3.549,5.122,0.268,0.179,5.569
1779707265252585277,1779707265246572097,0.371,2000,1.248,1.215,0.037,nan,nan,0.037,1084.000,0.000,0.000,0.412,0.248,0.055,0.040,0.403,0.398,0.032,nan,1.248,1.359,1.000,0.995,1.345,3.977,5.322,0.152,0.166,5.640
1779707265282236508,1779707265276509993,0.534,2000,1.319,1.291,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.412,0.264,0.078,0.040,0.442,0.434,0.028,nan,1.319,1.436,1.000,0.997,1.297,3.442,4.739,0.277,0.174,5.190
1779707265302315631,1779707265296459640,0.296,2000,1.263,1.263,0.039,nan,nan,0.039,1084.000,0.000,0.000,0.410,0.254,0.074,0.042,0.434,0.417,0.032,nan,1.296,1.420,1.000,0.999,1.431,3.609,5.040,0.058,0.459,5.557
1779707265332807720,1779707265326542437,0.313,2000,1.263,1.226,0.033,nan,nan,0.033,1084.000,0.000,0.000,0.396,0.251,0.072,0.038,0.415,0.413,0.036,nan,1.263,1.376,1.000,0.999,2.125,2.860,4.984,0.735,0.231,5.950
1779707265353051137,1779707265346552950,1.330,2000,1.775,1.580,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.408,0.498,0.174,0.044,0.761,0.410,0.194,nan,1.775,1.882,1.000,0.999,0.473,3.529,4.002,0.783,0.380,5.165
1779707265382563100,1779707265376378586,0.265,2000,1.273,1.240,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.402,0.253,0.061,0.038,0.399,0.437,0.033,nan,1.273,1.373,1.000,0.988,1.487,3.591,5.078,0.762,0.077,5.916
1779707265402762547,1779707265396479407,0.216,2000,1.352,1.323,0.043,nan,nan,0.043,1084.000,0.000,0.000,0.426,0.252,0.068,0.040,0.429,0.466,0.028,nan,1.352,1.476,1.000,0.997,1.812,3.360,5.172,0.771,0.121,6.064
1779707265432835487,1779707265426419671,0.172,2000,1.503,1.289,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.406,0.246,0.049,0.037,0.378,0.503,0.214,nan,1.503,1.613,1.000,0.999,1.552,3.963,5.516,0.617,0.109,6.241
1779707265482701878,1779707265476445586,1.189,2000,1.277,1.244,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.412,0.259,0.065,0.042,0.428,0.401,0.033,nan,1.277,1.391,1.000,0.999,0.820,3.263,4.083,0.894,0.086,5.063
1779707265522687608,1779707265516344562,0.470,2000,1.242,1.215,0.027,nan,nan,0.027,1084.000,0.000,0.000,0.404,0.241,0.050,0.037,0.371,0.438,0.028,nan,1.243,1.360,1.000,0.992,1.640,3.614,5.254,0.562,0.056,5.871
1779707265524322251,1779707265496572296,0.238,2000,1.480,1.274,0.037,nan,nan,0.037,1084.000,0.000,0.000,0.412,0.247,0.069,0.043,0.418,0.442,0.206,nan,1.480,1.593,1.000,0.999,1.459,3.932,5.391,0.638,-1.000,-1.000
1779707265552978315,1779707265546376636,0.427,2000,1.242,1.211,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.409,0.234,0.047,0.039,0.368,0.431,0.030,nan,1.242,1.370,1.000,0.998,1.411,4.011,5.421,0.614,0.136,6.172
1779707265582792719,1779707265576392263,0.245,2000,1.345,1.318,0.039,nan,nan,0.039,1084.000,0.000,0.000,0.414,0.260,0.072,0.041,0.436,0.466,0.026,nan,1.345,1.457,1.000,0.999,1.844,3.110,4.954,0.823,0.375,6.152
1779707265603577337,1779707265596544701,0.586,2000,1.449,1.254,0.037,nan,nan,0.037,1084.000,0.000,0.000,0.413,0.238,0.055,0.037,0.390,0.449,0.194,nan,1.449,1.571,1.000,0.999,1.669,3.757,5.426,0.969,0.049,6.444
1779707265632805642,1779707265626344800,0.654,2000,1.340,1.307,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.412,0.257,0.075,0.043,0.435,0.458,0.033,nan,1.340,1.455,1.000,0.995,1.369,3.629,4.998,0.644,0.161,5.803
1779707265673184696,1779707265646361042,0.233,2000,1.380,1.344,0.040,nan,nan,0.040,1084.000,0.000,0.000,0.435,0.282,0.071,0.041,0.459,0.448,0.036,nan,1.380,1.498,1.000,0.999,2.312,2.916,5.228,0.735,-1.000,-1.000
1779707265683639519,1779707265676353820,0.311,2000,1.965,1.932,0.395,nan,nan,0.395,1084.000,0.000,0.000,0.742,0.243,0.068,0.040,0.779,0.408,0.033,nan,1.965,2.091,1.000,1.000,1.584,4.384,5.967,0.810,0.194,6.971
1779707265703385545,1779707265696383246,0.394,2000,1.303,1.271,0.043,nan,nan,0.043,1084.000,0.000,0.000,0.435,0.245,0.070,0.041,0.423,0.411,0.031,nan,1.303,1.436,1.000,1.000,1.513,4.242,5.755,0.705,0.145,6.605
1779707265733192236,1779707265726352950,0.879,2000,1.462,1.268,0.044,nan,nan,0.044,1084.000,0.000,0.000,0.426,0.239,0.054,0.039,0.399,0.440,0.193,nan,1.462,1.588,1.000,1.000,1.182,3.985,5.167,0.678,0.112,5.957
1779707265752602475,1779707265746379305,0.210,2000,1.459,1.431,0.043,nan,nan,0.043,1084.000,0.000,0.000,0.477,0.297,0.082,0.046,0.493,0.459,0.028,nan,1.459,1.577,1.000,0.995,2.223,2.999,5.222,0.720,0.068,6.010
