x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
5.0059; -5.2605; 0.5114; 1.0400; 0.0045; 53.9277; 0.0079; 2.5000
5.1776; -5.2593; 0.5668; 1.0339; 0.0012; 54.0993; -0.0183; 2.5000
5.3470; -5.2601; 0.5467; 1.0322; -0.0185; 54.2687; -0.0387; 2.5000
5.5217; -5.2656; 0.4385; 1.0683; -0.0465; 54.4435; -0.0414; 2.5000
5.7007; -5.2766; 0.4487; 1.0672; -0.0766; 54.6228; -0.0432; 2.5000
5.8807; -5.2932; 0.4550; 1.0986; -0.1091; 54.8036; -0.0475; 2.5000
6.0589; -5.3158; 0.4146; 1.1042; -0.1449; 54.9832; -0.0522; 2.5000
6.2345; -5.3448; 0.4636; 1.1556; -0.1832; 55.1613; -0.0553; 2.5000
6.4084; -5.3806; 0.4216; 1.1976; -0.2232; 55.3388; -0.0571; 2.5000
6.5813; -5.4235; 0.4622; 1.2005; -0.2641; 55.5170; -0.0575; 2.5000
6.7532; -5.4738; 0.4008; 1.2665; -0.3053; 55.6960; -0.0580; 2.5000
6.9226; -5.5311; 0.4263; 1.2356; -0.3474; 55.8748; -0.0603; 2.5000
7.0879; -5.5950; 0.4052; 1.2062; -0.3908; 56.0521; -0.0625; 2.5000
7.2482; -5.6652; 0.3701; 1.1471; -0.4321; 56.2270; -0.0551; 2.5000
7.4049; -5.7411; 0.3782; 1.0974; -0.4662; 56.4012; -0.0422; 2.5000
7.5604; -5.8223; 0.4628; 0.9977; -0.4909; 56.5766; -0.0281; 2.5000
7.7170; -5.9080; 0.4700; 0.9478; -0.5068; 56.7552; -0.0168; 2.5000
7.8749; -5.9969; 0.4994; 0.8155; -0.5160; 56.9364; -0.0087; 2.5000
8.0325; -6.0870; 0.6015; 0.7385; -0.5195; 57.1179; -0.0012; 2.5000
8.1882; -6.1761; 0.6615; 0.6084; -0.5170; 57.2972; 0.0083; 2.5000
8.3414; -6.2626; 0.8128; 0.5296; -0.5062; 57.4732; 0.0225; 2.5000
8.4944; -6.3459; 0.8952; 0.4394; -0.4854; 57.6474; 0.0369; 2.5000
8.6501; -6.4254; 0.9764; 0.3561; -0.4554; 57.8222; 0.0482; 2.5000
8.8105; -6.5007; 1.0818; 0.3201; -0.4207; 57.9995; 0.0498; 2.5000
8.9757; -6.5711; 1.1860; 0.3611; -0.3854; 58.1790; 0.0488; 2.5000
9.1444; -6.6361; 1.2849; 0.3820; -0.3502; 58.3598; 0.0492; 2.5000
9.3152; -6.6951; 1.3553; 0.3877; -0.3144; 58.5405; 0.0500; 2.5000
9.4873; -6.7476; 1.2569; 0.4965; -0.2782; 58.7204; 0.0509; 2.5000
9.6596; -6.7935; 1.1449; 0.5872; -0.2414; 58.8988; 0.0525; 2.5000
9.8316; -6.8324; 1.0160; 0.5725; -0.2043; 59.0751; 0.0528; 2.5000
10.0028; -6.8646; 0.8203; 0.6658; -0.1699; 59.2492; 0.0455; 2.5000
10.1741; -6.8912; 0.6630; 0.7095; -0.1419; 59.4226; 0.0350; 2.5000
10.3470; -6.9137; 0.5676; 0.6473; -0.1216; 59.5970; 0.0232; 2.5000
10.5224; -6.9337; 0.5035; 0.7029; -0.1110; 59.7735; 0.0071; 2.5000
10.7002; -6.9531; 0.5097; 0.6477; -0.1123; 59.9524; -0.0107; 2.5000
10.8791; -6.9739; 0.4416; 0.7130; -0.1262; 60.1325; -0.0279; 2.5000
11.0579; -6.9985; 0.3945; 0.7160; -0.1496; 60.3130; -0.0368; 2.5000
11.2361; -7.0278; 0.4536; 0.6450; -0.1745; 60.4936; -0.0321; 2.5000
11.4139; -7.0612; 0.4665; 0.5963; -0.1956; 60.6745; -0.0261; 2.5000
11.5916; -7.0982; 0.4608; 0.5969; -0.2123; 60.8560; -0.0199; 2.5000
11.7695; -7.1379; 0.5293; 0.5805; -0.2245; 61.0382; -0.0137; 2.5000
11.9475; -7.1794; 0.5232; 0.5199; -0.2322; 61.2210; -0.0075; 2.5000
12.1255; -7.2221; 0.5440; 0.5349; -0.2358; 61.4041; -0.0022; 2.5000
12.3033; -7.2649; 0.5293; 0.5408; -0.2403; 61.5870; -0.0100; 2.5000
12.4811; -7.3092; 0.5894; 0.5348; -0.2542; 61.7702; -0.0280; 2.5000
12.6590; -7.3574; 0.6332; 0.4752; -0.2813; 61.9545; -0.0451; 2.5000
12.8374; -7.4121; 0.5909; 0.5065; -0.3172; 62.1411; -0.0509; 2.5000
13.0160; -7.4745; 0.5983; 0.4572; -0.3503; 62.3303; -0.0372; 2.5000
13.1932; -7.5421; 0.6344; 0.4650; -0.3728; 62.5199; -0.0227; 2.5000
13.3675; -7.6120; 0.6257; 0.4317; -0.3855; 62.7077; -0.0111; 2.5000
13.5375; -7.6819; 0.6534; 0.4204; -0.3952; 62.8915; -0.0152; 2.5000
13.7044; -7.7526; 0.7282; 0.3911; -0.4100; 63.0728; -0.0254; 2.5000
13.8702; -7.8265; 0.7094; 0.4504; -0.4317; 63.2543; -0.0338; 2.5000
14.0368; -7.9057; 0.7252; 0.4100; -0.4568; 63.4388; -0.0342; 2.5000
14.2040; -7.9905; 0.7531; 0.4118; -0.4804; 63.6263; -0.0294; 2.5000
14.3692; -8.0789; 0.7419; 0.4038; -0.5011; 63.8136; -0.0263; 2.5000
14.5294; -8.1688; 0.7515; 0.4343; -0.5191; 63.9974; -0.0227; 2.5000
14.6836; -8.2586; 0.7810; 0.4746; -0.5317; 64.1758; -0.0120; 2.5000
14.8352; -8.3486; 0.7944; 0.4784; -0.5354; 64.3521; 0.0015; 2.5000
14.9886; -8.4395; 0.7953; 0.5159; -0.5305; 64.5305; 0.0119; 2.5000
15.1477; -8.5319; 0.8064; 0.5210; -0.5258; 64.7144; 0.0013; 2.5000
15.3090; -8.6254; 0.7668; 0.6169; -0.5326; 64.9009; -0.0200; 2.5000
15.4656; -8.7193; 0.7512; 0.7110; -0.5562; 65.0834; -0.0470; 2.5000
15.6102; -8.8127; 0.7208; 0.7791; -0.6014; 65.2555; -0.0865; 2.5000
15.7407; -8.9081; 0.6680; 0.9708; -0.6709; 65.4172; -0.1243; 2.5000
15.8619; -9.0125; 0.5333; 1.1097; -0.7566; 65.5772; -0.1355; 2.5000
15.9793; -9.1333; 0.5489; 1.1901; -0.8427; 65.7457; -0.1154; 2.5000
16.0970; -9.2762; 0.4807; 1.3098; -0.9161; 65.9308; -0.0863; 2.5000
16.2135; -9.4384; 0.3622; 1.4253; -0.9774; 66.1305; -0.0700; 2.5000
16.3257; -9.6152; 2.0131; 1.4097; -1.0340; 66.3398; -0.0672; 2.5000
16.4296; -9.8016; 2.0275; 1.3014; -1.1183; 66.5532; -0.1379; 2.5000
16.5079; -9.9902; 2.1066; 1.2241; -1.2975; 66.7575; -0.3320; 2.5000
16.5334; -10.1718; 2.3867; 1.2456; -1.6558; 66.9408; -0.6719; 2.5000
16.4784; -10.3372; 2.7041; 1.4504; -2.1413; 67.1151; -0.6436; 2.5000
16.3358; -10.4796; 3.9914; 1.8082; -2.4868; 67.3167; -0.2865; 2.5000
16.1394; -10.5974; 1.9753; 2.6619; -2.6665; 67.5457; -0.1416; 2.5000
15.9277; -10.6896; 1.1858; 0.4584; -2.7709; 67.7766; -0.0971; 2.5000
15.7338; -10.7551; 1.2748; 0.4151; -2.8676; 67.9812; -0.1435; 2.5000
15.5580; -10.7935; 1.0439; 0.4064; -2.9990; 68.1612; -0.2137; 2.5000
15.3879; -10.8047; 0.9704; 0.4174; 3.1282; 68.3317; -0.2255; 2.5000
15.2117; -10.7888; 0.9120; 0.4538; 2.9938; 68.5086; -0.1530; 2.5000
15.0263; -10.7509; 0.8621; 0.5067; 2.9114; 68.6978; -0.0729; 2.5000
14.8377; -10.7012; 0.8741; 0.4576; 2.8784; 68.8928; -0.0140; 2.5000
14.6523; -10.6501; 0.8676; 0.4810; 2.8829; 69.0852; 0.0270; 2.5000
14.4738; -10.6049; 0.8408; 0.5005; 2.9005; 69.2693; 0.0200; 2.5000
14.2990; -10.5633; 0.8365; 0.4729; 2.9080; 69.4489; 0.0004; 2.5000
14.1236; -10.5216; 0.8169; 0.4425; 2.9020; 69.6292; -0.0167; 2.5000
13.9437; -10.4765; 0.7881; 0.4844; 2.8915; 69.8147; -0.0119; 2.5000
13.7604; -10.4288; 0.8199; 0.4661; 2.8877; 70.0042; 0.0017; 2.5000
13.5773; -10.3814; 0.7573; 0.4571; 2.8940; 70.1933; 0.0154; 2.5000
13.3980; -10.3372; 0.8091; 0.4900; 2.9064; 70.3780; 0.0182; 2.5000
13.2226; -10.2964; 0.8006; 0.4894; 2.9137; 70.5580; 0.0018; 2.5000
13.0462; -10.2556; 0.7787; 0.5012; 2.9085; 70.7391; -0.0156; 2.5000
12.8636; -10.2112; 0.7916; 0.4995; 2.8938; 70.9270; -0.0227; 2.5000
12.6722; -10.1610; 0.7761; 0.5276; 2.8826; 71.1249; -0.0068; 2.5000
12.4792; -10.1093; 0.8088; 0.4940; 2.8849; 71.3247; 0.0132; 2.5000
12.2946; -10.0619; 0.7728; 0.4817; 2.9038; 71.5153; 0.0394; 2.5000
12.1270; -10.0239; 0.8059; 0.4739; 2.9323; 71.6872; 0.0422; 2.5000
11.9702; -9.9930; 0.7513; 0.5009; 2.9482; 71.8470; 0.0042; 2.5000
11.8077; -9.9614; 0.7383; 0.5009; 2.9382; 72.0125; -0.0299; 2.5000
11.6228; -9.9213; 0.7386; 0.4829; 2.9139; 72.2017; -0.0324; 2.5000
11.4099; -9.8692; 0.7354; 0.4969; 2.8918; 72.4209; -0.0210; 2.5000
11.1843; -9.8095; 0.7534; 0.4828; 2.8748; 72.6542; -0.0170; 2.5000
10.9636; -9.7473; 0.7454; 0.4380; 2.8601; 72.8836; -0.0161; 2.5000
10.7615; -9.6872; 0.7592; 0.4199; 2.8522; 73.0944; -0.0011; 2.5000
10.5708; -9.6303; 0.7027; 0.4516; 2.8613; 73.2933; 0.0237; 2.5000
10.3773; -9.5766; 0.7413; 0.5049; 2.8882; 73.4942; 0.0403; 2.5000
10.1672; -9.5258; 0.7593; 0.4481; 2.9163; 73.7104; 0.0256; 2.5000
9.9404; -9.4764; 0.7335; 0.4797; 2.9265; 73.9424; -0.0018; 2.5000
9.7100; -9.4259; 0.7131; 0.4860; 2.9128; 74.1783; -0.0282; 2.5000
9.4893; -9.3714; 0.7268; 0.4755; 2.8794; 74.4056; -0.0476; 2.5000
9.2871; -9.3124; 0.7367; 0.4765; 2.8488; 74.6164; -0.0226; 2.5000
9.0993; -9.2538; 0.7290; 0.4886; 2.8483; 74.8130; 0.0241; 2.5000
8.9203; -9.2016; 0.7010; 0.4901; 2.8846; 74.9995; 0.0745; 2.5000
8.7448; -9.1607; 0.8031; 0.5195; 2.9346; 75.1797; 0.0629; 2.5000
8.5712; -9.1283; 0.7229; 0.5678; 2.9625; 75.3563; 0.0152; 2.5000
8.4001; -9.0983; 0.7695; 0.5532; 2.9554; 75.5300; -0.0362; 2.5000
8.2318; -9.0644; 0.7529; 0.5204; 2.9242; 75.7017; -0.0541; 2.5000
8.0641; -9.0240; 0.7759; 0.5638; 2.8969; 75.8742; -0.0245; 2.5000
7.8916; -8.9794; 0.7467; 0.5558; 2.8906; 76.0523; 0.0057; 2.5000
7.7088; -8.9329; 0.7702; 0.5572; 2.9005; 76.2410; 0.0191; 2.5000
7.5100; -8.8856; 0.7857; 0.5400; 2.9076; 76.4453; -0.0001; 2.5000
7.2902; -8.8332; 0.8363; 0.5621; 2.8992; 76.6713; -0.0165; 2.5000
7.0443; -8.7704; 0.8559; 0.5065; 2.8785; 76.9251; -0.0230; 2.5000
6.7687; -8.6928; 0.8747; 0.5283; 2.8572; 77.2114; -0.0157; 2.5000
6.4764; -8.6044; 0.8763; 0.5038; 2.8439; 77.5168; -0.0071; 2.5000
6.1908; -8.5155; 0.9499; 0.4510; 2.8396; 77.8159; -0.0001; 2.5000
5.9356; -8.4359; 1.0297; 0.4729; 2.8425; 78.0832; 0.0066; 2.5000
5.7173; -8.3695; 1.1020; 0.4909; 2.8491; 78.3114; 0.0070; 2.5000
5.5121; -8.3084; 1.1381; 0.5045; 2.8536; 78.5255; 0.0030; 2.5000
5.2935; -8.2439; 1.2606; 0.4762; 2.8550; 78.7534; 0.0001; 2.5000
5.0383; -8.1688; 1.3678; 0.4718; 2.8572; 79.0194; 0.0035; 2.5000
4.7416; -8.0826; 1.5202; 0.4985; 2.8634; 79.3284; 0.0062; 2.5000
4.4039; -7.9876; 1.9098; 0.4348; 2.8729; 79.6792; 0.0072; 2.5000
4.0269; -7.8858; 1.9025; 0.5085; 2.8823; 80.0697; 0.0053; 2.5000
3.6286; -7.7819; 1.7839; 0.4514; 2.8884; 80.4814; 0.0024; 2.5000
3.2416; -7.6826; 1.6149; 0.4638; 2.8902; 80.8809; -0.0002; 2.5000
2.8990; -7.5946; 1.6120; 0.5326; 2.8874; 81.2346; -0.0045; 2.5000
2.6183; -7.5206; 1.5218; 0.4675; 2.8779; 81.5249; -0.0124; 2.5000
2.3796; -7.4543; 1.5224; 0.4903; 2.8609; 81.7726; -0.0211; 2.5000
2.1575; -7.3878; 1.5131; 0.5035; 2.8401; 82.0044; -0.0216; 2.5000
1.9297; -7.3144; 1.4311; 0.5186; 2.8267; 82.2437; -0.0068; 2.5000
1.6953; -7.2373; 1.4271; 0.5236; 2.8286; 82.4905; 0.0106; 2.5000
1.4630; -7.1634; 1.3892; 0.4900; 2.8479; 82.7343; 0.0304; 2.5000
1.2412; -7.0999; 1.3486; 0.4763; 2.8780; 82.9650; 0.0348; 2.5000
1.0285; -7.0462; 1.3251; 0.4685; 2.8966; 83.1844; 0.0056; 2.5000
0.8116; -6.9925; 1.2531; 0.4625; 2.8874; 83.4078; -0.0239; 2.5000
0.5766; -6.9287; 1.2459; 0.4738; 2.8594; 83.6513; -0.0316; 2.5000
0.3164; -6.8489; 1.1871; 0.5056; 2.8351; 83.9236; -0.0155; 2.5000
0.0466; -6.7610; 1.1590; 0.4706; 2.8256; 84.2073; -0.0020; 2.5000
-0.2122; -6.6761; 1.1302; 0.4705; 2.8304; 84.4797; 0.0123; 2.5000
-0.4413; -6.6041; 1.0072; 0.5618; 2.8447; 84.7198; 0.0182; 2.5000
-0.6396; -6.5453; 0.9694; 0.5269; 2.8565; 84.9266; 0.0084; 2.5000
-0.8171; -6.4939; 0.9578; 0.5805; 2.8560; 85.1114; -0.0116; 2.5000
-0.9836; -6.4443; 0.9213; 0.5860; 2.8414; 85.2851; -0.0303; 2.5000
-1.1459; -6.3922; 0.8628; 0.6443; 2.8177; 85.4556; -0.0390; 2.5000
-1.3055; -6.3362; 0.8274; 0.6925; 2.7889; 85.6247; -0.0458; 2.5000
-1.4633; -6.2753; 0.7246; 0.7426; 2.7554; 85.7939; -0.0528; 2.5000
-1.6202; -6.2082; 0.6568; 0.7765; 2.7146; 85.9645; -0.0669; 2.5000
-1.7751; -6.1334; 0.5765; 0.8834; 2.6629; 86.1366; -0.0830; 2.5000
-1.9268; -6.0492; 0.5625; 0.9391; 2.6003; 86.3101; -0.0973; 2.5000
-2.0738; -5.9539; 0.5012; 1.0688; 2.5342; 86.4853; -0.0917; 2.5000
-2.2159; -5.8482; 0.4716; 1.1530; 2.4764; 86.6623; -0.0718; 2.5000
-2.3534; -5.7346; 0.4715; 1.2852; 2.4319; 86.8407; -0.0535; 2.5000
-2.4867; -5.6155; 0.4056; 1.3870; 2.3972; 87.0194; -0.0437; 2.5000
-2.6161; -5.4926; 0.3890; 1.4677; 2.3639; 87.1979; -0.0497; 2.5000
-2.7408; -5.3653; 0.3407; 1.5465; 2.3257; 87.3761; -0.0575; 2.5000
-2.8604; -5.2329; 0.3464; 1.6677; 2.2821; 87.5545; -0.0645; 2.5000
-2.9740; -5.0948; 0.3331; 1.8237; 2.2346; 87.7334; -0.0684; 2.5000
-3.0809; -4.9510; 0.3570; 1.9001; 2.1844; 87.9125; -0.0721; 2.5000
-3.1800; -4.8023; 0.3627; 2.0200; 2.1313; 88.0912; -0.0768; 2.5000
-3.2704; -4.6491; 0.3850; 2.1076; 2.0754; 88.2691; -0.0805; 2.5000
-3.3515; -4.4918; 0.3410; 2.0895; 2.0177; 88.4461; -0.0823; 2.5000
-3.4231; -4.3305; 0.3273; 2.0483; 1.9592; 88.6226; -0.0834; 2.5000
-3.4851; -4.1653; 0.3762; 2.0498; 1.9003; 88.7990; -0.0836; 2.5000
-3.5373; -3.9966; 0.3981; 2.0710; 1.8418; 88.9756; -0.0819; 2.5000
-3.5797; -3.8246; 0.4608; 2.0473; 1.7845; 89.1527; -0.0800; 2.5000
-3.6125; -3.6500; 0.4452; 2.0434; 1.7283; 89.3304; -0.0782; 2.5000
-3.6355; -3.4732; 0.5109; 1.9453; 1.6732; 89.5088; -0.0765; 2.5000
-3.6490; -3.2950; 0.5028; 1.8907; 1.6190; 89.6874; -0.0756; 2.5000
-3.6527; -3.1166; 0.4864; 1.8443; 1.5650; 89.8659; -0.0759; 2.5000
-3.6469; -2.9389; 0.5082; 1.8844; 1.5106; 90.0436; -0.0773; 2.5000
-3.6314; -2.7627; 0.4936; 1.8379; 1.4553; 90.2205; -0.0789; 2.5000
-3.6062; -2.5880; 0.4921; 1.8043; 1.3992; 90.3971; -0.0798; 2.5000
-3.5711; -2.4147; 0.4430; 1.8118; 1.3428; 90.5739; -0.0794; 2.5000
-3.5261; -2.2429; 0.4107; 1.8340; 1.2873; 90.7514; -0.0770; 2.5000
-3.4716; -2.0731; 0.4349; 1.8566; 1.2334; 90.9298; -0.0744; 2.5000
-3.4079; -1.9059; 0.3935; 1.8312; 1.1808; 91.1088; -0.0725; 2.5000
-3.3354; -1.7417; 0.3916; 1.8733; 1.1287; 91.2882; -0.0730; 2.5000
-3.2543; -1.5813; 0.4096; 1.9560; 1.0754; 91.4679; -0.0757; 2.5000
-3.1647; -1.4259; 0.3867; 1.9849; 1.0199; 91.6473; -0.0793; 2.5000
-3.0668; -1.2762; 0.3781; 2.0453; 0.9628; 91.8262; -0.0803; 2.5000
-2.9608; -1.1328; 0.4021; 2.1037; 0.9077; 92.0045; -0.0743; 2.5000
-2.8474; -0.9954; 0.4456; 2.1149; 0.8573; 92.1827; -0.0670; 2.5000
-2.7275; -0.8633; 0.4744; 2.1562; 0.8122; 92.3610; -0.0596; 2.5000
-2.6019; -0.7363; 0.4524; 2.1547; 0.7719; 92.5397; -0.0534; 2.5000
-2.4718; -0.6145; 0.4943; 2.1743; 0.7356; 92.7179; -0.0488; 2.5000
-2.3389; -0.4983; 0.5003; 2.0916; 0.7022; 92.8944; -0.0459; 2.5000
-2.2045; -0.3882; 0.5232; 1.9809; 0.6666; 93.0682; -0.0564; 2.5000
-2.0667; -0.2842; 0.6344; 1.9290; 0.6203; 93.2408; -0.0758; 2.5000
-1.9206; -0.1855; 0.6578; 1.8566; 0.5623; 93.4172; -0.0858; 2.5000
-1.7608; -0.0914; 0.6929; 1.6956; 0.5038; 93.6026; -0.0724; 2.5000
-1.5879; -0.0021; 0.7304; 1.6015; 0.4658; 93.7972; -0.0296; 2.5000
-1.4183; 0.0807; 0.7807; 1.5138; 0.4602; 93.9859; 0.0180; 2.5000
-1.2716; 0.1547; 0.8088; 1.4131; 0.4916; 94.1502; 0.0949; 2.5000
-1.1613; 0.2184; 0.7894; 1.3944; 0.5000; 94.2776; -0.0911; 2.5000
-1.0479; 0.2769; 0.8079; 1.3195; 0.3863; 94.4052; -0.2245; 2.5000
-0.8644; 0.3391; 0.8511; 1.2440; 0.2652; 94.5990; -0.0879; 2.5000
-0.5454; 0.4134; 0.9552; 1.1182; 0.2063; 94.9265; -0.0254; 2.5000
-0.1183; 0.4953; 0.9558; 1.0600; 0.1824; 95.3614; -0.0090; 2.5000
0.2602; 0.5620; 1.1060; 0.8564; 0.1725; 95.7457; -0.0054; 2.5000
0.4233; 0.5896; 1.1637; 0.8417; 0.1675; 95.9112; -0.0054; 2.5000
