x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
12.8654; -1.9396; 0.2557; 1.2651; -1.1580; 12.9318; -0.0853; 2.5000
12.9371; -2.1186; 0.3412; 0.9953; -1.1975; 13.1246; -0.0212; 2.5000
13.0047; -2.2954; 0.8823; 0.8953; -1.1997; 13.3139; 0.0167; 2.5000
13.0706; -2.4616; 1.0265; 0.7871; -1.1792; 13.4927; 0.0429; 2.5000
13.1360; -2.6134; 1.0152; 0.6140; -1.1390; 13.6580; 0.0830; 2.5000
13.2023; -2.7475; 1.0150; 0.4821; -1.0714; 13.8076; 0.1471; 2.5000
13.2727; -2.8640; 0.9891; 0.3984; -0.9735; 13.9437; 0.1996; 2.5000
13.3548; -2.9716; 1.0816; 0.3905; -0.8654; 14.0790; 0.1809; 2.5000
13.4567; -3.0800; 1.0379; 0.2403; -0.7724; 14.2278; 0.1267; 2.5000
13.5852; -3.1961; 1.0740; 0.1716; -0.6780; 14.4010; 0.1511; 2.5000
13.7369; -3.3057; 1.2514; 0.1787; -0.5375; 14.5882; 0.2389; 2.5000
13.9044; -3.3863; 1.2488; 0.2218; -0.3104; 14.7740; 0.3942; 2.5000
14.0801; -3.4158; 1.2488; 0.2218; -0.0071; 14.9522; 0.4493; 2.5000
14.2588; -3.3889; 0.7148; 0.5587; 0.2640; 15.1330; 0.3004; 2.5000
14.4377; -3.3191; 0.7148; 0.5587; 0.4405; 15.3250; 0.1714; 2.5000
14.6141; -3.2214; 0.7148; 0.5587; 0.5421; 15.5267; 0.0881; 2.5000
14.7856; -3.1096; 0.6519; 0.6783; 0.5905; 15.7313; 0.0322; 2.5000
14.9502; -2.9961; 0.5782; 0.8384; 0.5949; 15.9312; -0.0235; 2.5000
15.1062; -2.8927; 0.4604; 0.8938; 0.5507; 16.1185; -0.1033; 2.5000
15.2527; -2.8104; 0.4467; 0.9993; 0.4485; 16.2864; -0.2077; 2.5000
15.3950; -2.7537; 0.3878; 1.1087; 0.2917; 16.4396; -0.2907; 2.5000
15.5426; -2.7233; 0.3272; 1.2283; 0.1095; 16.5904; -0.2905; 2.5000
15.7047; -2.7197; 0.3015; 1.2679; -0.0561; 16.7525; -0.2212; 2.5000
15.8811; -2.7423; 0.2163; 1.3409; -0.1944; 16.9303; -0.1845; 2.5000
16.0567; -2.7890; 0.2445; 1.3074; -0.3315; 17.1120; -0.2081; 2.5000
16.2155; -2.8574; 0.3029; 1.2989; -0.4943; 17.2849; -0.2800; 2.5000
16.3459; -2.9448; 0.3681; 1.2929; -0.6662; 17.4419; -0.2516; 2.5000
16.4567; -3.0470; 0.4990; 1.1730; -0.7805; 17.5927; -0.1158; 2.5000
16.5624; -3.1592; 0.6196; 1.1922; -0.8074; 17.7468; 0.0245; 2.5000
16.6765; -3.2767; 1.0164; 1.1523; -0.7787; 17.9106; 0.0614; 2.5000
16.8012; -3.3949; 1.1166; 0.9702; -0.7435; 18.0824; 0.0439; 2.5000
16.9296; -3.5094; 1.2258; 0.6446; -0.7174; 18.2544; 0.0337; 2.5000
17.0544; -3.6158; 1.2983; 0.5146; -0.6896; 18.4184; 0.0532; 2.5000
17.1733; -3.7104; 1.3339; 0.4148; -0.6325; 18.5703; 0.1371; 2.5000
17.2936; -3.7912; 1.4369; 0.3374; -0.5262; 18.7153; 0.2221; 2.5000
17.4243; -3.8562; 1.5077; 0.2437; -0.3821; 18.8612; 0.2583; 2.5000
17.5725; -3.9032; 1.5256; 0.2709; -0.2206; 19.0167; 0.2618; 2.5000
17.7366; -3.9263; 1.6744; 0.2103; -0.0444; 19.1825; 0.2734; 2.5000
17.9117; -3.9183; 1.7170; 0.1922; 0.1504; 19.3577; 0.2826; 2.5000
18.0926; -3.8723; 1.7278; 0.2055; 0.3422; 19.5443; 0.2334; 2.5000
18.2758; -3.7886; 1.7278; 0.2055; 0.4949; 19.7458; 0.1533; 2.5000
18.4592; -3.6744; 1.7278; 0.2055; 0.6020; 19.9618; 0.0999; 2.5000
18.6408; -3.5378; 1.7936; 0.6795; 0.6708; 20.1890; 0.0555; 2.5000
18.8183; -3.3895; 1.7936; 0.6795; 0.6923; 20.4204; -0.0082; 2.5000
18.9896; -3.2486; 1.7936; 0.6795; 0.6500; 20.6422; -0.0974; 2.5000
19.1520; -3.1359; 1.7727; 0.6934; 0.5163; 20.8398; -0.2742; 2.5000
19.3033; -3.0705; 1.7823; 0.6904; 0.2657; 21.0047; -0.5121; 2.5000
19.4434; -3.0566; 1.8619; 0.5993; -0.0733; 21.1455; -0.6599; 2.5000
19.5730; -3.0903; 1.9544; 0.6147; -0.4186; 21.2795; -0.5856; 2.5000
19.6932; -3.1677; 2.1392; 0.5113; -0.6955; 21.4224; -0.3869; 2.5000
19.8044; -3.2834; 2.9910; 0.4881; -0.8875; 21.5829; -0.2311; 2.5000
19.9065; -3.4297; 1.1742; 0.2653; -1.0171; 21.7613; -0.1441; 2.5000
19.9994; -3.5988; 0.8447; 0.2386; -1.1101; 21.9542; -0.1033; 2.5000
20.0819; -3.7830; 0.8447; 0.2386; -1.1945; 22.1560; -0.1099; 2.5000
20.1481; -3.9751; 0.8557; 0.3304; -1.2943; 22.3593; -0.1405; 2.5000
20.1912; -4.1682; 0.8019; 0.3511; -1.4233; 22.5571; -0.1927; 2.5000
20.2046; -4.3554; 0.7618; 0.3463; -1.5792; 22.7447; -0.2237; 2.5000
20.1881; -4.5343; 0.7517; 0.4074; -1.7368; 22.9245; -0.2105; 2.5000
20.1459; -4.7058; 0.6884; 0.4511; -1.8755; 23.1010; -0.1800; 2.5000
20.0823; -4.8706; 0.6574; 0.5419; -1.9895; 23.2777; -0.1429; 2.5000
20.0021; -5.0290; 0.5638; 0.5912; -2.0782; 23.4552; -0.1084; 2.5000
19.9102; -5.1802; 0.5217; 0.7333; -2.1441; 23.6321; -0.0793; 2.5000
19.8121; -5.3232; 0.4589; 0.8664; -2.1938; 23.8056; -0.0644; 2.5000
19.7112; -5.4572; 0.4064; 1.0022; -2.2544; 23.9733; -0.1154; 2.5000
19.6014; -5.5818; 0.3384; 1.1187; -2.3530; 24.1394; -0.1746; 2.5000
19.4731; -5.6969; 0.3462; 1.3327; -2.4825; 24.3117; -0.1906; 2.5000
19.3171; -5.8021; 0.2977; 1.5152; -2.6024; 24.4999; -0.1338; 2.5000
19.1377; -5.8975; 0.2636; 1.6116; -2.6808; 24.7031; -0.0686; 2.5000
18.9520; -5.9834; 0.2661; 1.7662; -2.7181; 24.9077; -0.0249; 2.5000
18.7778; -6.0598; 0.2906; 1.8557; -2.7284; 25.0980; -0.0002; 2.5000
18.6249; -6.1268; 0.2775; 1.9769; -2.7435; 25.2649; -0.0489; 2.5000
18.4826; -6.1839; 0.3708; 2.0889; -2.7961; 25.4182; -0.1181; 2.5000
18.3366; -6.2306; 0.2993; 2.1338; -2.8801; 25.5715; -0.1441; 2.5000
18.1744; -6.2664; 0.3591; 2.3673; -2.9608; 25.7376; -0.1018; 2.5000
17.9970; -6.2926; 0.3873; 1.8607; -3.0179; 25.9170; -0.0626; 2.5000
17.8124; -6.3114; 0.3928; 1.4682; -3.0549; 26.1025; -0.0394; 2.5000
