x_ref_m,y_ref_m,width_left_m,width_right_m,psi_racetraj_rad,s_racetraj_m,kappa_racetraj_radpm,vx_racetraj_mps
10.6411; 7.3858; 1.0341; 0.4896; 1.7133; 16.3602; 0.0159; 2.5000
10.5988; 7.6629; 0.9585; 0.5472; 1.7327; 16.6405; 0.0189; 2.5000
10.5519; 7.9321; 0.8614; 0.5514; 1.7553; 16.9138; 0.0226; 2.5000
10.5000; 8.1922; 0.8376; 0.5556; 1.7820; 17.1789; 0.0281; 2.5000
10.4429; 8.4406; 0.8201; 0.5424; 1.8148; 17.4339; 0.0372; 2.5000
10.3802; 8.6734; 0.8201; 0.5424; 1.8569; 17.6749; 0.0515; 2.5000
10.3118; 8.8863; 0.8423; 0.5023; 1.9123; 17.8986; 0.0752; 2.5000
10.2373; 9.0752; 0.8619; 0.3989; 2.0126; 18.1016; 0.1263; 2.5000
10.1140; 9.3044; 0.8688; 0.4908; 2.1726; 18.3619; 0.2629; 2.5000
9.9759; 9.4560; 0.8688; 0.4908; 2.5982; 18.5670; 0.7125; 2.5000
9.7676; 9.5136; 0.8688; 0.4908; -3.0144; 18.7831; 0.8750; 2.5000
9.5423; 9.4005; 0.8688; 0.4908; -2.4935; 19.0352; 0.3837; 2.5000
9.3777; 9.2184; 0.8688; 0.4908; -2.1936; 19.2806; 0.1910; 2.5000
9.2298; 8.9655; 0.8573; 0.4677; -2.0414; 19.5736; 0.1315; 2.5000
9.1462; 8.7632; 0.8601; 0.4435; -1.9111; 19.7926; 0.1103; 2.5000
9.0784; 8.5379; 0.8592; 0.5016; -1.8130; 20.0278; 0.1000; 2.5000
9.0300; 8.2929; 0.8201; 0.5424; -1.7199; 20.2776; 0.0878; 2.5000
9.0024; 8.0320; 0.8201; 0.5424; -1.6409; 20.5399; 0.0647; 2.5000
8.9925; 7.7595; 0.8256; 0.5688; -1.5813; 20.8126; 0.0460; 2.5000
8.9966; 7.4800; 0.8948; 0.5595; -1.5381; 21.0921; 0.0320; 2.5000
9.0109; 7.1981; 0.9468; 0.5058; -1.5087; 21.3744; 0.0205; 2.5000
9.0315; 6.9182; 0.9793; 0.5314; -1.4916; 21.6551; 0.0102; 2.5000
9.0548; 6.6449; 1.0634; 0.4773; -1.4863; 21.9293; -0.0008; 2.5000
9.0769; 6.3827; 1.1547; 0.4411; -1.4938; 22.1924; -0.0143; 2.5000
9.0941; 6.1363; 1.1985; 0.4871; -1.5165; 22.4395; -0.0335; 2.5000
9.1026; 5.9099; 1.2138; 0.5494; -1.5554; 22.6661; -0.0543; 2.5000
9.1007; 5.7050; 1.2003; 0.5271; -1.6233; 22.8709; -0.0789; 2.5000
9.0777; 5.4364; 1.2313; 0.6071; -1.7135; 23.1405; -0.1242; 2.5000
9.0298; 5.2116; 1.2313; 0.6071; -1.8886; 23.3703; -0.2095; 2.5000
8.9259; 4.9748; 1.2313; 0.6071; -2.1298; 23.6290; -0.3232; 2.5000
8.7744; 4.8033; 1.2313; 0.6071; -2.4598; 23.8578; -0.3724; 2.5000
8.5767; 4.6913; 1.2431; 0.6010; -2.7720; 24.0850; -0.3145; 2.5000
8.3473; 4.6379; 1.2281; 0.6061; -3.0400; 24.3205; -0.2655; 2.5000
8.1044; 4.6432; 1.2313; 0.6071; 2.9979; 24.5635; -0.2498; 2.5000
7.8659; 4.7076; 1.2313; 0.6071; 2.7512; 24.8105; -0.2566; 2.5000
7.6482; 4.8309; 1.2313; 0.6071; 2.5182; 25.0607; -0.2012; 2.5000
7.4457; 5.0097; 1.2003; 0.5271; 2.3702; 25.3309; -0.1055; 2.5000
7.2926; 5.1766; 1.2003; 0.5271; 2.2923; 25.5573; -0.0408; 2.5000
7.1297; 5.3689; 1.2419; 0.4883; 2.2716; 25.8094; -0.0039; 2.5000
6.9488; 5.5841; 1.1740; 0.4522; 2.2763; 26.0905; 0.0157; 2.5000
6.8144; 5.7391; 1.1816; 0.4565; 2.2939; 26.2956; 0.0194; 2.5000
6.6679; 5.9024; 1.0978; 0.4845; 2.3057; 26.5150; 0.0083; 2.5000
6.5122; 6.0734; 1.0329; 0.5209; 2.3087; 26.7463; -0.0012; 2.5000
6.3505; 6.2516; 0.9736; 0.5465; 2.3036; 26.9869; -0.0091; 2.5000
6.1858; 6.4362; 0.9636; 0.5502; 2.2910; 27.2343; -0.0163; 2.5000
6.0214; 6.6266; 0.9541; 0.5598; 2.2711; 27.4858; -0.0235; 2.5000
5.8605; 6.8222; 0.8861; 0.5692; 2.2435; 27.7391; -0.0313; 2.5000
5.7062; 7.0223; 0.8345; 0.5503; 2.2074; 27.9918; -0.0404; 2.5000
5.5617; 7.2263; 0.8376; 0.5556; 2.1626; 28.2419; -0.0496; 2.5000
5.4298; 7.4335; 0.7947; 0.5386; 2.1191; 28.4875; -0.0388; 2.5000
5.3082; 7.6413; 0.8170; 0.4919; 2.0945; 28.7282; -0.0118; 2.5000
5.1914; 7.8462; 0.8688; 0.4730; 2.0972; 28.9641; 0.0184; 2.5000
5.0739; 8.0445; 0.8688; 0.4908; 2.1294; 29.1946; 0.0522; 2.5000
4.9499; 8.2326; 0.8920; 0.4386; 2.1930; 29.4198; 0.0896; 2.5000
4.8140; 8.4069; 0.9593; 0.4029; 2.2893; 29.6408; 0.1280; 2.5000
4.6604; 8.5636; 0.9983; 0.3790; 2.4168; 29.8603; 0.1602; 2.5000
4.4837; 8.6993; 1.6169; 0.4804; 2.5686; 30.0831; 0.1758; 2.5000
4.2782; 8.8103; 1.5708; 0.4510; 2.7276; 30.3167; 0.1607; 2.5000
4.0397; 8.8944; 1.5677; 0.3679; 2.8648; 30.5696; 0.1127; 2.5000
3.7693; 8.9549; 1.4643; 0.3097; 2.9657; 30.8467; 0.0726; 2.5000
3.4690; 8.9959; 1.3760; 0.3140; 3.0359; 31.1498; 0.0453; 2.5000
3.1408; 9.0216; 1.3806; 0.3221; 3.0823; 31.4789; 0.0268; 2.5000
2.7870; 9.0363; 1.3806; 0.3221; 3.1105; 31.8331; 0.0140; 2.5000
2.4094; 9.0443; 1.3806; 0.3221; 3.1243; 32.2108; 0.0048; 2.5000
2.0101; 9.0498; 1.3806; 0.3221; 3.1275; 32.6100; -0.0010; 2.5000
1.8030; 9.0529; 1.7516; 0.8245; 3.1245; 32.8171; -0.0050; 2.5000
1.5913; 9.0569; 1.7516; 0.8245; 3.1191; 33.0289; -0.0076; 2.5000
1.3752; 9.0625; 1.7516; 0.8245; 3.1118; 33.2451; -0.0094; 2.5000
1.1551; 9.0699; 2.2605; 0.6087; 3.1039; 33.4654; -0.0084; 2.5000
0.9315; 9.0792; 2.2605; 0.6087; 3.0971; 33.6891; -0.0067; 2.5000
0.7054; 9.0900; 2.2605; 0.6087; 3.0917; 33.9155; -0.0052; 2.5000
0.4775; 9.1019; 2.2605; 0.6087; 3.0876; 34.1437; -0.0039; 2.5000
0.2485; 9.1147; 2.2589; 0.6599; 3.0846; 34.3730; -0.0026; 2.5000
0.0194; 9.1280; 2.2196; 0.8042; 3.0829; 34.6025; -0.0013; 2.5000
-0.2092; 9.1416; 2.2266; 0.9041; 3.0822; 34.8315; -0.0001; 2.5000
-0.4363; 9.1551; 2.1587; 0.9436; 3.0828; 35.0591; 0.0012; 2.5000
-0.6613; 9.1682; 2.1282; 1.0621; 3.0845; 35.2844; 0.0026; 2.5000
-0.8834; 9.1806; 2.1072; 1.2170; 3.0874; 35.5068; 0.0041; 2.5000
-1.1017; 9.1921; 1.9978; 1.3909; 3.0917; 35.7254; 0.0058; 2.5000
-1.3154; 9.2022; 2.0029; 1.3733; 3.0975; 35.9394; 0.0078; 2.5000
-1.5238; 9.2107; 2.0029; 1.3733; 3.1049; 36.1479; 0.0101; 2.5000
-1.7260; 9.2172; 1.8947; 1.2886; 3.1200; 36.3503; 0.0128; 2.5000
-2.1089; 9.2233; 1.9140; 1.3799; 3.1406; 36.7332; 0.0213; 2.5000
-2.4577; 9.2180; 1.8573; 1.5348; -3.1060; 37.0821; 0.0323; 2.5000
-2.7700; 9.1998; 1.7781; 1.6315; -3.0590; 37.3949; 0.0435; 2.5000
-3.0488; 9.1690; 1.6150; 1.5686; -3.0027; 37.6754; 0.0572; 2.5000
-3.2977; 9.1260; 1.5676; 1.4934; -2.9370; 37.9280; 0.0732; 2.5000
-3.5202; 9.0712; 1.4663; 1.4078; -2.8622; 38.1572; 0.0898; 2.5000
-3.7199; 9.0049; 1.4663; 1.4078; -2.7596; 38.3676; 0.1032; 2.5000
-3.9844; 8.8847; 1.3552; 1.4491; -2.6537; 38.6581; 0.1124; 2.5000
-4.2176; 8.7408; 1.3702; 1.2411; -2.5321; 38.9321; 0.1050; 2.5000
-4.4292; 8.5742; 1.3794; 1.0914; -2.4111; 39.2014; 0.1200; 2.5000
-4.6153; 8.3846; 1.4449; 0.9620; -2.2665; 39.4671; 0.1544; 2.5000
-4.7658; 8.1711; 1.4064; 0.9326; -2.0856; 39.7283; 0.1922; 2.5000
-4.8708; 7.9328; 1.4363; 0.8533; -1.8696; 39.9887; 0.2192; 2.5000
-4.9204; 7.6690; 1.4928; 0.7437; -1.6318; 40.2572; 0.2169; 2.5000
-4.9047; 7.3786; 1.4738; 0.7582; -1.4380; 40.5480; 0.1811; 2.5000
-4.8540; 7.1714; 1.0010; 1.0754; -1.2638; 40.7613; 0.1476; 2.5000
-4.7718; 6.9592; 1.0129; 1.0936; -1.1395; 40.9888; 0.1289; 2.5000
-4.6593; 6.7483; 0.9639; 1.0796; -1.0213; 41.2278; 0.1209; 2.5000
-4.5180; 6.5449; 0.7551; 1.0144; -0.9027; 41.4755; 0.1203; 2.5000
-4.3492; 6.3554; 0.6467; 0.9708; -0.7789; 41.7293; 0.1250; 2.5000
-4.1542; 6.1858; 0.6431; 0.8700; -0.6460; 41.9877; 0.1333; 2.5000
-3.9344; 6.0426; 0.6447; 0.8122; -0.5013; 42.2501; 0.1429; 2.5000
-3.6911; 5.9320; 0.6447; 0.8122; -0.3447; 42.5174; 0.1498; 2.5000
-3.4256; 5.8600; 0.5623; 0.8440; -0.1889; 42.7924; 0.1331; 2.5000
-3.1406; 5.8268; 0.4764; 0.9153; -0.0555; 43.0794; 0.1006; 2.5000
-2.8392; 5.8274; 0.4609; 1.0953; 0.0486; 43.3808; 0.0738; 2.5000
-2.5250; 5.8567; 0.4146; 1.1708; 0.1281; 43.6963; 0.0535; 2.5000
-2.2013; 5.9096; 0.4749; 1.8232; 0.1877; 44.0243; 0.0383; 2.5000
-1.8717; 5.9808; 0.4749; 1.8232; 0.2309; 44.3615; 0.0265; 2.5000
-1.5394; 6.0652; 0.4319; 2.0379; 0.2604; 44.7044; 0.0169; 2.5000
-1.2080; 6.1576; 0.4473; 2.0034; 0.2777; 45.0484; 0.0084; 2.5000
-0.8808; 6.2529; 2.2605; 0.6087; 0.2836; 45.3892; 0.0002; 2.5000
-0.5609; 6.3462; 1.6930; 0.7289; 0.2792; 45.7224; -0.0070; 2.5000
-0.2494; 6.4339; 1.6732; 0.7230; 0.2651; 46.0460; -0.0150; 2.5000
0.0530; 6.5129; 1.6562; 0.7584; 0.2407; 46.3586; -0.0246; 2.5000
0.3460; 6.5801; 1.6625; 0.7353; 0.2043; 46.6592; -0.0365; 2.5000
0.6288; 6.6322; 1.6190; 0.7660; 0.1541; 46.9468; -0.0516; 2.5000
0.9009; 6.6663; 1.5985; 0.7343; 0.0876; 47.2210; -0.0706; 2.5000
1.1619; 6.6790; 1.5823; 0.7554; 0.0022; 47.4822; -0.0937; 2.5000
1.4110; 6.6674; 1.5527; 0.8104; -0.1042; 47.7316; -0.1200; 2.5000
1.6477; 6.6282; 1.5494; 0.7407; -0.2278; 47.9716; -0.1373; 2.5000
1.8714; 6.5606; 1.5669; 0.7957; -0.3563; 48.2053; -0.1370; 2.5000
2.0811; 6.4670; 1.4844; 0.8449; -0.4803; 48.4349; -0.1330; 2.5000
2.2756; 6.3501; 1.4515; 0.8431; -0.5985; 48.6619; -0.1277; 2.5000
2.4541; 6.2126; 1.4130; 0.8929; -0.7111; 48.8872; -0.1224; 2.5000
2.6155; 6.0572; 1.3212; 0.9550; -0.8186; 49.1112; -0.1181; 2.5000
2.7589; 5.8868; 1.2388; 0.9893; -0.9223; 49.3339; -0.1154; 2.5000
2.8832; 5.7041; 1.1333; 1.0866; -1.0238; 49.5549; -0.1148; 2.5000
2.9874; 5.5117; 0.8875; 1.5042; -1.1245; 49.7737; -0.1162; 2.5000
3.0706; 5.3124; 0.8875; 1.5042; -1.2241; 49.9896; -0.1153; 2.5000
3.1327; 5.1093; 0.8493; 1.5852; -1.3213; 50.2021; -0.1143; 2.5000
3.1743; 4.9054; 0.6333; 1.7798; -1.4169; 50.4102; -0.1164; 2.5000
3.1956; 4.7039; 0.5153; 1.8700; -1.5375; 50.6128; -0.1204; 2.5000
3.1907; 4.4129; 0.3220; 1.9221; -1.6651; 50.9039; -0.1427; 2.5000
3.1427; 4.1447; 0.5164; 2.0166; -1.8379; 51.1763; -0.1802; 2.5000
3.0531; 3.9100; 0.5766; 2.0111; -2.0462; 51.4275; -0.2411; 2.5000
2.9231; 3.7181; 0.5893; 1.9808; -2.2928; 51.6594; -0.2810; 2.5000
2.7515; 3.5675; 0.5893; 1.9808; -2.5383; 51.8876; -0.2414; 2.5000
2.5363; 3.4516; 0.5648; 2.0378; -2.7365; 52.1321; -0.1620; 2.5000
2.2752; 3.3633; 0.4121; 1.9547; -2.8569; 52.4077; -0.0983; 2.5000
2.0745; 3.3164; 0.2797; 1.9311; -2.9399; 52.6138; -0.0614; 2.5000
1.8518; 3.2767; 0.4066; 1.9040; -2.9844; 52.8400; -0.0385; 2.5000
1.6065; 3.2422; 0.5501; 1.8536; -3.0145; 53.0877; -0.0235; 2.5000
1.3384; 3.2111; 0.9447; 1.2386; -3.0357; 53.3576; -0.0165; 2.5000
1.0503; 3.1831; 0.9447; 1.2386; -3.0524; 53.6470; -0.0126; 2.5000
0.7454; 3.1581; 0.9447; 1.2386; -3.0660; 53.9530; -0.0100; 2.5000
0.4269; 3.1359; 0.4414; 1.4487; -3.0776; 54.2722; -0.0082; 2.5000
0.0981; 3.1166; 1.4285; 3.6412; -3.0875; 54.6017; -0.0070; 2.5000
-0.2380; 3.0999; 1.4285; 3.6412; -3.0963; 54.9381; -0.0061; 2.5000
-0.5779; 3.0859; 1.4285; 3.6412; -3.1042; 55.2783; -0.0055; 2.5000
-0.9185; 3.0745; 1.4285; 3.6412; -3.1114; 55.6191; -0.0051; 2.5000
-1.2567; 3.0654; 1.4285; 3.6412; -3.1165; 55.9574; -0.0024; 2.5000
-1.5894; 3.0576; 1.4992; 3.5242; -3.1157; 56.2903; 0.0037; 2.5000
-1.9146; 3.0484; 0.3947; 1.3386; -3.1063; 56.6155; 0.0109; 2.5000
-2.2297; 3.0350; 0.4400; 1.3078; -3.0873; 56.9310; 0.0195; 2.5000
-2.5327; 3.0148; 0.6940; 1.2472; -3.0573; 57.2346; 0.0305; 2.5000
-2.8211; 2.9851; 0.9427; 1.2674; -3.0142; 57.5245; 0.0448; 2.5000
-3.0926; 2.9431; 0.9181; 1.2726; -2.9550; 57.7993; 0.0641; 2.5000
-3.3451; 2.8861; 1.5898; 1.0386; -2.8760; 58.0581; 0.0903; 2.5000
-3.5761; 2.8115; 1.6679; 0.9997; -2.7737; 58.3009; 0.1221; 2.5000
-3.7837; 2.7171; 1.6783; 0.9100; -2.6542; 58.5289; 0.1403; 2.5000
-3.9672; 2.6042; 1.5153; 0.9328; -2.5294; 58.7444; 0.1491; 2.5000
-4.1270; 2.4760; 1.4615; 0.9437; -2.3741; 58.9492; 0.1532; 2.5000
-4.3224; 2.2616; 1.3841; 0.8885; -2.2194; 59.2393; 0.1671; 2.5000
-4.4652; 2.0299; 1.3284; 0.9423; -2.0317; 59.5115; 0.1799; 2.5000
-4.5560; 1.7911; 1.3303; 0.9000; -1.8390; 59.7670; 0.2011; 2.5000
-4.5955; 1.5555; 1.2721; 0.9021; -1.6217; 60.0059; 0.2604; 2.5000
-4.5794; 1.3325; 1.2844; 0.8603; -1.3299; 60.2295; 0.3879; 2.5000
-4.4905; 1.1281; 1.2478; 0.8858; -0.9585; 60.4523; 0.4058; 2.5000
-4.3096; 0.9483; 1.3032; 0.8888; -0.6637; 60.7074; 0.2858; 2.5000
-4.1284; 0.8450; 1.7805; 0.5521; -0.4301; 60.9160; 0.1743; 2.5000
