x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
10.7615; -9.6872; 0.7597; 0.4622; 0.0000; 73.0944
10.5708; -9.6303; 0.7371; 0.4752; 0.0000; 73.2933
10.3773; -9.5766; 0.7527; 0.4965; 0.0000; 73.4942
10.1672; -9.5258; 0.7398; 0.4949; 0.0000; 73.7104
9.9404; -9.4764; 0.7297; 0.5074; 0.0000; 73.9424
9.7100; -9.4259; 0.7510; 0.5228; 0.0000; 74.1783
9.4893; -9.3714; 0.7563; 0.5189; 0.0000; 74.4056
9.2871; -9.3124; 0.7600; 0.5193; 0.0000; 74.6164
9.0993; -9.2538; 0.7475; 0.4974; 0.0000; 74.8130
8.9203; -9.2016; 0.7364; 0.4979; 0.0000; 74.9995
8.7448; -9.1607; 0.7767; 0.5096; 0.0000; 75.1797
8.5712; -9.1283; 0.7806; 0.5571; 0.0000; 75.3563
8.4001; -9.0983; 0.7991; 0.5511; 0.0000; 75.5300
8.2318; -9.0644; 0.7908; 0.5367; 0.0000; 75.7017
8.0641; -9.0240; 0.8004; 0.5560; 0.0000; 75.8742
7.8916; -8.9794; 0.7877; 0.5610; 0.0000; 76.0523
7.7088; -8.9329; 0.7980; 0.5616; 0.0000; 76.2410
7.5100; -8.8856; 0.8050; 0.5532; 0.0000; 76.4453
7.2902; -8.8332; 0.8677; 0.5416; 0.0000; 76.6713
7.0443; -8.7704; 0.8771; 0.5143; 0.0000; 76.9251
6.7687; -8.6928; 0.9245; 0.5198; 0.0000; 77.2114
6.4764; -8.6044; 0.9247; 0.5075; 0.0000; 77.5168
6.1908; -8.5155; 1.0376; 0.4517; 0.0000; 77.8159
5.9356; -8.4359; 1.0779; 0.4631; 0.0000; 78.0832
5.7173; -8.3695; 1.1152; 0.4728; 0.0000; 78.3114
5.5121; -8.3084; 1.2583; 0.4858; 0.0000; 78.5255
5.2935; -8.2439; 1.3228; 0.4707; 0.0000; 78.7534
5.0383; -8.1688; 1.5809; 0.4737; 0.0000; 79.0194
4.7416; -8.0826; 1.6629; 0.4885; 0.0000; 79.3284
4.4039; -7.9876; 1.8898; 0.4777; 0.0000; 79.6792
4.0269; -7.8858; 1.8857; 0.5190; 0.0000; 80.0697
3.6286; -7.7819; 1.7390; 0.4609; 0.0000; 80.4814
3.2416; -7.6826; 1.5907; 0.4677; 0.0000; 80.8809
2.8990; -7.5946; 1.5888; 0.5056; 0.0000; 81.2346
2.6183; -7.5206; 1.5255; 0.4893; 0.0000; 81.5249
2.3796; -7.4543; 1.5259; 0.5019; 0.0000; 81.7726
2.1575; -7.3878; 1.4659; 0.5173; 0.0000; 82.0044
1.9297; -7.3144; 1.4225; 0.5252; 0.0000; 82.2437
1.6953; -7.2373; 1.4205; 0.5279; 0.0000; 82.4905
1.4630; -7.1634; 1.3590; 0.4849; 0.0000; 82.7343
1.2412; -7.0999; 1.3371; 0.4774; 0.0000; 82.9650
1.0285; -7.0462; 1.2727; 0.4767; 0.0000; 83.1844
0.8116; -6.9925; 1.2326; 0.4729; 0.0000; 83.4078
0.5766; -6.9287; 1.2291; 0.4792; 0.0000; 83.6513
0.3164; -6.8489; 1.1737; 0.5035; 0.0000; 83.9236
0.0466; -6.7610; 1.1563; 0.4812; 0.0000; 84.2073
-0.2122; -6.6761; 1.0814; 0.5015; 0.0000; 84.4797
-0.4413; -6.6041; 1.0014; 0.5610; 0.0000; 84.7198
-0.6396; -6.5453; 0.9409; 0.5706; 0.0000; 84.9266
-0.8171; -6.4939; 0.9336; 0.6061; 0.0000; 85.1114
-0.9836; -6.4443; 0.9089; 0.6096; 0.0000; 85.2851
-1.1459; -6.3922; 0.8689; 0.6492; 0.0000; 85.4556
-1.3055; -6.3362; 0.7547; 0.7662; 0.0000; 85.6247
-1.4633; -6.2753; 0.6834; 0.8007; 0.0000; 85.7939
-1.6202; -6.2082; 0.6363; 0.8240; 0.0000; 85.9645
-1.7751; -6.1334; 0.5338; 0.9881; 0.0000; 86.1366
-1.9268; -6.0492; 0.5241; 1.0270; 0.0000; 86.3101
-2.0738; -5.9539; 0.4810; 1.1182; 0.0000; 86.4853
-2.2159; -5.8482; 0.4600; 1.1777; 0.0000; 86.6623
-2.3534; -5.7346; 0.4397; 1.3633; 0.0000; 86.8407
-2.4867; -5.6155; 0.3939; 1.4351; 0.0000; 87.0194
-2.6161; -5.4926; 0.3825; 1.4904; 0.0000; 87.1979
-2.7408; -5.3653; 0.3409; 1.6835; 0.0000; 87.3761
-2.8604; -5.2329; 0.3446; 1.7669; 0.0000; 87.5545
-2.9740; -5.0948; 0.3362; 1.8688; 0.0000; 87.7334
-3.0809; -4.9510; 0.3466; 1.9661; 0.0000; 87.9125
-3.1800; -4.8023; 0.3496; 2.0411; 0.0000; 88.0912
-3.2704; -4.6491; 0.3623; 2.0935; 0.0000; 88.2691
-3.3515; -4.4918; 0.3363; 2.0827; 0.0000; 88.4461
-3.4231; -4.3305; 0.3806; 2.0535; 0.0000; 88.6226
-3.4851; -4.1653; 0.4093; 2.0545; 0.0000; 88.7990
-3.5373; -3.9966; 0.4217; 2.0660; 0.0000; 88.9756
-3.5797; -3.8246; 0.4804; 1.9809; 0.0000; 89.1527
-3.6125; -3.6500; 0.4725; 1.9777; 0.0000; 89.3304
-3.6355; -3.4732; 0.5070; 1.9261; 0.0000; 89.5088
-3.6490; -3.2950; 0.4976; 1.8489; 0.0000; 89.6874
-3.6527; -3.1166; 0.4892; 1.8247; 0.0000; 89.8659
-3.6469; -2.9389; 0.5004; 1.8455; 0.0000; 90.0436
-3.6314; -2.7627; 0.4929; 1.8219; 0.0000; 90.2205
-3.6062; -2.5880; 0.4461; 1.8209; 0.0000; 90.3971
-3.5711; -2.4147; 0.4205; 1.8246; 0.0000; 90.5739
-3.5261; -2.2429; 0.4033; 1.8365; 0.0000; 90.7514
-3.4716; -2.0731; 0.4184; 1.8964; 0.0000; 90.9298
-3.4079; -1.9059; 0.3954; 1.8814; 0.0000; 91.1088
-3.3354; -1.7417; 0.3943; 1.9041; 0.0000; 91.2882
-3.2543; -1.5813; 0.4048; 1.9518; 0.0000; 91.4679
-3.1647; -1.4259; 0.4120; 2.0484; 0.0000; 91.6473
-3.0668; -1.2762; 0.4061; 2.0834; 0.0000; 91.8262
-2.9608; -1.1328; 0.4200; 2.1184; 0.0000; 92.0045
-2.8474; -0.9954; 0.4756; 2.1253; 0.0000; 92.1827
-2.7275; -0.8633; 0.4933; 2.1516; 0.0000; 92.3610
-2.6019; -0.7363; 0.4782; 2.1508; 0.0000; 92.5397
-2.4718; -0.6145; 0.5384; 2.0597; 0.0000; 92.7179
-2.3389; -0.4983; 0.5425; 2.0047; 0.0000; 92.8944
-2.2045; -0.3882; 0.5578; 1.9311; 0.0000; 93.0682
-2.0667; -0.2842; 0.6314; 1.8968; 0.0000; 93.2408
-1.9206; -0.1855; 0.6995; 1.7402; 0.0000; 93.4172
-1.7608; -0.0914; 0.7228; 1.6336; 0.0000; 93.6026
-1.5879; -0.0021; 0.7479; 1.5710; 0.0000; 93.7972
-1.4183; 0.0807; 0.8058; 1.4175; 0.0000; 93.9859
-1.2716; 0.1547; 0.8244; 1.3507; 0.0000; 94.1502
-1.1613; 0.2184; 0.8131; 1.3367; 0.0000; 94.2776
-1.0479; 0.2769; 0.8251; 1.2895; 0.0000; 94.4052
-0.8644; 0.3391; 0.8939; 1.1633; 0.0000; 94.5990
-0.5454; 0.4134; 0.9552; 1.0882; 0.0000; 94.9265
-0.1183; 0.4953; 0.9555; 1.0546; 0.0000; 95.3614
0.2602; 0.5620; 1.1232; 0.8307; 0.0000; 95.7457
0.4233; 0.5896; 1.1538; 0.8221; 0.0000; 95.9112
