x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
16.0567; -2.7890; 0.2536; 1.3167; 0.0000; 17.1120
16.2155; -2.8574; 0.2937; 1.3108; 0.0000; 17.2849
16.3459; -2.9448; 0.4297; 1.2615; 0.0000; 17.4419
16.4567; -3.0470; 0.5206; 1.1784; 0.0000; 17.5927
16.5624; -3.1592; 0.6033; 1.1916; 0.0000; 17.7468
16.6765; -3.2767; 0.8666; 1.1651; 0.0000; 17.9106
16.8012; -3.3949; 1.1606; 0.8502; 0.0000; 18.0824
16.9296; -3.5094; 1.2333; 0.6333; 0.0000; 18.2544
17.0544; -3.6158; 1.2814; 0.5471; 0.0000; 18.4184
17.1733; -3.7104; 1.3049; 0.4812; 0.0000; 18.5703
17.2936; -3.7912; 1.4631; 0.2945; 0.0000; 18.7153
17.4243; -3.8562; 1.5098; 0.2328; 0.0000; 18.8612
17.5725; -3.9032; 1.5215; 0.2503; 0.0000; 19.0167
17.7366; -3.9263; 1.6936; 0.2086; 0.0000; 19.1825
17.9117; -3.9183; 1.7211; 0.1972; 0.0000; 19.3577
18.0926; -3.8723; 1.7278; 0.2055; 0.0000; 19.5443
18.2758; -3.7886; 1.7278; 0.2055; 0.0000; 19.7458
18.4592; -3.6744; 1.7278; 0.2055; 0.0000; 19.9618
18.6408; -3.5378; 1.7626; 0.4562; 0.0000; 20.1890
18.8183; -3.3895; 1.7613; 0.4465; 0.0000; 20.4204
18.9896; -3.2486; 1.1779; 0.6795; 0.0000; 20.6422
19.1520; -3.1359; 1.1477; 0.6860; 0.0000; 20.8398
19.3033; -3.0705; 1.1547; 0.6846; 0.0000; 21.0047
19.4434; -3.0566; 1.1991; 0.6412; 0.0000; 21.1455
19.5730; -3.0903; 1.2577; 0.6479; 0.0000; 21.2795
19.6932; -3.1677; 1.3808; 0.5938; 0.0000; 21.4224
19.8044; -3.2834; 1.9595; 0.3958; 0.0000; 21.5829
19.9065; -3.4297; 1.0120; 0.2792; 0.0000; 21.7613
19.9994; -3.5988; 0.8378; 0.2648; 0.0000; 21.9542
20.0819; -3.7830; 0.8379; 0.2645; 0.0000; 22.1560
20.1481; -3.9751; 0.7959; 0.3836; 0.0000; 22.3593
20.1912; -4.1682; 0.7672; 0.3943; 0.0000; 22.5571
20.2046; -4.3554; 0.7454; 0.3909; 0.0000; 22.7447
20.1881; -4.5343; 0.7401; 0.4245; 0.0000; 22.9245
20.1459; -4.7058; 0.6190; 0.5686; 0.0000; 23.1010
20.0823; -4.8706; 0.6029; 0.6188; 0.0000; 23.2777
20.0021; -5.0290; 0.5478; 0.6450; 0.0000; 23.4552
19.9102; -5.1802; 0.4467; 0.9397; 0.0000; 23.6321
19.8121; -5.3232; 0.4091; 1.0167; 0.0000; 23.8056
19.7112; -5.4572; 0.3762; 1.1008; 0.0000; 23.9733
19.6014; -5.5818; 0.3082; 1.3027; 0.0000; 24.1394
19.4731; -5.6969; 0.3153; 1.4461; 0.0000; 24.3117
19.3171; -5.8021; 0.2814; 1.5741; 0.0000; 24.4999
19.1377; -5.8975; 0.2566; 1.6441; 0.0000; 24.7031
18.9520; -5.9834; 0.2884; 1.8677; 0.0000; 24.9077
18.7778; -6.0598; 0.3065; 1.9346; 0.0000; 25.0980
18.6249; -6.1268; 0.2977; 2.0217; 0.0000; 25.2649
18.4826; -6.1839; 0.3795; 1.9291; 0.0000; 25.4182
18.3366; -6.2306; 0.3303; 1.9570; 0.0000; 25.5715
18.1744; -6.2664; 0.3718; 2.1154; 0.0000; 25.7376
17.9970; -6.2926; 0.4279; 1.5335; 0.0000; 25.9170
17.8124; -6.3114; 0.4323; 1.2611; 0.0000; 26.1025
17.6285; -6.3247; 0.4663; 1.0173; 0.0000; 26.2868
17.4491; -6.3331; 0.4667; 0.9191; 0.0000; 26.4664
17.2725; -6.3353; 0.5809; 0.7617; 0.0000; 26.6431
17.0964; -6.3298; 0.6386; 0.7130; 0.0000; 26.8192
16.9194; -6.3159; 0.6606; 0.6636; 0.0000; 26.9968
16.7413; -6.2951; 0.8304; 0.6306; 0.0000; 27.1761
16.5628; -6.2696; 0.8400; 0.6003; 0.0000; 27.3564
16.3842; -6.2416; 0.8979; 0.5884; 0.0000; 27.5372
16.2059; -6.2112; 0.9443; 0.5610; 0.0000; 27.7181
16.0281; -6.1773; 1.1490; 0.5169; 0.0000; 27.8991
15.8510; -6.1388; 1.2707; 0.5144; 0.0000; 28.0803
15.6744; -6.0952; 1.3343; 0.4942; 0.0000; 28.2622
15.4969; -6.0470; 1.5810; 0.4618; 0.0000; 28.4462
15.3172; -5.9951; 1.6988; 0.4372; 0.0000; 28.6332
15.1347; -5.9400; 1.7910; 0.4918; 0.0000; 28.8238
14.9533; -5.8817; 1.8276; 0.5317; 0.0000; 29.0143
14.7781; -5.8200; 1.2358; 0.5671; 0.0000; 29.2001
14.6141; -5.7547; 1.1114; 0.5654; 0.0000; 29.3766
14.4618; -5.6857; 1.0016; 0.5745; 0.0000; 29.5439
14.3175; -5.6132; 0.8005; 0.6356; 0.0000; 29.7053
14.1774; -5.5375; 0.7478; 0.6665; 0.0000; 29.8645
14.0374; -5.4590; 0.6652; 0.6722; 0.0000; 30.0251
13.8917; -5.3785; 0.5776; 0.6942; 0.0000; 30.1915
13.7348; -5.2971; 0.4853; 0.7243; 0.0000; 30.3682
13.5623; -5.2155; 0.4202; 0.7430; 0.0000; 30.5591
13.3803; -5.1333; 0.3948; 0.8063; 0.0000; 30.7588
13.1998; -5.0497; 0.3894; 0.8452; 0.0000; 30.9577
13.0317; -4.9636; 0.3597; 0.8659; 0.0000; 31.1466
12.8789; -4.8752; 0.3762; 0.8927; 0.0000; 31.3231
12.7351; -4.7855; 0.3937; 0.9665; 0.0000; 31.4926
12.5932; -4.6958; 0.4030; 0.9902; 0.0000; 31.6605
12.4479; -4.6068; 0.4185; 1.0330; 0.0000; 31.8308
12.2994; -4.5182; 0.4860; 1.1175; 0.0000; 32.0038
12.1490; -4.4291; 0.5021; 1.1392; 0.0000; 32.1786
11.9980; -4.3389; 0.5367; 1.1764; 0.0000; 32.3545
11.8481; -4.2473; 0.7204; 1.3499; 0.0000; 32.5302
11.7005; -4.1548; 0.7374; 1.4037; 0.0000; 32.7043
11.5568; -4.0616; 0.8140; 1.4637; 0.0000; 32.8756
11.4152; -3.9684; 0.8958; 1.5114; 0.0000; 33.0452
11.2691; -3.8761; 1.2234; 1.3226; 0.0000; 33.2179
11.1113; -3.7860; 1.3421; 1.4007; 0.0000; 33.3997
10.9370; -3.6988; 1.7726; 1.1718; 0.0000; 33.5946
10.7542; -3.6133; 1.6400; 0.8248; 0.0000; 33.7963
10.5748; -3.5279; 1.6225; 0.6607; 0.0000; 33.9951
10.4098; -3.4410; 1.6150; 0.5861; 0.0000; 34.1816
10.2599; -3.3533; 1.5512; 0.5614; 0.0000; 34.3553
10.1169; -3.2670; 1.4088; 0.4765; 0.0000; 34.5223
9.9721; -3.1849; 1.3587; 0.4468; 0.0000; 34.6887
9.8200; -3.1080; 1.3257; 0.4393; 0.0000; 34.8591
9.6618; -3.0348; 1.2001; 0.4180; 0.0000; 35.0334
9.4998; -2.9631; 1.1674; 0.4177; 0.0000; 35.2106
9.3361; -2.8912; 1.0846; 0.4110; 0.0000; 35.3894
9.1721; -2.8193; 1.0387; 0.5445; 0.0000; 35.5685
9.0093; -2.7484; 1.0488; 0.5781; 0.0000; 35.7460
8.8487; -2.6797; 0.9950; 0.6275; 0.0000; 35.9207
8.6884; -2.6141; 0.9621; 0.6596; 0.0000; 36.0939
8.5229; -2.5525; 0.9208; 1.0240; 0.0000; 36.2705
8.3464; -2.4960; 0.9069; 1.2550; 0.0000; 36.4559
8.1562; -2.4453; 0.8781; 1.3080; 0.0000; 36.6526
