
################################################################################
# RACELINE: cl050
################################################################################

================================================================================
FPGA MPC Parameter Tuning — EXHAUSTIVE — raceline=cl050
================================================================================

--- Phase 1a: Structural sweep (1512 configs) ---
[  52/1512] dt=0.025+N=17+WE=8+WM=0.2                                 → wc=1  t5=3s  lat=0.007  (ETA 1460s)
[  53/1512] dt=0.025+N=17+WE=8+WM=0.3                                 → wc=1  t5=3s  lat=0.007  (ETA 1459s)
[  54/1512] dt=0.025+N=17+WE=8+WM=0.36                                → wc=1  t5=3s  lat=0.007  (ETA 1457s)
[  55/1512] dt=0.025+N=17+WE=8+WM=0.4                                 → wc=1  t5=3s  lat=0.007  (ETA 1455s)
[  56/1512] dt=0.025+N=17+WE=8+WM=0.5                                 → wc=1  t5=3s  lat=0.007  (ETA 1453s)
[  57/1512] dt=0.025+N=17+WE=10+WM=0.05                               → wc=1  t5=3s  lat=0.007  (ETA 1451s)
[  58/1512] dt=0.025+N=17+WE=10+WM=0.1                                → wc=1  t5=3s  lat=0.007  (ETA 1450s)
[  59/1512] dt=0.025+N=17+WE=10+WM=0.15                               → wc=1  t5=3s  lat=0.007  (ETA 1450s)
[  60/1512] dt=0.025+N=17+WE=10+WM=0.2                                → wc=1  t5=3s  lat=0.007  (ETA 1448s)
[  61/1512] dt=0.025+N=17+WE=10+WM=0.3                                → wc=1  t5=3s  lat=0.007  (ETA 1448s)
[  62/1512] dt=0.025+N=17+WE=10+WM=0.36                               → wc=1  t5=3s  lat=0.007  (ETA 1452s)
[  63/1512] dt=0.025+N=17+WE=10+WM=0.4                                → wc=1  t5=3s  lat=0.007  (ETA 1451s)
[  64/1512] dt=0.025+N=17+WE=10+WM=0.5                                → wc=1  t5=3s  lat=0.007  (ETA 1450s)
[  65/1512] dt=0.025+N=17+WE=12+WM=0.05                               → wc=1  t5=3s  lat=0.007  (ETA 1448s)
[  66/1512] dt=0.025+N=17+WE=12+WM=0.1                                → wc=1  t5=3s  lat=0.007  (ETA 1446s)
[  67/1512] dt=0.025+N=17+WE=12+WM=0.15                               → wc=1  t5=3s  lat=0.007  (ETA 1445s)
[  68/1512] dt=0.025+N=17+WE=12+WM=0.2                                → wc=1  t5=3s  lat=0.007  (ETA 1444s)
[  69/1512] dt=0.025+N=17+WE=12+WM=0.3                                → wc=1  t5=3s  lat=0.007  (ETA 1444s)
[  70/1512] dt=0.025+N=17+WE=12+WM=0.36                               → wc=1  t5=3s  lat=0.007  (ETA 1443s)
[  71/1512] dt=0.025+N=17+WE=12+WM=0.4                                → wc=1  t5=3s  lat=0.007  (ETA 1443s)
[  72/1512] dt=0.025+N=17+WE=12+WM=0.5                                → wc=1  t5=3s  lat=0.007  (ETA 1442s)
[  73/1512] dt=0.025+N=17+WE=15+WM=0.05                               → wc=1  t5=3s  lat=0.007  (ETA 1442s)
[  74/1512] dt=0.025+N=17+WE=15+WM=0.1                                → wc=1  t5=3s  lat=0.007  (ETA 1444s)
[  75/1512] dt=0.025+N=17+WE=15+WM=0.15                               → wc=1  t5=3s  lat=0.007  (ETA 1446s)
[  76/1512] dt=0.025+N=17+WE=15+WM=0.2                                → wc=1  t5=3s  lat=0.007  (ETA 1446s)
[  77/1512] dt=0.025+N=17+WE=15+WM=0.3                                → wc=1  t5=3s  lat=0.007  (ETA 1445s)
[  78/1512] dt=0.025+N=17+WE=15+WM=0.36                               → wc=1  t5=3s  lat=0.007  (ETA 1445s)
[  79/1512] dt=0.025+N=17+WE=15+WM=0.4                                → wc=1  t5=3s  lat=0.007  (ETA 1444s)
[  80/1512] dt=0.025+N=17+WE=15+WM=0.5                                → wc=1  t5=3s  lat=0.007  (ETA 1442s)
[  81/1512] dt=0.025+N=18+WE=5+WM=0.05                                → wc=1  t5=3s  lat=0.006  (ETA 1440s)
[  82/1512] dt=0.025+N=18+WE=5+WM=0.1                                 → wc=1  t5=3s  lat=0.006  (ETA 1438s)
[  83/1512] dt=0.025+N=18+WE=5+WM=0.15                                → wc=1  t5=3s  lat=0.006  (ETA 1437s)
