label,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_ALPHA,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
dt=0.05+N=12+WE=8+WM=0.3,600.0,4,2,0.3263,0.0204,0.5173,0.018,4.66,0.1758,2.8674,23.8,8695.3,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,8,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.02,600.0,4,2,0.327,0.0187,0.527,0.0157,4.71,0.1528,2.7606,19.9,843.4,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.02,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.0,600.0,4,2,0.326,0.0202,0.5317,0.0179,4.72,0.1711,2.7606,18.8,854.9,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.0,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.03,600.0,4,2,0.3353,0.0203,0.5267,0.018,4.74,0.1714,2.7607,16.6,252.1,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.03,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.01,600.0,4,2,0.3416,0.0205,0.5256,0.0181,4.75,0.1733,2.7606,19.6,346.2,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.01,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.08,600.0,4,2,0.3401,0.0206,0.5293,0.0179,4.79,0.1749,2.7609,22.4,3208.2,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.08,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.05,600.0,4,2,0.3256,0.0201,0.5284,0.0179,4.69,0.1715,2.7608,18.1,451.4,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.05,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.1,600.0,4,2,0.3271,0.0204,0.5234,0.018,4.66,0.1755,2.8172,16.8,231.6,1,0.0,1.4,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.1,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.04,600.0,4,2,0.3348,0.0205,0.5255,0.0178,4.74,0.1717,2.7607,18.0,406.9,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.04,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.15,600.0,4,2,0.3316,0.0204,0.5232,0.018,4.66,0.1755,2.7613,18.1,3513.2,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.15,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.3,600.0,4,2,0.3406,0.0207,0.5245,0.018,4.75,0.1749,2.752,18.7,448.4,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.0,600.0,4,2,0.326,0.0202,0.5317,0.0179,4.72,0.1711,2.7606,33.6,3252.1,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.0,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.03,600.0,4,2,0.3353,0.0203,0.5267,0.018,4.74,0.1714,2.7607,18.1,2964.8,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.03,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=9+WM=0.2,600.0,4,2,0.3399,0.0204,0.527,0.0181,4.71,0.1718,2.7485,19.3,434.6,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,9,0.2,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.01,600.0,4,2,0.3416,0.0205,0.5256,0.0181,4.75,0.1733,2.7606,32.8,4166.1,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.01,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.02,600.0,4,2,0.327,0.0187,0.527,0.0157,4.71,0.1528,2.7606,24.8,3259.2,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.02,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.05,600.0,4,2,0.3256,0.0201,0.5284,0.0179,4.69,0.1715,2.7608,19.0,3568.0,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.05,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.04,600.0,4,2,0.3348,0.0205,0.5255,0.0178,4.74,0.1717,2.7607,25.3,5060.1,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.04,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.1,600.0,4,2,0.3271,0.0204,0.5234,0.018,4.66,0.1755,2.8172,33.4,4423.4,1,0.0,1.4,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.1,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.08,600.0,4,2,0.3401,0.0206,0.5293,0.0179,4.79,0.1749,2.7609,23.0,3682.0,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.08,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.2,600.0,4,2,0.3399,0.0204,0.527,0.0181,4.71,0.1718,2.7485,17.3,349.9,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.2,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.15,600.0,4,2,0.3316,0.0204,0.5232,0.018,4.66,0.1755,2.7613,35.5,3260.6,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.15,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.0,600.0,4,2,0.326,0.0202,0.5317,0.0179,4.72,0.1711,2.7606,21.0,4256.7,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.0,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=10+WM=0.3,600.0,4,2,0.3406,0.0207,0.5245,0.018,4.75,0.1749,2.752,18.2,298.5,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,10,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.01,600.0,4,2,0.3416,0.0205,0.5256,0.0181,4.75,0.1733,2.7606,19.8,3785.5,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.01,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.02,600.0,4,2,0.327,0.0187,0.527,0.0157,4.71,0.1528,2.7606,17.4,1036.7,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.02,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.05,600.0,4,2,0.3256,0.0201,0.5284,0.0179,4.69,0.1715,2.7608,19.3,2863.0,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.05,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.03,600.0,4,2,0.3353,0.0203,0.5267,0.018,4.74,0.1714,2.7607,17.5,4009.0,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.03,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.08,600.0,4,2,0.3401,0.0206,0.5293,0.0179,4.79,0.1749,2.7609,16.2,204.6,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.08,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.04,600.0,4,2,0.3348,0.0205,0.5255,0.0178,4.74,0.1717,2.7607,39.2,4052.4,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.04,1,4,10,0.1,0.53,0.3,0.05
