wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,amcl_processing_ms,amcl_pose_compute_ms,cpu_to_gpu_scan_ms,gpu_to_cpu_particles_ms,gpu_to_cpu_weights_ms,cpu_gpu_transfer_total_ms,cpu_to_gpu_scan_bytes,gpu_to_cpu_particles_bytes,gpu_to_cpu_weights_bytes,amcl_predict_ms,amcl_sensor_model_ms,amcl_normalize_ms,amcl_scan_confidence_ms,amcl_update_weights_total_ms,amcl_cluster_estimate_ms,amcl_resample_ms,amcl_kld_target_ms,amcl_full_compute_ms,amcl_callback_to_pose_publish_ms,amcl_pose_published,amcl_cluster_weight,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1781364889348843557,1781364889340275101,0.469,-1,4.020,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,3.950,3.879,7.828,0.151,0.111,8.091
1781364889419287219,1781364889410306138,0.190,1222,4.077,3.986,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.419,0.370,0.074,0.043,0.568,0.356,0.033,nan,4.020,4.133,1.000,0.898,4.358,4.034,8.392,0.233,0.159,8.784
1781364889471126995,1781364889460312013,0.205,1222,4.077,4.045,0.042,nan,nan,0.042,1084.000,0.000,0.000,0.409,0.365,0.068,0.041,0.538,0.354,0.031,nan,4.077,4.349,1.000,0.912,5.603,2.454,8.057,2.413,0.130,10.600
1781364889519170164,1781364889510309056,0.221,1000,3.692,4.257,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.430,0.358,0.064,0.039,0.513,0.371,1.101,0.396,5.409,5.505,1.000,0.929,3.897,4.319,8.216,0.156,0.262,8.634
1781364889550517112,1781364889540322156,0.185,1000,3.692,3.660,0.025,nan,nan,0.025,1084.000,0.000,0.000,0.406,0.354,0.077,0.040,0.517,0.454,0.031,nan,3.692,3.861,1.000,0.959,4.305,3.899,8.204,1.776,0.023,10.002
1781364889599088528,1781364889590294782,0.474,1000,3.549,3.515,0.039,nan,nan,0.039,1084.000,0.000,0.000,0.399,0.358,0.059,0.036,0.512,0.333,0.033,nan,3.549,3.652,1.000,0.963,4.546,3.380,7.927,0.369,0.019,8.315
1781364889619019188,1781364889610312711,0.194,1000,3.634,3.764,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.414,0.349,0.078,0.040,0.526,0.375,0.568,0.344,4.361,4.457,1.000,0.966,4.169,3.961,8.130,0.360,0.019,8.509
1781364889649082755,1781364889640314131,0.511,1000,3.634,3.594,0.040,nan,nan,0.040,1084.000,0.000,0.000,0.394,0.350,0.060,0.035,0.509,0.356,0.038,nan,3.634,3.770,1.000,0.998,3.751,4.419,8.169,0.038,0.046,8.253
1781364889669648130,1781364889660310778,0.242,1000,3.830,3.739,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.406,0.350,0.077,0.039,0.524,0.440,0.090,nan,3.830,4.036,1.000,0.998,4.170,4.484,8.654,0.408,0.023,9.085
1781364889699396547,1781364889690327142,0.201,1000,5.592,3.882,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.396,0.352,0.058,0.034,0.497,0.327,0.036,nan,3.921,4.027,1.000,0.997,5.849,2.907,8.756,0.076,0.032,8.864
