1.179960,0.753387,-5.034868,0.478156,-0.217510,4.253071,1.712871,1.330000,0.570000
1.199959,0.771139,-5.025716,0.473821,-0.218186,4.261118,1.774372,1.290000,0.580000
1.219958,0.788946,-5.016634,0.469429,-0.219690,4.269438,1.854917,1.280000,0.590000
1.239958,0.806806,-5.007624,0.465033,-0.218837,4.278118,1.858684,1.290000,0.600000
1.259957,0.824720,-4.998685,0.460676,-0.218117,4.286798,1.862452,1.300000,0.610000
1.279956,0.842660,-4.989830,0.456309,-0.218393,4.295478,1.866219,1.290000,0.640000
1.299955,0.860606,-4.981070,0.451940,-0.217992,4.304159,1.886285,1.250000,0.650000
1.319955,0.878606,-4.972380,0.447589,-0.218186,4.312914,2.018530,1.260000,0.660000
1.339954,0.896660,-4.963761,0.443213,-0.217283,4.322264,2.022901,1.250000,0.670000
1.359953,0.914769,-4.955213,0.438899,-0.215097,4.331614,2.027273,1.210000,0.670000
1.379953,0.932895,-4.946751,0.434609,-0.213930,4.340964,2.031644,1.200000,0.680000
1.399952,0.951024,-4.938383,0.430342,-0.209647,4.350314,2.036015,1.190000,0.690000
1.419951,0.969206,-4.930083,0.426224,-0.204535,4.359664,2.184077,1.200000,0.700000
1.439951,0.987440,-4.921848,0.422160,-0.201772,4.369672,2.211961,1.170000,0.730000
1.459950,1.005727,-4.913679,0.418153,-0.196981,4.379784,2.217074,1.180000,0.710000
1.479949,1.024023,-4.905592,0.414282,-0.190698,4.389896,2.222187,1.170000,0.720000
1.499949,1.042313,-4.897591,0.410526,-0.184515,4.400008,2.227300,1.160000,0.730000
1.519948,1.060652,-4.889649,0.406901,-0.178156,4.410120,2.357373,1.150000,0.730000
1.539947,1.079041,-4.881763,0.403400,-0.171342,4.420797,2.422916,1.160000,0.760000
1.559946,1.097479,-4.873931,0.400048,-0.164115,4.431745,2.428909,1.150000,0.770000
1.579946,1.115917,-4.866170,0.396835,-0.157516,4.442692,2.434901,1.140000,0.770000
1.599945,1.134337,-4.858485,0.393747,-0.151225,4.453640,2.440894,1.130000,0.760000
1.619944,1.152803,-4.850846,0.390787,-0.144491,4.464588,2.246323,1.120000,0.770000
1.639944,1.171315,-4.843251,0.387968,-0.136320,4.474639,2.083035,1.120000,0.780000
1.659943,1.189871,-4.835697,0.385334,-0.129152,4.483939,2.087360,1.120000,0.790000
1.679942,1.208422,-4.828200,0.382802,-0.123481,4.493240,2.091685,1.130000,0.840000
1.699942,1.226939,-4.820771,0.380395,-0.115556,4.502540,2.096010,1.130000,0.820000
1.719941,1.245499,-4.813374,0.378180,-0.108039,4.511840,1.568539,1.120000,0.830000
1.739940,1.264102,-4.806006,0.376073,-0.101657,4.518788,0.941578,1.110000,0.840000
