# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
38.853013,-0.374543,-9.878880,2.933016,1.589940,2.156008,0.000000,0.752014,0.760951
38.916736,-0.437967,-9.872721,2.999012,-0.402043,2.117043,0.000000,0.752084,0.762060
38.978970,-0.499088,-9.861001,2.882376,-1.564078,2.161617,0.000000,0.752397,0.763723
39.040042,-0.556859,-9.841193,2.806151,-0.670529,2.323313,0.000000,0.753393,0.766169
39.101079,-0.614390,-9.820805,2.800499,-0.052999,2.506058,0.000000,0.755963,0.769692
39.162112,-0.671896,-9.800359,2.799681,0.073891,2.566070,0.000000,0.761518,0.774583
39.223143,-0.729388,-9.779879,2.809518,-0.643916,2.521907,0.000000,0.770988,0.781131
39.284249,-0.787355,-9.760543,2.721035,-0.721832,2.512821,0.000000,0.783047,0.789197
39.345689,-0.840715,-9.730089,2.721061,-0.052718,2.548234,0.000000,0.794900,0.798063
39.406795,-0.898683,-9.710756,2.714575,-0.076363,2.494679,0.000000,0.805396,0.807092
39.468339,-0.951741,-9.679570,2.711695,0.806054,2.317304,0.000000,0.815687,0.816599
39.529422,-1.009574,-9.659913,2.813418,-0.646846,2.144476,0.000000,0.827647,0.828020
39.590500,-1.067382,-9.640196,2.632675,-1.618911,2.060316,0.000000,0.842512,0.842611
39.654095,-1.116755,-9.600113,2.611583,0.344217,1.993700,0.000000,0.859471,0.859487
39.715055,-1.173557,-9.577985,2.675549,-2.836759,1.892502,0.000000,0.876222,0.876224
39.776561,-1.225675,-9.545326,2.264178,-6.069976,1.877113,0.000000,0.891430,0.891430
39.838394,-1.248466,-9.487846,1.926886,-2.912449,2.081738,0.000000,0.904294,0.904294
39.899431,-1.268499,-9.430190,1.906326,0.073528,2.430773,0.000000,0.913240,0.913240
39.960481,-1.288665,-9.372567,1.935863,0.066006,2.717541,0.000000,0.917644,0.917644
40.021434,-1.312038,-9.316274,1.914379,-0.403734,2.821484,0.000000,0.918513,0.918513
40.082686,-1.329780,-9.257647,1.886524,-0.149123,2.732942,0.000000,0.916214,0.916214
40.143732,-1.350004,-9.200048,1.896141,-0.028196,2.505373,0.000000,0.909562,0.909567
40.204879,-1.368835,-9.141873,1.883079,-1.266687,2.301839,0.000000,0.898280,0.898339
40.266034,-1.387579,-9.083662,1.741223,-1.070730,2.311010,0.000000,0.884732,0.885091
40.331040,-1.390032,-9.018702,1.747995,-0.127310,2.498808,0.000000,0.871559,0.872917
40.392130,-1.409576,-8.960823,1.725169,-0.118950,2.604140,0.000000,0.859592,0.862850
40.458212,-1.409321,-8.894742,1.732868,0.092308,2.474240,0.000000,0.849061,0.854412
40.519244,-1.429783,-8.837241,1.736903,-1.264026,2.277034,0.000000,0.840220,0.847111
40.585127,-1.430007,-8.771359,1.572444,-1.260094,2.282346,0.000000,0.832738,0.840501
40.651105,-1.430000,-8.705381,1.570745,-0.012484,2.521651,0.000000,0.826602,0.833819
40.717081,-1.430000,-8.639405,1.570797,0.000386,2.789244,0.000000,0.822454,0.827350
40.783056,-1.430000,-8.573430,1.570796,-0.000003,2.896876,0.000000,0.820169,0.822762
40.849031,-1.430000,-8.507454,1.570796,0.000174,2.781660,0.000000,0.818705,0.820683
40.915007,-1.430000,-8.441479,1.570819,-0.019486,2.472430,0.000000,0.817447,0.820107
40.980984,-1.430003,-8.375502,1.568225,-1.301125,2.111805,0.000000,0.816548,0.820010
41.046818,-1.429661,-8.309668,1.399316,-1.219936,1.909801,0.000000,0.816136,0.820003
41.107825,-1.408681,-8.252383,1.413487,1.423156,1.951946,0.000000,0.816021,0.820021
41.174369,-1.410022,-8.185852,1.580840,-0.040799,2.140348,0.000000,0.816003,0.820134
41.240340,-1.410012,-8.119881,1.408081,-1.310508,2.352067,0.000000,0.816012,0.820539
41.301383,-1.389739,-8.062303,1.414387,0.044783,2.528668,0.000000,0.816079,0.821412
41.367669,-1.390480,-7.996021,1.413783,-0.058325,2.644333,0.000000,0.816341,0.822572
41.428708,-1.370134,-7.938472,1.406961,0.652407,2.716748,0.000000,0.816989,0.823669
41.494654,-1.370064,-7.872526,1.496629,0.018101,2.778572,0.000000,0.818002,0.824893
41.557433,-1.360623,-7.810461,1.409291,-0.086124,2.774928,0.000000,0.819032,0.826807
41.619900,-1.349925,-7.748917,1.485842,-0.031160,2.606750,0.000000,0.819792,0.829295
41.685811,-1.349769,-7.683006,1.405290,-0.578614,2.315803,0.000000,0.820460,0.831518
41.746844,-1.329311,-7.625505,1.412391,1.341114,2.121612,0.000000,0.821396,0.832947
41.813107,-1.329999,-7.559245,1.576009,1.197943,2.205200,0.000000,0.822529,0.833624
41.879084,-1.330000,-7.493268,1.570807,-0.039514,2.503265,0.000000,0.823393,0.833690
41.945059,-1.330000,-7.427293,1.570795,-0.000081,2.789663,0.000000,0.823740,0.832996
42.011034,-1.330000,-7.361318,1.570796,0.000009,2.899391,0.000000,0.823511,0.831131
42.077010,-1.330000,-7.295342,1.570797,-0.000076,2.786647,0.000000,0.822303,0.828054
42.142985,-1.330000,-7.229367,1.570786,-0.004892,2.476444,0.000000,0.819661,0.824359
42.208960,-1.329999,-7.163392,1.570151,-1.221958,2.085957,0.000000,0.816215,0.820455
42.274901,-1.329915,-7.097451,1.409591,-1.250149,1.807914,0.000000,0.813358,0.816102
42.335959,-1.309895,-7.039768,1.411383,1.274703,1.764105,0.000000,0.811275,0.811292
42.401988,-1.310025,-6.973739,1.571590,1.205644,1.884839,0.000000,0.808587,0.806741
42.467954,-1.310000,-6.907774,1.570521,-0.130711,1.974787,0.000000,0.804267,0.803230
42.533924,-1.309989,-6.841803,1.554344,-1.223075,1.917616,0.000000,0.799227,0.801141
42.599047,-1.307844,-6.776716,1.410185,-0.995724,1.776621,0.000000,0.795317,0.800274
42.660284,-1.289956,-6.718150,1.428525,1.264876,1.668724,0.000000,0.793219,0.800042
42.726278,-1.290002,-6.652156,1.571117,1.078286,1.626863,0.000000,0.792417,0.800004
42.792252,-1.289998,-6.586182,1.570825,-1.142463,1.631856,0.000000,0.792349,0.800000
42.858230,-1.290006,-6.520203,1.420366,-1.260644,1.682614,0.000000,0.792727,0.800000
42.919378,-1.271179,-6.462026,1.410564,1.122040,1.774357,0.000000,0.793294,0.800006
42.984883,-1.270018,-6.396531,1.562475,0.556157,1.884643,0.000000,0.793813,0.800067
43.050886,-1.270085,-6.330528,1.483703,-1.188019,2.035394,0.000000,0.794489,0.800446
43.113240,-1.258899,-6.269186,1.409985,-0.791607,2.278924,0.000000,0.796281,0.801902
43.176169,-1.250029,-6.206885,1.384528,-0.016896,2.566965,0.000000,0.800297,0.805426
43.237918,-1.235833,-6.146790,1.407878,-0.240348,2.729492,0.000000,0.806523,0.811061
43.301656,-1.229722,-6.083346,1.354368,0.027437,2.638965,0.000000,0.814094,0.817736
43.362687,-1.209243,-6.025853,1.411302,0.484056,2.360715,0.000000,0.822600,0.824867
43.428905,-1.209822,-5.959637,1.415963,-1.414805,2.122894,0.000000,0.831640,0.832596
43.489970,-1.189898,-5.901915,1.231222,-1.545610,2.105881,0.000000,0.840740,0.840995
43.550987,-1.169159,-5.844530,1.227272,0.035995,2.262068,0.000000,0.850558,0.850600
43.612025,-1.148789,-5.786992,1.235615,0.660570,2.409736,0.000000,0.862279,0.862283
43.673098,-1.128993,-5.729216,1.307934,0.046913,2.473334,0.000000,0.876175,0.876175
43.735240,-1.116843,-5.668273,1.241395,-1.003470,2.531147,0.000000,0.891775,0.891775
43.796350,-1.089480,-5.613632,1.184255,0.010088,2.653962,0.000000,0.908501,0.908501
43.857518,-1.070885,-5.555359,1.242629,0.379073,2.805763,0.000000,0.925382,0.925382
43.918534,-1.050106,-5.497990,1.230571,0.041277,2.909322,0.000000,0.941296,0.941296
43.979596,-1.030149,-5.440281,1.247668,0.240657,2.915406,0.000000,0.956635,0.956635
44.040742,-1.011303,-5.382112,1.259981,0.086151,2.791008,0.000000,0.973204,0.973204
44.101913,-0.992740,-5.323826,1.258206,-0.380650,2.536038,0.000000,0.991796,0.991796
44.163042,-0.973693,-5.265740,1.213428,-0.783736,2.235836,0.000000,1.011827,1.011827
44.223996,-0.950070,-5.209550,1.162525,-1.190078,2.008718,0.000000,1.032975,1.032975
44.284970,-0.925287,-5.153839,1.068324,-0.568441,1.885437,0.000000,1.055487,1.055487
44.347066,-0.891005,-5.102064,1.092567,1.333557,1.806566,0.000000,1.078821,1.078821
44.408036,-0.868979,-5.045212,1.232440,0.771663,1.720717,0.000000,1.101251,1.101251
44.469213,-0.850479,-4.986899,1.186823,-1.443782,1.628571,0.000000,1.121942,1.121942
44.530288,-0.823317,-4.932197,1.055934,-4.201188,1.556032,0.000000,1.141709,1.141709
44.592211,-0.790000,-4.880000,0.670083,-7.281848,1.520920,0.000000,1.160185,1.160185
