# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
5.885998,6.562131,-6.531769,-1.483744,0.094187,2.715397,0.000000,1.540000,0.120000
5.975180,6.570158,-6.619742,-1.476081,0.079420,2.777542,0.000000,1.530000,0.130000
6.064362,6.578803,-6.707657,-1.469693,0.065322,2.838438,0.000000,1.520000,0.150000
6.153544,6.587955,-6.795521,-1.464523,0.051799,2.891523,0.000000,1.520000,0.160000
6.242726,6.597509,-6.883341,-1.460527,0.038762,2.932949,0.000000,1.510000,0.190000
6.331907,6.607364,-6.971129,-1.457663,0.026127,2.961995,0.000000,1.500000,0.200000
6.421089,6.617423,-7.058893,-1.455901,0.013816,2.980323,0.000000,1.490000,0.210000
6.510271,6.627588,-7.146645,-1.455215,0.001754,2.990724,0.000000,1.500000,0.220000
6.599453,6.637767,-7.234396,-1.455586,-0.010129,2.996000,0.000000,1.490000,0.230000
6.688635,6.647867,-7.322155,-1.457001,-0.021901,2.998307,0.000000,1.480000,0.240000
6.777816,6.657798,-7.409934,-1.459454,-0.033625,2.998946,0.000000,1.470000,0.250000
6.866998,6.667468,-7.497742,-1.462942,-0.045363,2.998423,0.000000,1.460000,0.240000
6.956180,6.676786,-7.585588,-1.467471,-0.057174,2.996577,0.000000,1.450000,0.250000
7.045362,6.685660,-7.673480,-1.473048,-0.069117,2.992720,0.000000,1.460000,0.260000
7.134544,6.693998,-7.761425,-1.479688,-0.081247,2.985810,0.000000,1.450000,0.250000
7.223725,6.701703,-7.849427,-1.487409,-0.093619,2.974753,0.000000,1.440000,0.260000
7.312907,6.708681,-7.937490,-1.496237,-0.106284,2.958800,0.000000,1.430000,0.240000
7.402089,6.714831,-8.025614,-1.506197,-0.119292,2.937902,0.000000,1.420000,0.250000
7.491271,6.720051,-8.113798,-1.517324,-0.132691,2.912745,0.000000,1.440000,0.240000
7.580453,6.724238,-8.202037,-1.529654,-0.146523,2.884293,0.000000,1.430000,0.240000
7.669634,6.727281,-8.290323,-1.543226,-0.160828,2.853042,0.000000,1.430000,0.220000
7.758816,6.729070,-8.378643,-1.558083,-0.175635,2.818536,0.000000,1.450000,0.220000
7.847998,6.729488,-8.466980,-1.574272,-0.190970,2.779769,0.000000,1.450000,0.200000
7.937180,6.728416,-8.555311,-1.591839,-0.206842,2.736599,0.000000,1.450000,0.200000
8.026362,6.725729,-8.643608,-1.610832,-0.223250,2.691420,0.000000,1.450000,0.220000
8.115543,6.721301,-8.731834,-1.631298,-0.240173,2.649858,0.000000,1.460000,0.220000
8.204725,6.715002,-8.819946,-1.653279,-0.257568,2.619575,0.000000,1.460000,0.230000
8.293907,6.706700,-8.907892,-1.676816,-0.275365,2.607400,0.000000,1.480000,0.260000
8.383089,6.696262,-8.995610,-1.701939,-0.293465,2.616210,0.000000,1.490000,0.280000
8.472270,6.683552,-9.083027,-1.728670,-0.311731,2.643317,0.000000,1.530000,0.300000
8.561452,6.668442,-9.170061,-1.756930,-0.324498,2.681313,0.000000,1.550000,0.380000
8.650634,6.650848,-9.256627,-1.785739,-0.328002,2.720916,0.000000,1.580000,0.500000
8.739816,6.630752,-9.342647,-1.814930,-0.333165,2.754193,0.000000,1.610000,0.680000
8.828998,6.608133,-9.428037,-1.844654,-0.340092,2.776445,0.000000,1.650000,0.920000
8.918179,6.582958,-9.512710,-1.875072,-0.348917,2.785957,0.000000,1.690000,1.120000
9.007361,6.555184,-9.596566,-1.906361,-0.359805,2.782259,0.000000,1.740000,2.970000
9.096543,6.524758,-9.679495,-1.938709,-0.372956,2.764377,0.000000,1.790000,2.960000
9.185725,6.491615,-9.761377,-1.972327,-0.388610,2.730132,0.000000,1.870000,2.960000
9.274907,6.455680,-9.842072,-2.007450,-0.407046,2.676453,0.000000,1.900000,2.940000
9.364088,6.416865,-9.921421,-2.044335,-0.428586,2.600159,0.000000,1.950000,2.860000
9.453270,6.375074,-9.999242,-2.083273,-0.453593,2.499219,0.000000,2.000000,2.830000
9.542452,6.330196,-10.075326,-2.124588,-0.482461,2.374649,0.000000,2.030000,2.810000
9.631634,6.282115,-10.149426,-2.168639,-0.515597,2.232162,0.000000,1.870000,2.760000
9.720816,6.230709,-10.221257,-2.215820,-0.553391,2.082033,0.000000,1.670000,2.670000
9.809997,6.175852,-10.290488,-2.266558,-0.596150,1.936736,0.000000,1.490000,2.640000
9.899179,6.117426,-10.356731,-2.321297,-0.644004,1.807814,0.000000,1.300000,2.530000
9.988361,6.055326,-10.419541,-2.380484,-0.696767,1.703836,0.000000,1.160000,2.440000
10.077543,5.989481,-10.478409,-2.444525,-0.753731,1.629942,0.000000,1.020000,2.300000
10.166725,5.919865,-10.532763,-2.513733,-0.813430,1.588036,0.000000,0.900000,2.220000
10.255906,5.846529,-10.581976,-2.588249,-0.873400,1.576545,0.000000,0.800000,2.100000
10.345088,5.769622,-10.625391,-2.667947,-0.930055,1.589819,0.000000,0.720000,1.970000
10.434270,5.689415,-10.662352,-2.752337,-0.978822,1.618624,0.000000,0.650000,1.870000
10.523452,5.606322,-10.692254,-2.840503,-1.014695,1.653011,0.000000,0.600000,1.800000
10.612634,5.520890,-10.714609,-2.931099,-1.033217,1.686704,0.000000,0.580000,1.760000
10.701815,5.433778,-10.729097,-3.022454,-1.031625,1.720035,0.000000,0.200000,1.710000
10.790997,5.345709,-10.735610,-3.112763,-1.009685,1.758889,0.000000,0.050000,1.680000
10.880179,5.257410,-10.734264,3.082874,-0.969777,1.809990,0.000000,0.010000,0.010000
10.969361,5.169545,-10.725377,2.999490,-0.916177,1.875730,0.000000,0.010000,0.010000
11.058543,5.082663,-10.709507,2.924611,-0.771421,1.952186,0.000000,0.010000,0.010000
11.147724,4.997061,-10.687740,2.862552,-0.637574,2.031483,0.000000,0.010000,0.010000
11.236906,4.912824,-10.661175,2.811295,-0.526449,2.105834,0.000000,0.010000,0.010000
11.326088,4.829910,-10.630709,2.768970,-0.434715,2.169335,0.000000,0.010000,0.010000
11.415270,4.748231,-10.597072,2.734026,-0.358748,2.216863,0.000000,0.010000,0.010000
11.504452,4.667661,-10.560856,2.705220,-0.295288,2.243328,0.000000,0.010000,0.010000
11.593633,4.588064,-10.522544,2.681567,-0.241627,2.245995,0.000000,0.010000,0.010000
11.682815,4.509304,-10.482537,2.662305,-0.195595,2.228376,0.000000,0.010000,0.010000
11.771997,4.431249,-10.441172,2.646837,-0.155466,2.201727,0.000000,0.010000,0.010000
11.861179,4.353771,-10.398737,2.634704,-0.119869,2.182059,0.000000,0.010000,0.010000
11.950360,4.276748,-10.355481,2.625558,-0.087704,2.184199,0.000000,0.010000,0.010000
12.039542,4.200062,-10.311628,2.619135,-0.058068,2.216298,0.000000,0.010000,0.010000
12.128724,4.123603,-10.267382,2.615246,-0.030210,2.277378,0.000000,0.010000,0.010000
12.217906,4.047262,-10.222930,2.613764,-0.003477,2.358422,0.000000,0.010000,0.010000
12.307088,3.970936,-10.178455,2.614616,0.022715,2.445890,0.000000,0.010000,0.010000
12.396269,3.894520,-10.134134,2.617778,0.048913,2.526017,0.000000,0.010000,0.010000
12.485451,3.817913,-10.090143,2.623273,0.075649,2.588537,0.000000,0.010000,0.010000
12.574633,3.741014,-10.046666,2.631175,0.103468,2.628905,0.000000,0.010000,0.010000
12.663815,3.663720,-10.003895,2.641603,0.132951,2.648517,0.000000,0.010000,0.010000
12.752997,3.585929,-9.962035,2.654732,0.164733,2.652901,0.000000,0.010000,0.010000
12.842178,3.507536,-9.921314,2.670796,0.199530,2.648499,0.000000,0.010000,0.010000
12.931360,3.428438,-9.881984,2.690097,0.238166,2.639110,0.000000,0.010000,0.010000
13.020542,3.348528,-9.844329,2.713016,0.281587,2.623297,0.000000,0.040000,1.350000
13.109724,3.267706,-9.808678,2.740020,0.330882,2.594129,0.000000,0.100000,1.320000
13.198906,3.185874,-9.775408,2.771684,0.387271,2.542157,0.000000,0.160000,1.220000
13.288087,3.102953,-9.744962,2.808690,0.452058,2.460823,0.000000,0.210000,1.150000
13.377269,3.018881,-9.717858,2.851838,0.526499,2.351236,0.000000,0.260000,1.090000
13.466451,2.933642,-9.694699,2.902024,0.611516,2.222940,0.000000,0.320000,1.030000
13.555633,2.847278,-9.676184,2.960194,0.707178,2.090399,0.000000,0.350000,0.960000
13.644815,2.759930,-9.663103,3.027234,0.811864,1.968252,0.000000,0.380000,0.910000
13.733996,2.671874,-9.656318,3.103771,0.921134,1.868184,0.000000,0.430000,0.880000
13.823178,2.583563,-9.656711,-3.093313,1.026688,1.797546,0.000000,0.450000,0.860000
13.912360,2.495655,-9.665085,-2.999084,1.071202,1.758790,0.000000,0.460000,0.860000
14.001542,2.408913,-9.681644,-2.908146,0.983610,1.750031,0.000000,0.460000,0.860000
14.090724,2.323927,-9.705658,-2.825812,0.878620,1.767363,0.000000,0.480000,0.890000
14.179905,2.241052,-9.736189,-2.753067,0.768280,1.807593,0.000000,0.530000,0.890000
14.269087,2.160436,-9.772273,-2.689978,0.661095,1.868896,0.000000,0.570000,0.930000
14.358269,2.082061,-9.813008,-2.636031,0.561809,1.948733,0.000000,0.580000,0.960000
14.447451,2.005805,-9.857588,-2.590429,0.472309,2.041141,0.000000,0.620000,0.960000
14.536633,1.931475,-9.905316,-2.552293,0.392685,2.135917,0.000000,0.620000,0.980000
14.625814,1.858848,-9.955600,-2.520784,0.322085,2.220519,0.000000,0.650000,0.980000
14.714996,1.787683,-10.007934,-2.495159,0.259253,2.283580,0.000000,0.670000,0.990000
14.804178,1.717737,-10.061888,-2.474791,0.202824,2.318320,0.000000,0.700000,0.970000
14.893360,1.648770,-10.117089,-2.459174,0.151481,2.324407,0.000000,0.700000,0.980000
14.982542,1.580549,-10.173211,-2.447914,0.104002,2.307672,0.000000,0.740000,0.980000
15.071723,1.512847,-10.229958,-2.440718,0.059273,2.277926,0.000000,0.710000,1.000000
15.160905,1.445445,-10.287060,-2.437391,0.016274,2.245788,0.000000,0.820000,1.040000
15.250087,1.378125,-10.344260,-2.437820,-0.025946,2.219636,0.000000,0.890000,1.070000
15.339269,1.310673,-10.401305,-2.441979,-0.068294,2.203653,0.000000,0.920000,1.130000
15.428450,1.242879,-10.457941,-2.449916,-0.111664,2.197428,0.000000,0.940000,1.220000
15.517632,1.174529,-10.513905,-2.461764,-0.156952,2.196988,0.000000,0.860000,1.280000
15.606814,1.105408,-10.568914,-2.477730,-0.205079,2.196695,0.000000,0.780000,1.340000
15.695996,1.035302,-10.622659,-2.498108,-0.256986,2.191263,0.000000,0.700000,1.430000
15.785178,0.963992,-10.674796,-2.523273,-0.313623,2.177350,0.000000,0.620000,1.500000
15.874359,0.891265,-10.724934,-2.553684,-0.375885,2.154246,0.000000,0.550000,1.650000
15.963541,0.816911,-10.772626,-2.589871,-0.444501,2.123328,0.000000,0.480000,1.690000
16.052723,0.740742,-10.817358,-2.632416,-0.519819,2.086366,0.000000,0.420000,5.000000
16.141905,0.662600,-10.858541,-2.681900,-0.601478,2.043876,0.000000,0.360000,5.000000
16.231087,0.582383,-10.895511,-2.738827,-0.687938,1.995273,0.000000,0.310000,5.000000
16.320268,0.500071,-10.927539,-2.803490,-0.775940,1.941318,0.000000,0.270000,1.690000
16.409450,0.415763,-10.953856,-2.875807,-0.860108,1.886940,0.000000,0.240000,1.660000
16.498632,0.329707,-10.973703,-2.955123,-0.933066,1.841552,0.000000,0.220000,1.590000
16.587814,0.242314,-10.986410,-3.040083,-0.986529,1.815737,0.000000,0.200000,1.540000
16.676996,0.154150,-10.991479,-3.128634,-1.013415,1.815974,0.000000,0.210000,1.540000
16.766177,0.065879,-10.988783,3.068973,-0.922125,1.840577,0.000000,0.220000,1.520000
16.855359,-0.021884,-10.978903,2.991185,-0.841591,1.879564,0.000000,0.250000,1.500000
16.944541,-0.108672,-10.962520,2.919831,-0.776344,1.918969,0.000000,0.270000,1.500000
17.033723,-0.194134,-10.940220,2.853602,-0.725329,1.947278,0.000000,0.320000,1.510000
17.122905,-0.277990,-10.912484,2.791301,-0.687243,1.959961,0.000000,0.350000,1.510000
17.212086,-0.360009,-10.879704,2.731836,-0.660913,1.959323,0.000000,0.420000,1.510000
17.301268,-0.439972,-10.842188,2.674211,-0.645466,1.950488,0.000000,0.470000,1.510000
17.390450,-0.517665,-10.800169,2.617491,-0.640403,1.937054,0.000000,0.560000,1.510000
17.479632,-0.592854,-10.753819,2.560763,-0.645633,1.919509,0.000000,0.630000,1.500000
17.568814,-0.665274,-10.703252,2.503109,-0.661492,1.896628,0.000000,0.750000,1.500000
17.657995,-0.734612,-10.648537,2.443556,-0.688770,1.867814,0.000000,0.830000,1.500000
17.747177,-0.800489,-10.589702,2.381045,-0.728722,1.834378,0.000000,0.930000,1.510000
17.836359,-0.862436,-10.526746,2.314383,-0.783056,1.799263,0.000000,0.970000,1.520000
17.925541,-0.919873,-10.459654,2.242212,-0.853821,1.766211,0.000000,0.860000,1.520000
18.014723,-0.972080,-10.388420,2.162986,-0.943075,1.739416,0.000000,0.770000,1.560000
18.103904,-1.018163,-10.313088,2.075008,-1.052081,1.723404,0.000000,0.680000,1.640000
18.193086,-1.057067,-10.233815,1.978377,-1.096391,1.722143,0.000000,0.630000,1.760000
18.282268,-1.088170,-10.151168,1.884033,-1.032940,1.737597,0.000000,0.550000,4.920000
18.371450,-1.111635,-10.066032,1.796868,-0.936067,1.769489,0.000000,0.540000,5.000000
18.460631,-1.128001,-9.979245,1.719218,-0.819902,1.817058,0.000000,0.530000,5.000000
18.549813,-1.138049,-9.891495,1.652192,-0.697385,1.880986,0.000000,0.520000,5.000000
18.638995,-1.142673,-9.803290,1.595922,-0.577548,1.963175,0.000000,0.510000,5.000000
18.728177,-1.142788,-9.714959,1.549927,-0.465271,2.064467,0.000000,0.530000,5.000000
18.817359,-1.139267,-9.626695,1.513443,-0.362300,2.182377,0.000000,0.560000,4.420000
18.906540,-1.132917,-9.538587,1.485647,-0.268439,2.310406,0.000000,0.560000,4.320000
18.995722,-1.124475,-9.450654,1.465783,-0.182485,2.438870,0.000000,0.590000,4.320000
19.084904,-1.114612,-9.362868,1.453221,-0.102812,2.556468,0.000000,0.600000,4.420000
19.174086,-1.103950,-9.275175,1.447484,-0.027691,2.652140,0.000000,0.640000,1.150000
19.263268,-1.093071,-9.187508,1.448244,0.044543,2.717030,0.000000,0.650000,1.040000
19.352449,-1.082536,-9.099800,1.455314,0.115415,2.746358,0.000000,0.660000,1.000000
