# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
3.195801,6.445665,-3.226704,-1.703010,-0.478245,3.468394,-1.963245,0.230000,1.055000
3.245735,6.438430,-3.276471,-1.727437,-0.493374,3.440013,-1.947114,0.235000,1.045000
3.295669,6.430043,-3.325605,-1.752428,-0.509579,3.411632,-1.930983,0.245000,1.040000
3.345604,6.420503,-3.374070,-1.778022,-0.526891,3.383251,-1.956981,0.270000,1.035000
3.395538,6.409625,-3.422604,-1.804681,-0.544643,3.354243,-2.009271,0.260000,1.020000
3.445473,6.397220,-3.471637,-1.832667,-0.562128,3.324196,-1.991192,0.295000,1.005000
3.495407,6.383564,-3.519834,-1.861280,-0.580364,3.294150,-1.973112,0.320000,1.000000
3.545341,6.368661,-3.567165,-1.890547,-0.599321,3.264104,-1.955033,0.350000,0.990000
3.595276,6.352515,-3.613598,-1.920490,-0.618953,3.234057,-2.001526,0.370000,0.985000
3.645210,6.334441,-3.660826,-1.952274,-0.638107,3.203004,-1.988615,0.405000,0.975000
3.695145,6.314970,-3.707178,-1.984857,-0.658243,3.171850,-1.969178,0.435000,0.970000
3.745079,6.294181,-3.752432,-2.018163,-0.679475,3.140697,-1.949742,0.475000,0.960000
3.795013,6.272088,-3.796545,-2.052232,-0.701765,3.109543,-1.937947,0.510000,0.955000
3.844948,6.248099,-3.840541,-2.087938,-0.722182,3.078265,-1.922948,0.555000,0.955000
3.894882,6.222391,-3.883868,-2.124823,-0.742288,3.046912,-1.903262,0.610000,0.945000
3.944816,6.195350,-3.925804,-2.162397,-0.763957,3.015559,-1.883576,0.660000,0.935000
3.994751,6.167011,-3.966294,-2.200723,-0.787194,2.984206,-1.832679,0.710000,0.925000
4.044685,6.136796,-4.006057,-2.240597,-0.807357,2.953381,-1.783107,0.780000,0.915000
4.094620,6.104689,-4.044936,-2.281740,-0.824850,2.923078,-1.764717,0.855000,0.905000
4.144554,6.071336,-4.082078,-2.323399,-0.844476,2.892774,-1.746327,0.930000,0.910000
4.194488,6.036806,-4.117429,-2.365664,-0.866358,2.862471,-1.648832,1.035000,0.895000
4.244423,6.000350,-4.151671,-2.409486,-0.882339,2.833562,-1.566144,1.140000,0.885000
4.294357,5.962116,-4.184520,-2.454242,-0.893710,2.805827,-1.550739,1.245000,0.890000
4.344291,5.922882,-4.215282,-2.499139,-0.907712,2.778092,-1.535334,1.280000,0.860000
4.394226,5.882759,-4.243923,-2.544295,-0.924705,2.750357,-1.351416,1.230000,0.860000
4.444160,5.840479,-4.271258,-2.591077,-0.930055,2.725710,-1.281014,1.185000,0.845000
4.494095,5.797011,-4.296558,-2.637904,-0.932215,2.702141,-1.269889,1.135000,0.830000
4.544029,5.752967,-4.319516,-2.684312,-0.936774,2.678571,-1.230348,1.095000,0.825000
4.593964,5.708262,-4.340243,-2.730645,-0.942367,2.655535,-0.976867,1.050000,0.800000
4.643898,5.661306,-4.359388,-2.778169,-0.931670,2.637103,-0.970063,1.030000,0.795000
4.693832,5.614157,-4.376078,-2.824494,-0.920539,2.618670,-0.963259,1.005000,0.755000
4.743767,5.566947,-4.390396,-2.869643,-0.909794,2.600237,-0.798592,0.980000,0.735000
4.793701,5.518380,-4.402758,-2.914992,-0.899772,2.584855,-0.703370,0.955000,0.705000
4.843635,5.469165,-4.412944,-2.959901,-0.886571,2.571232,-0.699653,0.935000,0.665000
4.893570,5.420196,-4.420838,-3.003483,-0.870053,2.557608,-0.644958,0.920000,0.640000
4.943504,5.370941,-4.426612,-3.046168,-0.851067,2.544985,-0.535462,0.920000,0.610000
4.993438,5.320804,-4.430340,-3.088376,-0.826545,2.534457,-0.533243,0.925000,0.585000
5.043373,5.271040,-4.431977,-3.128776,-0.794987,2.523929,-0.545156,0.920000,0.575000
5.093307,5.221514,-4.431652,3.115897,-0.771252,2.513120,-0.633894,0.920000,0.555000
5.143242,5.171534,-4.429376,3.075773,-0.831560,2.500493,-0.630701,0.925000,0.545000
5.193176,5.121856,-4.425042,3.032954,-0.884175,2.487866,-0.615658,0.935000,0.540000
5.243111,5.072425,-4.418526,2.987758,-0.926449,2.475479,3.054114,0.925000,0.535000
5.293045,5.023555,-4.409815,2.943084,-0.872879,2.536337,3.128286,0.970000,0.525000
5.342979,4.974870,-4.398938,2.900924,-0.817039,2.597195,3.202458,1.000000,0.515000
5.392914,4.926368,-4.385999,2.861332,-0.760332,2.658054,4.177989,1.035000,0.510000
5.442848,4.879058,-4.371458,2.826603,-0.631860,2.735416,4.462904,1.075000,0.510000
5.492782,4.831976,-4.355355,2.798658,-0.492081,2.815707,4.592007,1.100000,0.495000
5.542717,4.784790,-4.337908,2.777336,-0.356722,2.895998,5.008828,1.130000,0.495000
5.592651,4.738541,-4.319857,2.762430,-0.254177,2.981112,5.339818,1.165000,0.475000
5.642586,4.692663,-4.301278,2.751889,-0.172651,3.069252,5.495396,1.190000,0.470000
5.692520,4.646279,-4.282028,2.745176,-0.095699,3.157392,5.615333,1.180000,0.460000
5.742454,4.599856,-4.262498,2.742116,-0.033599,3.244984,5.654585,1.150000,0.450000
5.792389,4.554620,-4.243369,2.741177,-0.005065,3.330862,5.802277,1.115000,0.440000
5.842323,4.508666,-4.223923,2.741593,0.021306,3.416739,5.949969,1.095000,0.440000
5.892258,4.461958,-4.204216,2.743300,0.045629,3.502616,5.486398,1.065000,0.440000
5.942192,4.416217,-4.185039,2.745999,0.060845,3.579978,5.317006,1.050000,0.465000
5.992126,4.370559,-4.166057,2.749281,0.071768,3.653388,5.424929,1.025000,0.475000
6.042061,4.324179,-4.146969,2.753140,0.081977,3.726798,5.532852,1.000000,0.495000
6.091995,4.277078,-4.127813,2.757555,0.091546,3.800209,4.818991,0.975000,0.515000
6.141929,4.231376,-4.109464,2.762068,0.090988,3.863011,4.826803,0.950000,0.520000
6.191864,4.185224,-4.091176,2.766556,0.089860,3.924908,4.903528,0.925000,0.550000
6.241798,4.138474,-4.072894,2.771044,0.088989,3.986804,4.980253,0.900000,0.575000
6.291733,4.091156,-4.054633,2.775540,0.088358,4.048701,-3.896523,0.820000,0.585000
6.341667,4.045017,-4.037062,2.779899,0.088271,4.000355,-4.107336,0.785000,0.610000
6.391601,3.998462,-4.019565,2.784292,0.088441,3.948752,-4.054009,0.770000,0.635000
6.441536,3.951474,-4.002142,2.788734,0.088852,3.897150,-4.000683,0.730000,0.655000
6.491470,3.904087,-3.984812,2.793232,0.089500,3.845547,-4.359843,0.690000,0.665000
6.541404,3.857337,-3.967957,2.798037,0.105876,3.788512,-4.355091,0.665000,0.690000
6.591339,3.810408,-3.951316,2.803771,0.124401,3.730668,-4.288085,0.650000,0.715000
6.641273,3.763167,-3.934893,2.810454,0.142848,3.672824,-4.221079,0.595000,0.730000
6.691208,3.715632,-3.918750,2.818089,0.161322,3.614980,-2.108979,0.565000,0.760000
6.741142,3.668203,-3.903068,2.826609,0.179845,3.585730,-1.080308,0.515000,0.785000
6.791076,3.620711,-3.887837,2.836045,0.198600,3.570654,-1.075757,0.475000,0.800000
6.841011,3.572989,-3.873052,2.846444,0.217727,3.555578,-1.071205,0.460000,0.820000
6.890945,3.525057,-3.858773,2.857821,0.237317,3.540503,-0.755617,0.430000,0.855000
6.940880,3.476943,-3.845058,2.870149,0.253034,3.529829,-0.316998,0.425000,0.870000
6.990814,3.428675,-3.831958,2.883057,0.263264,3.525342,-0.316595,0.425000,0.915000
7.040748,3.380281,-3.819504,2.896485,0.274306,3.520855,-0.316191,0.415000,0.950000
7.090683,3.331794,-3.807733,2.910465,0.286216,3.516368,-0.244170,0.415000,0.995000
7.140617,3.283159,-3.796659,2.925054,0.298014,3.512899,0.127334,0.415000,1.035000
7.190551,3.234028,-3.786238,2.940203,0.305410,3.514708,0.127399,0.415000,1.080000
7.240486,3.184918,-3.776606,2.955694,0.313823,3.516518,0.127465,0.425000,1.120000
7.290420,3.135871,-3.767782,2.971565,0.323309,3.518327,0.127530,0.430000,1.155000
7.340355,3.086928,-3.759787,2.987856,0.333935,3.520137,0.374935,0.440000,1.185000
7.390289,3.037053,-3.752494,3.005057,0.348870,3.525451,0.386715,0.455000,1.225000
7.440223,2.987318,-3.746110,3.022953,0.365116,3.530924,0.387315,0.460000,1.290000
7.490158,2.937804,-3.740671,3.041570,0.382599,3.536398,0.387915,0.475000,1.330000
7.540092,2.888548,-3.736206,3.060951,0.401389,3.541871,2.143153,0.520000,1.395000
7.590027,2.838281,-3.732661,3.081490,0.412537,3.571958,2.482744,0.520000,1.480000
7.639961,2.788125,-3.730168,3.102468,0.423141,3.606499,2.506636,0.465000,1.525000
7.689895,2.738355,-3.728749,3.123823,0.434868,3.641039,2.530528,0.465000,1.530000
7.739830,2.689010,-3.728407,-3.137589,0.447791,3.675580,2.724649,0.465000,1.530000
7.789764,2.638629,-3.729182,-3.114736,0.458852,3.712411,2.779284,0.465000,1.520000
7.839698,2.588505,-3.731111,-3.091464,0.468946,3.749608,2.806992,0.440000,1.515000
7.889633,2.538872,-3.734185,-3.067906,0.478363,3.786805,2.839913,0.440000,1.490000
7.939567,2.489707,-3.738402,-3.044084,0.486864,3.824069,3.217894,0.435000,1.460000
7.989502,2.439911,-3.743885,-3.019812,0.481035,3.865860,3.252869,0.420000,1.400000
8.039436,2.390474,-3.750534,-2.996093,0.468945,3.907651,3.287844,0.425000,1.325000
8.089370,2.341257,-3.758328,-2.973149,0.450952,3.949441,3.415816,0.390000,1.270000
8.139305,2.292288,-3.767212,-2.951293,0.423027,3.992395,3.730357,0.360000,1.220000
8.189239,2.243776,-3.777067,-2.931446,0.378608,4.038783,3.773449,0.355000,1.170000
8.239174,2.195136,-3.787903,-2.913709,0.333246,4.085170,3.816542,0.345000,1.130000
8.289108,2.146288,-3.799643,-2.898113,0.287710,4.131558,4.004509,0.345000,1.085000
8.339042,2.097898,-3.812015,-2.884788,0.249627,4.179677,4.237646,0.385000,1.050000
8.388977,2.050145,-3.824858,-2.873141,0.221730,4.230001,4.288362,0.380000,1.005000
8.438911,2.002080,-3.838356,-2.862738,0.195276,4.280324,4.339079,0.335000,0.980000
8.488846,1.953704,-3.852453,-2.853538,0.170167,4.330648,4.513903,0.315000,0.945000
8.538780,1.905832,-3.866849,-2.845641,0.145242,4.382387,4.698284,0.330000,0.915000
8.588714,1.858512,-3.881452,-2.839069,0.120369,4.435598,4.754986,0.390000,0.875000
8.638649,1.810900,-3.896459,-2.833660,0.096561,4.488808,4.811688,0.405000,0.815000
8.688583,1.762993,-3.911814,-2.829381,0.073732,4.542019,2.158732,0.415000,0.805000
8.738518,1.715328,-3.927286,-2.826206,0.054860,4.565690,-1.860023,0.415000,0.800000
8.788452,1.668188,-3.942732,-2.823825,0.041227,4.545302,-1.851698,0.430000,0.775000
8.838386,1.620797,-3.958368,-2.822097,0.028105,4.524914,-1.843374,0.455000,0.760000
8.888321,1.573180,-3.974152,-2.821008,0.015398,4.504525,-2.490758,0.500000,0.740000
8.938255,1.525509,-3.989996,-2.820543,0.003761,4.476829,-5.136055,0.550000,0.720000
8.988189,1.478275,-4.005705,-2.820565,-0.004619,4.419170,-5.069477,0.575000,0.705000
9.038124,1.430905,-4.021447,-2.821002,-0.012898,4.361512,-5.002899,0.625000,0.680000
9.088058,1.383433,-4.037190,-2.821854,-0.021142,4.303853,-4.936322,0.680000,0.665000
9.137992,1.335893,-4.052899,-2.823119,-0.029415,4.246194,-4.943816,0.735000,0.650000
9.187927,1.288325,-4.068539,-2.824820,-0.038619,4.187653,-4.881274,0.745000,0.640000
9.237861,1.240765,-4.084074,-2.826988,-0.048090,4.129037,-4.812468,0.765000,0.605000
9.287796,1.193257,-4.099467,-2.829632,-0.057848,4.070422,-4.743663,0.870000,0.590000
9.337730,1.145842,-4.114678,-2.832763,-0.067986,4.011806,-4.726888,0.970000,0.585000
9.387664,1.097984,-4.129852,-2.836428,-0.077807,3.952533,-4.684161,1.040000,0.570000
9.437599,1.050001,-4.144859,-2.840588,-0.087801,3.892906,-4.612960,1.150000,0.565000
9.487533,1.002257,-4.159562,-2.845239,-0.098526,3.833279,-4.541758,1.360000,0.555000
9.537468,0.954802,-4.173921,-2.850407,-0.110120,3.773652,-4.523964,1.345000,0.540000
9.587402,0.906813,-4.188154,-2.856203,-0.120173,3.713306,-4.513854,1.330000,0.530000
9.637336,0.858197,-4.202254,-2.862484,-0.128205,3.652102,-4.438837,1.310000,0.535000
9.687271,0.810073,-4.215875,-2.869121,-0.137394,3.590898,-4.363820,1.295000,0.530000
9.737205,0.762503,-4.228989,-2.876154,-0.147926,3.529694,-4.378569,1.280000,0.530000
