# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
4.952203,5.430677,-2.912580,-2.9570080,0.7398438,0.0000000,0.0000000,1.134757,0.826253
5.032079,5.352627,-2.929558,-2.8977329,0.7445623,0.0000000,0.0000000,1.145965,0.893875
5.111955,5.275719,-2.951131,-2.8386195,0.7358028,0.0000000,0.0000000,1.155129,0.978846
5.191831,5.200204,-2.977161,-2.7810651,0.7055049,0.0000000,0.0000000,1.163724,1.076034
5.271708,5.126262,-3.007376,-2.7270692,0.6466520,0.0000000,0.0000000,1.172721,1.187134
5.351586,5.053963,-3.041338,-2.6790084,0.5568220,0.0000000,0.0000000,1.182480,1.305900
5.431465,4.983230,-3.078454,-2.6392923,0.4376389,0.0000000,0.0000000,1.192946,1.308623
5.511347,4.913824,-3.117998,-2.6100081,0.2955703,0.0000000,0.0000000,1.204167,1.239058
5.591229,4.845362,-3.159158,-2.5926402,0.1392642,0.0000000,0.0000000,1.218819,1.185538
5.671112,4.777359,-3.201074,-2.5879387,-0.0215584,0.0000000,0.0000000,1.237258,1.132900
5.750994,4.709287,-3.242876,-2.5958787,-0.1772273,0.0000000,0.0000000,1.251895,1.091837
5.830877,4.640639,-3.283724,-2.6156766,-0.3184526,0.0000000,0.0000000,1.255859,1.059950
5.910758,4.570986,-3.322833,-2.6458403,-0.4367864,0.0000000,0.0000000,1.225193,1.033577
5.990637,4.500028,-3.359516,-2.6842875,-0.5259032,0.0000000,0.0000000,1.111994,1.010487
6.070516,4.427606,-3.393218,-2.7285338,-0.5820317,0.0000000,0.0000000,1.065500,0.988913
6.150395,4.353711,-3.423550,-2.7759852,-0.6061870,0.0000000,0.0000000,1.027556,0.967293
6.230273,4.278444,-3.450297,-2.8242471,-0.6023314,0.0000000,0.0000000,0.974189,0.944197
6.310151,4.201984,-3.473416,-2.8713653,-0.5775363,0.0000000,0.0000000,0.931266,0.918778
6.390030,4.124543,-3.492998,-2.9159641,-0.5392189,0.0000000,0.0000000,0.893444,0.891225
6.469909,4.046331,-3.509235,-2.9572328,-0.4941299,0.0000000,0.0000000,0.863981,0.862752
6.549789,3.967539,-3.522374,-2.9948400,-0.4475157,0.0000000,0.0000000,0.834190,0.834715
6.629670,3.888328,-3.532688,-3.0288022,-0.4028466,0.0000000,0.0000000,0.813524,0.807750
