# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
28.471412,-41.263318,50.391562,-0.194149,0.003122,20.000000,0.000000
28.814816,-40.926330,50.325490,-0.193026,0.003417,20.000000,0.000000
29.158171,-40.589313,50.259822,-0.191802,0.003713,20.000000,0.000000
29.501473,-40.252265,50.194594,-0.190476,0.004009,20.000000,0.000000
29.844719,-39.915182,50.129840,-0.189049,0.004306,20.000000,0.000000
30.187906,-39.578062,50.065595,-0.187521,0.004603,20.000000,0.000000
30.531032,-39.240901,50.001895,-0.185890,0.004900,20.000000,0.000000
30.874093,-38.903696,49.938773,-0.184158,0.005198,20.000000,0.000000
31.217088,-38.566445,49.876265,-0.182324,0.005496,20.000000,0.000000
31.560015,-38.229144,49.814405,-0.180388,0.005795,20.000000,0.000000
31.902871,-37.891791,49.753228,-0.178350,0.006094,20.000000,0.000000
32.245654,-37.554381,49.692769,-0.176210,0.006394,20.000000,0.000000
32.588363,-37.216913,49.633062,-0.173967,0.006694,20.000000,0.000000
32.930997,-36.879383,49.574142,-0.171622,0.006994,20.000000,0.000000
33.273554,-36.541789,49.516045,-0.169174,0.007295,20.000000,0.000000
33.616034,-36.204126,49.458804,-0.166625,0.007595,20.000000,0.000000
33.958436,-35.866393,49.402454,-0.163972,0.007898,20.000000,0.000000
34.300760,-35.528586,49.347030,-0.161217,0.008205,20.000000,0.000000
34.643005,-35.190702,49.292568,-0.158356,0.008515,20.000000,0.000000
34.985172,-34.852738,49.239102,-0.155389,0.008824,20.000000,0.000000
35.327261,-34.514691,49.186669,-0.152318,0.009122,20.000000,0.000000
35.669274,-34.176557,49.135304,-0.149149,0.009401,20.000000,0.000000
36.011211,-33.838335,49.085037,-0.145888,0.009663,20.000000,0.000000
36.353074,-33.500022,49.035899,-0.142541,0.009930,20.000000,-3.436841
36.694865,-33.161616,48.987918,-0.139099,0.010240,19.941179,-9.446390
37.036586,-32.823113,48.941129,-0.135542,0.010617,19.778639,-9.408312
37.378240,-32.484509,48.895576,-0.131844,0.011041,19.615448,-9.368788
37.719830,-32.145800,48.851308,-0.127998,0.011449,19.451612,-9.336268
38.061359,-31.806980,48.808377,-0.124023,0.011808,19.286991,-9.313575
38.402831,-31.468046,48.766818,-0.119933,0.012120,19.121385,-9.300260
38.744250,-31.128996,48.726672,-0.115746,0.012388,18.954598,-9.292567
39.085620,-30.789827,48.687964,-0.111474,0.012653,18.786495,-9.287450
39.426946,-30.450538,48.650727,-0.107108,0.012908,18.616989,-9.288994
39.768234,-30.111126,48.614991,-0.102663,0.013110,18.445917,-9.304127
40.109490,-29.771590,48.580779,-0.098160,0.013212,18.272976,-9.331238
40.450720,-29.431928,48.548105,-0.093646,0.013268,18.097886,-9.363702
40.791931,-29.092140,48.516964,-0.089106,0.013300,17.920476,-9.401900
41.133132,-28.752225,48.487379,-0.084570,0.013271,17.740564,-9.445929
41.474340,-28.412172,48.459322,-0.080050,0.013204,17.557948,-9.493953
41.815584,-28.071960,48.432807,-0.075559,0.013090,17.372451,-9.544801
42.156891,-27.731571,48.407798,-0.071116,0.012944,17.183906,-9.598933
42.498288,-27.390984,48.384298,-0.066723,0.012730,16.992132,-9.658208
42.839801,-27.050181,48.362266,-0.062422,0.012430,16.796896,-9.718743
43.181458,-26.709146,48.341680,-0.058231,0.012108,16.598035,-9.774782
43.523283,-26.367860,48.322489,-0.054147,0.011807,16.395495,-9.827605
43.865301,-26.026306,48.304670,-0.050158,0.011460,16.189188,-9.880160
44.207536,-25.684468,48.288183,-0.046306,0.011053,15.978959,-9.930618
44.550014,-25.342328,48.272976,-0.042589,0.010631,15.764679,-9.976543
44.892757,-24.999870,48.259009,-0.039021,0.010216,15.546263,-10.000000
45.235789,-24.657076,48.246223,-0.035583,0.009859,15.324023,-10.000000
45.579133,-24.313930,48.234590,-0.032254,0.009419,15.098304,-10.000000
45.922811,-23.970413,48.224067,-0.029113,0.008796,14.868936,-10.000000
46.266844,-23.626510,48.214572,-0.026205,0.008073,14.635729,-10.000000
46.611256,-23.282204,48.206029,-0.023555,0.007336,14.398484,-10.000000
46.956068,-22.937478,48.198339,-0.021148,0.006988,14.156980,-10.000000
47.301301,-22.592315,48.191437,-0.018733,0.007314,13.910983,-10.000000
47.646975,-22.246693,48.185397,-0.016095,0.008183,13.660232,-10.000000
47.993112,-21.900594,48.180302,-0.013073,0.009357,13.404448,-10.000000
48.339729,-21.554000,48.176341,-0.009614,0.009880,13.143321,-10.000000
48.686846,-21.206893,48.173633,-0.006219,0.009438,12.876511,-10.000000
49.034482,-20.859261,48.172021,-0.003057,0.008438,12.603643,-10.000000
49.382657,-20.511086,48.171506,-0.000347,0.007377,12.324298,-10.000000
49.731388,-20.162355,48.171779,0.002085,0.006598,12.038011,-10.000000
50.080695,-19.813050,48.172961,0.004259,0.005977,11.744256,-10.000000
50.430596,-19.463154,48.174757,0.006264,0.005367,11.442444,-10.000000
50.781110,-19.112649,48.177348,0.008019,0.003459,11.131902,-10.000000
51.132257,-18.761515,48.180383,0.008693,-0.004536,10.811860,-10.000000
51.484041,-18.409745,48.183459,0.004836,-0.022188,10.481442,-9.776445
51.836123,-18.057663,48.183787,-0.006928,-0.040142,10.147729,-9.183816
52.187997,-17.705827,48.178582,-0.023446,-0.056024,9.824119,-9.169189
52.539137,-17.354868,48.167307,-0.046358,-0.047657,9.490731,-10.000000
52.889067,-17.005582,48.146097,-0.056837,-0.002850,9.114570,-10.000000
53.237036,-16.658101,48.127662,-0.048252,0.022544,8.724448,-10.000000
53.583080,-16.312384,48.112622,-0.041203,0.034035,8.318360,-10.000000
53.927467,-15.968258,48.099223,-0.024745,0.012951,7.893502,-10.000000
54.271738,-15.624007,48.095585,-0.032350,-0.042003,7.444593,-9.738997
54.614231,-15.282018,48.077015,-0.053594,-0.094247,6.982184,-8.380748
54.957382,-14.939347,48.058856,-0.097109,-0.183434,6.557375,-6.988117
55.298124,-14.602015,48.010772,-0.179304,-0.211618,6.183597,-6.721789
55.637497,-14.270613,47.937648,-0.240735,-0.251091,5.802972,-5.548954
55.976760,-13.943132,47.849020,-0.350200,-0.328345,5.468946,-4.323309
56.316001,-13.635642,47.705722,-0.462773,-0.363928,5.193851,-3.893287
56.652906,-13.338321,47.547275,-0.599473,-0.418302,4.934851,-0.110265
56.982884,-13.088429,47.331776,-0.743543,-0.419556,4.927472,1.046121
57.291556,-12.868483,47.115208,-0.871886,-0.408686,4.992574,3.193972
57.577823,-12.707486,46.878503,-0.983064,-0.376160,5.172471,0.998797
57.846589,-12.560745,46.653332,-1.075657,-0.364963,5.224112,-3.825000
58.122314,-12.449625,46.400990,-1.172154,-0.393701,5.018172,-3.694865
58.429644,-12.334449,46.116058,-1.302949,-0.444626,4.786540,-0.128991
58.751433,-12.284199,45.798217,-1.451772,-0.446243,4.777860,1.418287
59.088882,-12.256222,45.461930,-1.603536,-0.428285,4.877001,3.967035
59.423969,-12.306065,45.130570,-1.740032,-0.370050,5.142349,4.473217
59.761572,-12.369501,44.798980,-1.854003,-0.330798,5.428084,5.421794
60.099541,-12.494008,44.484781,-1.962187,-0.262834,5.755770,5.958404
60.439173,-12.627962,44.172682,-2.032773,-0.243613,6.097230,6.249970
60.781683,-12.797569,43.875114,-2.127784,-0.196136,6.438756,8.313355
61.127110,-12.991354,43.589165,-2.168319,-0.096381,6.870290,9.510000
61.474422,-13.187300,43.302406,-2.194685,-0.054678,7.335309,9.510000
61.825050,-13.398967,43.022876,-2.206552,-0.008633,7.776612,9.510000
62.178616,-13.605410,42.735837,-2.200925,-0.013777,8.197593,9.510000
62.535798,-13.817766,42.448638,-2.216147,-0.052201,8.601984,9.099218
62.896183,-14.036994,42.162603,-2.238357,-0.077659,8.975108,7.719107
63.258941,-14.265402,41.880781,-2.272308,-0.091273,9.281859,7.476935
63.623039,-14.505990,41.607496,-2.304779,-0.072835,9.570663,8.591427
63.987682,-14.753500,41.339722,-2.325472,-0.050806,9.892582,9.256169
64.351962,-15.005322,41.076500,-2.341857,-0.041048,10.227750,9.470723
64.714911,-15.260289,40.818189,-2.355353,-0.035866,10.558487,9.492463
65.075550,-15.516537,40.564424,-2.367832,-0.035380,10.877883,9.378445
65.433275,-15.774114,40.316187,-2.380783,-0.036176,11.182046,9.223772
65.788105,-16.032615,40.073120,-2.393607,-0.036773,11.471003,9.034974
66.140124,-16.292265,39.835425,-2.406775,-0.038071,11.744993,8.757765
66.489433,-16.552956,39.602924,-2.420306,-0.040248,12.002633,8.308491
66.836152,-16.814939,39.375813,-2.434791,-0.044024,12.240287,7.608209
67.180421,-17.078399,39.154205,-2.450730,-0.048454,12.452436,-4.410321
67.522397,-17.343807,38.938551,-2.468043,-0.052305,12.330723,-6.462813
67.862257,-17.611310,38.728917,-2.486391,-0.056150,12.151289,-5.967852
68.200197,-17.881227,38.525574,-2.506098,-0.060579,11.984167,-5.325248
68.536439,-18.153849,38.328759,-2.527226,-0.065165,11.833813,-4.490009
68.871223,-18.429515,38.138790,-2.549816,-0.069962,11.706099,-3.450387
69.204812,-18.708528,37.955942,-2.573974,-0.073940,11.607357,-2.486023
69.537491,-18.991257,37.780615,-2.599061,-0.076123,11.535885,-1.914239
69.869573,-19.277788,37.612749,-2.624554,-0.077287,11.480648,-1.364387
70.201406,-19.568341,37.452464,-2.650346,-0.077821,11.441144,-0.823167
70.533370,-19.863039,37.299645,-2.676182,-0.078148,11.417235,-0.691756
70.865885,-20.162096,37.154278,-2.702247,-0.078425,11.397070,0.275243
71.199249,-20.465628,37.016440,-2.728388,-0.078314,11.405118,0.910165
71.533585,-20.773549,36.886189,-2.754531,-0.077949,11.431768,1.755340
71.868978,-21.085759,36.763659,-2.780589,-0.077216,11.483152,2.042074
72.205487,-21.402089,36.648884,-2.806411,-0.075747,11.542839,2.649540
72.543144,-21.722355,36.541917,-2.831657,-0.073502,11.620086,3.245098
72.881968,-22.046288,36.442575,-2.856137,-0.071131,11.714326,3.702083
73.221958,-22.373652,36.350780,-2.879945,-0.068795,11.821285,4.105695
73.563095,-22.704188,36.266398,-2.903000,-0.066241,11.939179,4.545916
73.905348,-23.037640,36.189281,-2.925220,-0.063278,12.068790,5.039888
74.248670,-23.373738,36.119222,-2.946389,-0.059902,12.211319,5.515323
74.593004,-23.712201,36.055906,-2.966419,-0.056608,12.365862,5.872939
74.938284,-24.052766,35.999043,-2.985434,-0.053899,12.528773,6.077147
75.284431,-24.395184,35.948377,-3.003694,-0.051897,12.695563,6.162109
75.631354,-24.739229,35.903776,-3.021409,-0.050358,12.862849,6.194646
75.978951,-25.084669,35.865110,-3.038675,-0.048959,13.029174,6.228962
76.327109,-25.431277,35.832299,-3.055479,-0.047532,13.194571,6.283732
76.675704,-25.778816,35.805186,-3.071801,-0.046073,13.359552,6.353865
77.024602,-26.127049,35.783661,-3.087622,-0.044623,13.524472,6.424148
77.373662,-26.475737,35.767536,-3.102953,-0.043266,13.689272,6.486936
77.722734,-26.824641,35.756693,-3.117834,-0.041980,13.853700,6.542165
78.071662,-27.173521,35.750954,-3.132261,-0.040784,14.017506,6.588811
78.420281,-27.522140,35.750184,3.136896,-0.039663,14.180425,6.634412
78.768421,-27.870256,35.754227,3.123282,-0.038565,14.342380,6.687413
79.115906,-28.217632,35.762920,3.110063,-0.037469,14.503496,6.752681
79.462552,-28.564027,35.776108,3.097267,-0.036350,14.664003,6.830972
79.808174,-28.909207,35.793595,3.084893,-0.035222,14.824131,6.921807
80.152580,-29.252934,35.815211,3.072959,-0.034070,14.984081,7.024770
80.495667,-29.595069,35.840742,3.061472,-0.032905,15.144071,7.138649
80.837555,-29.935700,35.870032,3.050426,-0.031720,15.304383,7.262281
81.178394,-30.274951,35.902897,3.039822,-0.030524,15.465273,7.396385
81.518325,-30.612938,35.939194,3.029651,-0.029293,15.627002,7.545345
81.857486,-30.949785,35.978756,3.019934,-0.028004,15.789913,7.710929
82.196010,-31.285608,36.021436,3.010678,-0.026650,15.954374,7.889286
82.534024,-31.620526,36.067071,3.001908,-0.025254,16.120651,8.076016
82.871649,-31.954659,36.115504,2.993619,-0.023817,16.288914,6.722722
83.209002,-32.288122,36.166585,2.985835,-0.022335,16.427556,-8.566634
83.546196,-32.621036,36.220145,2.978555,-0.020833,16.250765,-8.895205
83.883340,-32.953514,36.276041,2.971789,-0.019249,16.065162,-9.183990
84.220539,-33.285676,36.334101,2.965577,-0.017594,15.871224,-9.436866
84.557893,-33.617641,36.394160,2.959923,-0.015817,15.669353,-9.660179
84.895501,-33.949528,36.456047,2.954902,-0.013838,15.459816,-9.849469
85.233457,-34.281465,36.519550,2.950574,-0.011792,15.242983,-9.996727
85.571856,-34.613580,36.584459,2.946926,-0.009822,15.019414,-10.000000
85.910786,-34.945999,36.650572,2.943921,-0.008213,14.792031,-10.000000
86.250336,-35.278847,36.717703,2.941354,-0.007236,14.560673,-10.000000
86.590591,-35.612222,36.785787,2.939002,-0.006612,14.325085,-10.000000
86.931637,-35.946215,36.854786,2.936849,-0.005951,14.084997,-10.000000
87.273557,-36.280922,36.924645,2.934938,-0.004936,13.840114,-10.000000
87.616433,-36.616440,36.995297,2.933468,-0.003312,13.590115,-10.000000
87.960350,-36.952894,37.066554,2.932661,-0.001360,13.334651,-10.000000
88.305390,-37.290414,37.138197,2.932528,0.000402,13.073335,-10.000000
88.651638,-37.629129,37.210027,2.932938,0.002288,12.805746,-10.000000
88.999179,-37.969155,37.281911,2.934113,0.004768,12.531413,-10.000000
89.348098,-38.310652,37.353494,2.936254,0.007931,12.249814,-10.000000
89.698480,-38.653765,37.424498,2.939654,0.011846,11.960364,-10.000000
90.050412,-38.998694,37.494357,2.944566,0.016234,11.662403,-10.000000
90.403934,-39.345568,37.562593,2.951102,0.020816,11.355228,-9.895020
90.758596,-39.694062,37.628443,2.959315,0.025484,11.041850,-9.773680
91.113715,-40.043583,37.691253,2.969205,0.030484,10.722910,-9.618460
91.468640,-40.393572,37.750239,2.980980,0.037116,10.399670,-9.366164
91.822768,-40.743496,37.804645,2.995551,0.046821,10.075688,-8.948637
92.175546,-41.092929,37.853107,3.014119,0.059882,9.757342,-8.327692
92.526475,-41.441455,37.894101,3.037746,0.075386,9.453088,-7.547240
92.875103,-41.788657,37.925617,3.066926,0.090945,9.170524,-6.751547
93.221045,-42.134003,37.945908,3.100985,0.104579,8.912195,-6.028685
93.563995,-42.476867,37.953578,3.139034,0.116922,8.677105,-5.344328
93.903752,-42.816573,37.947654,-3.102319,0.128484,8.465259,-4.635150
94.240234,-43.152422,37.927033,-3.057228,0.139576,8.278968,-3.836664
94.573514,-43.483773,37.891232,-3.008817,0.149818,8.123051,-2.998316
94.903839,-43.809976,37.839209,-2.957832,0.157767,8.000195,-2.377190
95.231689,-44.130654,37.771004,-2.905049,0.162882,7.902176,-2.202971
95.557811,-44.445505,37.686010,-2.851449,0.166623,7.810731,-2.169737
95.883300,-44.754809,37.584651,-2.796665,0.170934,7.719784,-2.013494
96.209589,-45.058648,37.465714,-2.740290,0.174788,7.634206,-1.313214
96.538266,-45.357502,37.328910,-2.682365,0.177415,7.577457,-0.919270
96.869919,-45.650303,37.173149,-2.623205,0.179320,7.537115,-0.734848
97.204726,-45.936153,36.998835,-2.562849,0.180887,7.504401,0.707739
97.542573,-46.213144,36.805402,-2.501498,0.179363,7.536196,2.177382
97.883257,-46.480111,36.593754,-2.441072,0.174781,7.633993,2.391450
98.226465,-46.735748,36.364753,-2.381882,0.168675,7.740761,2.717856
98.571832,-46.979140,36.119726,-2.324832,0.162579,7.861087,2.850914
98.918958,-47.209634,35.860171,-2.269203,0.157401,7.985984,2.761597
99.267388,-47.426210,35.587227,-2.215263,0.153443,8.105578,1.934564
99.616683,-47.628664,35.302587,-2.162052,0.151924,8.188520,-0.222295
99.966356,-47.815676,35.007126,-2.108992,0.152250,8.179022,-2.318442
100.315949,-47.986976,34.702378,-2.055500,0.154914,8.079318,-2.562315
100.664978,-48.141074,34.389208,-2.000681,0.159028,7.967856,-2.599355
101.012992,-48.277371,34.068994,-1.944558,0.163811,7.853503,-2.523963
101.359558,-48.394574,33.742848,-1.886814,0.169100,7.741322,-2.318199
101.704293,-48.492126,33.412203,-1.827574,0.174642,7.637391,-1.763010
102.046875,-48.569049,33.078369,-1.766705,0.178335,7.557896,-0.009770
102.387070,-48.624971,32.742802,-1.705765,0.178356,7.557456,1.225810
102.724787,-48.660226,32.406930,-1.645786,0.175807,7.612036,1.642137
103.060137,-48.675374,32.071922,-1.587477,0.172528,7.684040,1.714041
103.393546,-48.671377,31.738538,-1.530516,0.169251,7.758056,2.265474
103.725986,-48.648572,31.406880,-1.474979,0.164281,7.854534,2.578490
104.058934,-48.607742,31.076445,-1.421406,0.158650,7.963084,2.778872
104.393575,-48.549246,30.746957,-1.369202,0.153832,8.079019,3.022541
104.730684,-48.473281,30.418518,-1.318142,0.147552,8.204170,3.671729
105.070686,-48.380039,30.091551,-1.269310,0.138068,8.354951,4.518883
105.413771,-48.270502,29.766423,-1.223803,0.126793,8.538496,5.315125
105.759916,-48.145708,29.443556,-1.181870,0.114906,8.751316,6.104252
106.108944,-48.006948,29.123296,-1.143858,0.101414,8.991476,7.003450
106.460544,-47.855635,28.805921,-1.110741,0.085076,9.261288,8.004351
106.814311,-47.693802,28.491340,-1.083770,0.065696,9.562155,8.930099
107.169756,-47.523747,28.179215,-1.064078,0.046119,9.888535,9.510000
107.526315,-47.348270,27.868824,-1.050884,0.029976,10.225697,9.510000
107.883359,-47.169231,27.559914,-1.042661,0.017603,10.552529,9.510000
108.240197,-46.988529,27.252212,-1.038307,0.007909,10.869357,9.510000
108.596081,-46.807397,26.945872,-1.037026,0.000623,11.176396,9.510000
108.950223,-46.627281,26.640955,-1.037875,-0.004501,11.473779,9.510000
109.301808,-46.448851,26.338011,-1.040217,-0.008669,11.761579,9.510000
109.650031,-46.273155,26.037361,-1.043961,-0.012543,12.039849,9.510000
109.994194,-46.100720,25.739512,-1.048920,-0.015405,12.308693,9.510000
110.334278,-45.932054,25.444200,-1.054504,-0.016784,12.568705,9.510000
110.670885,-45.766667,25.151025,-1.060269,-0.017485,12.820866,9.510000
111.004615,-45.604504,24.859342,-1.066216,-0.017605,13.066069,9.510000
111.336053,-45.445099,24.568755,-1.071968,-0.016495,13.305116,9.510000
111.665768,-45.288212,24.278758,-1.077109,-0.014228,13.538732,9.510000
111.994324,-45.133161,23.989088,-1.081322,-0.011480,13.767586,9.510000
112.322278,-44.979547,23.699336,-1.084638,-0.008644,13.992287,4.370796
112.650186,-44.826722,23.409219,-1.086987,-0.005712,14.094344,-10.000000
112.978603,-44.674254,23.118338,-1.088386,-0.002089,13.859372,-10.000000
113.308090,-44.521509,22.826395,-1.088364,0.002965,13.619561,-10.000000
113.639214,-44.367773,22.533123,-1.086438,0.008972,13.374227,-10.000000
113.972545,-44.212112,22.238371,-1.082422,0.014688,13.122627,-9.890232
114.308660,-44.053677,21.941940,-1.076628,0.019612,12.866811,-9.703125
114.648141,-43.891679,21.643604,-1.069200,0.023473,12.608203,-9.563761
114.991579,-43.725314,21.343151,-1.060625,0.026349,12.344945,-9.456310
115.339577,-43.554036,21.040220,-1.051008,0.029291,12.075434,-9.338101
115.692552,-43.377148,20.734767,-1.040107,0.032793,11.799317,-9.195895
116.049869,-43.194543,20.427634,-1.027707,0.036813,11.517473,-9.041209
116.410558,-43.006103,20.120084,-1.013655,0.041086,11.230763,-8.894727
116.773674,-42.811833,19.813307,-0.997942,0.045371,10.939397,-8.791372
117.138297,-42.611658,19.508545,-0.980602,0.049048,10.642337,-8.767300
117.503543,-42.405661,19.206932,-0.962102,0.051767,10.337064,-8.786620
117.868577,-42.194105,18.909453,-0.942754,0.054858,10.021979,-8.740343
118.232622,-41.977303,18.617006,-0.922061,0.060579,9.699294,-8.506879
118.594963,-41.755263,18.330668,-0.898695,0.071119,9.376115,-8.009001
118.954938,-41.527602,18.051827,-0.870611,0.086168,9.063413,-7.278327
119.311912,-41.293346,17.782467,-0.836814,0.102880,8.772064,-6.474269
119.665302,-41.051856,17.524460,-0.797410,0.118131,8.507245,-5.786464
120.014585,-40.802595,17.279782,-0.753696,0.130908,8.266256,-5.205453
120.359337,-40.545919,17.049626,-0.706451,0.143286,8.046229,-4.602777
120.699233,-40.281963,16.835486,-0.655497,0.155446,7.849387,-3.931037
121.034071,-40.011212,16.638482,-0.601490,0.167008,7.679867,-3.162435
121.363807,-39.734237,16.459567,-0.544456,0.177196,7.542865,-2.453272
121.688587,-39.451573,16.299619,-0.485520,0.184206,7.436482,-2.036880
122.008819,-39.164018,16.158693,-0.425716,0.188656,7.348246,-1.666882
122.325243,-38.872007,16.036817,-0.365571,0.192415,7.276114,-1.459169
122.639029,-38.575716,15.933504,-0.304699,0.195802,7.212912,-0.954333
122.951844,-38.274553,15.848922,-0.243183,0.198075,7.171405,-0.620472
123.265292,-37.968164,15.782775,-0.180899,0.199585,7.144234,-0.242385
123.580495,-37.656470,15.735876,-0.117897,0.200184,7.133532,0.301582
123.898296,-37.339863,15.708355,-0.054298,0.199433,7.146955,1.808526
124.219212,-37.019026,15.701230,0.009413,0.195001,7.227706,2.458626
124.543590,-36.694917,15.714426,0.071522,0.187530,7.337219,2.914047
124.871606,-36.368606,15.747829,0.131774,0.179090,7.466357,3.306445
125.203306,-36.041206,15.801070,0.189715,0.170492,7.611832,3.530220
125.538629,-35.713813,15.873566,0.245555,0.163135,7.765791,3.669103
