# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
6.391362,7.290904,-6.086005,-1.653018,-0.016047,1.974961,0.000000,0.810000,0.810000
6.489691,7.283361,-6.177003,-1.653720,0.000641,2.138325,0.000000,0.810000,0.800000
6.588020,7.275824,-6.268002,-1.652906,0.017139,2.280197,0.000000,0.820000,0.810000
6.686348,7.268429,-6.359012,-1.650594,0.033482,2.337062,0.000000,0.830000,0.810000
6.784677,7.261312,-6.450044,-1.646796,0.049700,2.280060,0.000000,0.840000,0.820000
6.883006,7.254608,-6.541107,-1.641521,0.065822,2.134204,0.000000,0.840000,0.810000
6.981334,7.248451,-6.632209,-1.634778,0.081868,1.960643,0.000000,0.850000,0.810000
7.079663,7.242976,-6.723355,-1.626572,0.097853,1.819497,0.000000,0.870000,0.820000
7.177992,7.238315,-6.814545,-1.616910,0.113782,1.742034,0.000000,0.860000,0.810000
7.276320,7.234602,-6.905780,-1.605795,0.129649,1.725796,0.000000,0.880000,0.810000
7.374649,7.231969,-6.997051,-1.593235,0.145440,1.746673,0.000000,0.880000,0.830000
7.472978,7.230548,-7.088349,-1.579238,0.161123,1.774381,0.000000,0.880000,0.830000
7.571306,7.230471,-7.179658,-1.563816,0.176656,1.783919,0.000000,0.880000,0.830000
7.669635,7.231866,-7.270956,-1.546984,0.191979,1.763988,0.000000,0.880000,0.830000
7.767963,7.234861,-7.362216,-1.528765,0.207019,1.721744,0.000000,0.880000,0.830000
7.866292,7.239580,-7.453402,-1.509189,0.221685,1.677753,0.000000,0.900000,0.820000
7.964621,7.246144,-7.544475,-1.488295,0.235872,1.651345,0.000000,0.890000,0.820000
8.062949,7.254667,-7.635384,-1.466132,0.249463,1.648711,0.000000,0.890000,0.830000
8.161278,7.265258,-7.726076,-1.442761,0.262327,1.664069,0.000000,0.880000,0.830000
8.259607,7.277931,-7.816500,-1.421201,0.207703,1.689802,0.000000,0.870000,0.820000
8.357935,7.292319,-7.906669,-1.404777,0.152322,1.723840,0.000000,0.850000,0.840000
8.456264,7.307960,-7.996628,-1.393343,0.098297,1.767941,0.000000,0.840000,0.840000
8.554593,7.324409,-8.086445,-1.386805,0.044959,1.819925,0.000000,0.820000,0.850000
8.652921,7.341226,-8.176193,-1.385135,-0.008456,1.868391,0.000000,0.830000,0.850000
8.751250,7.357973,-8.265954,-1.388376,-0.062775,1.896566,0.000000,0.810000,0.870000
8.849579,7.374204,-8.355810,-1.396652,-0.118863,1.893689,0.000000,0.810000,0.860000
8.947907,7.389457,-8.445836,-1.410164,-0.177592,1.864798,0.000000,0.780000,0.880000
9.046236,7.403246,-8.536097,-1.429190,-0.239792,1.829422,0.000000,0.760000,0.910000
9.144565,7.415052,-8.626639,-1.454082,-0.306172,1.807349,0.000000,0.750000,0.920000
9.242893,7.424320,-8.717473,-1.485244,-0.377172,1.802318,0.000000,0.750000,0.940000
