idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
33,1779177351,552491352,0,1,0,0,27100,-42188,0,0,-16744,-34360,1851568,-34077,1851568,-0.1299934,0.5000000,7.0631714,495342,-103500,209715,262144
34,1779177351,557468277,0,1,0,0,27100,-42292,0,0,-20860,-34077,1851568,-33648,1851568,-0.1283569,0.5000000,7.0631714,495490,-103500,209715,262144
35,1779177351,562490354,0,1,0,0,27100,-42409,0,0,-23274,-33648,1851568,-33133,1851568,-0.1263924,0.5000000,7.0631714,495637,-103500,209715,262144
36,1779177351,567461999,0,1,0,0,27100,-42522,0,0,-22703,-33133,1851568,-32658,1851568,-0.1245804,0.5000000,7.0631714,495785,-103500,209715,262144
37,1779177351,572464972,0,1,0,0,27100,-42620,0,0,-19651,-32658,1851568,-32359,1851568,-0.1234398,0.5000000,7.0631714,495932,-103500,209715,262144
38,1779177351,577469353,0,1,0,0,27100,-42701,0,0,-16162,-32359,1851568,-32292,1851568,-0.1231842,0.5000000,7.0631714,496080,-103500,209715,262144
39,1779177351,582470630,0,1,0,0,27100,-42768,0,0,-13375,-32292,1851568,-32422,1851568,-0.1236801,0.5000000,7.0631714,496227,-103500,209715,262144
40,1779177351,587466755,0,9,0,0,27066,-42840,39344,-309,-14449,-32422,1851568,-32436,1851568,-0.1237335,0.5000000,7.0631714,496375,-103500,209715,262144
41,1779177351,592466816,0,2,0,0,27031,-42913,41777,-369,-14574,-32436,1851568,-32343,1851568,-0.1233788,0.5000000,7.0631714,496522,-103500,209715,262144
42,1779177351,597466749,0,2,0,0,26993,-42990,44032,-396,-15526,-32343,1851568,-32152,1851568,-0.1226501,0.5000000,7.0631714,496669,-103500,209715,262144
43,1779177351,602462906,0,2,0,0,26953,-43077,46228,-417,-17335,-32152,1851568,-31871,1851568,-0.1215782,0.5000000,7.0631714,496817,-103500,209715,262144
44,1779177351,607469464,0,2,0,0,26911,-43181,48305,-433,-20875,-31871,1851568,-31476,1851568,-0.1200714,0.5000000,7.0631714,496965,-103500,209715,262144
45,1779177351,612534198,0,2,0,0,26867,-43313,50322,-448,-25926,-31476,1851568,-30942,1851568,-0.1180344,0.5000000,7.0631714,497260,-103500,209715,262144
46,1779177351,617720760,0,2,0,0,26820,-43474,52340,-463,-31025,-30942,1851568,-30266,1851568,-0.1154556,0.5000000,7.0631714,497260,-103500,209715,262144
47,1779177351,622485935,0,1,0,0,26775,-43641,53883,-432,-35019,-30266,1851568,-29542,1851568,-0.1126938,0.5000000,7.0631714,497408,-103500,209715,262144
48,1779177351,627605039,0,1,0,0,26726,-43839,55367,-447,-38677,-29542,1851568,-28806,1851568,-0.1098862,0.5000000,7.0631714,497563,-103500,209715,262144
49,1779177351,632507370,0,1,0,0,26677,-44041,57028,-431,-41256,-28806,1851568,-28106,1851568,-0.1072159,0.5000000,7.0631714,497703,-103500,209715,262144
50,1779177351,637630570,0,3,0,0,26622,-44260,62072,-467,-42848,-28106,1851568,-27471,1851568,-0.1047935,0.5000000,7.0631714,497998,-103500,209715,262144
51,1779177351,643350745,0,3,0,0,26554,-44510,67413,-557,-43621,-28106,1851568,-27741,1851568,-0.1058235,0.5000000,7.0631714,498148,-103500,209715,262144
52,1779177351,647920652,0,6,0,0,26488,-44708,81002,-580,-43352,-27741,1851568,-27206,1851568,-0.1037827,0.5208932,7.0631714,498148,-103500,209715,262144
53,1779177351,652679683,0,1,0,0,26422,-44914,78688,-576,-43237,-27206,1851568,-26682,1851568,-0.1017838,0.5120660,7.0631714,498293,-103500,209715,262144
