idx,iterations,solve_time_us
1,26,1507.4
2,24,966.7
3,23,752.1
4,13,570.7
5,12,522.7
6,22,682.9
7,20,594.2
8,13,485.8
9,21,701.5
10,13,448.3
11,13,498.4
12,13,451.5
13,13,439.3
14,13,445.3
15,13,441.8
16,13,450.2
17,13,448.2
18,13,432.5
19,13,603.4
20,13,515.1
21,13,541.0
22,13,502.2
23,13,498.9
24,12,488.8
25,13,453.6
26,12,479.0
27,12,585.9
28,12,612.6
29,12,489.7
30,12,495.0
31,12,513.7
32,12,428.1
33,12,427.6
34,13,452.4
35,12,653.0
36,13,486.3
37,12,426.6
38,13,438.0
39,12,421.1
40,13,437.9
41,9,373.9
42,12,480.1
43,12,424.9
44,12,435.4
45,11,463.1
46,11,414.6
47,11,416.0
48,12,432.5
49,12,435.3
50,12,426.3
51,12,424.4
52,12,429.8
53,11,413.3
54,12,420.4
55,11,472.7
56,12,492.1
57,11,441.6
58,11,411.2
59,12,456.8
60,11,414.1
61,12,423.7
62,12,422.4
63,12,478.6
64,11,422.7
65,12,429.9
66,12,423.7
67,18,536.9
68,17,525.0
69,17,538.1
70,18,543.5
71,17,526.1
72,16,564.5
73,11,464.3
74,18,596.0
75,16,573.4
76,16,567.9
77,18,761.0
78,17,712.6
79,18,691.1
80,16,580.3
81,17,617.6
82,16,572.5
83,17,543.7
84,15,535.6
85,16,524.3
86,18,582.6
87,14,471.0
88,17,569.8
89,14,487.8
90,16,503.3
91,17,525.0
92,14,479.4
93,17,543.0
94,14,541.0
95,17,587.1
96,14,612.4
97,16,586.9
98,11,416.9
99,15,549.3
100,16,575.9
101,14,635.5
102,15,569.4
103,16,714.9
104,14,639.6
105,16,633.9
106,14,517.3
107,16,629.8
108,14,512.2
109,16,510.0
110,10,389.1
111,10,392.0
112,10,464.2
113,10,396.3
114,10,386.3
115,16,505.6
116,14,482.2
117,15,562.2
118,14,481.3
119,15,502.0
120,14,479.1
121,14,478.4
122,9,390.1
123,9,368.9
124,9,375.1
125,14,476.2
126,13,470.6
127,14,476.5
128,13,563.2
129,14,481.9
130,12,501.2
131,13,524.7
132,12,448.8
133,13,453.3
134,9,370.9
135,9,379.7
136,9,383.1
137,13,469.9
138,12,437.8
139,13,455.8
140,12,450.2
141,13,511.8
142,12,446.3
143,20,579.3
144,11,427.7
145,21,593.7
146,20,621.4
147,19,564.8
148,19,559.0
149,18,545.7
150,15,472.5
151,18,570.2
152,18,545.8
153,17,528.8
154,14,610.0
155,14,568.3
156,14,513.5
157,15,486.7
158,14,459.0
159,12,435.5
160,15,666.8
161,13,454.1
162,14,451.3
163,15,498.6
164,13,491.5
165,14,467.5
166,12,427.6
167,13,439.9
168,13,451.2
169,13,450.5
170,13,455.6
171,12,424.0
172,12,551.7
173,12,538.9
174,12,559.9
175,12,547.7
176,13,573.5
177,13,508.8
178,12,563.1
179,11,537.8
180,11,447.6
181,13,447.9
182,12,424.8
183,10,399.7
184,10,417.7
185,10,403.4
186,12,423.7
187,10,401.3
188,11,414.4
189,11,520.4
190,9,376.5
191,9,380.2
192,10,392.0
193,11,419.2
194,13,450.1
195,10,390.3
196,11,470.7
197,11,469.7
198,11,500.4
199,11,496.9
200,11,408.5
201,11,524.0
202,10,464.2
203,9,464.2
204,9,441.9
205,10,385.9
206,10,398.4
207,9,413.3
208,9,394.3
209,8,395.1
210,8,540.7
211,9,425.3
212,9,444.4
213,8,353.4
214,8,421.0
215,8,449.1
216,8,392.6
217,9,376.6
218,9,369.9
219,9,385.3
220,8,417.9
221,9,489.8
222,9,644.3
223,9,523.0
224,9,373.7
225,3,322.5
226,5,421.6
227,5,403.4
228,6,441.7
229,6,321.1
230,6,323.7
231,5,308.6
232,5,309.9
233,7,375.7
234,4,288.8
235,4,288.1
236,4,284.8
237,15,485.5
238,9,508.3
239,3,314.1
240,4,307.9
241,3,284.4
242,6,342.6
243,3,275.6
244,3,278.4
245,6,335.8
246,6,350.1
247,3,271.5
248,6,329.1
249,3,273.4
250,3,274.4
251,3,282.6
252,2,287.8
253,3,360.6
254,3,332.7
255,3,359.4
256,2,271.0
257,2,302.2
258,2,258.3
259,2,282.4
260,2,261.3
261,6,346.0
262,3,287.4
263,3,279.3
264,2,265.3
265,3,279.9
266,3,364.7
267,3,278.0
268,2,322.8
269,2,347.4
270,2,305.4
271,2,341.2
272,2,314.7
273,2,335.3
274,2,315.5
275,2,351.1
276,2,292.0
277,2,260.2
278,2,253.2
279,3,314.1
280,3,501.4
281,2,365.3
282,2,324.6
283,2,293.3
284,2,326.0
285,2,297.6
286,2,259.3
287,2,257.3
288,2,248.5
289,2,249.8
290,6,331.9
291,3,269.0
292,2,259.1
293,2,351.5
294,2,335.8
295,2,410.0
296,2,315.9
297,2,339.9
298,2,256.0
299,2,439.6
300,2,392.0
301,2,350.1
302,2,406.9
303,2,329.4
304,2,309.6
305,2,299.9
306,2,289.6
307,2,286.6
308,2,285.1
309,6,509.4
310,2,291.7
311,2,282.9
312,2,286.3
313,2,256.4
314,6,337.2
315,2,252.8
316,2,256.9
317,2,259.6
318,2,297.1
319,2,292.0
320,2,284.1
321,2,296.9
322,2,291.6
323,2,291.7
324,2,291.3
325,2,283.6
326,6,507.4
327,2,287.9
328,2,288.2
329,2,285.2
330,2,294.4
331,2,287.5
332,2,286.4
333,3,387.1
334,2,314.7
335,2,344.1
336,2,332.9
337,2,276.2
338,2,250.2
339,2,253.7
340,2,251.5
341,2,256.4
342,2,285.2
343,2,259.2
344,2,264.3
345,2,377.4
346,2,375.5
347,2,380.6
348,2,363.3
349,2,304.1
350,2,346.3
351,2,374.0
352,2,371.4
353,2,280.1
354,2,257.3
355,2,267.7
356,2,267.2
357,2,286.0
