idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
30046,1,0,191.898,224.277,132.504,4.831,14.774,80.651,7.182,97.875,0.240,9.652,91.773,9.782,0.760,21.916,25.987,0.711,0.940,22.086,49.863,20.395,6.472,92.533
30047,1,0,193.149,226.728,132.694,4.842,16.014,78.319,7.172,101.646,0.250,9.202,94.034,9.953,0.780,22.786,24.967,0.711,0.920,23.045,52.723,21.365,6.862,92.523
30048,1,0,444.302,479.841,253.464,4.821,16.935,52.874,6.262,379.576,0.250,13.574,226.377,12.223,1.000,83.021,5.631,37.750,0.830,93.034,257.775,90.983,7.072,92.663
30049,1,0,426.478,460.097,239.001,4.852,15.264,48.052,6.351,366.343,0.230,11.893,221.096,11.573,0.770,69.978,5.071,28.257,0.860,95.254,242.561,93.414,7.102,92.523
30050,2,0,253.324,291.394,182.006,4.901,17.885,57.865,6.391,182.897,0.260,14.173,109.388,12.954,1.610,76.840,5.061,25.936,0.830,24.926,128.683,22.875,8.112,92.554
30051,3,0,266.037,299.236,191.799,4.872,15.094,85.152,7.102,167.532,0.250,9.822,107.437,11.583,0.791,20.965,29.258,0.750,1.021,75.649,63.906,73.839,6.892,106.387
30052,2,0,258.615,291.524,165.762,4.851,15.214,47.332,6.262,199.150,0.260,12.003,125.762,10.022,0.880,73.559,5.011,31.618,0.840,22.006,151.249,19.975,6.611,92.593
30053,2,0,283.292,316.230,192.009,4.901,15.034,82.281,6.881,187.958,0.250,9.383,124.221,11.923,0.760,21.045,27.187,0.720,0.941,76.780,81.751,74.679,10.923,92.614
30054,2,0,256.775,289.794,166.723,4.831,15.414,46.132,6.391,198.451,0.250,11.663,123.071,9.583,0.780,72.519,4.931,32.038,0.810,23.676,148.578,21.655,27.477,92.563
30055,2,0,278.811,311.659,187.938,4.831,14.924,84.421,7.142,181.096,0.250,9.542,123.721,11.473,0.900,22.696,26.137,0.720,0.981,73.919,79.341,71.878,7.352,92.514
30056,1,0,259.716,292.874,168.762,4.851,15.463,49.923,6.491,197.530,0.290,12.153,124.112,10.762,0.870,73.929,4.991,30.048,0.850,22.906,147.577,20.906,7.031,92.554
30057,1,0,282.201,315.170,191.319,4.832,15.404,83.901,7.021,184.987,0.250,10.033,123.851,13.463,1.001,22.925,27.247,0.711,0.950,73.279,81.741,71.268,6.822,92.523
30058,2,0,257.285,290.583,166.332,4.831,15.464,47.582,6.181,197.470,0.280,12.383,124.251,9.733,0.760,73.199,5.031,31.278,0.880,22.326,149.388,20.255,6.632,92.534
30059,2,0,252.504,285.423,186.718,4.851,15.194,81.061,7.192,157.930,0.291,9.602,98.705,11.633,0.960,21.006,27.287,0.730,0.960,72.929,56.855,71.138,6.342,92.513
30060,2,0,196.409,228.408,132.524,4.822,14.644,79.841,7.052,103.316,0.240,10.043,95.884,9.472,0.790,22.426,25.106,0.720,0.930,22.646,54.954,20.895,6.442,92.513
30061,2,0,195.559,228.478,132.514,4.832,14.764,80.221,7.021,102.096,0.240,9.572,95.964,9.212,0.951,20.715,27.297,0.710,0.950,21.756,55.124,19.975,7.292,92.543
30062,2,0,203.481,235.520,133.864,4.842,14.544,79.781,7.342,110.148,0.230,11.193,101.656,9.583,0.800,21.336,24.386,0.731,0.940,22.675,59.975,20.875,6.852,92.523
30063,2,0,209.273,241.001,143.756,4.831,14.254,79.000,7.082,116.930,0.280,9.603,97.245,8.792,0.771,21.895,25.146,0.730,0.980,21.325,56.564,19.515,6.202,92.553
30064,2,0,229.658,263.146,134.654,4.911,15.384,82.221,7.042,134.104,0.230,9.332,128.492,9.862,0.830,24.246,24.777,0.720,0.971,22.506,86.062,20.375,27.797,92.533
30065,2,0,227.597,259.395,136.473,4.851,13.964,81.531,7.102,132.643,0.240,11.293,122.922,9.712,0.751,22.095,24.996,0.700,0.930,23.646,81.671,21.626,6.572,92.563
30066,1,0,229.478,262.197,138.215,4.841,14.954,82.691,6.982,133.474,0.250,9.302,123.982,10.252,0.900,22.336,28.017,0.720,0.980,23.606,82.481,21.636,9.432,92.594
30067,2,0,221.636,252.774,133.034,4.841,14.083,78.300,7.062,130.233,0.240,9.463,119.740,9.422,0.750,21.765,24.586,0.730,0.880,25.307,79.400,23.276,6.362,105.327
30068,2,0,222.376,254.655,133.114,4.841,14.614,80.891,7.071,128.143,0.250,9.643,121.541,9.803,0.780,22.636,25.716,0.710,0.860,21.795,80.370,19.785,6.262,92.513
30069,2,0,644.103,706.689,353.970,5.451,34.749,165.812,7.992,459.806,0.350,25.406,352.719,19.925,1.791,38.170,65.297,0.790,1.071,83.201,282.182,80.090,9.993,92.784
30070,2,0,471.439,540.167,274.559,6.042,38.960,197.280,8.362,254.854,0.310,31.938,265.608,15.934,2.480,89.863,31.098,0.780,1.370,33.508,188.348,31.438,10.443,92.894
30071,2,0,305.377,339.616,229.148,5.192,15.644,59.645,6.331,233.579,0.250,14.684,110.468,12.733,0.751,75.529,4.991,24.197,0.730,75.429,128.052,73.529,7.772,92.613
30072,2,0,233.149,265.087,164.471,4.831,14.494,48.092,6.381,172.924,0.260,11.963,100.616,10.443,0.790,71.898,4.861,29.898,0.730,22.755,123.831,20.865,6.712,92.584
30073,2,0,252.364,285.112,168.272,4.861,14.724,47.802,6.272,192.489,0.410,12.013,116.840,11.483,0.760,72.438,4.781,30.708,0.720,23.926,141.225,21.876,7.072,92.523
30074,2,0,249.343,281.971,166.591,4.841,15.264,48.752,6.221,188.398,0.240,12.213,115.380,10.222,0.871,72.468,4.911,29.377,0.820,23.786,138.695,21.746,6.202,92.533
30075,2,0,247.542,279.831,165.452,4.831,14.564,48.193,6.352,187.067,0.260,12.064,114.379,9.982,0.820,70.988,4.981,29.288,0.840,23.886,137.415,21.846,6.882,92.523
30076,2,0,218.445,250.594,133.244,4.852,14.394,82.321,6.972,123.181,0.230,9.853,117.350,9.412,0.760,22.986,24.606,0.710,0.940,23.726,74.579,21.686,7.912,92.613
30077,2,0,223.797,257.816,140.007,4.832,16.034,87.172,7.111,123.132,0.250,10.082,117.809,9.453,1.201,23.256,29.258,0.690,0.921,23.636,74.719,21.565,7.062,92.523
30078,2,0,222.997,255.265,139.916,4.821,14.483,81.961,7.041,127.973,0.240,9.362,115.349,10.753,0.770,21.086,27.237,0.710,0.940,27.987,73.569,25.936,6.741,92.543
30079,2,0,203.842,235.830,132.593,4.831,14.283,79.050,7.272,111.338,0.260,9.262,103.237,9.232,0.750,22.806,23.766,0.690,0.830,24.186,61.736,22.406,6.781,92.603
30080,2,0,234.979,268.908,169.393,4.831,16.324,47.702,6.372,174.884,0.260,13.334,99.515,9.942,1.110,75.779,4.871,34.049,0.830,22.166,126.972,20.285,6.551,92.534
30081,2,0,229.598,262.436,164.991,4.841,15.164,46.512,6.472,170.643,0.240,11.843,97.445,9.933,0.880,71.988,4.771,30.918,0.710,23.206,121.591,21.305,10.223,92.544
30082,2,0,197.940,229.618,132.033,4.841,14.533,79.780,7.242,104.796,0.240,9.322,97.585,9.532,0.760,22.016,24.386,0.690,0.820,22.676,55.164,20.906,6.481,92.544
30083,2,0,201.631,232.618,131.162,4.881,13.954,78.600,7.182,109.708,0.240,9.572,101.456,10.722,0.770,20.756,24.956,0.730,0.780,21.316,59.986,19.495,6.742,92.563
30084,2,0,195.509,226.517,128.853,4.841,14.064,77.970,7.032,104.356,0.240,9.183,97.664,9.592,0.771,22.985,23.096,0.720,0.811,22.236,57.045,20.395,6.442,92.603
30085,2,0,203.101,234.909,132.923,4.831,14.744,82.010,7.202,107.717,0.230,9.472,101.986,9.112,0.791,23.486,24.486,0.710,0.920,21.906,59.054,20.026,7.092,92.553
30086,2,0,233.439,268.898,166.832,4.841,17.174,49.842,6.362,171.043,0.260,12.664,102.066,9.322,1.200,74.419,5.071,29.738,0.850,20.995,125.102,19.115,7.202,92.564
30087,2,0,286.543,319.531,219.335,4.831,15.374,48.092,6.291,226.198,0.240,13.844,100.196,11.933,0.780,72.978,4.811,32.838,0.800,71.898,126.252,70.038,6.532,92.533
30088,2,0,426.858,460.977,243.032,4.842,16.494,48.302,6.241,366.582,0.250,12.184,217.945,11.643,0.960,73.488,4.991,30.588,0.830,95.894,242.372,93.763,7.052,92.513
30089,2,0,410.734,443.783,227.338,4.841,15.354,47.362,6.482,351.019,0.271,11.632,216.445,13.264,1.080,71.259,4.992,29.757,0.861,81.540,239.501,79.700,6.481,92.524
30090,2,0,425.278,457.326,240.602,4.841,14.683,47.332,6.351,365.793,0.250,11.883,216.724,11.423,0.730,71.698,5.232,30.437,1.111,96.965,240.991,94.944,6.681,92.524
30091,2,0,396.581,429.369,214.554,4.821,15.253,47.092,6.261,337.376,0.250,11.863,214.815,11.473,0.860,70.738,4.911,29.687,0.840,71.558,237.760,69.768,6.351,92.554
30092,2,0,425.448,457.566,240.881,4.841,15.074,47.512,6.241,365.813,0.250,11.623,216.685,11.573,0.780,72.448,4.891,30.218,0.800,97.735,240.331,95.774,7.352,92.554
30093,2,0,348.188,380.176,165.041,4.841,14.474,47.942,6.252,288.083,0.270,11.973,215.135,10.063,0.761,71.618,4.921,29.938,0.840,23.185,238.340,21.395,6.472,92.603
30094,2,0,422.837,457.256,242.081,4.832,16.704,47.952,6.291,362.762,0.240,12.053,215.175,11.863,0.851,72.298,5.081,28.807,0.840,96.214,237.550,94.284,7.032,92.583
30095,2,0,461.957,494.435,268.757,4.851,14.954,48.262,6.181,401.692,0.280,11.803,225.678,11.643,0.780,71.638,4.951,29.437,0.830,124.411,248.693,122.551,6.712,92.544
30096,2,0,352.380,384.578,168.824,4.831,14.973,48.032,6.472,292.084,0.251,12.003,215.754,11.603,0.750,71.858,5.002,29.857,0.841,25.317,239.051,23.486,6.651,92.524
30097,2,0,396.330,429.039,214.265,4.832,15.024,48.872,6.321,335.165,0.250,12.143,214.774,11.703,0.791,70.928,4.981,28.127,0.840,71.128,236.280,69.347,6.652,92.523
30098,2,0,356.561,389.759,173.984,4.821,15.393,48.142,6.272,296.185,0.250,13.873,215.775,11.613,0.770,72.599,5.031,32.298,0.850,25.096,241.241,23.376,9.282,92.524
30099,2,0,280.471,319.261,160.420,4.981,19.045,102.246,7.421,163.981,0.240,15.744,158.841,10.143,1.300,26.947,32.438,0.710,0.930,24.826,110.788,22.826,7.432,92.544
30100,2,0,260.396,293.044,144.896,4.841,14.944,85.801,7.162,161.281,0.260,9.942,148.148,12.313,0.721,24.006,27.597,0.710,0.930,25.926,104.926,24.086,6.822,92.543
30101,2,0,247.113,278.900,133.873,4.901,14.554,81.030,7.202,152.609,0.250,9.783,145.027,11.063,0.730,21.155,26.916,0.710,0.930,22.646,103.427,20.805,6.802,92.514
30102,2,0,254.584,286.353,139.166,4.822,14.794,83.261,7.232,157.910,0.240,9.712,147.187,12.003,0.730,21.806,28.598,0.710,0.911,24.856,105.236,22.936,6.952,92.593
30103,2,0,194.770,226.277,129.952,4.861,14.343,79.100,7.091,102.496,0.340,9.093,96.325,9.263,0.810,21.055,26.676,0.710,0.930,22.155,55.784,20.245,6.701,92.604
30104,2,0,199.941,232.508,134.223,4.831,15.204,80.390,7.252,106.207,0.240,9.972,98.285,10.032,0.891,24.096,23.606,0.700,0.930,21.816,56.865,19.925,6.652,92.533
30105,2,0,196.370,227.327,130.662,4.891,13.924,80.950,7.052,102.336,0.240,8.973,96.665,8.792,0.741,23.025,25.666,0.700,0.920,23.036,55.314,21.216,7.162,92.594
30106,2,0,197.690,230.319,132.625,4.851,15.214,78.440,7.182,105.797,0.241,9.232,97.694,9.613,0.750,21.856,25.767,0.710,0.921,23.866,57.045,21.955,6.241,92.563
30107,2,0,267.438,315.820,191.079,5.141,25.687,128.473,7.692,123.032,0.250,16.724,124.741,10.173,1.851,29.477,52.234,0.710,0.921,27.087,70.278,24.806,7.482,92.513
30108,2,0,214.885,248.373,146.987,4.861,15.353,88.763,7.162,112.579,0.240,10.183,101.386,12.223,0.890,24.976,28.977,0.730,0.820,26.757,57.814,24.737,7.082,92.554
30109,2,0,199.701,232.199,133.714,4.891,15.073,81.351,7.041,105.207,0.240,10.913,98.485,8.902,0.930,23.786,23.366,0.670,0.930,24.266,56.904,22.246,6.841,92.604
30110,2,0,196.620,227.958,131.953,4.891,14.283,79.840,7.222,103.246,0.240,9.102,96.005,10.433,0.750,22.866,24.536,0.720,0.940,21.185,54.244,19.375,6.471,92.624
30111,2,0,223.657,259.206,142.386,4.831,17.364,83.691,7.232,126.152,0.260,9.422,116.820,9.323,1.071,24.126,28.687,0.710,0.950,24.696,74.448,22.806,6.881,92.533
30112,2,0,441.032,474.460,251.693,4.831,15.744,48.212,6.162,380.996,0.260,12.363,222.767,12.203,0.870,81.431,4.981,39.340,0.820,96.444,255.825,94.534,6.582,92.614
30113,2,0,351.399,383.217,164.481,4.821,14.554,47.312,6.291,292.164,0.250,12.193,218.736,10.012,0.760,71.088,4.941,30.237,0.860,23.636,242.851,21.756,6.842,92.604
30114,2,0,424.858,457.746,241.672,4.831,15.343,47.002,6.371,365.783,0.280,11.863,216.074,11.583,0.910,72.048,4.982,30.787,0.831,97.495,240.501,95.644,6.741,92.534
30115,2,0,291.064,323.302,177.225,4.811,14.923,47.732,6.192,230.988,0.300,12.054,146.077,10.012,0.990,71.558,4.841,30.068,0.810,34.599,169.383,32.839,6.501,92.593
30116,2,0,283.992,316.691,168.934,4.822,15.094,47.242,6.282,224.517,0.271,11.983,147.757,12.063,0.770,72.059,5.011,30.528,0.850,24.697,171.764,22.856,6.742,92.523
30117,2,0,280.992,313.179,165.541,4.841,14.673,46.742,6.461,221.577,0.250,11.763,147.638,10.012,0.760,71.138,5.011,30.137,0.880,22.926,171.093,21.106,6.591,92.624
30118,4,0,360.821,395.700,177.675,4.831,16.264,51.923,6.461,296.255,0.480,15.184,218.025,11.923,0.861,74.408,5.002,30.837,0.811,25.906,242.041,24.006,7.441,92.513
30119,2,0,426.968,459.887,235.600,4.842,15.084,48.602,6.361,366.133,0.260,12.063,224.287,11.833,0.901,71.608,4.911,29.108,0.820,90.853,246.612,89.073,6.472,92.583
30120,2,0,351.789,385.758,170.243,4.892,16.144,47.742,6.422,291.654,0.610,11.743,215.515,11.773,0.751,72.008,5.121,29.378,0.850,25.036,238.180,23.256,8.473,92.553
30121,2,0,250.364,282.032,134.274,4.821,14.413,84.392,6.962,152.919,0.240,11.363,147.758,9.492,0.750,21.716,26.016,0.680,0.940,22.926,104.396,21.106,6.411,92.543
30122,2,0,196.340,227.008,132.794,4.831,13.913,78.310,7.112,105.037,0.240,9.483,94.214,11.843,0.780,21.645,23.856,0.701,0.930,24.186,52.923,22.416,6.311,92.584
30123,2,0,197.290,229.088,131.103,4.831,14.594,79.440,7.132,104.417,0.250,9.203,97.985,9.192,0.871,23.065,24.426,0.720,0.920,23.356,56.554,21.406,6.372,92.553
30124,2,0,195.590,227.148,130.924,4.891,14.133,77.590,7.052,104.947,0.570,8.882,96.224,11.513,0.840,23.146,22.866,0.680,0.800,21.596,55.604,19.725,6.451,92.544
30125,2,0,199.821,231.858,133.553,4.841,15.024,78.870,7.072,107.858,0.250,10.113,98.305,9.062,0.751,22.905,24.076,0.690,0.950,23.636,57.704,21.776,6.362,92.543
30126,2,0,193.449,224.667,129.833,4.821,14.103,78.330,7.042,101.986,0.240,9.102,94.834,9.363,0.790,23.376,23.246,0.720,0.950,21.085,54.234,19.214,9.932,92.534
30127,2,0,195.770,227.358,129.203,4.851,14.373,78.600,7.111,103.536,0.240,8.982,98.155,8.842,0.750,22.876,24.536,0.690,0.940,21.926,57.385,20.035,6.371,92.644
30128,2,0,234.970,268.128,166.512,4.881,15.554,47.072,6.172,175.835,0.321,13.954,101.616,9.373,0.980,73.658,4.871,34.359,0.820,21.195,129.632,19.225,6.682,92.533
30129,2,0,284.212,316.870,216.785,4.921,14.733,45.882,6.282,226.137,0.250,11.833,100.085,11.633,0.840,72.318,4.892,32.478,0.841,71.718,125.982,69.937,6.962,92.544
30130,2,0,428.338,461.577,244.652,4.892,15.624,47.241,6.302,369.073,0.260,11.693,216.925,11.223,0.891,72.798,4.951,31.018,0.830,97.885,241.642,95.904,6.812,92.553
30131,2,0,410.944,444.112,226.486,4.861,15.404,47.132,6.472,351.419,0.260,12.073,217.626,11.573,1.110,71.588,4.931,30.588,0.840,82.240,241.591,80.370,7.002,103.126
30132,2,0,426.178,458.826,240.390,4.841,15.044,47.492,6.271,366.423,0.250,11.813,218.436,11.463,0.790,71.968,4.971,30.288,0.830,96.584,242.261,94.614,8.052,92.563
30133,2,0,328.353,360.782,214.575,4.831,14.944,47.632,6.362,268.648,0.270,11.923,146.207,11.553,0.760,71.409,4.861,29.968,0.840,71.278,169.513,69.558,6.471,92.623
30134,2,0,356.830,389.609,172.764,4.821,15.424,48.073,6.392,296.325,0.240,11.753,216.845,13.323,0.890,74.259,4.891,31.398,0.820,25.167,241.931,23.076,7.311,92.513
30135,2,0,404.792,436.941,215.585,4.872,14.744,47.482,6.442,344.987,0.260,12.134,221.356,11.663,0.760,71.338,5.151,30.428,0.810,71.438,245.072,69.598,6.662,92.593
30136,2,0,363.442,399.001,176.554,4.821,16.575,52.044,6.382,298.746,0.250,13.003,222.447,11.523,0.760,73.619,4.961,27.297,0.860,25.946,243.021,24.016,6.942,92.713
30137,2,0,403.412,438.231,220.766,4.861,16.234,50.062,6.302,341.116,0.270,12.013,217.465,11.583,0.851,73.908,5.102,29.518,0.830,72.158,240.351,70.308,7.302,92.543
30138,2,0,353.579,386.628,170.413,4.882,15.384,47.312,6.232,294.174,0.260,11.993,216.215,11.773,0.881,72.048,5.281,30.088,1.230,25.846,240.330,23.976,6.812,92.503
30139,2,0,400.851,432.829,215.674,4.841,14.894,47.352,6.192,341.386,0.260,12.153,217.155,13.413,0.920,70.988,4.981,29.728,0.880,71.018,240.521,69.197,6.802,92.543
30140,2,0,352.000,384.227,167.842,4.821,14.483,47.222,6.331,292.584,0.250,11.783,216.385,11.573,0.800,71.188,4.931,29.577,0.820,25.087,239.441,23.256,6.741,92.564
30141,2,0,348.028,379.857,164.233,4.892,14.764,46.732,6.221,289.424,0.260,11.833,215.624,9.833,0.750,71.339,4.851,30.548,0.850,23.356,239.911,21.555,6.962,92.593
30142,2,0,355.930,389.068,172.873,4.901,15.684,47.772,6.331,295.735,0.260,11.743,216.195,11.132,0.750,72.228,4.941,29.647,0.870,29.398,239.061,27.637,6.462,92.523
30143,2,0,330.014,363.182,215.314,4.891,15.194,48.672,6.611,268.988,0.260,11.983,147.868,11.513,0.870,70.698,4.931,28.427,0.820,71.698,169.573,69.778,10.083,92.623
30144,2,0,205.572,240.231,141.026,4.831,17.415,83.711,7.391,108.067,0.240,9.802,99.205,11.843,0.860,26.647,23.886,0.700,0.920,26.107,54.344,24.216,7.082,92.554
30145,2,0,195.900,227.728,131.954,4.831,14.493,79.600,7.132,103.016,0.240,9.412,95.774,10.863,0.780,21.476,25.257,0.720,0.961,22.265,54.183,20.475,6.321,92.563
30146,2,0,196.410,227.318,130.043,4.831,13.953,78.220,7.171,104.717,0.250,9.093,97.275,9.883,0.780,20.785,25.776,0.690,0.910,20.955,56.434,19.135,6.471,92.553
30147,2,0,207.853,241.101,145.777,4.841,16.014,78.960,7.061,115.539,0.250,8.993,95.324,8.863,0.891,22.955,25.786,0.690,0.910,23.396,54.094,21.495,6.552,92.603
30148,2,0,204.252,235.490,133.124,4.831,14.103,81.441,7.282,109.418,0.360,9.752,102.366,9.622,0.870,21.416,26.267,0.720,1.271,23.766,60.495,21.836,6.561,92.493
30149,2,0,201.601,233.680,134.085,4.842,14.894,79.341,7.142,109.068,0.260,9.443,99.595,9.312,0.761,23.305,23.956,0.741,0.940,25.247,58.565,23.486,6.122,92.543
30150,2,0,217.536,254.245,150.319,4.901,17.584,96.225,7.592,106.948,0.250,12.214,103.926,9.933,1.420,25.806,33.168,0.730,0.960,22.686,58.525,20.455,9.242,92.533
