timestamp_sec,timestamp_nsec,cpu_percent,memory_percent,memory_used_mb,scan_to_pose_latency_ms,scan_rate_hz,pose_rate_hz,gpu_percent,gpu_freq_mhz,emc_percent
1769951858,837408102,30.2,15.0,882.0,0.0,424.6,0.0,0.0,0.0,0.0
1769951858,937387548,28.1,15.1,882.2,0.0,310.9,0.0,0.0,0.0,0.0
1769951859,37425491,32.4,15.1,882.4,0.0,287.0,0.0,0.0,0.0,0.0
1769951859,137416839,27.9,15.1,882.6,0.0,278.8,0.0,0.0,0.0,0.0
1769951859,237443612,22.1,15.1,883.0,0.0,278.8,0.0,0.0,0.0,0.0
1769951859,337643702,22.1,15.1,883.0,0.0,278.8,0.0,0.0,0.0,0.0
1769951859,437588488,19.7,15.1,882.5,0.0,278.8,0.0,0.0,0.0,0.0
1769951859,537394679,34.8,15.1,882.4,0.0,150.9,0.0,0.0,0.0,0.0
1769951859,637381162,30.0,15.0,882.0,0.0,151.1,0.0,0.0,0.0,0.0
1769951859,737374718,26.9,15.0,882.0,0.0,150.9,0.0,0.0,0.0,0.0
1769951859,837391731,28.8,15.1,882.5,0.0,260.5,0.0,0.0,0.0,0.0
1769951859,937371622,32.4,15.1,882.8,0.0,251.3,0.0,0.0,0.0,0.0
1769951860,37403195,32.4,15.0,881.9,0.0,251.2,0.0,0.0,0.0,0.0
1769951860,137396556,30.3,15.1,882.3,0.0,251.1,0.0,0.0,0.0,0.0
1769951860,237506945,32.4,15.0,881.6,0.0,251.1,0.0,0.0,0.0,0.0
1769951860,337462705,29.9,15.1,882.3,0.0,251.1,0.0,0.0,0.0,0.0
1769951860,437399136,27.0,15.0,881.7,0.0,252.4,0.0,0.0,0.0,0.0
1769951860,537380305,32.4,15.1,882.1,0.0,252.5,0.0,0.0,0.0,0.0
1769951860,637385379,35.1,15.1,882.6,0.0,253.1,0.0,0.0,0.0,0.0
1769951860,737391380,29.9,15.0,881.2,0.0,252.6,0.0,0.0,0.0,0.0
