idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
23789,1778515612832670127,1,1,50,0,20945,1851568,-22716,-1347,388619,14540,-35963,-1459,-1851569,436542,-6997,882279,765829,773429
23790,1778515612837999534,1,1,50,0,21127,-1851569,-22782,-1171,390073,15235,-36943,-1277,1851568,437411,-7004,884559,767979,776429
23791,1778515612842877896,1,1,50,0,-24136,-1851569,-23026,-848,391824,15860,-38276,-1731,-1851569,437832,-6962,885438,768249,773989
23792,1778515612847454495,1,1,50,0,-24015,1851568,-22976,-1030,393456,16484,-39746,-1610,-1851569,437832,-6962,886019,767089,775329
23793,1778515612852469691,1,1,50,0,20599,-1851569,-22972,-1054,394880,17189,-41608,-1805,1851568,438244,-7011,890579,770369,782719
23794,1778515612857503831,1,1,50,0,-23902,1851568,-23012,-898,396111,17964,-43220,-1497,-1851569,439043,-7067,889208,770379,780228
23795,1778515612862442609,1,1,50,0,20475,-1851569,-22997,-931,397387,18732,-44937,-1929,1851568,439430,-7074,888999,769789,780419
23796,1778515612867458541,1,1,50,0,-24138,1851568,-22977,-975,398826,19566,-46153,-1733,-1851569,439811,-7124,890319,770169,782089
23797,1778515612872451721,1,1,50,0,-24675,1851568,-23302,-553,400235,20386,-47469,-2270,1851568,440184,-7125,888529,768949,779579
23798,1778515612877543237,1,1,50,0,-24753,1851568,-23326,-419,401185,21242,-48557,-2348,1851568,440911,-7137,886599,770339,778739
23799,1778515612882464096,1,1,50,0,19254,1851568,-23289,-476,401897,22035,-49929,-3150,1851568,441266,-7202,881889,765589,773019
23800,1778515612887482140,1,1,50,0,-25505,1851568,-23303,-347,402698,22875,-50909,-3100,1851568,441930,-7247,881209,765189,772579
23801,1778515612892535288,1,1,50,0,-26270,1851568,-23604,118,403811,23687,-52232,-3865,1851568,442526,-7353,888308,767379,777839
23802,1778515612897865143,1,1,50,0,-26318,1851568,-23366,-554,404938,24570,-53550,-3913,1851568,441930,-7247,888589,768659,779989
23803,1778515612902481134,1,1,50,0,18223,-1851569,-23365,-420,405665,25341,-54804,-4181,1851568,442526,-7353,888739,768279,779439
23804,1778515612907513770,1,1,50,0,-26449,1851568,-23300,-504,406288,26217,-55884,-4044,-1851569,442798,-7254,887269,768099,778049
23805,1778515612912605703,1,1,50,0,-26668,-1851569,-23277,-405,407015,27106,-56666,-4263,1851568,443289,-7429,888659,767819,780029
23806,1778515612918032936,1,1,50,0,-26666,1851568,-23144,-714,408113,28066,-56872,-4261,-1851569,443289,-7429,890869,768719,781679
23807,1778515612922513149,1,1,50,0,-26818,-1851569,-23448,-40,409018,28840,-56385,-4413,1851568,443710,-7334,883369,766039,774819
23808,1778515612927542521,1,1,50,0,17506,1851568,-23420,69,409701,29648,-56160,-4898,-1851569,444062,-7480,883238,765569,773469
23809,1778515612932885081,1,1,50,0,-27726,-1851569,-23318,-32,410057,30451,-56030,-5321,1851568,444213,-7506,884919,766739,775929
23810,1778515612937561008,1,1,50,0,-27726,-1851569,-23292,106,410487,31109,-55578,-5751,-1851569,444464,-7491,895659,772249,782379
23811,1778515612942464683,1,1,50,0,-27726,-1851569,-23323,447,411229,31753,-55370,-6097,-1851569,444649,-7472,885218,767409,774219
23812,1778515612947461958,1,1,50,0,-29005,-1851569,-23043,-230,412059,32359,-55538,-6600,-1851569,444464,-7491,883259,766289,774079
23813,1778515612952445570,1,1,50,0,-28775,-1851569,-22987,-108,412445,32974,-55723,-6370,-1851569,444649,-7472,881649,765139,773359
23814,1778515612957510622,1,1,50,0,-29131,1851568,-22872,-196,412682,33567,-56540,-6726,-1851569,444717,-7478,890959,773239,782829
23815,1778515612962865438,1,1,50,0,15995,-1851569,-22793,-104,413187,34235,-57339,-6409,1851568,444804,-7563,882578,765489,773889
23816,1778515612967441780,1,1,50,0,-29289,-1851569,-22688,-166,413662,34789,-57798,-6884,-1851569,444823,-7445,882239,766399,773529
23817,1778515612972451728,1,1,50,0,15854,1851568,-22550,291,414151,35422,-58161,-6550,-1851569,444811,-7530,884119,766129,775889
23818,1778515612977486572,1,1,50,0,14910,-1851569,-22417,197,414507,35997,-58967,-7494,1851568,444781,-7425,881099,765879,773699
23819,1778515612982484231,1,1,50,0,15268,1851568,-22335,298,414596,36604,-59182,-7136,-1851569,444669,-7389,886299,766399,774549
23820,1778515612987444259,1,1,50,0,14337,-1851569,-22251,396,414611,37140,-59789,-8067,1851568,444490,-7420,882689,766539,773999
23821,1778515612992464830,1,1,50,0,-30103,1851568,-22130,433,414908,37716,-59942,-7698,-1851569,444376,-7373,882259,765089,773839
23822,1778515612997463546,1,1,50,0,13835,-1851569,-21930,129,415397,38228,-60800,-8569,1851568,444376,-7373,881558,766019,773499
23823,1778515613002463702,1,1,50,0,-30236,-1851569,-21827,215,415442,38805,-61262,-7831,-1851569,444098,-7344,897069,766019,774979
23824,1778515613007468529,1,1,50,0,13695,1851568,-21721,293,415323,39327,-62453,-8709,-1851569,443754,-7228,881539,765269,773199
23825,1778515613012919698,1,1,50,0,14429,-1851569,-21544,143,415531,39977,-63317,-7975,1851568,443558,-7139,884819,765989,775539
23826,1778515613017454728,1,1,50,0,13626,-1851569,-21448,237,415828,40485,-63795,-8778,-1851569,443122,-7073,880908,764599,772579
