idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
5571,1778515521731278943,1,205548,4294959269,8,6340,-7874,6340,-7874,205548,20575,-130083,-16210,-8027,215207,-30054,174060,58870,65060
5572,1778515521736289185,1,205295,4294959422,8,6102,-7721,6102,-7721,205295,20883,-127432,-13665,-7874,214954,-31102,176110,58540,67720
5573,1778515521741285858,1,204954,4294959575,8,5966,-8793,5966,-8793,204954,20994,-126433,-15758,-7721,214954,-31102,176640,60800,67370
5574,1778515521746279843,1,204613,4294958503,8,5930,-9410,5930,-9410,204613,21272,-123383,-12759,-8793,214954,-31102,173290,59030,64380
5575,1778515521751267300,1,204361,4294957886,8,5692,-9201,5692,-9201,204361,21354,-122605,-14776,-9410,214744,-31504,173460,58710,65310
5576,1778515521756289701,1,204153,4294958095,8,5451,-8968,5451,-8968,204153,21607,-120326,-11876,-9201,214577,-30797,173220,59140,64740
5577,1778515521761279142,1,204183,4294958328,8,5211,-8736,5211,-8736,204183,21671,-120564,-14018,-8968,214454,-29662,175610,60430,65570
5578,1778515521766297992,1,204376,4294958560,8,4980,-8539,4980,-8539,204376,21933,-119045,-11050,-8736,214375,-27771,172770,58600,64530
5579,1778515521771606221,1,204524,4294958757,8,4665,-7724,4665,-7724,204524,22027,-119674,-13165,-8539,214341,-26792,174970,59950,66240
5580,1778515521776304618,1,204776,4294959572,8,4652,-8280,4652,-8280,204776,22289,-118165,-10394,-7724,214341,-26792,185491,58611,64611
5581,1778515521781273611,1,205013,4294959016,8,4447,-8161,4447,-8161,205013,22399,-118389,-12462,-8280,214350,-26085,174550,57310,65730
5582,1778515521786285452,1,205132,4294959135,8,4244,-8043,4244,-8043,205132,22707,-116395,-9464,-8161,214405,-27120,173410,56870,64110
5583,1778515521790893832,1,205058,4294959253,8,4039,-8563,4039,-8563,205058,22810,-116438,-11726,-8043,214504,-28115,173480,56680,64510
5584,1778515521796661748,1,205028,4294958733,8,4011,-9220,4011,-9220,205028,23190,-113912,-8338,-8563,214504,-28115,171160,56460,62450
5585,1778515521801308240,1,205102,4294958076,8,3799,-9009,3799,-9009,205102,23304,-114123,-10597,-9220,214647,-30229,174090,58830,65150
5586,1778515521806282449,1,204939,4294958287,8,3771,-9567,3771,-9567,204939,23640,-112134,-7281,-9009,214647,-30229,173400,58360,62340
5587,1778515521811290770,1,204687,4294957729,8,3552,-9353,3552,-9353,204687,23775,-112512,-9585,-9567,214835,-33562,171430,56410,62720
5588,1778515521816285107,1,204791,4294957943,8,3317,-9055,3317,-9055,204791,24126,-110740,-6325,-9353,215067,-35475,172320,56340,63660
5589,1778515521821303893,1,205251,4294958241,8,2904,-8175,2904,-8175,205251,24275,-111347,-8817,-9055,215054,-38664,172680,57090,63730
5590,1778515521826282806,1,205666,4294959121,8,2627,-7720,2627,-7720,205666,24632,-109623,-5756,-8175,215042,-40967,174830,57110,64070
5591,1778515521831293815,1,205993,4294959576,8,2337,-7211,2337,-7211,205993,24775,-109980,-8430,-7720,215029,-41889,173620,58310,64420
5592,1778515521836292760,1,206378,4294960085,8,2344,-7748,2344,-7748,206378,25131,-107588,-5265,-7211,215029,-41889,170720,56510,62580
5593,1778515521841349050,1,206497,4294959548,8,1956,-7832,1956,-7832,206497,25263,-107118,-7857,-7748,215016,-43088,171950,56740,63610
5594,1778515521846282874,1,206482,4294959464,8,1956,-8345,1956,-8345,206482,25605,-103902,-4378,-7832,215016,-43088,171370,57290,62660
5595,1778515521851287035,1,206571,4294958951,8,1677,-7721,1677,-7721,206571,25715,-102998,-6943,-8345,215003,-43101,202411,81100,75551
5596,1778515521856289629,1,206675,4294959575,8,1406,-7085,1406,-7085,206675,26030,-99771,-3566,-7721,214990,-41877,179450,63720,71260
5597,1778515521861280606,1,206734,4294960211,8,1421,-7580,1421,-7580,206734,26107,-99079,-6140,-7085,214990,-41877,178010,62770,69650
5598,1778515521866271999,1,207031,4294959716,8,882,-5791,882,-5791,207031,26396,-96053,-2765,-7580,214964,-38968,179620,63580,71270
5599,1778515521871309216,1,207610,4294961505,8,465,-4873,465,-4873,207610,26454,-95611,-5428,-5791,214951,-36313,179860,62370,71710
5600,1778515521876207200,1,208114,4294962423,8,516,-5329,516,-5329,208114,26711,-93040,-2286,-4873,214951,-36313,178060,63670,69950
5601,1778515521881296259,1,208530,4294961967,8,298,-4796,298,-4796,208530,26763,-92492,-4719,-5329,214938,-33941,178150,63300,68740
5602,1778515521886293156,1,209034,4294962500,8,100,-4301,100,-4301,209034,27013,-89542,-1635,-4796,214925,-30974,177960,63450,69500
5603,1778515521891311525,1,209405,4294962995,8,-220,-4449,-220,-4449,209405,27061,-88580,-3859,-4301,214912,-27700,176230,62560,68320
5604,1778515521896291302,1,209746,4294962847,8,-159,-4874,-159,-4874,209746,27312,-85391,-546,-4449,214912,-27700,182660,63520,71900
5605,1778515521901288167,1,210132,4294962422,8,-104,-5296,-104,-5296,210132,27366,-84492,-2640,-4874,214912,-27700,177590,62490,68850
5606,1778515521906296008,1,210606,4294962000,8,-236,-4947,-236,-4947,210606,27612,-81522,444,-5296,215278,-24584,176810,63170,69440
5607,1778515521911295370,1,211081,4294962349,8,-349,-4655,-349,-4655,211081,27677,-80371,-1454,-4947,216549,-22427,177070,62690,68070
5608,1778515521916281931,1,211734,4294962641,8,-441,-4424,-441,-4424,211734,27920,-76973,1464,-4655,218194,-20948,180010,64140,71760
5609,1778515521921346957,1,212654,4294962872,8,-802,-3954,-802,-3954,212654,27993,-75260,-253,-4424,220072,-19603,177470,62360,68760
5610,1778515521926294125,1,213425,4294963342,8,-877,-3777,-877,-3777,213425,28232,-71866,2665,-3954,222036,-18202,192640,64210,69630
5611,1778515521931307566,1,214108,4294963519,8,-942,-3626,-942,-3626,214108,28305,-70325,1037,-3777,224065,-17204,178120,62310,69480
5612,1778515521936283023,1,214894,4294963670,8,-862,-3959,-862,-3959,214894,28537,-67038,3771,-3626,224065,-17204,177890,63000,69910
5613,1778515521941275792,1,215562,4294963337,8,-1136,-4358,-1136,-4358,215562,28601,-65423,2116,-3959,226144,-16218,178490,64080,68350
5614,1778515521946275858,1,216036,4294962938,8,-1067,-4666,-1067,-4666,216036,28842,-61750,5166,-4358,226144,-16218,180010,63740,70740
5615,1778515521951290899,1,216719,4294962630,8,-1110,-4532,-1110,-4532,216719,28905,-60024,3482,-4666,228261,-15273,177190,62540,68760
5616,1778515521956283572,1,217372,4294962764,8,-1042,-4814,-1042,-4814,217372,29130,-56587,6324,-4532,228261,-15273,178240,63310,69890
5617,1778515521961290389,1,217891,4294962482,8,-1075,-4676,-1075,-4676,217891,29178,-55114,4635,-4814,229858,-14273,180290,62220,71810
5618,1778515521966299031,1,218603,4294962620,8,-1196,-4175,-1196,-4175,218603,29385,-52067,7315,-4676,232039,-12355,178190,63760,69830
5619,1778515521971788094,1,219330,4294963121,8,-1465,-4351,-1465,-4351,219330,29448,-50304,5909,-4175,232039,-12355,175830,62250,67150
5620,1778515521976200504,1,219923,4294962945,8,-1485,-4232,-1485,-4232,219923,29616,-48711,8319,-4351,233148,-11406,182790,63740,71750
5621,1778515521981346971,1,220606,4294963064,8,-1487,-4161,-1487,-4161,220606,29697,-46988,7080,-4232,234266,-10331,177400,62750,68580
5622,1778515521986331164,1,221407,4294963135,8,-1484,-4095,-1484,-4095,221407,29903,-43976,9399,-4161,235389,-9451,178850,63110,68960
5623,1778515521991335325,1,222163,4294963201,8,-1730,-4567,-1730,-4567,222163,29970,-42252,8131,-4095,236516,-8420,177540,62760,68010
5624,1778515521996327582,1,223054,4294962729,8,-1659,-4760,-1659,-4760,223054,30190,-38686,10808,-4567,236516,-8420,177580,62800,69770
5625,1778515522001327263,1,224077,4294962536,8,-1647,-4712,-1647,-4712,224077,30249,-36372,9365,-4760,237659,-7541,180391,63850,70371
5626,1778515522006365249,1,224938,4294962584,8,-1628,-4661,-1628,-4661,224938,30438,-31738,11829,-4712,238833,-6523,178810,63570,68040
5627,1778515522011324321,1,225798,4294962635,8,-1603,-4620,-1603,-4620,225798,30451,-28163,10481,-4661,240037,-5744,179090,62270,70400
5628,1778515522016375299,1,226866,4294962676,8,-1572,-4573,-1572,-4573,226866,30558,-22745,12721,-4620,241272,-4781,178260,63870,69380
5629,1778515522021335172,1,227756,4294962723,8,-1892,-4492,-1892,-4492,227756,30485,-19194,11475,-4573,242536,-3919,176600,61870,68240
5630,1778515522026333413,1,228765,4294962804,8,-1848,-4456,-1848,-4456,228765,30502,-14623,13653,-4492,243829,-3173,180480,63160,72280
