idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
1,1779105634,569187960,1,50,0,1,44730,-80764,0,0,144,0,0,22404,1851568,0.0854645,0.5000000,7.0631714,509788,-103599,398459,235930
2,1779105634,574271910,1,50,0,2,44730,-80763,0,0,157,0,1851568,22404,-1851569,0.0854645,0.5000000,0.5000000,509927,-103599,398459,235930
3,1779105634,579331155,1,50,0,3,44730,-80762,0,0,152,22404,131072,44808,-1851569,0.1709290,0.5000000,0.5000000,510066,-103599,398459,235930
4,1779105634,584701905,1,50,0,4,44730,-80761,0,0,142,44808,131072,67212,-1851569,0.2563934,0.5000000,0.5000000,510206,-103599,398459,235930
5,1779105634,589380106,1,50,0,5,44730,-80761,0,0,76,44808,131072,22403,1851568,0.0854607,0.5000000,7.0631714,510345,-103599,398459,235930
6,1779105634,593926364,1,50,0,6,44730,-80761,0,0,-35,22403,1851568,-2,1851568,-0.0000076,0.5000000,7.0631714,510483,-103599,398459,235930
7,1779105634,599229398,1,50,0,7,44730,-80761,0,0,-50,22403,1851568,-2,-1851569,-0.0000076,0.5000000,0.5000000,510622,-103599,398459,235930
8,1779105634,604248481,1,50,0,8,44730,-80761,0,0,-3,-2,131072,-22407,-1851569,-0.0854759,0.5000000,0.5000000,510760,-103599,398459,235930
9,1779105634,609663713,1,50,0,9,44730,-80761,0,0,12,-22407,131072,-44812,-1851569,-0.1709442,0.5000000,0.5000000,510899,-103599,398459,235930
10,1779105634,614938073,1,50,0,10,44730,-80761,0,0,-16,-44812,131072,-67217,1851568,-0.2564125,0.5000000,7.0631714,511037,-103599,398459,235930
11,1779105634,618862826,1,50,0,11,44730,-80760,0,0,217,-67217,1851568,-44813,-1851569,-0.1709480,0.5000000,0.5000000,511177,-103599,398459,235930
12,1779105634,624230792,1,50,0,12,44730,-80755,0,0,912,-44813,131072,-67218,-1851569,-0.2564163,0.5000000,0.5000000,511315,-103599,398459,235930
13,1779105634,629346136,1,50,0,13,44730,-80738,0,0,3398,-67218,131072,-89623,1851568,-0.3418846,0.5000000,7.0631714,511455,-103599,398459,235930
14,1779105634,634368771,1,50,0,14,44730,-80703,0,0,7027,-89623,1851568,-102236,1851568,-0.3899994,0.5000000,7.0631714,511593,-103599,398459,235930
15,1779105634,639238694,1,50,0,15,44730,-80666,0,0,7527,-102236,1851568,-79832,1851568,-0.3045349,0.5000000,7.0631714,511732,-103599,398459,235930
16,1779105634,644220975,1,50,0,16,44730,-80647,0,0,3777,-79832,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,511870,-103599,398459,235930
17,1779105634,649307261,1,50,0,17,44729,-80670,0,0,-579,-102236,131072,-102236,-1851569,-0.3899994,0.5000000,0.5000000,512010,-103599,398459,235930
18,1779105634,654230051,1,50,0,18,44729,-80683,0,0,-2715,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,512154,-103599,398459,235930
19,1779105634,659687494,1,50,0,19,44729,-80696,0,0,-2406,-102236,1851568,-90963,1851568,-0.3469963,0.5000000,7.0631714,512288,-103599,398459,235930
