idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
13280,1778515560276880580,1,1,50,0,-36879,-1851569,-1198,-1599,254713,30680,-134616,-14474,1851568,261545,-13757,926465,810471,817291
13281,1778515560281845890,1,1,50,0,-34503,-1851569,-1189,-1898,256834,31492,-134569,-12098,-1851569,263172,-13536,926015,808850,816961
13282,1778515560286857825,1,1,50,0,8475,1851568,-1181,-2218,258140,32182,-136084,-13929,-1851569,264803,-13290,930305,810910,821681
13283,1778515560291826239,1,1,50,0,10805,-1851569,-1144,-2917,259401,33041,-135717,-11599,1851568,266436,-13056,930995,811920,820381
13284,1778515560296751900,1,1,50,0,9402,1851568,-845,-4310,260350,33779,-136746,-13002,-1851569,263172,-13536,929515,811481,820560
13285,1778515560301819099,1,1,50,0,-32517,1851568,-851,-4637,260914,34732,-136195,-10112,1851568,264803,-13290,932505,811580,822491
13286,1778515560306798041,1,1,50,0,-33950,1851568,-860,-4965,261389,35539,-137390,-11545,1851568,266436,-13056,928845,810810,820221
13287,1778515560311821272,1,1,50,0,-31356,1851568,-869,-5303,262205,36531,-136815,-8951,1851568,268073,-12858,929334,811290,821471
13288,1778515560316756053,1,1,50,0,11968,-1851569,-881,-5634,263377,37381,-137282,-10436,1851568,269712,-12542,927795,810981,818311
13289,1778515560321850772,1,1,50,0,14417,1851568,-787,-5539,264400,38418,-134803,-7987,-1851569,271352,-12250,927055,810200,817841
13290,1778515560326802994,1,1,50,0,12546,1851568,-800,-5864,265424,39233,-132219,-9858,1851568,272994,-11937,928635,811200,819821
13291,1778515560331831825,1,1,50,0,14846,-1851569,-812,-6180,266819,40151,-126365,-7558,1851568,274636,-11713,928855,811621,819860
13292,1778515560336831407,1,1,50,0,13021,1851568,-826,-6474,268065,40808,-121828,-9383,-1851569,276280,-11421,929145,811691,817531
13293,1778515560341903118,1,1,50,0,15224,1851568,-914,-6636,269459,41521,-116378,-7180,1851568,277924,-11158,929085,811201,819991
13294,1778515560346844940,1,1,50,0,13359,-1851569,-849,-7198,271165,41981,-113726,-9045,1851568,277924,-11158,927975,811620,818351
13295,1778515560351825898,1,1,50,0,-29053,1851568,-876,-7450,273183,42555,-110726,-6648,-1851569,279568,-10905,927005,809780,817901
13296,1778515560356835912,1,1,50,0,-30814,-1851569,-905,-7711,275379,42964,-110674,-8409,1851568,281212,-10657,927105,810880,818411
13297,1778515560361818662,1,1,50,0,16384,-1851569,-937,-7973,277278,43536,-110118,-6020,-1851569,282857,-10364,928874,810160,818160
13298,1778515560366843077,1,1,50,0,14763,1851568,-821,-8823,278806,43997,-112117,-7641,-1851569,281212,-10657,928005,810021,818981
13299,1778515560371824387,1,1,50,0,17563,1851568,-825,-8600,280052,44680,-112947,-4841,1851568,282857,-10364,928735,812021,820591
13300,1778515560376830241,1,1,50,0,15664,1851568,-937,-8630,281180,45254,-115836,-6740,1851568,286143,-9919,926345,810490,818001
13301,1778515560381826175,1,1,50,0,18083,-1851569,-974,-8948,282322,46046,-116818,-4321,1851568,287785,-9693,930265,811000,819080
13302,1778515560386888671,1,1,50,0,-28382,1851568,-1013,-9284,283346,46749,-118010,-5977,-1851569,289426,-9440,927085,811331,817840
13303,1778515560392152704,1,1,50,0,-26003,1851568,-899,-10260,284399,47664,-115810,-3598,1851568,291065,-9314,927915,810871,819490
13304,1778515560396799994,1,1,50,0,-27190,-1851569,-889,-10781,285259,48338,-112036,-4785,1851568,291065,-9314,927305,810130,818431
13305,1778515560401815800,1,1,50,0,-24769,1851568,-956,-11057,286253,49132,-104722,-2364,-1851569,292702,-9099,927854,807390,816630
13306,1778515560406753174,1,1,50,0,-26303,1851568,-1026,-11297,287188,49639,-98497,-3898,1851568,294336,-8849,929045,809570,819820
13307,1778515560411810005,1,1,50,0,-24103,1851568,-1095,-11523,287781,50154,-91207,-1698,1851568,295967,-8814,928825,810841,820311
13308,1778515560416807667,1,1,50,0,18957,-1851569,-1045,-12192,288894,50382,-86700,-3447,1851568,294336,-8849,928255,810400,818961
13309,1778515560421892978,1,1,50,0,21484,-1851569,-1228,-11302,290749,50693,-82059,-920,-1851569,295967,-8814,928215,808840,819001
13310,1778515560426880305,1,1,50,0,-25870,1851568,-1356,-11241,292499,50737,-81681,-3465,-1851569,299219,-8443,927635,808570,817101
13311,1778515560431800238,1,1,50,0,21136,-1851569,-1421,-11415,294057,50929,-81406,-1268,1851568,300838,-8361,930875,811481,821161
13312,1778515560436827724,1,1,50,0,19031,-1851569,-1490,-11620,295481,50991,-85034,-3373,-1851569,302453,-8280,926465,808361,816421
13313,1778515560441823819,1,1,50,0,21332,1851568,-1722,-12533,296757,51300,-88479,-1072,-1851569,304062,-8160,924315,808681,816131
13314,1778515560446786697,1,1,50,0,-24642,-1851569,-1757,-12997,298181,51618,-93544,-2237,1851568,304062,-8160,930585,811080,821781
13315,1778515560451795911,1,1,50,0,22802,1851568,-1853,-13261,299724,52240,-95899,398,-1851569,305665,-8198,925855,809140,817311
13316,1778515560456878598,1,1,50,0,21573,-1851569,-1953,-13535,300866,52840,-97176,-831,1851568,307262,-8026,927175,810620,817921
13317,1778515560461756099,1,1,50,0,-20746,1851568,-2054,-13778,302038,53603,-93956,1659,-1851569,308852,-7916,928375,809411,818441
13318,1778515560466818402,1,1,50,0,-22174,1851568,-2210,-13808,303403,54215,-89554,231,1851568,312010,-7955,883793,766119,775539
13319,1778515560471840865,1,1,50,0,-20110,1851568,-2188,-13773,304338,54847,-81824,2295,1851568,313577,-7846,885774,766899,775059
13320,1778515560476810494,1,1,50,0,22770,-1851569,-2295,-13939,304931,55151,-75429,366,1851568,315138,-7842,883983,766069,775219
13321,1778515560481829053,1,1,50,0,24716,1851568,-2404,-14070,305762,55433,-67903,2312,-1851569,316691,-7823,884833,765219,774689
13322,1778515560486876028,1,1,50,0,22703,-1851569,-2517,-14182,306875,55405,-63413,299,1851568,318236,-7876,885553,765979,776919
13323,1778515560491927771,1,1,50,0,-20176,1851568,-2869,-13921,308136,55410,-59532,2229,-1851569,321305,-7806,884883,766419,776600
13324,1778515560496857048,1,1,50,0,-22355,1851568,-2928,-14215,309427,55194,-59565,50,1851568,321305,-7806,884494,765869,775379
13325,1778515560501818870,1,1,50,0,-20155,-1851569,-3050,-14301,310450,55137,-59798,2250,1851568,322830,-7762,885473,766059,775989
13326,1778515560506751667,1,1,50,0,-22077,-1851569,-3172,-14409,311578,54974,-63218,328,-1851569,324347,-7933,882294,765459,773279
13327,1778515560511761810,1,1,50,0,24959,-1851569,-3301,-14525,312735,55055,-65442,2555,-1851569,325857,-7849,884603,766639,774479
13328,1778515560516791280,1,1,50,0,-21508,1851568,-3433,-14660,313907,55090,-68802,897,-1851569,327360,-7807,880633,765199,770178
13329,1778515560521893392,1,1,50,0,25591,1851568,-3605,-15010,315183,55376,-69348,3187,1851568,328857,-7873,880563,765089,772409
13330,1778515560526813549,1,1,50,0,-20612,1851568,-3752,-15141,316488,55579,-69648,1793,1851568,330346,-7780,884434,765719,775340
13331,1778515560531848972,1,1,50,0,-18403,1851568,-3902,-15272,317749,55949,-66997,4002,1851568,331825,-7916,883383,767079,775079
13332,1778515560536881355,1,1,50,0,-19880,-1851569,-4113,-15174,318729,56153,-64404,2525,1851568,334743,-7736,881923,765908,773499
13333,1778515560541826984,1,1,50,0,-18023,-1851569,-4494,-15388,319633,56415,-59393,4382,-1851569,336182,-7788,885863,766089,775509
13334,1778515560546850023,1,1,50,0,25332,1851568,-4545,-15870,320360,56458,-54880,2928,-1851569,334743,-7736,887083,766679,774449
13335,1778515560551817413,1,1,50,0,27481,-1851569,-4753,-15698,321013,56534,-48375,5077,1851568,337609,-7873,884473,767069,775189
13336,1778515560556816451,1,1,50,0,-19215,1851568,-4914,-15706,321710,56327,-43699,3190,-1851569,339024,-7816,884693,765939,772679
13337,1778515560561818625,1,1,50,0,-17314,-1851569,-5075,-15688,322423,56140,-38300,5091,1851568,340427,-7747,883523,766289,771849
13338,1778515560566837152,1,1,50,0,-19221,1851568,-5237,-15660,323001,55699,-35619,3184,-1851569,341820,-7715,885724,766018,776739
13339,1778515560571881823,1,1,50,0,27361,1851568,-5538,-15014,323787,55325,-32814,4957,1851568,344577,-7691,886463,767389,777059
13340,1778515560576888733,1,1,50,0,-19749,1851568,-5696,-14974,324559,54747,-33164,2656,1851568,345942,-7573,885313,766199,775599
13341,1778515560581760538,1,1,50,0,-17958,-1851569,-5851,-14930,325330,54330,-32657,4447,1851568,347299,-7488,887483,766009,778899
13342,1778515560586808665,1,1,50,0,-19894,1851568,-6010,-14900,326235,53774,-33582,2511,-1851569,348650,-7471,893713,775129,785280
13343,1778515560592030650,1,1,50,0,-18094,-1851569,-6476,-15062,327155,53370,-32693,4311,1851568,351336,-7306,888243,768079,776439
13344,1778515560596815925,1,1,50,0,25243,1851568,-6589,-15219,328016,52903,-32896,2839,-1851569,351336,-7306,882483,765859,772629
13345,1778515560601727058,1,1,50,0,26983,-1851569,-6758,-15177,328950,52560,-31284,4579,1851568,352673,-7240,884493,767879,775599
13346,1778515560606799633,1,1,50,0,-19109,1851568,-6932,-15137,329974,52095,-30131,3296,-1851569,354008,-7147,890624,770239,778670
13347,1778515560611818416,1,1,50,0,-17484,1851568,-7150,-14896,330864,51732,-27363,4921,1851568,356672,-6955,894994,771349,784660
13348,1778515560616819950,1,1,50,0,25774,-1851569,-7321,-14836,331843,51213,-25639,3370,1851568,358004,-6738,894314,771329,778650
13349,1778515560621876781,1,1,50,0,27315,1851568,-7823,-14630,332852,50767,-22637,4911,-1851569,359337,-6718,888763,767499,778999
13350,1778515560626861803,1,1,50,0,25766,1851568,-7994,-14552,333698,50165,-20894,3362,1851568,360673,-6478,886383,766729,774689
13351,1778515560631867178,1,1,50,0,27209,1851568,-8210,-14296,334469,49631,-18076,4805,1851568,363351,-6341,885824,766949,775960
13352,1778515560636855240,1,1,50,0,-19289,-1851569,-8379,-14209,335374,48935,-16861,3116,1851568,364694,-6202,883444,766639,774270
13353,1778515560641909863,1,1,50,0,-17897,1851568,-8899,-14198,336116,48313,-14676,4508,-1851569,366039,-6159,882753,765518,772759
13354,1778515560646763011,1,1,50,0,-19284,1851568,-9026,-14265,336680,47591,-13770,3121,1851568,366039,-6159,885493,766089,777129
13355,1778515560651837890,1,1,50,0,27039,-1851569,-9238,-13998,337065,46936,-11658,4635,1851568,368730,-6201,882503,765909,773239
13356,1778515560656781088,1,1,50,0,-19365,1851568,-9408,-13887,337318,46158,-11098,3040,-1851569,370066,-6152,939385,766749,773409
13357,1778515560661807871,1,1,50,0,-17949,1851568,-9579,-13770,337436,45468,-9507,4456,1851568,371321,-6117,886044,766629,775429
13358,1778515560666836157,1,1,50,0,-19469,-1851569,-9789,-13490,337614,44654,-9047,2936,1851568,373779,-6327,880713,764939,771899
13359,1778515560672136767,1,1,50,0,26501,1851568,-10045,-13468,337911,43890,-7099,4097,-1851569,374996,-6361,878684,762319,766908
13360,1778515560676828314,1,1,50,0,25154,-1851569,-10212,-13327,338297,43103,-5786,2750,1851568,376204,-6405,891583,775029,768969
13361,1778515560681850616,1,1,50,0,26339,-1851569,-10432,-13002,338905,42329,-3069,3935,-1851569,378595,-6446,878814,762809,769719
13362,1778515560686906327,1,1,50,0,-20036,1851568,-10609,-12838,339558,41396,-1464,2369,-1851569,379778,-6528,881923,764699,773119
13363,1778515560691901461,1,1,50,0,25946,1851568,-11315,-12587,340166,40538,1042,3542,1851568,380954,-6587,885364,766689,775720
