idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
1,1779104505,608961361,1,50,0,1,42023,-94783,0,0,90,0,0,22404,-1851569,0.0854645,0.5000000,0.5000000,609658,-100514,390595,235930
2,1779104505,613910450,1,50,0,2,42023,-94783,0,0,17,0,131072,-22405,1851568,-0.0854683,0.5000000,7.0631714,609792,-100514,390595,235930
3,1779104505,619004887,1,50,0,3,42023,-94783,0,0,-41,-22405,1851568,-44810,1851568,-0.1709366,0.5000000,7.0631714,609945,-100514,390595,235930
4,1779104505,624235456,1,50,0,4,42023,-94783,0,0,-59,-44810,1851568,-67215,1851568,-0.2564049,0.5000000,7.0631714,610075,-100514,390595,235930
5,1779104505,629047261,1,50,0,5,42023,-94783,0,0,-15,-67215,1851568,-44811,-1851569,-0.1709404,0.5000000,0.5000000,610215,-100514,390595,235930
6,1779104505,634118242,1,50,0,6,42023,-94783,0,0,98,-44811,131072,-67216,1851568,-0.2564087,0.5000000,7.0631714,610356,-100514,390595,235930
7,1779104505,639113668,1,50,0,7,42023,-94781,0,0,219,-67216,1851568,-89621,-1851569,-0.3418770,0.5000000,0.5000000,610498,-100514,390595,235930
8,1779104505,643915585,1,50,0,8,42023,-94780,0,0,217,-89621,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,610639,-100514,390595,235930
9,1779104505,648970789,1,50,0,9,42023,-94779,0,0,175,-102236,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,610781,-100514,390595,235930
10,1779104505,654069962,1,50,0,10,42023,-94778,0,0,256,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,610921,-100514,390595,235930
11,1779104505,658721956,1,50,0,11,42023,-94775,0,0,346,-102236,1851568,-102236,1851568,-0.3899994,0.5000000,7.0631714,611064,-100514,390595,235930
12,1779104505,664433273,1,50,0,12,42023,-94775,0,0,147,-102236,1851568,-79832,-1851569,-0.3045349,0.5000000,0.5000000,611205,-100514,390595,235930
13,1779104505,668810635,1,50,0,13,42023,-94776,0,0,-263,-79832,131072,-102236,-1851569,-0.3899994,0.5000000,0.5000000,611346,-100514,390595,235930
14,1779104505,674153975,1,50,0,14,42023,-94777,0,0,-293,-102236,131072,-79832,1851568,-0.3045349,0.5000000,7.0631714,611487,-100514,390595,235930
15,1779104505,678822544,1,50,0,15,42023,-94776,0,0,358,-79832,1851568,-57428,1851568,-0.2190704,0.5000000,7.0631714,611628,-100514,390595,235930
16,1779104505,683897301,1,50,0,16,42023,-94769,0,0,1385,-57428,1851568,-79833,1851568,-0.3045387,0.5000000,7.0631714,611769,-100514,390595,235930
17,1779104505,688922360,1,50,0,17,42023,-94759,0,0,1879,-79833,1851568,-57429,1851568,-0.2190742,0.5000000,7.0631714,612051,-100514,390595,235930
18,1779104505,693904986,1,50,0,18,42023,-94753,0,0,1195,-79833,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,612051,-100514,390595,235930
19,1779104505,698898972,1,50,0,19,42023,-94754,0,0,-268,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,612195,-100514,390595,235930
20,1779104505,703923039,1,50,0,20,42023,-94763,0,0,-1794,-102236,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,612337,-100514,390595,235930
21,1779104505,709103079,1,50,0,21,42023,-94777,0,0,-2730,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,612476,-100514,390595,235930
22,1779104505,714161291,1,50,0,22,42023,-94790,0,0,-2568,-102236,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,612617,-100514,390595,235930
23,1779104505,719077323,1,50,0,23,42023,-94798,0,0,-1622,-102236,131072,-79832,-1851569,-0.3045349,0.5000000,0.5000000,612760,-100514,390595,235930
24,1779104505,723976875,1,50,0,24,42023,-94803,0,0,-1019,-79832,131072,-102236,-1851569,-0.3899994,0.5000000,0.5000000,612900,-100514,390595,235930
25,1779104505,728791176,1,50,0,25,42023,-94811,0,0,-1708,-102236,131072,-79832,1851568,-0.3045349,0.5000000,7.0631714,613041,-100514,390595,235930
26,1779104505,733897870,1,50,0,26,42023,-94831,0,0,-3860,-79832,1851568,-57428,1851568,-0.2190704,0.5000000,7.0631714,613186,-100514,390595,235930
27,1779104505,738991091,1,50,0,27,42023,-94868,0,0,-7576,-57428,1851568,-50908,-1851569,-0.1941986,0.5000000,0.5000000,613324,-100514,390595,235930
28,1779104505,743983765,1,50,0,28,42023,-94931,0,0,-12542,-50908,131072,-28504,-1851569,-0.1087341,0.5000000,0.5000000,613464,-100514,390595,235930
29,1779104505,748902549,1,50,0,29,42023,-95021,0,0,-18376,-28504,131072,-50909,-1851569,-0.1942024,0.5000000,0.5000000,613607,-100514,390595,235930
30,1779104505,756176051,1,50,0,30,42023,-95196,0,0,-24018,-50909,131072,-73314,1851568,-0.2796707,0.5000000,7.0631714,613764,-100514,390595,235930
31,1779104505,758940539,1,50,0,31,42020,-95279,0,0,-29823,-73314,1851568,-50910,1851568,-0.1942062,0.5000000,7.0631714,613895,-100514,390595,235930
32,1779104505,764022496,1,50,0,32,42020,-95453,0,0,-34191,-50910,1851568,-28506,1851568,-0.1087418,0.5000000,7.0631714,614030,-100514,390595,235930
33,1779104505,769020930,1,50,0,33,42020,-95637,0,0,-36828,-28506,1851568,-50911,1851568,-0.1942101,0.5000000,7.0631714,614171,-100514,390595,235930
34,1779104505,773897825,1,50,0,34,42020,-95815,0,0,-36532,-50911,1851568,-28507,-1851569,-0.1087456,0.5000000,0.5000000,614316,-100514,390595,235930
35,1779104505,778899524,1,50,0,35,41947,-95999,40353,-250,-36698,-28507,131072,-50912,-1851569,-0.1942139,0.5000000,-7.0631752,614454,-100514,390595,235930
36,1779104505,783904231,1,50,0,36,41862,-96196,45575,-578,-39351,-50912,-1851569,-28508,1851568,-0.1087494,0.5000000,7.0631714,614599,-100514,390595,235930
37,1779104505,788921290,1,50,0,37,41774,-96396,44091,-354,-39456,-28508,1851568,-50913,-1851569,-0.1942177,0.5000000,-7.0631752,614736,-100514,390595,235930
38,1779104505,793911660,1,50,0,38,41774,-96611,0,0,-43017,-50913,-1851569,-28509,1851568,-0.1087532,0.5000000,7.0631714,614878,-100514,390595,235930
39,1779104505,798926511,1,50,0,39,41774,-96860,0,0,-49605,-28509,1851568,-6105,1851568,-0.0232887,0.5000000,7.0631714,615057,-100514,390595,235930
40,1779104505,803932337,1,50,0,40,41774,-97139,0,0,-55861,-6105,1851568,16299,-1851569,0.0621758,0.5000000,0.5000000,615184,-100514,390595,235930
41,1779104505,808917171,1,50,0,41,41765,-97458,0,0,-60655,16299,131072,-6106,1851568,-0.0232925,0.5000000,7.0631714,615301,-100514,390595,235930
42,1779104505,813928630,1,50,0,42,41765,-97777,0,0,-63644,-6106,1851568,-28511,1851568,-0.1087608,0.5000000,7.0631714,615443,-100514,390595,235930
43,1779104505,818906552,1,50,0,43,41765,-98094,0,0,-63723,-28511,1851568,-50916,1851568,-0.1942291,0.5000000,7.0631714,615584,-100514,390595,235930
44,1779104505,823917435,1,50,0,44,41765,-98392,0,0,-59531,-50916,1851568,-73321,1851568,-0.2796974,0.5000000,7.0631714,615727,-100514,390595,235930
45,1779104505,828904221,1,50,0,45,41765,-98655,0,0,-52691,-73321,1851568,-50917,-1851569,-0.1942329,0.5000000,0.5000000,615869,-100514,390595,235930
46,1779104505,833904127,1,50,0,46,41765,-98891,0,0,-47254,-50917,131072,-73322,-1851569,-0.2797012,0.5000000,0.5000000,616008,-100514,390595,235930
47,1779104505,838904706,1,50,0,47,41746,-99033,0,0,-45203,-73322,131072,-50918,1851568,-0.1942368,0.5000000,7.0631714,616150,-100514,390595,235930
48,1779104505,843899588,1,50,0,48,41746,-99262,0,0,-45790,-50918,1851568,-28514,1851568,-0.1087723,0.5000000,7.0631714,616290,-100514,390595,235930
49,1779104505,848900551,1,50,0,49,41746,-99499,0,0,-47370,-28514,1851568,-50919,-1851569,-0.1942406,0.5000000,0.5000000,616432,-100514,390595,235930
50,1779104505,853900009,1,50,0,50,41746,-99746,0,0,-49395,-50919,131072,-73324,1851568,-0.2797089,0.5000000,7.0631714,616573,-100514,390595,235930
51,1779104505,858934189,1,50,0,51,41741,-99970,0,0,-52215,-73324,1851568,-95729,1851568,-0.3651772,0.5000000,7.0631714,616734,-100514,390595,235930
52,1779104505,864237591,1,50,0,52,41741,-100264,0,0,-55541,-95729,1851568,-73325,-1851569,-0.2797127,0.5000000,0.5000000,616855,-100514,390595,235930
53,1779104505,869151415,1,50,0,53,41741,-100551,0,0,-58490,-73325,131072,-95730,-1851569,-0.3651810,0.5000000,0.5000000,616997,-100514,390595,235930
54,1779104505,873961461,1,50,0,54,41741,-100842,0,0,-60298,-95730,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,617138,-100514,390595,235930
55,1779104505,878901430,1,50,0,55,41741,-101140,0,0,-60451,-102236,1851568,-79832,-1851569,-0.3045349,0.5000000,0.5000000,617280,-100514,390595,235930
56,1779104505,883906392,1,50,0,56,41741,-101430,0,0,-57933,-79832,131072,-102236,-1851569,-0.3899994,0.5000000,0.5000000,617421,-100514,390595,235930
57,1779104505,888963036,1,50,0,57,41729,-101624,0,0,-51917,-102236,131072,-102236,-1851569,-0.3899994,0.5000000,0.5000000,617562,-100514,390595,235930
58,1779104505,893987263,1,50,0,58,41729,-101838,0,0,-42597,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,617703,-100514,390595,235930
59,1779104505,898925312,1,50,0,59,41729,-101991,0,0,-31101,-102236,1851568,-102236,-1851569,-0.3899994,0.5000000,0.5000000,617845,-100514,390595,235930
60,1779104505,904120488,1,50,0,60,41729,-102088,0,0,-18645,-102236,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,617986,-100514,390595,235930
61,1779104505,909102602,1,50,0,61,41721,-102011,0,0,-6848,-102236,1851568,-79832,-1851569,-0.3045349,0.5000000,0.5000000,618127,-100514,390595,235930
62,1779104505,913958633,1,50,0,62,41721,-102005,0,0,1384,-79832,131072,-102236,1851568,-0.3899994,0.5000000,7.0631714,618273,-100514,390595,235930
63,1779104505,918903082,1,50,0,63,41721,-101978,0,0,5310,-102236,1851568,-79832,-1851569,-0.3045349,0.5000000,0.5000000,618413,-100514,390595,235930
64,1779104505,923991822,1,50,0,64,41721,-101949,0,0,5719,-79832,131072,-57428,-1851569,-0.2190704,0.5000000,0.5000000,618554,-100514,390595,235930
65,1779104505,929103892,1,50,0,65,41721,-101935,0,0,2814,-57428,131072,-79833,1851568,-0.3045387,0.5000000,7.0631714,618692,-100514,390595,235930
66,1779104505,933921105,1,50,0,66,41721,-101951,0,0,-3315,-79833,1851568,-57429,-1851569,-0.2190742,0.5000000,0.5000000,618842,-100514,390595,235930
67,1779104505,938927028,1,50,0,67,41715,-101910,0,0,-11722,-57429,131072,-79834,1851568,-0.3045425,0.5000000,7.0631714,618976,-100514,390595,235930
68,1779104505,943916854,1,50,0,68,41715,-102022,0,0,-22332,-79834,1851568,-102236,1851568,-0.3899994,0.5000000,7.0631714,619116,-100514,390595,235930
69,1779104505,948974170,1,50,0,69,41715,-102189,0,0,-33131,-102236,1851568,-102236,1851568,-0.3899994,0.5000000,7.0631714,619257,-100514,390595,235930
70,1779104505,953953212,1,50,0,70,41636,-102438,39522,-963,-49887,-102236,1851568,-102236,1851568,-0.3899994,0.5000000,7.0631714,619398,-100514,390595,235930
71,1779104505,958942782,1,50,0,71,41542,-102638,42014,-1141,-58101,-102236,1851568,-102236,-1851569,-0.3899994,0.5000000,-7.0631752,619544,-100514,390595,235930
72,1779104505,964262793,1,50,0,72,41446,-102983,44210,-1285,-64816,-102236,-1851569,-102236,-1851569,-0.3899994,0.5000000,-7.0631752,619681,-100514,390595,235930
73,1779104505,968655548,1,50,0,73,41354,-103282,51569,-1294,-67938,-102236,-1851569,-79832,1851568,-0.3045349,0.5000000,7.0631714,619822,-100514,390595,235930
74,1779104505,973908645,1,50,0,74,41250,-103630,48780,-1136,-66234,-79832,1851568,-57428,-1851569,-0.2190704,0.5000000,-7.0631752,619978,-100514,390595,235930
75,1779104505,978892423,1,50,0,75,41250,-103901,0,0,-54388,-57428,-1851569,-35024,1851568,-0.1336060,0.5000000,7.0631714,620109,-100514,390595,235930
76,1779104505,983913322,1,50,0,76,41250,-104137,0,0,-47082,-35024,1851568,-12620,1851568,-0.0481415,0.5000000,7.0631714,620246,-100514,390595,235930
77,1779104505,988917869,1,50,0,77,41231,-104192,0,0,-37929,-12620,1851568,9784,1851568,0.0373230,0.5000000,7.0631714,620388,-100514,390595,235930
78,1779104505,993962576,1,50,0,78,41231,-104334,0,0,-28137,9784,1851568,32188,-1851569,0.1227875,0.5000000,0.5000000,620528,-100514,390595,235930
79,1779104505,998918130,1,50,0,79,41231,-104425,0,0,-18299,32188,131072,54592,-1851569,0.2082520,0.5000000,0.5000000,620670,-100514,390595,235930
80,1779104506,3910004,1,50,0,80,41231,-104472,0,0,-9475,54592,131072,76996,-1851569,0.2937164,0.5000000,0.5000000,620952,-100514,390595,235930
81,1779104506,8963032,1,50,0,81,41225,-104363,0,0,-3095,54592,131072,32187,1851568,0.1227837,0.5000000,7.0631714,620952,-100514,390595,235930
82,1779104506,14328036,1,50,0,82,41225,-104366,0,0,-672,32187,1851568,9782,-1328521,0.0373154,0.5000000,-5.0679054,621094,-100514,390595,235930
83,1779104506,18684437,1,50,0,83,41225,-104379,0,0,-2857,9782,-1328521,-12623,-1851569,-0.0481529,0.5000000,0.5000000,621235,-100514,390595,235930
