idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
1,1779104209,117837063,1,50,0,1,47594,-44101,0,0,323,0,0,-22405,-1851569,-0.0854683,0.5000000,0.5000000,481154,-96849,387973,238551
2,1779104209,133367687,1,50,0,2,47565,-44100,0,0,381,0,131072,-22405,-1851569,-0.0854683,0.5000000,0.5000000,481417,-96849,387973,238551
3,1779104209,138421443,1,50,0,3,47565,-44099,0,0,238,0,131072,22404,1851568,0.0854645,0.5000000,7.0631714,481565,-96849,387973,238551
4,1779104209,143853611,1,50,0,4,47565,-44099,0,0,117,22404,1851568,44808,1851568,0.1709290,0.5000000,7.0631714,481565,-96849,387973,238551
5,1779104209,148229490,1,50,0,5,47560,-44085,0,0,31,44808,1851568,67212,-1851569,0.2563934,0.5000000,0.5000000,481729,-96849,387973,238551
6,1779104209,154027398,1,50,0,6,47560,-44085,0,0,-7,67212,131072,89616,-1851569,0.3418579,0.5000000,0.5000000,481859,-96849,387973,238551
7,1779104209,158879740,1,50,0,7,47560,-44085,0,0,13,89616,131072,67211,-1851569,0.2563896,0.5000000,0.5000000,481997,-96849,387973,238551
8,1779104209,163645071,1,50,0,8,47560,-44084,0,0,77,67211,131072,89615,1851568,0.3418541,0.5000000,7.0631714,482143,-96849,387973,238551
9,1779104209,168726412,1,50,0,9,47560,-44084,0,0,152,89615,1851568,102236,1851568,0.3899994,0.5000000,7.0631714,482284,-96849,387973,238551
10,1779104209,174307033,1,50,0,10,47560,-44082,0,0,238,102236,1851568,102236,1851568,0.3899994,0.5000000,7.0631714,482589,-96849,387973,238551
11,1779104209,178982921,1,50,0,11,47516,-44070,0,0,287,102236,1851568,79831,-1851569,0.3045311,0.5000000,0.5000000,482722,-96849,387973,238551
12,1779104209,183386417,1,50,0,12,47516,-44070,0,0,186,79831,131072,57426,-1851569,0.2190628,0.5000000,0.5000000,482870,-96849,387973,238551
13,1779104209,188419405,1,50,0,13,47516,-44070,0,0,-32,79831,131072,57426,1851568,0.2190628,0.5000000,7.0631714,482870,-96849,387973,238551
14,1779104209,193522379,1,50,0,14,47516,-44071,0,0,-201,57426,1851568,35021,-1851569,0.1335945,0.5000000,0.5000000,483017,-96849,387973,238551
15,1779104209,198502341,1,50,0,15,47448,-44055,0,0,-144,35021,131072,12616,1851568,0.0481262,0.5000000,7.0631714,483305,-96849,387973,238551
16,1779104209,203442269,1,50,0,16,47448,-44055,0,0,65,12616,1851568,-9789,966943,-0.0373421,0.5000000,3.6885948,483305,-96849,387973,238551
17,1779104209,212597305,1,50,0,17,47448,-44053,0,0,184,-9789,966943,-32194,-1851569,-0.1228104,0.5000000,0.5000000,483881,-96849,387973,238551
